GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
1,BRF,ARS,22,52,BRFARS,2,0
1,MUN,LEE,63,16,MUNLEE,5,1
1,CHE,CRY,75,8,CHECRY,3,0
1,EVE,SOU,48,26,EVESOU,3,1
1,BUR,BHA,34,39,BURBHA,1,2
1,LEI,WOL,53,22,LEIWOL,1,0
1,WAT,AVL,31,43,WATAVL,3,2
1,NOR,LIV,13,68,NORLIV,0,3
1,NEW,WHU,35,39,NEWWHU,2,4
1,TOT,MCI,22,56,TOTMCI,1,0
2,LIV,BUR,76,8,LIVBUR,2,0
2,AVL,NEW,49,27,AVLNEW,2,0
2,MCI,NOR,83,5,MCINOR,5,0
2,CRY,BRF,41,31,CRYBRF,0,0
2,LEE,EVE,40,34,LEEEVE,2,2
2,BHA,WAT,55,20,BHAWAT,2,0
2,SOU,MUN,18,60,SOUMUN,1,1
2,WOL,TOT,29,45,WOLTOT,0,1
2,ARS,CHE,28,45,ARSCHE,0,2
2,WHU,LEI,40,35,WHULEI,4,1
3,MCI,ARS,69,12,MCIARS,5,0
3,AVL,BRF,51,23,AVLBRF,1,1
3,NEW,SOU,42,32,NEWSOU,2,2
3,WHU,CRY,59,18,WHUCRY,2,2
3,BHA,EVE,42,30,BHAEVE,0,2
3,NOR,LEI,26,48,NORLEI,1,2
3,LIV,CHE,41,33,LIVCHE,1,1
3,TOT,WAT,65,14,TOTWAT,1,0
3,BUR,LEE,36,39,BURLEE,1,1
3,WOL,MUN,21,54,WOLMUN,0,1
4,CRY,TOT,23,52,CRYTOT,3,0
4,MUN,NEW,71,11,MUNNEW,4,1
4,ARS,NOR,58,18,ARSNOR,1,0
4,SOU,WHU,33,43,SOUWHU,0,0
4,LEI,MCI,15,64,LEIMCI,0,1
4,WAT,WOL,31,40,WATWOL,0,2
4,BRF,BHA,33,38,BRFBHA,0,1
4,CHE,AVL,69,11,CHEAVL,3,0
4,LEE,LIV,18,61,LEELIV,0,3
4,EVE,BUR,54,21,EVEBUR,3,1
5,NEW,LEE,37,39,NEWLEE,1,1
5,WOL,BRF,49,22,WOLBRF,0,2
5,LIV,CRY,78,7,LIVCRY,3,0
5,MCI,SOU,83,5,MCISOU,0,0
5,BUR,ARS,30,44,BURARS,0,1
5,NOR,WAT,41,30,NORWAT,1,3
5,AVL,EVE,38,36,AVLEVE,3,0
5,WHU,MUN,30,46,WHUMUN,1,2
5,BHA,LEI,41,32,BHALEI,2,1
5,TOT,CHE,26,49,TOTCHE,0,3
6,CHE,MCI,32,41,CHEMCI,0,1
6,MUN,AVL,61,17,MUNAVL,0,1
6,EVE,NOR,58,18,EVENOR,2,0
6,LEI,BUR,52,24,LEIBUR,2,2
6,WAT,NEW,39,35,WATNEW,1,1
6,LEE,WHU,35,40,LEEWHU,1,2
6,BRF,LIV,12,68,BRFLIV,3,3
6,SOU,WOL,38,34,SOUWOL,0,1
6,ARS,TOT,43,32,ARSTOT,3,1
6,CRY,BHA,33,38,CRYBHA,1,1
7,MUN,EVE,59,18,MUNEVE,1,1
7,CHE,SOU,71,9,CHESOU,3,1
7,BUR,NOR,50,24,BURNOR,0,0
7,WOL,NEW,49,25,WOLNEW,2,1
7,LEE,WAT,52,23,LEEWAT,1,0
7,BHA,ARS,37,35,BHAARS,0,0
7,TOT,AVL,43,32,TOTAVL,2,1
7,WHU,BRF,53,23,WHUBRF,1,2
7,CRY,LEI,34,39,CRYLEI,2,2
7,LIV,MCI,35,42,LIVMCI,2,2
8,WAT,LIV,10,74,WATLIV,0,5
8,AVL,WOL,45,27,AVLWOL,2,3
8,MCI,BUR,85,4,MCIBUR,2,0
8,SOU,LEE,40,34,SOULEE,1,0
8,LEI,MUN,26,50,LEIMUN,4,2
8,NOR,BHA,27,45,NORBHA,0,0
8,BRF,CHE,18,58,BRFCHE,0,1
8,EVE,WHU,41,34,EVEWHU,0,1
8,NEW,TOT,30,46,NEWTOT,2,3
8,ARS,CRY,53,22,ARSCRY,2,2
9,ARS,AVL,46,28,ARSAVL,3,1
9,CHE,NOR,77,6,CHENOR,7,0
9,EVE,WAT,57,18,EVEWAT,2,5
9,SOU,BUR,45,28,SOUBUR,2,2
9,CRY,NEW,45,29,CRYNEW,1,1
9,LEE,WOL,39,33,LEEWOL,1,1
9,BHA,MCI,12,68,BHAMCI,1,4
9,WHU,TOT,44,31,WHUTOT,1,0
9,BRF,LEI,36,38,BRFLEI,1,2
9,MUN,LIV,29,49,MUNLIV,0,5
10,LEI,ARS,40,35,LEIARS,0,2
10,LIV,BHA,74,10,LIVBHA,2,2
10,NEW,CHE,15,65,NEWCHE,0,3
10,MCI,CRY,84,4,MCICRY,0,2
10,BUR,BRF,38,35,BURBRF,3,1
10,WAT,SOU,35,38,WATSOU,0,1
10,TOT,MUN,32,44,TOTMUN,0,3
10,NOR,LEE,27,46,NORLEE,1,2
10,AVL,WHU,35,40,AVLWHU,1,4
10,WOL,EVE,44,29,WOLEVE,2,1
11,SOU,AVL,41,33,SOUAVL,1,0
11,MUN,MCI,22,56,MUNMCI,0,2
11,CHE,BUR,74,8,CHEBUR,1,1
11,CRY,WOL,38,33,CRYWOL,2,0
11,BRF,NOR,56,18,BRFNOR,1,2
11,BHA,NEW,56,20,BHANEW,1,1
11,EVE,TOT,39,36,EVETOT,0,0
11,ARS,WAT,62,15,ARSWAT,1,0
11,LEE,LEI,38,37,LEELEI,1,1
11,WHU,LIV,22,58,WHULIV,3,2
12,LEI,CHE,20,56,LEICHE,0,3
12,AVL,BHA,37,36,AVLBHA,2,0
12,NEW,BRF,36,38,NEWBRF,3,3
12,BUR,CRY,39,34,BURCRY,3,3
12,WOL,WHU,28,45,WOLWHU,1,0
12,WAT,MUN,20,58,WATMUN,4,1
12,NOR,SOU,29,44,NORSOU,2,1
12,LIV,ARS,67,14,LIVARS,4,0
12,MCI,EVE,82,5,MCIEVE,3,0
12,TOT,LEE,45,29,TOTLEE,2,1
13,ARS,NEW,57,20,ARSNEW,2,0
13,LIV,SOU,80,7,LIVSOU,4,0
13,CRY,AVL,42,33,CRYAVL,1,2
13,NOR,WOL,28,44,NORWOL,0,0
13,BHA,LEE,45,27,BHALEE,0,0
13,MCI,WHU,70,12,MCIWHU,2,1
13,LEI,WAT,52,24,LEIWAT,4,2
13,BRF,EVE,41,33,BRFEVE,1,0
13,CHE,MUN,61,17,CHEMUN,1,1
14,NEW,NOR,48,26,NEWNOR,1,1
14,LEE,CRY,42,31,LEECRY,1,0
14,WHU,BHA,50,24,WHUBHA,1,1
14,SOU,LEI,40,35,SOULEI,2,2
14,WOL,BUR,45,28,WOLBUR,0,0
14,WAT,CHE,12,69,WATCHE,1,2
14,AVL,MCI,11,73,AVLMCI,1,2
14,EVE,LIV,13,71,EVELIV,1,4
14,TOT,BRF,47,27,TOTBRF,2,0
14,MUN,ARS,45,30,MUNARS,3,2
15,WHU,CHE,25,50,WHUCHE,3,2
15,NEW,BUR,36,39,NEWBUR,1,0
15,SOU,BHA,34,37,SOUBHA,1,1
15,WOL,LIV,11,71,WOLLIV,0,1
15,WAT,MCI,8,77,WATMCI,1,3
15,MUN,CRY,57,20,MUNCRY,1,0
15,TOT,NOR,58,18,TOTNOR,3,0
15,LEE,BRF,46,28,LEEBRF,2,2
15,AVL,LEI,43,33,AVLLEI,2,1
15,EVE,ARS,32,41,EVEARS,2,1
16,BRF,WAT,45,29,BRFWAT,2,1
16,MCI,WOL,82,4,MCIWOL,1,0
16,CHE,LEE,69,11,CHELEE,3,2
16,LIV,AVL,79,8,LIVAVL,1,0
16,ARS,SOU,51,23,ARSSOU,3,0
16,NOR,MUN,20,57,NORMUN,0,1
16,BUR,WHU,27,48,BURWHU,0,0
16,LEI,NEW,53,24,LEINEW,4,0
16,CRY,EVE,42,31,CRYEVE,3,1
17,NOR,AVL,29,44,NORAVL,0,2
17,MCI,LEE,81,6,MCILEE,7,0
17,CRY,SOU,44,29,CRYSOU,2,2
17,BHA,WOL,48,22,BHAWOL,0,1
17,ARS,WHU,41,33,ARSWHU,2,0
17,CHE,EVE,70,11,CHEEVE,1,1
17,LIV,NEW,86,4,LIVNEW,3,1
18,LEE,ARS,28,46,LEEARS,1,4
18,WOL,CHE,19,57,WOLCHE,0,0
18,NEW,MCI,6,82,NEWMCI,0,4
18,TOT,LIV,14,68,TOTLIV,2,2
19,TOT,CRY,49,26,TOTCRY,3,0
