Player,Team,Position,Position ID,Link
Bernd Leno,ARS,G,1,https://www.fantrax.com/player/04qor/9yjz1a6kkry05u1b/bernd-leno/fbuwvgeokry05u1g
Aaron Ramsdale,ARS,G,1,https://www.fantrax.com/player/04amh/9yjz1a6kkry05u1b/aaron-ramsdale/fbuwvgeokry05u1g
Takehiro Tomiyasu,ARS,D,2,https://www.fantrax.com/player/05w9r/9yjz1a6kkry05u1b/takehiro-tomiyasu/fbuwvgeokry05u1g
Cedric Soares,ARS,D,2,https://www.fantrax.com/player/03r9c/9yjz1a6kkry05u1b/cedric-ricardo-alves-soares/fbuwvgeokry05u1g
Ben White,ARS,D,2,https://www.fantrax.com/player/04e1e/9yjz1a6kkry05u1b/ben-white/fbuwvgeokry05u1g
Rob Holding,ARS,D,2,https://www.fantrax.com/player/044nm/9yjz1a6kkry05u1b/rob-holding/fbuwvgeokry05u1g
Gabriel Magalhaes,ARS,D,2,https://www.fantrax.com/player/05nzu/9yjz1a6kkry05u1b/gabriel-dos-santos-magalhaes/fbuwvgeokry05u1g
Pablo Mari,ARS,D,2,https://www.fantrax.com/player/05gco/9yjz1a6kkry05u1b/pablo-mari/fbuwvgeokry05u1g
Kieran Tierney,ARS,D,2,https://www.fantrax.com/player/05749/9yjz1a6kkry05u1b/kieran-tierney/fbuwvgeokry05u1g
Nuno Tavares,ARS,D,2,https://www.fantrax.com/player/05u99/9yjz1a6kkry05u1b/nuno-tavares/fbuwvgeokry05u1g
Sead Kolasinac,ARS,D,2,https://www.fantrax.com/player/04fjx/9yjz1a6kkry05u1b/sead-kolasinac/fbuwvgeokry05u1g
Mohamed Elneny,ARS,M,4,https://www.fantrax.com/player/03yrr/9yjz1a6kkry05u1b/mohamed-naser-el-sayed-elneny/fbuwvgeokry05u1g
Thomas Partey,ARS,M,4,https://www.fantrax.com/player/05os9/9yjz1a6kkry05u1b/thomas-partey/fbuwvgeokry05u1g
Albert Sambi Lokonga,ARS,M,4,https://www.fantrax.com/player/05ue3/9yjz1a6kkry05u1b/albert-sambi-lokonga/fbuwvgeokry05u1g
Granit Xhaka,ARS,M,4,https://www.fantrax.com/player/0435m/9yjz1a6kkry05u1b/granit-xhaka/fbuwvgeokry05u1g
Ainsley Maitland-Niles,ARS,M,4,https://www.fantrax.com/player/03m3q/9yjz1a6kkry05u1b/ainsley-maitland-niles/fbuwvgeokry05u1g
Martin Odegaard,ARS,M,4,https://www.fantrax.com/player/05r9b/9yjz1a6kkry05u1b/martin-odegaard/fbuwvgeokry05u1g
Emile Smith Rowe,ARS,M,4,https://www.fantrax.com/player/04sat/9yjz1a6kkry05u1b/emile-smith-rowe/fbuwvgeokry05u1g
Bukayo Saka,ARS,M,4,https://www.fantrax.com/player/04y92/9yjz1a6kkry05u1b/bukayo-saka/fbuwvgeokry05u1g
Gabriel Martinelli,ARS,M,4,https://www.fantrax.com/player/052h5/9yjz1a6kkry05u1b/gabriel-teodoro-martinelli-silva/fbuwvgeokry05u1g
Nicolas Pepe,ARS,"M,F",5,https://www.fantrax.com/player/055sk/9yjz1a6kkry05u1b/nicolas-pepe/fbuwvgeokry05u1g
Reiss Nelson,ARS,F,6,https://www.fantrax.com/player/04ge8/9yjz1a6kkry05u1b/reiss-nelson/fbuwvgeokry05u1g
Folarin Balogun,ARS,F,6,https://www.fantrax.com/player/059iq/9yjz1a6kkry05u1b/folarin-balogun/fbuwvgeokry05u1g
Pierre-Emerick Aubameyang,ARS,F,6,https://www.fantrax.com/player/04mqy/9yjz1a6kkry05u1b/pierre-emerick-aubameyang/fbuwvgeokry05u1g
Alexandre Lacazette,ARS,F,6,https://www.fantrax.com/player/04fw3/9yjz1a6kkry05u1b/alexandre-lacazette/fbuwvgeokry05u1g
Eddie Nketiah,ARS,F,6,https://www.fantrax.com/player/04ge9/9yjz1a6kkry05u1b/eddie-nketiah/fbuwvgeokry05u1g
