Player,Team,Position,Position ID,Link
Emiliano Martinez,AVL,G,1,https://www.fantrax.com/player/02lz0/9yjz1a6kkry05u1b/emiliano-martinez/fbuwvgeokry05u1g
Jed Steer,AVL,G,1,https://www.fantrax.com/player/02m3y/9yjz1a6kkry05u1b/jed-steer/fbuwvgeokry05u1g
Matthew Cash,AVL,D,2,https://www.fantrax.com/player/05o4b/9yjz1a6kkry05u1b/matthew-cash/fbuwvgeokry05u1g
Calum Chambers,AVL,D,2,https://www.fantrax.com/player/02t1j/9yjz1a6kkry05u1b/calum-chambers/fbuwvgeokry05u1g
Axel Tuanzebe,AVL,D,2,https://www.fantrax.com/player/03xrs/9yjz1a6kkry05u1b/axel-tuanzebe/fbuwvgeokry05u1g
Tyrone Mings,AVL,D,2,https://www.fantrax.com/player/03rec/9yjz1a6kkry05u1b/tyrone-mings/fbuwvgeokry05u1g
Ezri Konsa Ngoyo,AVL,D,2,https://www.fantrax.com/player/052ca/9yjz1a6kkry05u1b/ezri-konsa-ngoyo/fbuwvgeokry05u1g
Kortney Hause,AVL,D,2,https://www.fantrax.com/player/04qr4/9yjz1a6kkry05u1b/kortney-hause/fbuwvgeokry05u1g
Lucas Digne,AVL,D,2,https://www.fantrax.com/player/04tm0/9yjz1a6kkry05u1b/lucas-digne/fbuwvgeokry05u1g
Ashley Young,AVL,D,2,https://www.fantrax.com/player/02lny/9yjz1a6kkry05u1b/ashley-young/fbuwvgeokry05u1g
Marvelous Nakamba,AVL,M,4,https://www.fantrax.com/player/055se/9yjz1a6kkry05u1b/marvelous-nakamba/fbuwvgeokry05u1g
Douglas Luiz,AVL,M,4,https://www.fantrax.com/player/04spp/9yjz1a6kkry05u1b/douglas-luiz-soares-de-paulo/fbuwvgeokry05u1g
Morgan Sanson,AVL,M,4,https://www.fantrax.com/player/05r98/9yjz1a6kkry05u1b/morgan-sanson/fbuwvgeokry05u1g
Carney Chukwuemeka,AVL,M,4,https://www.fantrax.com/player/05re5/9yjz1a6kkry05u1b/carney-chukwuemeka/fbuwvgeokry05u1g
Tim Iroegbunam,AVL,M,4,https://www.fantrax.com/player/05t6z/9yjz1a6kkry05u1b/tim-iroegbunam/fbuwvgeokry05u1g
John McGinn,AVL,M,4,https://www.fantrax.com/player/051k0/9yjz1a6kkry05u1b/john-mcginn/fbuwvgeokry05u1g
Jacob Ramsey,AVL,M,4,https://www.fantrax.com/player/051k3/9yjz1a6kkry05u1b/jacob-ramsey/fbuwvgeokry05u1g
Jaden Philogene-Bidace,AVL,M,4,https://www.fantrax.com/player/05rff/9yjz1a6kkry05u1b/jaden-philogene-bidace/fbuwvgeokry05u1g
Philippe Coutinho,AVL,M,4,https://www.fantrax.com/player/02yhi/9yjz1a6kkry05u1b/philippe-coutinho/fbuwvgeokry05u1g
Trezeguet,AVL,M,4,https://www.fantrax.com/player/0554u/9yjz1a6kkry05u1b/mahmoud-ahmed-ibrahim-hassan/fbuwvgeokry05u1g
Emiliano Buendia,AVL,"M,F",5,https://www.fantrax.com/player/051kl/9yjz1a6kkry05u1b/emiliano-buendia/fbuwvgeokry05u1g
Bertrand Traore,AVL,"M,F",5,https://www.fantrax.com/player/035n1/9yjz1a6kkry05u1b/bertrand-traore/fbuwvgeokry05u1g
Cameron Archer,AVL,F,6,https://www.fantrax.com/player/058vb/9yjz1a6kkry05u1b/cameron-archer/fbuwvgeokry05u1g
Leon Bailey,AVL,F,6,https://www.fantrax.com/player/05uns/9yjz1a6kkry05u1b/leon-bailey/fbuwvgeokry05u1g
Ollie Watkins,AVL,F,6,https://www.fantrax.com/player/05ocl/9yjz1a6kkry05u1b/ollie-watkins/fbuwvgeokry05u1g
Wesley,AVL,F,6,https://www.fantrax.com/player/051wl/9yjz1a6kkry05u1b/wesley-moraes-ferreira-da-silva/fbuwvgeokry05u1g
Danny Ings,AVL,F,6,https://www.fantrax.com/player/03dxq/9yjz1a6kkry05u1b/danny-ings/fbuwvgeokry05u1g
Keinan Davis,AVL,F,6,https://www.fantrax.com/player/03yuo/9yjz1a6kkry05u1b/keinan-davis/fbuwvgeokry05u1g
