Player,Team,Position,Position ID,Link
Edouard Mendy,CHE,G,1,https://www.fantrax.com/player/05oje/9yjz1a6kkry05u1b/edouard-mendy/fbuwvgeokry05u1g
Kepa Arrizabalaga,CHE,G,1,https://www.fantrax.com/player/04u40/9yjz1a6kkry05u1b/kepa-arrizabalaga/fbuwvgeokry05u1g
Andreas Christensen,CHE,D,2,https://www.fantrax.com/player/030v5/9yjz1a6kkry05u1b/andreas-christensen/fbuwvgeokry05u1g
Thiago Silva,CHE,D,2,https://www.fantrax.com/player/05nt7/9yjz1a6kkry05u1b/thiago-emiliano-da-silva/fbuwvgeokry05u1g
Antonio Rudiger,CHE,D,2,https://www.fantrax.com/player/04g1w/9yjz1a6kkry05u1b/antonio-rudiger/fbuwvgeokry05u1g
Malang Sarr,CHE,D,2,https://www.fantrax.com/player/05nsf/9yjz1a6kkry05u1b/malang-sarr/fbuwvgeokry05u1g
Ben Chilwell,CHE,D,2,https://www.fantrax.com/player/03v6t/9yjz1a6kkry05u1b/ben-chilwell/fbuwvgeokry05u1g
Emerson,CHE,D,2,https://www.fantrax.com/player/04mqv/9yjz1a6kkry05u1b/emerson-palmieri-dos-santos/fbuwvgeokry05u1g
Reece James,CHE,"D,M",3,https://www.fantrax.com/player/051k7/9yjz1a6kkry05u1b/reece-james/fbuwvgeokry05u1g
Cesar Azpilicueta,CHE,"D,M",3,https://www.fantrax.com/player/02vlk/9yjz1a6kkry05u1b/cesar-azpilicueta/fbuwvgeokry05u1g
Trevoh Chalobah,CHE,"D,M",3,https://www.fantrax.com/player/04mup/9yjz1a6kkry05u1b/trevoh-chalobah/fbuwvgeokry05u1g
Marcos Alonso,CHE,"D,M",3,https://www.fantrax.com/player/02m66/9yjz1a6kkry05u1b/marcos-alonso/fbuwvgeokry05u1g
Jorginho,CHE,M,4,https://www.fantrax.com/player/04s8k/9yjz1a6kkry05u1b/jorge-luiz-frello-filho/fbuwvgeokry05u1g
Mateo Kovacic,CHE,M,4,https://www.fantrax.com/player/04u41/9yjz1a6kkry05u1b/mateo-kovacic/fbuwvgeokry05u1g
Ngolo Kante,CHE,M,4,https://www.fantrax.com/player/03srm/9yjz1a6kkry05u1b/ngolo-kante/fbuwvgeokry05u1g
Saul Niguez,CHE,M,4,https://www.fantrax.com/player/05w9s/9yjz1a6kkry05u1b/saul-niguez/fbuwvgeokry05u1g
Ruben Loftus-Cheek,CHE,M,4,https://www.fantrax.com/player/03m5c/9yjz1a6kkry05u1b/ruben-loftus-cheek/fbuwvgeokry05u1g
Ross Barkley,CHE,M,4,https://www.fantrax.com/player/02lpf/9yjz1a6kkry05u1b/ross-barkley/fbuwvgeokry05u1g
Kenedy,CHE,M,4,https://www.fantrax.com/player/03sin/9yjz1a6kkry05u1b/robert-kenedy-nunes-do-nascimento/fbuwvgeokry05u1g
Kai Havertz,CHE,"M,F",5,https://www.fantrax.com/player/05o6h/9yjz1a6kkry05u1b/kai-havertz/fbuwvgeokry05u1g
Callum Hudson-Odoi,CHE,"M,F",5,https://www.fantrax.com/player/04mi4/9yjz1a6kkry05u1b/callum-hudson-odoi/fbuwvgeokry05u1g
Mason Mount,CHE,"M,F",5,https://www.fantrax.com/player/052cd/9yjz1a6kkry05u1b/mason-mount/fbuwvgeokry05u1g
Christian Pulisic,CHE,"M,F",5,https://www.fantrax.com/player/04yim/9yjz1a6kkry05u1b/christian-pulisic/fbuwvgeokry05u1g
Hakim Ziyech,CHE,"M,F",5,https://www.fantrax.com/player/05mxb/9yjz1a6kkry05u1b/hakim-ziyech/fbuwvgeokry05u1g
Timo Werner,CHE,F,6,https://www.fantrax.com/player/05mxc/9yjz1a6kkry05u1b/timo-werner/fbuwvgeokry05u1g
Romelu Lukaku,CHE,F,6,https://www.fantrax.com/player/02m7x/9yjz1a6kkry05u1b/romelu-lukaku/fbuwvgeokry05u1g
