Player,Team,Position,Position ID,Link
Illan Meslier,LEE,G,1,https://www.fantrax.com/player/05mzt/9yjz1a6kkry05u1b/illan-meslier/fbuwvgeokry05u1g
Kristoffer Klaesson,LEE,G,1,https://www.fantrax.com/player/05umx/9yjz1a6kkry05u1b/kristoffer-klaesson/fbuwvgeokry05u1g
Luke Ayling,LEE,D,2,https://www.fantrax.com/player/05mzw/9yjz1a6kkry05u1b/luke-ayling/fbuwvgeokry05u1g
Cody Drameh,LEE,D,2,https://www.fantrax.com/player/05roa/9yjz1a6kkry05u1b/cody-drameh/fbuwvgeokry05u1g
Charlie Cresswell,LEE,D,2,https://www.fantrax.com/player/05ogl/9yjz1a6kkry05u1b/charlie-cresswell/fbuwvgeokry05u1g
Diego Llorente,LEE,D,2,https://www.fantrax.com/player/05ojh/9yjz1a6kkry05u1b/diego-llorente/fbuwvgeokry05u1g
Liam Cooper,LEE,D,2,https://www.fantrax.com/player/05mzx/9yjz1a6kkry05u1b/liam-cooper/fbuwvgeokry05u1g
Pascal Struijk,LEE,D,2,https://www.fantrax.com/player/05mzz/9yjz1a6kkry05u1b/pascal-struijk/fbuwvgeokry05u1g
Junior Firpo,LEE,D,2,https://www.fantrax.com/player/05u7a/9yjz1a6kkry05u1b/junior-firpo/fbuwvgeokry05u1g
Leo Fuhr Hjelde,LEE,D,2,https://www.fantrax.com/player/05x12/9yjz1a6kkry05u1b/leo-fuhr-hjelde/fbuwvgeokry05u1g
Robin Koch,LEE,"D,M",3,https://www.fantrax.com/player/05nuh/9yjz1a6kkry05u1b/robin-koch/fbuwvgeokry05u1g
Stuart Dallas,LEE,"D,M",3,https://www.fantrax.com/player/05n02/9yjz1a6kkry05u1b/stuart-dallas/fbuwvgeokry05u1g
Kalvin Phillips,LEE,M,4,https://www.fantrax.com/player/05n03/9yjz1a6kkry05u1b/kalvin-phillips/fbuwvgeokry05u1g
Adam Forshaw,LEE,M,4,https://www.fantrax.com/player/02lpu/9yjz1a6kkry05u1b/adam-forshaw/fbuwvgeokry05u1g
Mateusz Klich,LEE,M,4,https://www.fantrax.com/player/05n04/9yjz1a6kkry05u1b/mateusz-klich/fbuwvgeokry05u1g
Jamie Shackleton,LEE,M,4,https://www.fantrax.com/player/05n05/9yjz1a6kkry05u1b/jamie-shackleton/fbuwvgeokry05u1g
Crysencio Summerville,LEE,M,4,https://www.fantrax.com/player/05rl4/9yjz1a6kkry05u1b/crysencio-summerville/fbuwvgeokry05u1g
Stuart McKinstry,LEE,M,4,https://www.fantrax.com/player/05ww3/9yjz1a6kkry05u1b/stuart-mckinstry/fbuwvgeokry05u1g
Liam McCarron,LEE,M,4,https://www.fantrax.com/player/05unv/9yjz1a6kkry05u1b/liam-mccarron/fbuwvgeokry05u1g
Lewis Bate,LEE,M,4,https://www.fantrax.com/player/05lus/9yjz1a6kkry05u1b/lewis-bate/fbuwvgeokry05u1g
Jack Harrison,LEE,M,4,https://www.fantrax.com/player/04spq/9yjz1a6kkry05u1b/jack-harrison/fbuwvgeokry05u1g
Helder Costa,LEE,M,4,https://www.fantrax.com/player/04qrf/9yjz1a6kkry05u1b/helder-wander-sousa-de-azevedo-e-costa/fbuwvgeokry05u1g
Raphinha,LEE,"M,F",5,https://www.fantrax.com/player/05os7/9yjz1a6kkry05u1b/raphael-dias-belloli/fbuwvgeokry05u1g
Daniel James,LEE,"M,F",5,https://www.fantrax.com/player/03yr0/9yjz1a6kkry05u1b/daniel-james/fbuwvgeokry05u1g
Tyler Roberts,LEE,"M,F",5,https://www.fantrax.com/player/03p9z/9yjz1a6kkry05u1b/tyler-roberts/fbuwvgeokry05u1g
Rodrigo,LEE,"M,F",5,https://www.fantrax.com/player/05nnx/9yjz1a6kkry05u1b/rodrigo-moreno/fbuwvgeokry05u1g
Joe Gelhardt,LEE,F,6,https://www.fantrax.com/player/05n3u/9yjz1a6kkry05u1b/joe-gelhardt/fbuwvgeokry05u1g
Patrick Bamford,LEE,F,6,https://www.fantrax.com/player/03ek4/9yjz1a6kkry05u1b/patrick-bamford/fbuwvgeokry05u1g
Sam Greenwood,LEE,F,6,https://www.fantrax.com/player/05r4r/9yjz1a6kkry05u1b/sam-greenwood/fbuwvgeokry05u1g
