Player,Team,Position,Position ID,Link
Ederson,MCI,G,1,https://www.fantrax.com/player/04fk5/9yjz1a6kkry05u1b/ederson-santana-de-moraes/fbuwvgeokry05u1g
Zack Steffen,MCI,G,1,https://www.fantrax.com/player/05lfs/9yjz1a6kkry05u1b/zack-steffen/fbuwvgeokry05u1g
Kyle Walker,MCI,D,2,https://www.fantrax.com/player/02lp9/9yjz1a6kkry05u1b/kyle-walker/fbuwvgeokry05u1g
Joao Cancelo,MCI,D,2,https://www.fantrax.com/player/0570n/9yjz1a6kkry05u1b/joao-pedro-cavaco-cancelo/fbuwvgeokry05u1g
Ruben Dias,MCI,D,2,https://www.fantrax.com/player/05omu/9yjz1a6kkry05u1b/ruben-santos-gato-alves-dias/fbuwvgeokry05u1g
John Stones,MCI,D,2,https://www.fantrax.com/player/02yl5/9yjz1a6kkry05u1b/john-stones/fbuwvgeokry05u1g
Aymeric Laporte,MCI,D,2,https://www.fantrax.com/player/04mqu/9yjz1a6kkry05u1b/aymeric-laporte/fbuwvgeokry05u1g
Nathan Ake,MCI,D,2,https://www.fantrax.com/player/02y6o/9yjz1a6kkry05u1b/nathan-ake/fbuwvgeokry05u1g
Benjamin Mendy,MCI,D,2,https://www.fantrax.com/player/04gyl/9yjz1a6kkry05u1b/benjamin-mendy/fbuwvgeokry05u1g
Oleksandr Zinchenko,MCI,D,2,https://www.fantrax.com/player/043c1/9yjz1a6kkry05u1b/oleksandr-zinchenko/fbuwvgeokry05u1g
Fernandinho,MCI,M,4,https://www.fantrax.com/player/03278/9yjz1a6kkry05u1b/fernando-luiz-rosa/fbuwvgeokry05u1g
Rodri,MCI,M,4,https://www.fantrax.com/player/0524k/9yjz1a6kkry05u1b/rodrigo-hernandez-cascante/fbuwvgeokry05u1g
Bernardo Silva,MCI,M,4,https://www.fantrax.com/player/04fk6/9yjz1a6kkry05u1b/bernardo-mota-veiga-de-carvalho-e-silva/fbuwvgeokry05u1g
Ilkay Gundogan,MCI,M,4,https://www.fantrax.com/player/0435t/9yjz1a6kkry05u1b/ilkay-gundogan/fbuwvgeokry05u1g
Cole Palmer,MCI,M,4,https://www.fantrax.com/player/05l8q/9yjz1a6kkry05u1b/cole-palmer/fbuwvgeokry05u1g
James Mcatee,MCI,M,4,https://www.fantrax.com/player/05uhs/9yjz1a6kkry05u1b/james-mcatee/fbuwvgeokry05u1g
Kevin De Bruyne,MCI,M,4,https://www.fantrax.com/player/02oox/9yjz1a6kkry05u1b/kevin-de-bruyne/fbuwvgeokry05u1g
Phil Foden,MCI,"M,F",5,https://www.fantrax.com/player/04abb/9yjz1a6kkry05u1b/phil-foden/fbuwvgeokry05u1g
Jack Grealish,MCI,"M,F",5,https://www.fantrax.com/player/02lm7/9yjz1a6kkry05u1b/jack-grealish/fbuwvgeokry05u1g
Riyad Mahrez,MCI,F,6,https://www.fantrax.com/player/03dyp/9yjz1a6kkry05u1b/riyad-mahrez/fbuwvgeokry05u1g
Ferran Torres,MCI,F,6,https://www.fantrax.com/player/05n08/9yjz1a6kkry05u1b/ferran-torres/fbuwvgeokry05u1g
Gabriel Jesus,MCI,F,6,https://www.fantrax.com/player/045c8/9yjz1a6kkry05u1b/gabriel-fernando-de-jesus/fbuwvgeokry05u1g
Raheem Sterling,MCI,F,6,https://www.fantrax.com/player/02lkp/9yjz1a6kkry05u1b/raheem-sterling/fbuwvgeokry05u1g
Liam Delap,MCI,F,6,https://www.fantrax.com/player/05oig/9yjz1a6kkry05u1b/liam-delap/fbuwvgeokry05u1g
Kayky,MCI,F,6,https://www.fantrax.com/player/05ya1/9yjz1a6kkry05u1b/kayky-da-silva-chagas/fbuwvgeokry05u1g
