Player,Team,Position,Position ID,Link
Tim Krul,NOR,G,1,https://www.fantrax.com/player/02lu3/9yjz1a6kkry05u1b/tim-krul/fbuwvgeokry05u1g
Angus Gunn,NOR,G,1,https://www.fantrax.com/player/044i7/9yjz1a6kkry05u1b/angus-gunn/fbuwvgeokry05u1g
Max Aarons,NOR,D,2,https://www.fantrax.com/player/051kg/9yjz1a6kkry05u1b/max-aarons/fbuwvgeokry05u1g
Sam Byram,NOR,D,2,https://www.fantrax.com/player/03ysd/9yjz1a6kkry05u1b/sam-byram/fbuwvgeokry05u1g
Christoph Zimmerman,NOR,D,2,https://www.fantrax.com/player/051kc/9yjz1a6kkry05u1b/christoph-zimmermann/fbuwvgeokry05u1g
Ozan Kabak,NOR,D,2,https://www.fantrax.com/player/05rak/9yjz1a6kkry05u1b/ozan-kabak/fbuwvgeokry05u1g
Grant Hanley,NOR,D,2,https://www.fantrax.com/player/02m08/9yjz1a6kkry05u1b/grant-hanley/fbuwvgeokry05u1g
Ben Gibson,NOR,D,2,https://www.fantrax.com/player/04360/9yjz1a6kkry05u1b/ben-gibson/fbuwvgeokry05u1g
Andrew Omobamidele,NOR,D,2,https://www.fantrax.com/player/05trt/9yjz1a6kkry05u1b/andrew-omobamidele/fbuwvgeokry05u1g
Brandon Williams,NOR,D,2,https://www.fantrax.com/player/059j3/9yjz1a6kkry05u1b/brandon-williams/fbuwvgeokry05u1g
Dimitris Giannoulis,NOR,D,2,https://www.fantrax.com/player/05trs/9yjz1a6kkry05u1b/dimitris-giannoulis/fbuwvgeokry05u1g
Bali Mumba,NOR,D,2,https://www.fantrax.com/player/05trr/9yjz1a6kkry05u1b/bali-mumba/fbuwvgeokry05u1g
Pierre Lees-Melou,NOR,M,4,https://www.fantrax.com/player/05ubg/9yjz1a6kkry05u1b/pierre-lees-melou/fbuwvgeokry05u1g
Billy Gilmour,NOR,M,4,https://www.fantrax.com/player/052cc/9yjz1a6kkry05u1b/billy-gilmour/fbuwvgeokry05u1g
Mathias Antonsen Normann,NOR,M,4,https://www.fantrax.com/player/04gs4/9yjz1a6kkry05u1b/mathias-antonsen-normann/fbuwvgeokry05u1g
Jacob Sorensen,NOR,M,4,https://www.fantrax.com/player/05trv/9yjz1a6kkry05u1b/jacob-sorensen/fbuwvgeokry05u1g
Lukas Rupp,NOR,M,4,https://www.fantrax.com/player/05g49/9yjz1a6kkry05u1b/lukas-rupp/fbuwvgeokry05u1g
Todd Cantwell,NOR,M,4,https://www.fantrax.com/player/051kq/9yjz1a6kkry05u1b/todd-cantwell/fbuwvgeokry05u1g
Kieran Dowell,NOR,M,4,https://www.fantrax.com/player/03m5h/9yjz1a6kkry05u1b/kieran-dowell/fbuwvgeokry05u1g
Kenny McLean,NOR,M,4,https://www.fantrax.com/player/051ko/9yjz1a6kkry05u1b/kenny-mclean/fbuwvgeokry05u1g
Przemyslaw Placheta,NOR,M,4,https://www.fantrax.com/player/05tru/9yjz1a6kkry05u1b/przemyslaw-placheta/fbuwvgeokry05u1g
Milot Rashica,NOR,M,4,https://www.fantrax.com/player/05twm/9yjz1a6kkry05u1b/milot-rashica/fbuwvgeokry05u1g
Christos Tzolis,NOR,F,6,https://www.fantrax.com/player/05uox/9yjz1a6kkry05u1b/christos-tzolis/fbuwvgeokry05u1g
Joshua Sargent,NOR,F,6,https://www.fantrax.com/player/05uoq/9yjz1a6kkry05u1b/joshua-sargent/fbuwvgeokry05u1g
Teemu Pukki,NOR,F,6,https://www.fantrax.com/player/051ks/9yjz1a6kkry05u1b/teemu-pukki/fbuwvgeokry05u1g
Adam Idah,NOR,F,6,https://www.fantrax.com/player/056zd/9yjz1a6kkry05u1b/adam-idah/fbuwvgeokry05u1g
Jonathan Rowe,NOR,F,6,https://www.fantrax.com/player/05y6b/9yjz1a6kkry05u1b/jonathan-rowe/fbuwvgeokry05u1g
