Player,Team,Position,Position ID,Link
Alex McCarthy,SOU,G,1,https://www.fantrax.com/player/02t20/9yjz1a6kkry05u1b/alex-mccarthy/fbuwvgeokry05u1g
Fraser Forster,SOU,G,1,https://www.fantrax.com/player/02ltw/9yjz1a6kkry05u1b/fraser-forster/fbuwvgeokry05u1g
Willy Caballero,SOU,G,1,https://www.fantrax.com/player/03et4/9yjz1a6kkry05u1b/willy-caballero/fbuwvgeokry05u1g
Kyle Walker-Peters,SOU,D,2,https://www.fantrax.com/player/03zsq/9yjz1a6kkry05u1b/kyle-walker-peters/fbuwvgeokry05u1g
Valentino Livramento,SOU,D,2,https://www.fantrax.com/player/05s08/9yjz1a6kkry05u1b/valentino-livramento/fbuwvgeokry05u1g
Yan Valery,SOU,D,2,https://www.fantrax.com/player/0452p/9yjz1a6kkry05u1b/yan-valery/fbuwvgeokry05u1g
Jan Bednarek,SOU,D,2,https://www.fantrax.com/player/04fk9/9yjz1a6kkry05u1b/jan-bednarek/fbuwvgeokry05u1g
Jack Stephens,SOU,D,2,https://www.fantrax.com/player/02oq7/9yjz1a6kkry05u1b/jack-stephens/fbuwvgeokry05u1g
Mohammed Salisu,SOU,D,2,https://www.fantrax.com/player/05n5p/9yjz1a6kkry05u1b/mohammed-salisu/fbuwvgeokry05u1g
Lyanco,SOU,D,2,https://www.fantrax.com/player/05vys/9yjz1a6kkry05u1b/lyanco-evangelista-silveira-neves-vojnovic/fbuwvgeokry05u1g
Romain Perraud,SOU,D,2,https://www.fantrax.com/player/05u5e/9yjz1a6kkry05u1b/romain-perraud/fbuwvgeokry05u1g
Theo Walcott,SOU,M,4,https://www.fantrax.com/player/02lzn/9yjz1a6kkry05u1b/theo-walcott/fbuwvgeokry05u1g
Nathan Tella,SOU,M,4,https://www.fantrax.com/player/05l0f/9yjz1a6kkry05u1b/nathan-tella/fbuwvgeokry05u1g
Mohamed Elyounoussi,SOU,M,4,https://www.fantrax.com/player/04rf1/9yjz1a6kkry05u1b/mohamed-elyounoussi/fbuwvgeokry05u1g
William Smallbone,SOU,M,4,https://www.fantrax.com/player/0554t/9yjz1a6kkry05u1b/william-smallbone/fbuwvgeokry05u1g
Oriol Romeu,SOU,M,4,https://www.fantrax.com/player/02m87/9yjz1a6kkry05u1b/oriol-romeu/fbuwvgeokry05u1g
Ibrahima Diallo,SOU,M,4,https://www.fantrax.com/player/05os3/9yjz1a6kkry05u1b/ibrahima-diallo/fbuwvgeokry05u1g
James Ward-Prowse,SOU,M,4,https://www.fantrax.com/player/02oq8/9yjz1a6kkry05u1b/james-ward-prowse/fbuwvgeokry05u1g
Stuart Armstrong,SOU,M,4,https://www.fantrax.com/player/04rd1/9yjz1a6kkry05u1b/stuart-armstrong/fbuwvgeokry05u1g
Moussa Djenepo,SOU,M,4,https://www.fantrax.com/player/0522r/9yjz1a6kkry05u1b/moussa-djenepo/fbuwvgeokry05u1g
Nathan Redmond,SOU,M,4,https://www.fantrax.com/player/02rll/9yjz1a6kkry05u1b/nathan-redmond/fbuwvgeokry05u1g
Armando Broja,SOU,F,6,https://www.fantrax.com/player/05gvx/9yjz1a6kkry05u1b/armando-broja/fbuwvgeokry05u1g
Che Adams,SOU,F,6,https://www.fantrax.com/player/0522s/9yjz1a6kkry05u1b/che-adams/fbuwvgeokry05u1g
Adam Armstrong,SOU,F,6,https://www.fantrax.com/player/03ar4/9yjz1a6kkry05u1b/adam-armstrong/fbuwvgeokry05u1g
Shane Long,SOU,F,6,https://www.fantrax.com/player/02los/9yjz1a6kkry05u1b/shane-long/fbuwvgeokry05u1g
