Player,Team,Position,Position ID,Link
Hugo Lloris,TOT,G,1,https://www.fantrax.com/player/02w72/9yjz1a6kkry05u1b/hugo-lloris/fbuwvgeokry05u1g
Japhet Tanganga,TOT,D,2,https://www.fantrax.com/player/04tsd/9yjz1a6kkry05u1b/japhet-tanganga/fbuwvgeokry05u1g
Cristian Romero,TOT,D,2,https://www.fantrax.com/player/05uoc/9yjz1a6kkry05u1b/cristian-romero/fbuwvgeokry05u1g
Davinson Sanchez,TOT,D,2,https://www.fantrax.com/player/04jyc/9yjz1a6kkry05u1b/davinson-sanchez/fbuwvgeokry05u1g
Eric Dier,TOT,D,2,https://www.fantrax.com/player/02lpn/9yjz1a6kkry05u1b/eric-dier/fbuwvgeokry05u1g
Joe Rodon,TOT,D,2,https://www.fantrax.com/player/03yqz/9yjz1a6kkry05u1b/joe-rodon/fbuwvgeokry05u1g
Ben Davies,TOT,D,2,https://www.fantrax.com/player/02oo1/9yjz1a6kkry05u1b/ben-davies/fbuwvgeokry05u1g
Emerson Royal,TOT,"D,M",3,https://www.fantrax.com/player/05w9m/9yjz1a6kkry05u1b/emerson-aparecido-leite-de-souza-junior/fbuwvgeokry05u1g
Matt Doherty,TOT,"D,M",3,https://www.fantrax.com/player/02m11/9yjz1a6kkry05u1b/matt-doherty/fbuwvgeokry05u1g
Sergio Reguilon,TOT,"D,M",3,https://www.fantrax.com/player/05ohc/9yjz1a6kkry05u1b/sergio-reguilon/fbuwvgeokry05u1g
Pierre-Emile Hojbjerg,TOT,M,4,https://www.fantrax.com/player/043qz/9yjz1a6kkry05u1b/pierre-emile-hojbjerg/fbuwvgeokry05u1g
Tanguy Ndombele,TOT,M,4,https://www.fantrax.com/player/05247/9yjz1a6kkry05u1b/tanguy-ndombele/fbuwvgeokry05u1g
Harry Winks,TOT,M,4,https://www.fantrax.com/player/03bwz/9yjz1a6kkry05u1b/harry-winks/fbuwvgeokry05u1g
Oliver Skipp,TOT,M,4,https://www.fantrax.com/player/04t95/9yjz1a6kkry05u1b/oliver-skipp/fbuwvgeokry05u1g
Rodrigo Bentancur,TOT,M,4,https://www.fantrax.com/player/05ylw/9yjz1a6kkry05u1b/rodrigo-bentancur/fbuwvgeokry05u1g
Giovani Lo Celso,TOT,M,4,https://www.fantrax.com/player/0574a/9yjz1a6kkry05u1b/giovani-lo-celso/fbuwvgeokry05u1g
Kouassi Ryan Sessegnon,TOT,M,4,https://www.fantrax.com/player/04qfm/9yjz1a6kkry05u1b/kouassi-ryan-sessegnon/fbuwvgeokry05u1g
Dejan Kulusevski,TOT,"M,F",5,https://www.fantrax.com/player/05ylx/9yjz1a6kkry05u1b/dejan-kulusevski/fbuwvgeokry05u1g
Lucas Moura,TOT,"M,F",5,https://www.fantrax.com/player/04mqz/9yjz1a6kkry05u1b/lucas-rodrigues-moura-da-silva/fbuwvgeokry05u1g
Son Heung-Min,TOT,"M,F",5,https://www.fantrax.com/player/03v9d/9yjz1a6kkry05u1b/heung-min-son/fbuwvgeokry05u1g
Bryan Gil,TOT,F,6,https://www.fantrax.com/player/05uh9/9yjz1a6kkry05u1b/bryan-gil/fbuwvgeokry05u1g
Steven Bergwijn,TOT,F,6,https://www.fantrax.com/player/05gcn/9yjz1a6kkry05u1b/steven-bergwijn/fbuwvgeokry05u1g
Harry Kane,TOT,F,6,https://www.fantrax.com/player/02lol/9yjz1a6kkry05u1b/harry-kane/fbuwvgeokry05u1g
Dane Scarlett,TOT,F,6,https://www.fantrax.com/player/05nip/9yjz1a6kkry05u1b/dane-scarlett/fbuwvgeokry05u1g
