Player,Team,Position,Position ID,Link
Jose Sa,WOL,G,1,https://www.fantrax.com/player/05udg/9yjz1a6kkry05u1b/jose-pedro-malheiro-de-sa/fbuwvgeokry05u1g
Ki-Jana Hoever,WOL,D,2,https://www.fantrax.com/player/04yjx/9yjz1a6kkry05u1b/ki-jana-hoever/fbuwvgeokry05u1g
Maximilian Kilman,WOL,D,2,https://www.fantrax.com/player/04yey/9yjz1a6kkry05u1b/maximilian-kilman/fbuwvgeokry05u1g
Willy Boly,WOL,D,2,https://www.fantrax.com/player/04qr0/9yjz1a6kkry05u1b/willy-boly/fbuwvgeokry05u1g
Conor Coady,WOL,D,2,https://www.fantrax.com/player/02ljr/9yjz1a6kkry05u1b/conor-coady/fbuwvgeokry05u1g
Romain Saiss,WOL,D,2,https://www.fantrax.com/player/04qra/9yjz1a6kkry05u1b/romain-saiss/fbuwvgeokry05u1g
Toti,WOL,D,2,https://www.fantrax.com/player/05yg5/9yjz1a6kkry05u1b/toti-antonio-gomes/fbuwvgeokry05u1g
Jonny,WOL,D,2,https://www.fantrax.com/player/04tcc/9yjz1a6kkry05u1b/jonathan-castro-otto/fbuwvgeokry05u1g
Nelson Semedo,WOL,"D,M",3,https://www.fantrax.com/player/05ojg/9yjz1a6kkry05u1b/nelson-cabral-semedo/fbuwvgeokry05u1g
Marcal,WOL,"D,M",3,https://www.fantrax.com/player/05o8j/9yjz1a6kkry05u1b/fernando-marcal-de-oliveira/fbuwvgeokry05u1g
Rayan Ait-Nouri,WOL,"D,M",3,https://www.fantrax.com/player/05os4/9yjz1a6kkry05u1b/rayan-ait-nouri/fbuwvgeokry05u1g
Leander Dendoncker,WOL,M,4,https://www.fantrax.com/player/04u6i/9yjz1a6kkry05u1b/leander-dendoncker/fbuwvgeokry05u1g
Joao Moutinho,WOL,M,4,https://www.fantrax.com/player/04t3s/9yjz1a6kkry05u1b/joao-filipe-iria-santos-moutinho/fbuwvgeokry05u1g
Ruben Neves,WOL,M,4,https://www.fantrax.com/player/04qr6/9yjz1a6kkry05u1b/ruben-diogo-da-silva-neves/fbuwvgeokry05u1g
Morgan Gibbs-White,WOL,M,4,https://www.fantrax.com/player/04qr9/9yjz1a6kkry05u1b/morgan-gibbs-white/fbuwvgeokry05u1g
Luke Cundle,WOL,M,4,https://www.fantrax.com/player/052k1/9yjz1a6kkry05u1b/luke-cundle/fbuwvgeokry05u1g
Daniel Podence,WOL,"M,F",5,https://www.fantrax.com/player/05gcq/9yjz1a6kkry05u1b/daniel-castelo-podence/fbuwvgeokry05u1g
Trincao,WOL,F,6,https://www.fantrax.com/player/05u6n/9yjz1a6kkry05u1b/francisco-antonio-machado-trincao/fbuwvgeokry05u1g
Hwang Hee-Chan,WOL,F,6,https://www.fantrax.com/player/05w91/9yjz1a6kkry05u1b/hee-chan-hwang/fbuwvgeokry05u1g
Raul Jimenez,WOL,F,6,https://www.fantrax.com/player/04qrc/9yjz1a6kkry05u1b/raul-jimenez/fbuwvgeokry05u1g
Fabio Silva,WOL,F,6,https://www.fantrax.com/player/05o8k/9yjz1a6kkry05u1b/fabio-daniel-soares-silva/fbuwvgeokry05u1g
Adama Traore,WOL,F,6,https://www.fantrax.com/player/03u2b/9yjz1a6kkry05u1b/adama-traore/fbuwvgeokry05u1g
Chiquinho,WOL,F,6,https://www.fantrax.com/player/05ygj/9yjz1a6kkry05u1b/francisco-jorge-tomas-oliveira/fbuwvgeokry05u1g
Pedro Neto,WOL,F,6,https://www.fantrax.com/player/056iy/9yjz1a6kkry05u1b/pedro-lomba-neto/fbuwvgeokry05u1g
Chem Campbell,WOL,F,6,https://www.fantrax.com/player/05a6j/9yjz1a6kkry05u1b/chem-campbell/fbuwvgeokry05u1g
