,player,position,position_id,date,team,opp,score,fpts,min,goals
0,Emiliano Martinez,G,1,Apr 30,AVL,NOR,W 2-0,16.5,90,1
1,Emiliano Martinez,G,1,Apr 23,AVL,@LEI,T 0-0,15.0,90,1
2,Emiliano Martinez,G,1,Apr 9,AVL,TOT,L 0-4,3.0,90,0
3,Emiliano Martinez,G,1,Apr 2,AVL,@WOL,L 1-2,7.0,90,0
4,Emiliano Martinez,G,1,Mar 19,AVL,ARS,L 0-1,7.5,90,0
5,Emiliano Martinez,G,1,Mar 13,AVL,@WHU,L 1-2,8.0,90,0
6,Emiliano Martinez,G,1,Mar 10,AVL,@LEE,W 3-0,14.5,90,1
7,Emiliano Martinez,G,1,Mar 5,AVL,SOU,W 4-0,13.5,90,1
8,Emiliano Martinez,G,1,Feb 26,AVL,@BHA,W 2-0,11.5,90,1
9,Emiliano Martinez,G,1,Feb 19,AVL,WAT,L 0-1,8.5,90,0
10,Emiliano Martinez,G,1,Feb 13,AVL,@NEW,L 0-1,4.5,90,0
11,Emiliano Martinez,G,1,Feb 9,AVL,LEE,T 3-3,9.5,90,0
12,Emiliano Martinez,G,1,Jan 22,AVL,@EVE,W 1-0,12.0,90,1
13,Emiliano Martinez,G,1,Jan 15,AVL,MUN,T 2-2,8.5,90,0
14,Emiliano Martinez,G,1,Jan 2,AVL,@BRF,L 1-2,5.5,90,0
15,Emiliano Martinez,G,1,Dec 26,AVL,CHE,L 1-3,3.0,90,0
16,Emiliano Martinez,G,1,Dec 14,AVL,@NOR,W 2-0,17.0,90,1
17,Emiliano Martinez,G,1,Dec 11,AVL,@LIV,L 0-1,9.0,90,0
18,Emiliano Martinez,G,1,Dec 5,AVL,LEI,W 2-1,7.5,90,0
19,Emiliano Martinez,G,1,Dec 1,AVL,MCI,L 1-2,10.0,90,0
20,Emiliano Martinez,G,1,Nov 27,AVL,@CRY,W 2-1,6.5,90,0
21,Emiliano Martinez,G,1,Nov 20,AVL,BHA,W 2-0,15.0,90,1
22,Emiliano Martinez,G,1,Nov 5,AVL,@SOU,L 0-1,6.0,90,0
23,Emiliano Martinez,G,1,Oct 31,AVL,WHU,L 1-4,7.5,90,0
24,Emiliano Martinez,G,1,Oct 22,AVL,@ARS,L 1-3,16.0,90,0
25,Emiliano Martinez,G,1,Oct 16,AVL,WOL,L 2-3,3.5,90,0
26,Emiliano Martinez,G,1,Oct 3,AVL,@TOT,L 1-2,12.0,90,0
27,Emiliano Martinez,G,1,Sep 25,AVL,@MUN,W 1-0,19.0,90,1
28,Emiliano Martinez,G,1,Sep 18,AVL,EVE,W 3-0,13.5,90,1
29,Emiliano Martinez,G,1,Aug 28,AVL,BRF,T 1-1,4.5,90,0
30,Emiliano Martinez,G,1,Aug 21,AVL,NEW,W 2-0,11.5,90,1
31,Emiliano Martinez,G,1,Aug 14,AVL,@WAT,L 2-3,8.0,90,0
0,Jed Steer,G,1,Sep 11,AVL,@CHE,L 0-3,3.5,90,0
0,Matthew Cash,D,2,Apr 30,AVL,NOR,W 2-0,15.75,90,0
1,Matthew Cash,D,2,Apr 23,AVL,@LEI,T 0-0,13.9,90,0
2,Matthew Cash,D,2,Apr 9,AVL,TOT,L 0-4,6.1,90,0
3,Matthew Cash,D,2,Apr 2,AVL,@WOL,L 1-2,6.1,90,0
4,Matthew Cash,D,2,Mar 19,AVL,ARS,L 0-1,6.8,90,0
5,Matthew Cash,D,2,Mar 13,AVL,@WHU,L 1-2,8.95,90,0
6,Matthew Cash,D,2,Mar 10,AVL,@LEE,W 3-0,34.9,90,1
7,Matthew Cash,D,2,Mar 5,AVL,SOU,W 4-0,24.3,90,0
8,Matthew Cash,D,2,Feb 26,AVL,@BHA,W 2-0,20.8,90,1
9,Matthew Cash,D,2,Feb 19,AVL,WAT,L 0-1,16.7,64,0
10,Matthew Cash,D,2,Feb 13,AVL,@NEW,L 0-1,8.0,90,0
11,Matthew Cash,D,2,Feb 9,AVL,LEE,T 3-3,13.3,90,0
12,Matthew Cash,D,2,Jan 22,AVL,@EVE,W 1-0,15.45,90,0
13,Matthew Cash,D,2,Jan 15,AVL,MUN,T 2-2,14.9,90,0
14,Matthew Cash,D,2,Jan 2,AVL,@BRF,L 1-2,7.1,90,0
15,Matthew Cash,D,2,Dec 26,AVL,CHE,L 1-3,11.55,90,0
16,Matthew Cash,D,2,Dec 14,AVL,@NOR,W 2-0,17.0,90,0
17,Matthew Cash,D,2,Dec 11,AVL,@LIV,L 0-1,5.4,90,0
18,Matthew Cash,D,2,Dec 5,AVL,LEI,W 2-1,19.55,90,0
19,Matthew Cash,D,2,Dec 1,AVL,MCI,L 1-2,9.0,90,0
20,Matthew Cash,D,2,Nov 27,AVL,@CRY,W 2-1,8.6,90,0
21,Matthew Cash,D,2,Nov 20,AVL,BHA,W 2-0,15.65,90,0
22,Matthew Cash,D,2,Nov 5,AVL,@SOU,L 0-1,15.35,90,0
23,Matthew Cash,D,2,Oct 31,AVL,WHU,L 1-4,4.85,90,0
24,Matthew Cash,D,2,Oct 22,AVL,@ARS,L 1-3,4.8,90,0
25,Matthew Cash,D,2,Oct 16,AVL,WOL,L 2-3,16.5,78,0
26,Matthew Cash,D,2,Oct 3,AVL,@TOT,L 1-2,4.75,90,0
27,Matthew Cash,D,2,Sep 25,AVL,@MUN,W 1-0,14.85,90,0
28,Matthew Cash,D,2,Sep 18,AVL,EVE,W 3-0,26.95,85,1
29,Matthew Cash,D,2,Sep 11,AVL,@CHE,L 0-3,9.05,90,0
30,Matthew Cash,D,2,Aug 28,AVL,BRF,T 1-1,7.3,90,0
31,Matthew Cash,D,2,Aug 21,AVL,NEW,W 2-0,15.05,90,0
32,Matthew Cash,D,2,Aug 14,AVL,@WAT,L 2-3,13.5,90,0
0,Calum Chambers,D,2,Apr 30,AVL,NOR,W 2-0,15.3,90,0
1,Calum Chambers,D,2,Mar 13,AVL,@WHU,L 1-2,7.7,90,0
2,Calum Chambers,D,2,Mar 10,AVL,@LEE,W 3-0,22.5,90,1
3,Calum Chambers,D,2,Mar 5,AVL,SOU,W 4-0,15.8,90,0
4,Calum Chambers,D,2,Feb 19,AVL,WAT,L 0-1,7.1,90,0
5,Calum Chambers,D,2,Feb 13,AVL,@NEW,L 0-1,7.0,90,0
6,Calum Chambers,D,2,Feb 9,AVL,LEE,T 3-3,0.5,1,0
7,Calum Chambers,D,2,Aug 28,ARS,@MCI,L 0-5,6.95,90,0
8,Calum Chambers,D,2,Aug 13,ARS,@BRF,L 0-2,7.2,80,0
0,Axel Tuanzebe,D,2,Dec 14,AVL,@NOR,W 2-0,0.75,1,0
1,Axel Tuanzebe,D,2,Dec 5,AVL,LEI,W 2-1,1.0,5,0
2,Axel Tuanzebe,D,2,Nov 5,AVL,@SOU,L 0-1,2.95,90,0
3,Axel Tuanzebe,D,2,Oct 22,AVL,@ARS,L 1-3,3.95,45,0
4,Axel Tuanzebe,D,2,Oct 16,AVL,WOL,L 2-3,3.8,90,0
5,Axel Tuanzebe,D,2,Sep 18,AVL,EVE,W 3-0,13.5,90,0
6,Axel Tuanzebe,D,2,Sep 11,AVL,@CHE,L 0-3,9.55,90,0
7,Axel Tuanzebe,D,2,Aug 28,AVL,BRF,T 1-1,9.45,90,0
8,Axel Tuanzebe,D,2,Aug 21,AVL,NEW,W 2-0,0.75,1,0
0,Tyrone Mings,D,2,Apr 30,AVL,NOR,W 2-0,16.55,90,0
1,Tyrone Mings,D,2,Apr 23,AVL,@LEI,T 0-0,16.85,90,0
2,Tyrone Mings,D,2,Apr 9,AVL,TOT,L 0-4,6.7,90,0
3,Tyrone Mings,D,2,Apr 2,AVL,@WOL,L 1-2,8.6,90,0
4,Tyrone Mings,D,2,Mar 19,AVL,ARS,L 0-1,3.2,90,0
5,Tyrone Mings,D,2,Mar 13,AVL,@WHU,L 1-2,8.7,90,0
6,Tyrone Mings,D,2,Mar 10,AVL,@LEE,W 3-0,17.95,90,0
7,Tyrone Mings,D,2,Mar 5,AVL,SOU,W 4-0,16.0,90,0
8,Tyrone Mings,D,2,Feb 26,AVL,@BHA,W 2-0,21.25,90,0
9,Tyrone Mings,D,2,Feb 19,AVL,WAT,L 0-1,7.3,90,0
10,Tyrone Mings,D,2,Feb 13,AVL,@NEW,L 0-1,8.1,90,0
