,player,position,position_id,date,team,opp,score,fpts,min,goals
0,David Raya Martin,G,1,Apr 23,BRF,TOT,T 0-0,12.0,90,1
1,David Raya Martin,G,1,Apr 16,BRF,@WAT,W 2-1,9.0,90,0
2,David Raya Martin,G,1,Apr 10,BRF,WHU,W 2-0,16.5,90,1
3,David Raya Martin,G,1,Apr 2,BRF,@CHE,W 4-1,15.5,90,0
4,David Raya Martin,G,1,Mar 20,BRF,@LEI,L 1-2,5.5,90,0
5,David Raya Martin,G,1,Mar 12,BRF,BUR,W 2-0,15.0,90,1
6,David Raya Martin,G,1,Mar 5,BRF,@NOR,W 3-1,12.0,90,0
7,David Raya Martin,G,1,Feb 26,BRF,NEW,L 0-2,17.5,90,0
8,David Raya Martin,G,1,Feb 19,BRF,@ARS,L 1-2,10.0,90,0
9,David Raya Martin,G,1,Feb 12,BRF,CRY,T 0-0,16.5,90,1
10,David Raya Martin,G,1,Feb 9,BRF,@MCI,L 0-2,10.5,90,0
11,David Raya Martin,G,1,Oct 24,BRF,LEI,L 1-2,8.5,90,0
12,David Raya Martin,G,1,Oct 16,BRF,CHE,L 0-1,5.5,90,0
13,David Raya Martin,G,1,Oct 3,BRF,@WHU,W 2-1,10.5,90,0
14,David Raya Martin,G,1,Sep 25,BRF,LIV,T 3-3,7.0,90,0
15,David Raya Martin,G,1,Sep 18,BRF,@WOL,W 2-0,12.0,90,1
16,David Raya Martin,G,1,Sep 11,BRF,BHA,L 0-1,4.5,90,0
17,David Raya Martin,G,1,Aug 28,BRF,@AVL,T 1-1,9.5,90,0
18,David Raya Martin,G,1,Aug 21,BRF,@CRY,T 0-0,16.0,90,1
19,David Raya Martin,G,1,Aug 13,BRF,ARS,W 2-0,19.0,90,1
0,Alvaro Fernandez,G,1,Jan 16,BRF,@LIV,L 0-3,17.5,90,0
1,Alvaro Fernandez,G,1,Jan 11,BRF,@SOU,L 1-4,6.0,90,0
2,Alvaro Fernandez,G,1,Jan 2,BRF,AVL,W 2-1,9.5,90,0
3,Alvaro Fernandez,G,1,Dec 29,BRF,MCI,L 0-1,6.0,90,0
4,Alvaro Fernandez,G,1,Dec 26,BRF,@BHA,L 0-2,7.0,90,0
5,Alvaro Fernandez,G,1,Dec 10,BRF,WAT,W 2-1,4.5,90,0
6,Alvaro Fernandez,G,1,Dec 5,BRF,@LEE,T 2-2,12.0,90,0
7,Alvaro Fernandez,G,1,Dec 2,BRF,@TOT,L 0-2,10.5,90,0
8,Alvaro Fernandez,G,1,Nov 28,BRF,EVE,W 1-0,19.5,90,1
9,Alvaro Fernandez,G,1,Nov 20,BRF,@NEW,T 3-3,11.5,90,0
10,Alvaro Fernandez,G,1,Nov 6,BRF,NOR,L 1-2,9.0,90,0
11,Alvaro Fernandez,G,1,Oct 30,BRF,@BUR,L 1-3,5.5,90,0
0,Jonas Lossl,G,1,Jan 22,BRF,WOL,L 1-2,3.0,90,0
1,Jonas Lossl,G,1,Jan 19,BRF,MUN,L 1-3,5.0,90,0
0,Kristoffer Ajer,D,2,Apr 16,BRF,@WAT,W 2-1,20.1,90,0
1,Kristoffer Ajer,D,2,Apr 10,BRF,WHU,W 2-0,14.85,82,0
2,Kristoffer Ajer,D,2,Apr 2,BRF,@CHE,W 4-1,8.25,90,0
3,Kristoffer Ajer,D,2,Mar 20,BRF,@LEI,L 1-2,6.6,65,0
4,Kristoffer Ajer,D,2,Mar 12,BRF,BUR,W 2-0,15.5,90,0
5,Kristoffer Ajer,D,2,Mar 5,BRF,@NOR,W 3-1,18.05,74,0
6,Kristoffer Ajer,D,2,Feb 26,BRF,NEW,L 0-2,1.45,71,0
7,Kristoffer Ajer,D,2,Feb 19,BRF,@ARS,L 1-2,17.4,90,0
8,Kristoffer Ajer,D,2,Feb 12,BRF,CRY,T 0-0,17.85,90,0
9,Kristoffer Ajer,D,2,Feb 9,BRF,@MCI,L 0-2,4.85,90,0
10,Kristoffer Ajer,D,2,Jan 22,BRF,WOL,L 1-2,7.95,90,0
11,Kristoffer Ajer,D,2,Jan 16,BRF,@LIV,L 0-3,7.6,90,0
