,player,position,position_id,date,team,opp,score,fpts,min,goals
0,Edouard Mendy,G,1,May 1,CHE,@EVE,L 0-1,8.5,90,0
1,Edouard Mendy,G,1,Apr 28,CHE,@MUN,T 1-1,6.0,90,0
2,Edouard Mendy,G,1,Apr 24,CHE,WHU,W 1-0,16.0,90,1
3,Edouard Mendy,G,1,Apr 20,CHE,ARS,L 2-4,2.0,90,0
4,Edouard Mendy,G,1,Apr 9,CHE,@SOU,W 6-0,13.5,90,1
5,Edouard Mendy,G,1,Apr 2,CHE,BRF,L 1-4,5.0,90,0
6,Edouard Mendy,G,1,Mar 13,CHE,NEW,W 1-0,15.0,90,1
7,Edouard Mendy,G,1,Mar 10,CHE,@NOR,W 3-1,4.0,90,0
8,Edouard Mendy,G,1,Mar 5,CHE,@BUR,W 4-0,15.0,90,1
9,Edouard Mendy,G,1,Feb 19,CHE,@CRY,W 1-0,12.0,90,1
10,Edouard Mendy,G,1,Jan 2,CHE,LIV,T 2-2,10.0,90,0
11,Edouard Mendy,G,1,Dec 29,CHE,BHA,T 1-1,11.5,90,0
12,Edouard Mendy,G,1,Dec 26,CHE,@AVL,W 3-1,5.0,90,0
13,Edouard Mendy,G,1,Dec 19,CHE,@WOL,T 0-0,14.5,90,1
14,Edouard Mendy,G,1,Dec 16,CHE,EVE,T 1-1,6.5,90,0
15,Edouard Mendy,G,1,Dec 11,CHE,LEE,W 3-2,7.0,90,0
16,Edouard Mendy,G,1,Dec 4,CHE,@WHU,L 2-3,5.5,90,0
17,Edouard Mendy,G,1,Dec 1,CHE,@WAT,W 2-1,12.5,90,0
18,Edouard Mendy,G,1,Nov 28,CHE,MUN,T 1-1,4.5,90,0
19,Edouard Mendy,G,1,Nov 20,CHE,@LEI,W 3-0,14.5,90,1
20,Edouard Mendy,G,1,Nov 6,CHE,BUR,T 1-1,4.5,90,0
21,Edouard Mendy,G,1,Oct 30,CHE,@NEW,W 3-0,13.5,90,1
22,Edouard Mendy,G,1,Oct 23,CHE,NOR,W 7-0,13.5,90,1
23,Edouard Mendy,G,1,Oct 16,CHE,@BRF,W 1-0,21.5,90,1
24,Edouard Mendy,G,1,Oct 2,CHE,SOU,W 3-1,4.5,90,0
25,Edouard Mendy,G,1,Sep 25,CHE,MCI,L 0-1,8.5,90,0
26,Edouard Mendy,G,1,Sep 11,CHE,AVL,W 3-0,23.5,90,1
27,Edouard Mendy,G,1,Aug 28,CHE,@LIV,T 1-1,11.5,90,0
28,Edouard Mendy,G,1,Aug 22,CHE,@ARS,W 2-0,17.5,90,1
29,Edouard Mendy,G,1,Aug 14,CHE,CRY,W 3-0,13.5,90,1
0,Kepa Arrizabalaga,G,1,Jan 23,CHE,TOT,W 2-0,16.5,90,1
1,Kepa Arrizabalaga,G,1,Jan 18,CHE,@BHA,T 1-1,6.5,90,0
2,Kepa Arrizabalaga,G,1,Jan 15,CHE,@MCI,L 0-1,12.0,90,0
3,Kepa Arrizabalaga,G,1,Sep 19,CHE,@TOT,W 3-0,15.5,90,1
0,Andreas Christensen,D,2,Apr 20,CHE,ARS,L 2-4,1.35,45,0
1,Andreas Christensen,D,2,Apr 9,CHE,@SOU,W 6-0,18.5,90,0
2,Andreas Christensen,D,2,Mar 13,CHE,NEW,W 1-0,12.35,90,0
3,Andreas Christensen,D,2,Mar 10,CHE,@NOR,W 3-1,9.9,90,0
4,Andreas Christensen,D,2,Feb 19,CHE,@CRY,W 1-0,16.7,90,0
5,Andreas Christensen,D,2,Dec 29,CHE,BHA,T 1-1,7.2,45,0
6,Andreas Christensen,D,2,Dec 26,CHE,@AVL,W 3-1,2.95,37,0
7,Andreas Christensen,D,2,Dec 11,CHE,LEE,W 3-2,3.1,15,0
8,Andreas Christensen,D,2,Dec 4,CHE,@WHU,L 2-3,5.55,90,0
9,Andreas Christensen,D,2,Dec 1,CHE,@WAT,W 2-1,10.85,90,0
10,Andreas Christensen,D,2,Nov 6,CHE,BUR,T 1-1,8.0,90,0
11,Andreas Christensen,D,2,Oct 30,CHE,@NEW,W 3-0,14.85,90,0
12,Andreas Christensen,D,2,Oct 16,CHE,@BRF,W 1-0,18.55,90,0
13,Andreas Christensen,D,2,Sep 25,CHE,MCI,L 0-1,8.65,90,0
14,Andreas Christensen,D,2,Sep 19,CHE,@TOT,W 3-0,18.35,90,0
15,Andreas Christensen,D,2,Aug 28,CHE,@LIV,T 1-1,9.2,90,0
16,Andreas Christensen,D,2,Aug 22,CHE,@ARS,W 2-0,16.65,90,0
17,Andreas Christensen,D,2,Aug 14,CHE,CRY,W 3-0,16.55,90,0
0,Thiago Silva,D,2,May 1,CHE,@EVE,L 0-1,8.2,90,0
1,Thiago Silva,D,2,Apr 28,CHE,@MUN,T 1-1,5.35,90,0
2,Thiago Silva,D,2,Apr 24,CHE,WHU,W 1-0,18.2,90,0
3,Thiago Silva,D,2,Apr 20,CHE,ARS,L 2-4,6.5,45,0
4,Thiago Silva,D,2,Apr 9,CHE,@SOU,W 6-0,12.95,62,0
5,Thiago Silva,D,2,Apr 2,CHE,BRF,L 1-4,5.0,90,0
6,Thiago Silva,D,2,Mar 10,CHE,@NOR,W 3-1,7.75,90,0
7,Thiago Silva,D,2,Mar 5,CHE,@BUR,W 4-0,14.65,90,0
8,Thiago Silva,D,2,Feb 19,CHE,@CRY,W 1-0,17.4,90,0
9,Thiago Silva,D,2,Jan 23,CHE,TOT,W 2-0,22.35,90,1
10,Thiago Silva,D,2,Jan 18,CHE,@BHA,T 1-1,11.05,90,0
11,Thiago Silva,D,2,Jan 15,CHE,@MCI,L 0-1,7.2,90,0
12,Thiago Silva,D,2,Jan 2,CHE,LIV,T 2-2,6.05,90,0
13,Thiago Silva,D,2,Dec 26,CHE,@AVL,W 3-1,7.6,51,0
14,Thiago Silva,D,2,Dec 19,CHE,@WOL,T 0-0,18.0,90,0
15,Thiago Silva,D,2,Dec 16,CHE,EVE,T 1-1,11.3,90,0
16,Thiago Silva,D,2,Dec 11,CHE,LEE,W 3-2,6.9,90,0
17,Thiago Silva,D,2,Dec 4,CHE,@WHU,L 2-3,18.05,90,1
18,Thiago Silva,D,2,Dec 1,CHE,@WAT,W 2-1,4.25,45,0
19,Thiago Silva,D,2,Nov 28,CHE,MUN,T 1-1,11.55,90,0
20,Thiago Silva,D,2,Nov 20,CHE,@LEI,W 3-0,14.8,90,0
21,Thiago Silva,D,2,Nov 6,CHE,BUR,T 1-1,8.35,90,0
22,Thiago Silva,D,2,Oct 30,CHE,@NEW,W 3-0,15.55,90,0
23,Thiago Silva,D,2,Oct 23,CHE,NOR,W 7-0,18.0,90,0
24,Thiago Silva,D,2,Oct 2,CHE,SOU,W 3-1,9.7,90,0
25,Thiago Silva,D,2,Sep 25,CHE,MCI,L 0-1,5.45,60,0
26,Thiago Silva,D,2,Sep 19,CHE,@TOT,W 3-0,30.35,90,1
27,Thiago Silva,D,2,Sep 11,CHE,AVL,W 3-0,18.85,90,0
28,Thiago Silva,D,2,Aug 28,CHE,@LIV,T 1-1,8.0,44,0
0,Antonio Rudiger,D,2,May 1,CHE,@EVE,L 0-1,3.8,90,0
1,Antonio Rudiger,D,2,Apr 28,CHE,@MUN,T 1-1,2.8,90,0
2,Antonio Rudiger,D,2,Apr 9,CHE,@SOU,W 6-0,17.7,90,0
3,Antonio Rudiger,D,2,Apr 2,CHE,BRF,L 1-4,22.05,90,1
4,Antonio Rudiger,D,2,Mar 13,CHE,NEW,W 1-0,10.8,90,0
5,Antonio Rudiger,D,2,Mar 5,CHE,@BUR,W 4-0,15.95,90,0
