,player,position,position_id,date,team,opp,score,fpts,min,goals
0,Jordan Pickford,G,1,May 1,EVE,CHE,W 1-0,21.5,90,1
1,Jordan Pickford,G,1,Apr 24,EVE,@LIV,L 0-2,6.5,90,0
2,Jordan Pickford,G,1,Apr 20,EVE,LEI,T 1-1,6.5,90,0
3,Jordan Pickford,G,1,Apr 9,EVE,MUN,W 1-0,20.0,90,1
4,Jordan Pickford,G,1,Apr 6,EVE,@BUR,L 2-3,4.5,90,0
5,Jordan Pickford,G,1,Apr 3,EVE,@WHU,L 1-2,9.5,90,0
6,Jordan Pickford,G,1,Mar 13,EVE,WOL,L 0-1,6.0,90,0
7,Jordan Pickford,G,1,Mar 7,EVE,@TOT,L 0-5,5.5,90,0
8,Jordan Pickford,G,1,Feb 26,EVE,MCI,L 0-1,14.5,90,0
9,Jordan Pickford,G,1,Feb 19,EVE,@SOU,L 0-2,19.5,90,0
10,Jordan Pickford,G,1,Feb 12,EVE,LEE,W 3-0,12.0,90,1
11,Jordan Pickford,G,1,Feb 8,EVE,@NEW,L 1-3,12.5,90,0
12,Jordan Pickford,G,1,Jan 22,EVE,AVL,L 0-1,8.0,90,0
13,Jordan Pickford,G,1,Jan 15,EVE,@NOR,L 1-2,6.0,90,0
14,Jordan Pickford,G,1,Jan 2,EVE,BHA,L 2-3,5.0,90,0
15,Jordan Pickford,G,1,Dec 16,EVE,@CHE,T 1-1,17.0,90,0
16,Jordan Pickford,G,1,Dec 12,EVE,@CRY,L 1-3,7.5,90,0
17,Jordan Pickford,G,1,Dec 6,EVE,ARS,W 2-1,6.0,90,0
18,Jordan Pickford,G,1,Dec 1,EVE,LIV,L 1-4,8.0,90,0
19,Jordan Pickford,G,1,Nov 28,EVE,@BRF,L 0-1,11.0,90,0
20,Jordan Pickford,G,1,Nov 21,EVE,@MCI,L 0-3,8.5,90,0
21,Jordan Pickford,G,1,Nov 7,EVE,TOT,T 0-0,12.0,90,1
22,Jordan Pickford,G,1,Nov 1,EVE,@WOL,L 1-2,7.5,90,0
23,Jordan Pickford,G,1,Oct 23,EVE,WAT,L 2-5,5.5,90,0
24,Jordan Pickford,G,1,Oct 17,EVE,WHU,L 0-1,11.0,90,0
25,Jordan Pickford,G,1,Oct 2,EVE,@MUN,T 1-1,10.5,90,0
26,Jordan Pickford,G,1,Sep 25,EVE,NOR,W 2-0,15.0,90,1
27,Jordan Pickford,G,1,Sep 13,EVE,BUR,W 3-1,12.0,90,0
28,Jordan Pickford,G,1,Aug 28,EVE,@BHA,W 2-0,16.5,90,1
29,Jordan Pickford,G,1,Aug 21,EVE,@LEE,T 2-2,6.0,90,0
30,Jordan Pickford,G,1,Aug 14,EVE,SOU,W 3-1,7.0,90,0
0,Asmir Begovic,G,1,Mar 17,EVE,NEW,W 1-0,25.0,90,1
1,Asmir Begovic,G,1,Sep 18,EVE,@AVL,L 0-3,3.5,90,0
0,Seamus Coleman,D,2,May 1,EVE,CHE,W 1-0,12.75,90,0
1,Seamus Coleman,D,2,Apr 24,EVE,@LIV,L 0-2,6.7,90,0
2,Seamus Coleman,D,2,Apr 20,EVE,LEI,T 1-1,13.85,90,0
3,Seamus Coleman,D,2,Apr 9,EVE,MUN,W 1-0,19.85,90,0
4,Seamus Coleman,D,2,Mar 17,EVE,NEW,W 1-0,18.3,90,0
5,Seamus Coleman,D,2,Mar 13,EVE,WOL,L 0-1,4.5,90,0
6,Seamus Coleman,D,2,Mar 7,EVE,@TOT,L 0-5,3.95,90,0
7,Seamus Coleman,D,2,Feb 26,EVE,MCI,L 0-1,7.45,90,0
8,Seamus Coleman,D,2,Feb 19,EVE,@SOU,L 0-2,13.35,90,0
9,Seamus Coleman,D,2,Feb 12,EVE,LEE,W 3-0,24.95,90,1
10,Seamus Coleman,D,2,Feb 8,EVE,@NEW,L 1-3,16.2,90,0
11,Seamus Coleman,D,2,Jan 15,EVE,@NOR,L 1-2,6.35,53,0
12,Seamus Coleman,D,2,Jan 2,EVE,BHA,L 2-3,9.1,90,0
13,Seamus Coleman,D,2,Dec 12,EVE,@CRY,L 1-3,5.95,90,0
14,Seamus Coleman,D,2,Dec 6,EVE,ARS,W 2-1,10.25,90,0
15,Seamus Coleman,D,2,Dec 1,EVE,LIV,L 1-4,4.1,90,0
16,Seamus Coleman,D,2,Nov 28,EVE,@BRF,L 0-1,17.85,90,0
17,Seamus Coleman,D,2,Nov 21,EVE,@MCI,L 0-3,5.7,90,0
18,Seamus Coleman,D,2,Nov 7,EVE,TOT,T 0-0,18.05,90,0
19,Seamus Coleman,D,2,Nov 1,EVE,@WOL,L 1-2,6.95,90,0
20,Seamus Coleman,D,2,Oct 23,EVE,WAT,L 2-5,6.9,90,0
21,Seamus Coleman,D,2,Oct 17,EVE,WHU,L 0-1,5.45,90,0
22,Seamus Coleman,D,2,Sep 13,EVE,BUR,W 3-1,6.85,90,0
23,Seamus Coleman,D,2,Aug 28,EVE,@BHA,W 2-0,19.25,90,0
24,Seamus Coleman,D,2,Aug 21,EVE,@LEE,T 2-2,8.7,90,0
25,Seamus Coleman,D,2,Aug 14,EVE,SOU,W 3-1,10.2,90,0
0,Jonjoe Kenny,D,2,Apr 6,EVE,@BUR,L 2-3,9.15,90,0
1,Jonjoe Kenny,D,2,Apr 3,EVE,@WHU,L 1-2,10.1,90,0
2,Jonjoe Kenny,D,2,Mar 13,EVE,WOL,L 0-1,7.45,77,0
3,Jonjoe Kenny,D,2,Mar 7,EVE,@TOT,L 0-5,3.35,90,0
4,Jonjoe Kenny,D,2,Feb 26,EVE,MCI,L 0-1,3.65,90,0
5,Jonjoe Kenny,D,2,Feb 19,EVE,@SOU,L 0-2,6.95,90,0
6,Jonjoe Kenny,D,2,Feb 12,EVE,LEE,W 3-0,22.7,90,0
7,Jonjoe Kenny,D,2,Jan 22,EVE,AVL,L 0-1,6.85,90,0
8,Jonjoe Kenny,D,2,Jan 2,EVE,BHA,L 2-3,15.05,75,0
9,Jonjoe Kenny,D,2,Dec 16,EVE,@CHE,T 1-1,5.95,90,0
10,Jonjoe Kenny,D,2,Sep 18,EVE,@AVL,L 0-3,2.0,9,0
0,Mason Holgate,D,2,May 1,EVE,CHE,W 1-0,12.8,90,0
1,Mason Holgate,D,2,Apr 24,EVE,@LIV,L 0-2,4.15,90,0
2,Mason Holgate,D,2,Apr 6,EVE,@BUR,L 2-3,3.6,86,0
3,Mason Holgate,D,2,Apr 3,EVE,@WHU,L 1-2,17.1,90,1
4,Mason Holgate,D,2,Mar 17,EVE,NEW,W 1-0,14.1,90,0
5,Mason Holgate,D,2,Mar 13,EVE,WOL,L 0-1,8.3,90,0
6,Mason Holgate,D,2,Mar 7,EVE,@TOT,L 0-5,4.1,90,0
7,Mason Holgate,D,2,Feb 26,EVE,MCI,L 0-1,6.35,90,0
8,Mason Holgate,D,2,Feb 19,EVE,@SOU,L 0-2,9.6,90,0
9,Mason Holgate,D,2,Feb 12,EVE,LEE,W 3-0,14.7,90,0
10,Mason Holgate,D,2,Feb 8,EVE,@NEW,L 1-3,2.6,90,0
11,Mason Holgate,D,2,Jan 22,EVE,AVL,L 0-1,8.75,90,0
12,Mason Holgate,D,2,Jan 2,EVE,BHA,L 2-3,9.6,90,0
13,Mason Holgate,D,2,Dec 16,EVE,@CHE,T 1-1,4.4,90,0
14,Mason Holgate,D,2,Dec 12,EVE,@CRY,L 1-3,8.25,90,0
15,Mason Holgate,D,2,Dec 6,EVE,ARS,W 2-1,7.9,58,0
16,Mason Holgate,D,2,Nov 7,EVE,TOT,T 0-0,-4.0,6,0
17,Mason Holgate,D,2,Nov 1,EVE,@WOL,L 1-2,8.3,90,0
18,Mason Holgate,D,2,Aug 28,EVE,@BHA,W 2-0,20.4,90,0
19,Mason Holgate,D,2,Aug 14,EVE,SOU,W 3-1,8.1,90,0
0,Ben Godfrey,D,2,Apr 20,EVE,LEI,T 1-1,6.0,90,0
1,Ben Godfrey,D,2,Apr 9,EVE,MUN,W 1-0,16.8,90,0
2,Ben Godfrey,D,2,Apr 6,EVE,@BUR,L 2-3,7.25,90,0
3,Ben Godfrey,D,2,Apr 3,EVE,@WHU,L 1-2,4.9,90,0
4,Ben Godfrey,D,2,Mar 17,EVE,NEW,W 1-0,14.05,90,0
5,Ben Godfrey,D,2,Mar 13,EVE,WOL,L 0-1,6.2,90,0
6,Ben Godfrey,D,2,Jan 22,EVE,AVL,L 0-1,5.7,90,0
7,Ben Godfrey,D,2,Jan 15,EVE,@NOR,L 1-2,12.6,90,0
8,Ben Godfrey,D,2,Jan 2,EVE,BHA,L 2-3,9.85,90,0
9,Ben Godfrey,D,2,Dec 16,EVE,@CHE,T 1-1,7.1,90,0
10,Ben Godfrey,D,2,Dec 12,EVE,@CRY,L 1-3,15.05,90,0
11,Ben Godfrey,D,2,Dec 6,EVE,ARS,W 2-1,4.0,90,0
12,Ben Godfrey,D,2,Dec 1,EVE,LIV,L 1-4,5.5,90,0
13,Ben Godfrey,D,2,Nov 28,EVE,@BRF,L 0-1,7.45,90,0
14,Ben Godfrey,D,2,Nov 21,EVE,@MCI,L 0-3,7.2,90,0
15,Ben Godfrey,D,2,Nov 7,EVE,TOT,T 0-0,16.3,90,0
16,Ben Godfrey,D,2,Nov 1,EVE,@WOL,L 1-2,8.75,90,0
17,Ben Godfrey,D,2,Oct 23,EVE,WAT,L 2-5,9.4,90,0
18,Ben Godfrey,D,2,Oct 17,EVE,WHU,L 0-1,11.6,90,0
19,Ben Godfrey,D,2,Oct 2,EVE,@MUN,T 1-1,9.35,90,0
20,Ben Godfrey,D,2,Sep 25,EVE,NOR,W 2-0,14.85,90,0
21,Ben Godfrey,D,2,Sep 18,EVE,@AVL,L 0-3,4.25,79,0
22,Ben Godfrey,D,2,Sep 13,EVE,BUR,W 3-1,4.95,60,0
0,Yerry Mina,D,2,May 1,EVE,CHE,W 1-0,16.4,90,0
1,Yerry Mina,D,2,Apr 20,EVE,LEI,T 1-1,7.8,90,0
2,Yerry Mina,D,2,Feb 8,EVE,@NEW,L 1-3,2.25,34,0
3,Yerry Mina,D,2,Jan 22,EVE,AVL,L 0-1,7.7,90,0
4,Yerry Mina,D,2,Jan 15,EVE,@NOR,L 1-2,2.85,35,0
5,Yerry Mina,D,2,Dec 6,EVE,ARS,W 2-1,2.0,30,0
6,Yerry Mina,D,2,Oct 2,EVE,@MUN,T 1-1,8.5,90,0
7,Yerry Mina,D,2,Sep 25,EVE,NOR,W 2-0,16.1,90,0
8,Yerry Mina,D,2,Sep 18,EVE,@AVL,L 0-3,5.85,90,0
9,Yerry Mina,D,2,Sep 13,EVE,BUR,W 3-1,9.95,90,0
10,Yerry Mina,D,2,Aug 21,EVE,@LEE,T 2-2,8.15,90,0
11,Yerry Mina,D,2,Aug 14,EVE,SOU,W 3-1,1.1,6,0
0,Michael Keane,D,2,Apr 24,EVE,@LIV,L 0-2,8.05,90,0
1,Michael Keane,D,2,Apr 9,EVE,MUN,W 1-0,16.0,90,0
2,Michael Keane,D,2,Apr 3,EVE,@WHU,L 1-2,5.55,64,0
3,Michael Keane,D,2,Mar 17,EVE,NEW,W 1-0,16.2,90,0
4,Michael Keane,D,2,Mar 7,EVE,@TOT,L 0-5,-2.0,45,0
5,Michael Keane,D,2,Feb 26,EVE,MCI,L 0-1,6.25,90,0
6,Michael Keane,D,2,Feb 19,EVE,@SOU,L 0-2,8.4,90,0
7,Michael Keane,D,2,Feb 12,EVE,LEE,W 3-0,26.45,90,1
8,Michael Keane,D,2,Feb 8,EVE,@NEW,L 1-3,5.8,90,0
9,Michael Keane,D,2,Jan 15,EVE,@NOR,L 1-2,3.85,90,0
10,Michael Keane,D,2,Jan 2,EVE,BHA,L 2-3,5.2,90,0
11,Michael Keane,D,2,Dec 16,EVE,@CHE,T 1-1,12.25,90,0
12,Michael Keane,D,2,Dec 12,EVE,@CRY,L 1-3,4.15,90,0
13,Michael Keane,D,2,Dec 6,EVE,ARS,W 2-1,7.45,90,0
14,Michael Keane,D,2,Dec 1,EVE,LIV,L 1-4,14.4,90,0
15,Michael Keane,D,2,Nov 28,EVE,@BRF,L 0-1,8.85,90,0
16,Michael Keane,D,2,Nov 21,EVE,@MCI,L 0-3,6.1,90,0
17,Michael Keane,D,2,Nov 7,EVE,TOT,T 0-0,21.25,90,0
18,Michael Keane,D,2,Nov 1,EVE,@WOL,L 1-2,21.65,90,0
19,Michael Keane,D,2,Oct 23,EVE,WAT,L 2-5,16.2,90,0
20,Michael Keane,D,2,Oct 17,EVE,WHU,L 0-1,13.35,90,0
21,Michael Keane,D,2,Oct 2,EVE,@MUN,T 1-1,6.85,90,0
22,Michael Keane,D,2,Sep 25,EVE,NOR,W 2-0,15.55,90,0
23,Michael Keane,D,2,Sep 18,EVE,@AVL,L 0-3,8.15,90,0
24,Michael Keane,D,2,Sep 13,EVE,BUR,W 3-1,21.25,90,1
25,Michael Keane,D,2,Aug 28,EVE,@BHA,W 2-0,19.55,90,0
26,Michael Keane,D,2,Aug 21,EVE,@LEE,T 2-2,9.8,90,0
27,Michael Keane,D,2,Aug 14,EVE,SOU,W 3-1,7.5,90,0
0,Vitalii Mykolenko,D,2,May 1,EVE,CHE,W 1-0,13.2,90,0
1,Vitalii Mykolenko,D,2,Apr 24,EVE,@LIV,L 0-2,11.7,90,0
2,Vitalii Mykolenko,D,2,Apr 20,EVE,LEI,T 1-1,9.2,90,0
3,Vitalii Mykolenko,D,2,Apr 9,EVE,MUN,W 1-0,20.4,90,0
4,Vitalii Mykolenko,D,2,Apr 6,EVE,@BUR,L 2-3,11.7,90,0
5,Vitalii Mykolenko,D,2,Apr 3,EVE,@WHU,L 1-2,5.55,90,0
6,Vitalii Mykolenko,D,2,Mar 13,EVE,WOL,L 0-1,5.45,58,0
7,Vitalii Mykolenko,D,2,Mar 7,EVE,@TOT,L 0-5,2.75,30,0
8,Vitalii Mykolenko,D,2,Jan 15,EVE,@NOR,L 1-2,10.05,90,0
0,Jarrad Branthwaite,D,2,Apr 6,EVE,@BUR,L 2-3,4.55,90,0
1,Jarrad Branthwaite,D,2,Mar 7,EVE,@TOT,L 0-5,1.35,45,0
