,player,position,position_id,date,team,opp,score,fpts,min,goals
0,Ederson,G,1,Apr 30,MCI,@LEE,W 4-0,14.5,90,1
1,Ederson,G,1,Apr 23,MCI,WAT,W 5-1,6.0,90,0
2,Ederson,G,1,Apr 20,MCI,BHA,W 3-0,13.5,90,1
3,Ederson,G,1,Apr 10,MCI,LIV,T 2-2,5.5,90,0
4,Ederson,G,1,Apr 2,MCI,@BUR,W 2-0,14.5,90,1
5,Ederson,G,1,Mar 14,MCI,@CRY,T 0-0,13.5,90,1
6,Ederson,G,1,Mar 6,MCI,MUN,W 4-1,7.0,90,0
7,Ederson,G,1,Feb 26,MCI,@EVE,W 1-0,13.0,90,1
8,Ederson,G,1,Feb 19,MCI,TOT,L 2-3,5.0,90,0
9,Ederson,G,1,Feb 12,MCI,@NOR,W 4-0,16.5,90,1
10,Ederson,G,1,Feb 9,MCI,BRF,W 2-0,15.0,90,1
11,Ederson,G,1,Jan 22,MCI,@SOU,T 1-1,6.0,90,0
12,Ederson,G,1,Jan 15,MCI,CHE,W 1-0,14.0,90,1
13,Ederson,G,1,Jan 1,MCI,@ARS,W 2-1,5.0,90,0
14,Ederson,G,1,Dec 29,MCI,@BRF,W 1-0,16.5,90,1
15,Ederson,G,1,Dec 26,MCI,LEI,W 6-3,10.0,90,0
16,Ederson,G,1,Dec 19,MCI,@NEW,W 4-0,15.5,90,1
17,Ederson,G,1,Dec 14,MCI,LEE,W 7-0,16.5,90,1
18,Ederson,G,1,Dec 11,MCI,WOL,W 1-0,13.5,90,1
19,Ederson,G,1,Dec 4,MCI,@WAT,W 3-1,8.0,90,0
20,Ederson,G,1,Dec 1,MCI,@AVL,W 2-1,6.5,90,0
21,Ederson,G,1,Nov 28,MCI,WHU,W 2-1,7.5,90,0
22,Ederson,G,1,Nov 21,MCI,EVE,W 3-0,14.5,90,1
23,Ederson,G,1,Nov 6,MCI,@MUN,W 2-0,13.5,90,1
24,Ederson,G,1,Oct 30,MCI,CRY,L 0-2,2.5,90,0
25,Ederson,G,1,Oct 23,MCI,@BHA,W 4-1,7.0,90,0
26,Ederson,G,1,Oct 3,MCI,@LIV,T 2-2,5.0,90,0
27,Ederson,G,1,Sep 25,MCI,@CHE,W 1-0,13.5,90,1
28,Ederson,G,1,Sep 18,MCI,SOU,T 0-0,17.5,90,1
29,Ederson,G,1,Sep 11,MCI,@LEI,W 1-0,16.0,90,1
30,Ederson,G,1,Aug 28,MCI,ARS,W 5-0,12.0,90,1
31,Ederson,G,1,Aug 21,MCI,NOR,W 5-0,12.5,90,1
32,Ederson,G,1,Aug 15,MCI,@TOT,L 0-1,4.5,90,0
0,Zack Steffen,G,1,Oct 16,MCI,BUR,W 2-0,16.0,90,1
0,Kyle Walker,D,2,Apr 10,MCI,LIV,T 2-2,9.1,90,0
1,Kyle Walker,D,2,Apr 2,MCI,@BUR,W 2-0,14.2,90,0
2,Kyle Walker,D,2,Mar 14,MCI,@CRY,T 0-0,13.85,90,0
3,Kyle Walker,D,2,Mar 6,MCI,MUN,W 4-1,7.85,90,0
4,Kyle Walker,D,2,Feb 19,MCI,TOT,L 2-3,6.25,90,0
5,Kyle Walker,D,2,Feb 12,MCI,@NOR,W 4-0,21.6,90,0
6,Kyle Walker,D,2,Jan 22,MCI,@SOU,T 1-1,9.85,90,0
7,Kyle Walker,D,2,Jan 15,MCI,CHE,W 1-0,12.6,90,0
8,Kyle Walker,D,2,Dec 4,MCI,@WAT,W 3-1,11.75,90,0
9,Kyle Walker,D,2,Nov 28,MCI,WHU,W 2-1,4.85,90,0
10,Kyle Walker,D,2,Nov 21,MCI,EVE,W 3-0,16.5,90,0
11,Kyle Walker,D,2,Nov 6,MCI,@MUN,W 2-0,16.5,90,0
12,Kyle Walker,D,2,Oct 30,MCI,CRY,L 0-2,6.0,90,0
13,Kyle Walker,D,2,Oct 23,MCI,@BHA,W 4-1,3.85,90,0
14,Kyle Walker,D,2,Oct 3,MCI,@LIV,T 2-2,5.75,90,0
