,player,position,position_id,date,team,opp,score,fpts,min,goals
0,Tim Krul,G,1,Apr 30,NOR,@AVL,L 0-2,8.5,90,0
1,Tim Krul,G,1,Apr 23,NOR,NEW,L 0-3,8.5,90,0
2,Tim Krul,G,1,Apr 16,NOR,@MUN,L 2-3,12.5,90,0
3,Tim Krul,G,1,Apr 10,NOR,BUR,W 2-0,17.5,90,1
4,Tim Krul,G,1,Apr 2,NOR,@BHA,T 0-0,19.0,90,1
5,Tim Krul,G,1,Mar 13,NOR,@LEE,L 1-2,12.0,90,0
6,Tim Krul,G,1,Mar 10,NOR,CHE,L 1-3,8.0,90,0
7,Tim Krul,G,1,Mar 5,NOR,BRF,L 1-3,6.5,90,0
8,Tim Krul,G,1,Jan 15,NOR,EVE,W 2-1,12.0,90,0
9,Tim Krul,G,1,Jan 12,NOR,@WHU,L 0-2,7.0,90,0
10,Tim Krul,G,1,Dec 14,NOR,AVL,L 0-2,9.0,90,0
11,Tim Krul,G,1,Dec 11,NOR,MUN,L 0-1,9.5,90,0
12,Tim Krul,G,1,Dec 5,NOR,@TOT,L 0-3,8.5,90,0
13,Tim Krul,G,1,Nov 30,NOR,@NEW,T 1-1,3.0,90,0
14,Tim Krul,G,1,Nov 27,NOR,WOL,T 0-0,16.5,90,1
15,Tim Krul,G,1,Nov 20,NOR,SOU,W 2-1,10.0,90,0
16,Tim Krul,G,1,Nov 6,NOR,@BRF,W 2-1,13.5,90,0
17,Tim Krul,G,1,Oct 31,NOR,LEE,L 1-2,7.0,90,0
18,Tim Krul,G,1,Oct 23,NOR,@CHE,L 0-7,11.5,90,0
19,Tim Krul,G,1,Oct 16,NOR,BHA,T 0-0,16.5,90,1
20,Tim Krul,G,1,Oct 2,NOR,@BUR,T 0-0,20.5,90,1
21,Tim Krul,G,1,Sep 25,NOR,@EVE,L 0-2,5.5,90,0
22,Tim Krul,G,1,Sep 18,NOR,WAT,L 1-3,9.5,90,0
23,Tim Krul,G,1,Sep 11,NOR,@ARS,L 0-1,11.0,90,0
24,Tim Krul,G,1,Aug 28,NOR,LEI,L 1-2,4.0,90,0
25,Tim Krul,G,1,Aug 21,NOR,@MCI,L 0-5,3.0,90,0
26,Tim Krul,G,1,Aug 14,NOR,LIV,L 0-3,7.0,90,0
0,Angus Gunn,G,1,Feb 25,NOR,@SOU,L 0-2,14.0,90,0
1,Angus Gunn,G,1,Feb 19,NOR,@LIV,L 1-3,10.0,90,0
2,Angus Gunn,G,1,Feb 12,NOR,MCI,L 0-4,14.5,90,0
3,Angus Gunn,G,1,Feb 9,NOR,CRY,T 1-1,10.0,90,0
4,Angus Gunn,G,1,Jan 21,NOR,@WAT,W 3-0,16.5,90,1
5,Angus Gunn,G,1,Dec 28,NOR,@CRY,L 0-3,7.5,90,0
6,Angus Gunn,G,1,Dec 26,NOR,ARS,L 0-5,3.0,90,0
0,Max Aarons,D,2,Apr 30,NOR,@AVL,L 0-2,5.75,90,0
1,Max Aarons,D,2,Apr 23,NOR,NEW,L 0-3,4.5,31,0
2,Max Aarons,D,2,Mar 13,NOR,@LEE,L 1-2,8.45,87,0
3,Max Aarons,D,2,Mar 10,NOR,CHE,L 1-3,3.1,90,0
4,Max Aarons,D,2,Mar 5,NOR,BRF,L 1-3,1.25,8,0
5,Max Aarons,D,2,Feb 25,NOR,@SOU,L 0-2,5.7,90,0
6,Max Aarons,D,2,Feb 19,NOR,@LIV,L 1-3,9.2,90,0
7,Max Aarons,D,2,Feb 12,NOR,MCI,L 0-4,5.3,62,0
8,Max Aarons,D,2,Feb 9,NOR,CRY,T 1-1,13.4,90,0
9,Max Aarons,D,2,Jan 21,NOR,@WAT,W 3-0,15.55,90,0
10,Max Aarons,D,2,Jan 15,NOR,EVE,W 2-1,1.75,79,0
11,Max Aarons,D,2,Jan 12,NOR,@WHU,L 0-2,11.45,90,0
12,Max Aarons,D,2,Dec 26,NOR,ARS,L 0-5,4.45,90,0
13,Max Aarons,D,2,Dec 14,NOR,AVL,L 0-2,8.2,90,0
14,Max Aarons,D,2,Dec 11,NOR,MUN,L 0-1,9.8,90,0
15,Max Aarons,D,2,Dec 5,NOR,@TOT,L 0-3,9.5,90,0
16,Max Aarons,D,2,Nov 30,NOR,@NEW,T 1-1,9.85,90,0
17,Max Aarons,D,2,Nov 27,NOR,WOL,T 0-0,17.0,90,0
18,Max Aarons,D,2,Nov 20,NOR,SOU,W 2-1,15.0,90,0
19,Max Aarons,D,2,Nov 6,NOR,@BRF,W 2-1,3.95,90,0
20,Max Aarons,D,2,Oct 31,NOR,LEE,L 1-2,6.0,90,0
21,Max Aarons,D,2,Oct 23,NOR,@CHE,L 0-7,0.45,90,0
22,Max Aarons,D,2,Oct 16,NOR,BHA,T 0-0,12.7,90,0
23,Max Aarons,D,2,Oct 2,NOR,@BUR,T 0-0,14.4,90,0
24,Max Aarons,D,2,Sep 25,NOR,@EVE,L 0-2,6.05,90,0
25,Max Aarons,D,2,Sep 18,NOR,WAT,L 1-3,7.95,90,0
26,Max Aarons,D,2,Sep 11,NOR,@ARS,L 0-1,12.85,90,0
27,Max Aarons,D,2,Aug 28,NOR,LEI,L 1-2,14.55,90,0
28,Max Aarons,D,2,Aug 21,NOR,@MCI,L 0-5,4.85,90,0
29,Max Aarons,D,2,Aug 14,NOR,LIV,L 0-3,13.05,90,0
0,Sam Byram,D,2,Apr 30,NOR,@AVL,L 0-2,9.15,90,0
1,Sam Byram,D,2,Apr 23,NOR,NEW,L 0-3,8.7,90,0
2,Sam Byram,D,2,Apr 16,NOR,@MUN,L 2-3,8.3,90,0
3,Sam Byram,D,2,Apr 10,NOR,BUR,W 2-0,15.45,90,0
4,Sam Byram,D,2,Apr 2,NOR,@BHA,T 0-0,17.7,90,0
5,Sam Byram,D,2,Mar 5,NOR,BRF,L 1-3,11.35,90,0
6,Sam Byram,D,2,Feb 12,NOR,MCI,L 0-4,3.1,26,0
7,Sam Byram,D,2,Jan 21,NOR,@WAT,W 3-0,3.25,2,0
8,Sam Byram,D,2,Jan 15,NOR,EVE,W 2-1,4.1,12,0
9,Sam Byram,D,2,Dec 28,NOR,@CRY,L 0-3,4.65,90,0
10,Sam Byram,D,2,Dec 14,NOR,AVL,L 0-2,4.6,45,0
0,Christoph Zimmerman,D,2,Apr 23,NOR,NEW,L 0-3,5.95,57,0
1,Christoph Zimmerman,D,2,Mar 10,NOR,CHE,L 1-3,3.35,45,0
0,Ozan Kabak,D,2,Mar 13,NOR,@LEE,L 1-2,9.5,90,0
1,Ozan Kabak,D,2,Mar 10,NOR,CHE,L 1-3,10.25,90,0
2,Ozan Kabak,D,2,Dec 26,NOR,ARS,L 0-5,7.6,90,0
3,Ozan Kabak,D,2,Dec 14,NOR,AVL,L 0-2,4.95,45,0
4,Ozan Kabak,D,2,Dec 11,NOR,MUN,L 0-1,7.4,90,0
5,Ozan Kabak,D,2,Oct 31,NOR,LEE,L 1-2,10.2,90,0
6,Ozan Kabak,D,2,Oct 23,NOR,@CHE,L 0-7,5.2,90,0
7,Ozan Kabak,D,2,Oct 16,NOR,BHA,T 0-0,12.95,90,0
8,Ozan Kabak,D,2,Oct 2,NOR,@BUR,T 0-0,16.15,90,0
9,Ozan Kabak,D,2,Sep 25,NOR,@EVE,L 0-2,7.5,68,0
10,Ozan Kabak,D,2,Sep 18,NOR,WAT,L 1-3,10.05,90,0
0,Grant Hanley,D,2,Apr 30,NOR,@AVL,L 0-2,10.1,90,0
1,Grant Hanley,D,2,Apr 23,NOR,NEW,L 0-3,4.1,90,0
2,Grant Hanley,D,2,Apr 16,NOR,@MUN,L 2-3,6.8,90,0
3,Grant Hanley,D,2,Apr 10,NOR,BUR,W 2-0,21.7,90,0
4,Grant Hanley,D,2,Apr 2,NOR,@BHA,T 0-0,19.55,90,0
5,Grant Hanley,D,2,Mar 10,NOR,CHE,L 1-3,10.15,90,0
6,Grant Hanley,D,2,Mar 5,NOR,BRF,L 1-3,5.4,90,0
7,Grant Hanley,D,2,Feb 25,NOR,@SOU,L 0-2,10.4,90,0
8,Grant Hanley,D,2,Feb 19,NOR,@LIV,L 1-3,8.95,90,0
9,Grant Hanley,D,2,Feb 12,NOR,MCI,L 0-4,6.65,90,0
10,Grant Hanley,D,2,Feb 9,NOR,CRY,T 1-1,4.3,90,0
11,Grant Hanley,D,2,Jan 21,NOR,@WAT,W 3-0,16.8,90,0
12,Grant Hanley,D,2,Jan 15,NOR,EVE,W 2-1,10.2,90,0
13,Grant Hanley,D,2,Jan 12,NOR,@WHU,L 0-2,9.7,90,0
14,Grant Hanley,D,2,Dec 11,NOR,MUN,L 0-1,2.6,20,0
15,Grant Hanley,D,2,Dec 5,NOR,@TOT,L 0-3,7.25,90,0
16,Grant Hanley,D,2,Nov 30,NOR,@NEW,T 1-1,7.5,90,0
17,Grant Hanley,D,2,Nov 27,NOR,WOL,T 0-0,18.7,90,0
18,Grant Hanley,D,2,Nov 20,NOR,SOU,W 2-1,22.55,90,1
19,Grant Hanley,D,2,Oct 31,NOR,LEE,L 1-2,6.85,87,0
20,Grant Hanley,D,2,Oct 23,NOR,@CHE,L 0-7,4.45,90,0
21,Grant Hanley,D,2,Oct 16,NOR,BHA,T 0-0,17.85,90,0
22,Grant Hanley,D,2,Oct 2,NOR,@BUR,T 0-0,21.5,90,0
23,Grant Hanley,D,2,Sep 25,NOR,@EVE,L 0-2,12.4,90,0
24,Grant Hanley,D,2,Sep 18,NOR,WAT,L 1-3,9.6,90,0
25,Grant Hanley,D,2,Sep 11,NOR,@ARS,L 0-1,7.5,90,0
