Number,RORY,DAMO,HAE,COF,BRZL,GUN,EOC,CLY
1,Robert Sanchez,Ben Foster,Aaron Ramsdale,Edouard Mendy,Jordan Pickford,Alisson,Kasper Schmeichel,Emiliano Martinez
2,Trent Alexander-Arnold,Cesar Azpilicueta,Joao Cancelo,Matthew Cash,Vladimir Coufal,Shane Duffy,Eric Dier,Reece James
3,Aaron Wan-Bissaka,Joel Matip,Takehiro Tomiyasu,Aymeric Laporte,Tyrone Mings,James Tarkowski,John Stones,Ethan Pinnock
4,Ricardo Pereira,Kieran Tierney,Antonio Rudiger,Andreas Christensen,Thiago Silva,Raphael Varane,Michael Keane,Aaron Cresswell
5,Pontus Jansson,Lucas Digne,Joel Veltman,Andrew Robertson,Virgil van Dijk,Stuart Dallas,Marcos Alonso,Pascal Gross
6,Ruben Dias,Fabinho,Trevoh Chalobah,Marc Cucurella,Luke Shaw,Matt Ritchie,Marcal,James Ward-Prowse
7,Dimitris Giannoulis,Kalvin Phillips,Ngolo Kante,Conor Gallagher,Sergio Reguilon,Mateo Kovacic,Ilkay Gundogan,Emile Smith Rowe
8,Boubakary Soumare,Mateusz Klich,Wilfred Ndidi,Abdoulaye Doucoure,Pierre-Emile Hojbjerg,Tomas Soucek,Youri Tielemans,Jack Grealish
9,Daniel James,Declan Rice,Mathias Antonsen Normann,Bernardo Silva,Jorginho,John McGinn,Bukayo Saka,Phil Foden
10,Harvey Barnes,Naby Keita,Dwight McNeil,Kevin De Bruyne,Ruben Neves,James McArthur,Andros Townsend,Pierre-Emerick Aubameyang
11,Raphinha,Thiago,Emiliano Buendia,Paul Pogba,Bruno Fernandes,Jack Harrison,James Rodriguez,Kelechi Iheanacho
12,Allan Saint-Maximin,Jarrod Bowen,Mason Mount,Kai Havertz,Leandro Trossard,Son Heung-Min,Christian Pulisic,Ollie Watkins
13,Adama Traore,Leon Bailey,Marcus Rashford,Said Benrahma,Raheem Sterling,Diogo Jota,Nicolas Pepe,Callum Wilson
14,Wilfried Zaha,Emmanuel Dennis,Ismaila Sarr,Gabriel Jesus,Timo Werner,Ferran Torres,Mason Greenwood,Raul Jimenez
15,Romelu Lukaku,Sadio Mane,Cristiano Ronaldo,Demarai Gray,Danny Ings,Ivan Toney,Jadon Sancho,Harry Kane
16,Chris Wood,Michail Antonio,Riyad Mahrez,Richarlison,Patrick Bamford,Jamie Vardy,Mohamed Salah,Dominic Calvert-Lewin
