club,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,TOT
ARS,13,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,00,14,00,12,14,00,27,00,14,28,14,14,13,27,14,14,469
AVL,14,14,14,14,15,13,14,14,13,12,13,13,13,14,14,13,13,00,12,00,12,14,14,14,14,14,14,28,14,14,14,14,00,14,14,450
BHA,14,14,14,14,13,13,12,13,13,14,14,14,14,14,13,00,13,00,13,13,13,26,13,00,28,14,12,14,28,00,14,14,28,14,14,474
BRF,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,00,00,14,14,28,28,16,14,14,14,14,14,14,14,14,14,14,13,476
BUR,13,12,12,13,13,13,13,13,13,11,13,12,00,13,13,13,00,00,00,13,13,00,24,13,13,26,28,13,12,00,28,14,28,14,14,443
CHE,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,13,28,14,00,00,14,00,28,14,00,14,14,14,28,14,473
CRY,14,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,00,14,14,14,14,14,14,14,28,13,14,13,00,14,14,14,14,14,470
EVE,15,15,14,15,15,14,12,11,13,16,15,16,13,14,15,14,14,01,01,01,13,14,14,14,14,14,14,14,27,00,25,13,13,13,14,460
LEE,15,13,14,14,14,14,13,14,14,14,13,14,14,14,14,14,14,14,00,00,13,14,13,12,14,28,14,28,14,15,14,14,00,14,14,471
LEI,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,00,00,13,14,00,14,14,14,14,13,14,14,14,14,14,14,28,14,14,459
LIV,14,14,14,14,14,12,13,14,14,14,14,14,14,14,14,14,14,14,00,14,14,14,14,14,14,28,00,14,28,00,14,14,14,14,14,473
MCI,14,14,14,13,14,14,12,14,14,14,11,14,12,12,14,13,14,14,12,11,12,13,12,13,14,12,13,12,11,00,13,14,14,14,14,444
MUN,13,14,13,13,14,14,14,14,14,14,14,14,13,13,13,13,00,00,14,14,14,27,14,14,27,14,14,13,14,00,14,14,28,28,480
NEW,16,15,15,16,17,16,17,17,17,16,15,15,15,16,15,16,16,14,16,02,03,15,15,14,14,13,14,28,28,00,14,14,28,14,14,530
NOR,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,00,14,14,14,14,14,14,14,14,14,28,14,00,14,14,14,14,14,476
SOU,14,14,14,13,14,14,14,14,14,14,14,14,14,14,13,13,14,00,14,13,14,14,14,14,14,14,14,28,14,00,14,14,28,14,14,486
TOT,13,13,12,12,13,13,13,11,14,13,14,13,00,14,14,00,00,13,14,13,14,14,14,14,14,28,14,14,28,14,14,14,14,13,14,459
WAT,14,14,14,13,14,15,14,14,14,14,14,14,14,14,14,14,00,00,00,14,14,14,27,14,14,27,14,27,14,00,14,14,14,14,11,470
WHU,14,13,13,13,14,14,11,14,13,14,14,14,14,13,14,13,13,00,14,14,27,14,12,12,14,13,13,14,14,14,13,14,13,14,14,471
WOL,14,14,14,13,14,14,13,14,14,14,14,13,14,12,14,14,14,13,00,00,14,14,13,14,14,28,14,28,14,15,14,14,00,13,14,469
