,player,position,position_id,date,team,opp,start
0,Bernd Leno,G,1,Aug 13,ARS,@BRF,1
1,Bernd Leno,G,1,Aug 22,ARS,CHE,1
2,Bernd Leno,G,1,Aug 28,ARS,@MCI,1
3,Bernd Leno,G,1,Mar 19,ARS,@AVL,1
0,Aaron Ramsdale,G,1,Sep 11,ARS,NOR,1
1,Aaron Ramsdale,G,1,Sep 18,ARS,@BUR,1
2,Aaron Ramsdale,G,1,Sep 26,ARS,TOT,1
3,Aaron Ramsdale,G,1,Oct 2,ARS,@BHA,1
4,Aaron Ramsdale,G,1,Oct 18,ARS,CRY,1
5,Aaron Ramsdale,G,1,Oct 22,ARS,AVL,1
6,Aaron Ramsdale,G,1,Oct 30,ARS,@LEI,1
7,Aaron Ramsdale,G,1,Nov 7,ARS,WAT,1
8,Aaron Ramsdale,G,1,Nov 20,ARS,@LIV,1
9,Aaron Ramsdale,G,1,Nov 27,ARS,NEW,1
10,Aaron Ramsdale,G,1,Dec 2,ARS,@MUN,1
11,Aaron Ramsdale,G,1,Dec 6,ARS,@EVE,1
12,Aaron Ramsdale,G,1,Dec 11,ARS,SOU,1
13,Aaron Ramsdale,G,1,Dec 15,ARS,WHU,1
14,Aaron Ramsdale,G,1,Dec 18,ARS,@LEE,1
15,Aaron Ramsdale,G,1,Dec 26,ARS,@NOR,1
16,Aaron Ramsdale,G,1,Jan 1,ARS,MCI,1
17,Aaron Ramsdale,G,1,Jan 23,ARS,BUR,1
18,Aaron Ramsdale,G,1,Feb 10,ARS,@WOL,1
19,Aaron Ramsdale,G,1,Feb 19,ARS,BRF,1
20,Aaron Ramsdale,G,1,Feb 24,ARS,WOL,1
21,Aaron Ramsdale,G,1,Mar 6,ARS,@WAT,1
22,Aaron Ramsdale,G,1,Mar 13,ARS,LEI,1
23,Aaron Ramsdale,G,1,Mar 16,ARS,LIV,1
24,Aaron Ramsdale,G,1,Apr 4,ARS,@CRY,1
25,Aaron Ramsdale,G,1,Apr 9,ARS,BHA,1
26,Aaron Ramsdale,G,1,Apr 16,ARS,@SOU,1
27,Aaron Ramsdale,G,1,Apr 20,ARS,@CHE,1
28,Aaron Ramsdale,G,1,Apr 23,ARS,MUN,1
29,Aaron Ramsdale,G,1,May 1,ARS,@WHU,1
0,Takehiro Tomiyasu,D,2,Sep 11,ARS,NOR,1
1,Takehiro Tomiyasu,D,2,Sep 18,ARS,@BUR,1
2,Takehiro Tomiyasu,D,2,Sep 26,ARS,TOT,1
3,Takehiro Tomiyasu,D,2,Oct 2,ARS,@BHA,1
4,Takehiro Tomiyasu,D,2,Oct 18,ARS,CRY,1
5,Takehiro Tomiyasu,D,2,Oct 22,ARS,AVL,1
6,Takehiro Tomiyasu,D,2,Oct 30,ARS,@LEI,1
7,Takehiro Tomiyasu,D,2,Nov 7,ARS,WAT,1
8,Takehiro Tomiyasu,D,2,Nov 20,ARS,@LIV,1
9,Takehiro Tomiyasu,D,2,Nov 27,ARS,NEW,1
10,Takehiro Tomiyasu,D,2,Dec 2,ARS,@MUN,1
11,Takehiro Tomiyasu,D,2,Dec 6,ARS,@EVE,1
12,Takehiro Tomiyasu,D,2,Dec 11,ARS,SOU,1
13,Takehiro Tomiyasu,D,2,Dec 15,ARS,WHU,1
14,Takehiro Tomiyasu,D,2,Dec 18,ARS,@LEE,1
15,Takehiro Tomiyasu,D,2,Jan 1,ARS,MCI,1
16,Takehiro Tomiyasu,D,2,Apr 23,ARS,MUN,0
17,Takehiro Tomiyasu,D,2,May 1,ARS,@WHU,1
0,Cedric Soares,D,2,Aug 22,ARS,CHE,1
1,Cedric Soares,D,2,Aug 28,ARS,@MCI,1
2,Cedric Soares,D,2,Sep 11,ARS,NOR,0
3,Cedric Soares,D,2,Dec 18,ARS,@LEE,0
4,Cedric Soares,D,2,Feb 10,ARS,@WOL,1
5,Cedric Soares,D,2,Feb 19,ARS,BRF,1
6,Cedric Soares,D,2,Feb 24,ARS,WOL,1
7,Cedric Soares,D,2,Mar 6,ARS,@WAT,1
8,Cedric Soares,D,2,Mar 13,ARS,LEI,1
9,Cedric Soares,D,2,Mar 16,ARS,LIV,1
10,Cedric Soares,D,2,Mar 19,ARS,@AVL,1
11,Cedric Soares,D,2,Apr 4,ARS,@CRY,1
12,Cedric Soares,D,2,Apr 9,ARS,BHA,1
13,Cedric Soares,D,2,Apr 16,ARS,@SOU,1
14,Cedric Soares,D,2,Apr 20,ARS,@CHE,0
15,Cedric Soares,D,2,Apr 23,ARS,MUN,1
16,Cedric Soares,D,2,May 1,ARS,@WHU,0
0,Ben White,D,2,Aug 13,ARS,@BRF,1
1,Ben White,D,2,Sep 11,ARS,NOR,1
2,Ben White,D,2,Sep 18,ARS,@BUR,1
3,Ben White,D,2,Sep 26,ARS,TOT,1
4,Ben White,D,2,Oct 2,ARS,@BHA,1
5,Ben White,D,2,Oct 18,ARS,CRY,1
6,Ben White,D,2,Oct 22,ARS,AVL,1
7,Ben White,D,2,Oct 30,ARS,@LEI,1
8,Ben White,D,2,Nov 7,ARS,WAT,1
9,Ben White,D,2,Nov 20,ARS,@LIV,1
10,Ben White,D,2,Nov 27,ARS,NEW,1
11,Ben White,D,2,Dec 2,ARS,@MUN,1
12,Ben White,D,2,Dec 6,ARS,@EVE,1
13,Ben White,D,2,Dec 11,ARS,SOU,1
14,Ben White,D,2,Dec 15,ARS,WHU,1
15,Ben White,D,2,Dec 18,ARS,@LEE,1
16,Ben White,D,2,Dec 26,ARS,@NOR,1
17,Ben White,D,2,Jan 1,ARS,MCI,1
18,Ben White,D,2,Jan 23,ARS,BUR,1
19,Ben White,D,2,Feb 10,ARS,@WOL,1
20,Ben White,D,2,Feb 19,ARS,BRF,1
21,Ben White,D,2,Feb 24,ARS,WOL,1
22,Ben White,D,2,Mar 6,ARS,@WAT,1
23,Ben White,D,2,Mar 13,ARS,LEI,1
24,Ben White,D,2,Mar 16,ARS,LIV,1
25,Ben White,D,2,Mar 19,ARS,@AVL,1
26,Ben White,D,2,Apr 4,ARS,@CRY,1
27,Ben White,D,2,Apr 9,ARS,BHA,1
28,Ben White,D,2,Apr 16,ARS,@SOU,1
29,Ben White,D,2,Apr 20,ARS,@CHE,1
30,Ben White,D,2,Apr 23,ARS,MUN,1
0,Rob Holding,D,2,Aug 22,ARS,CHE,1
1,Rob Holding,D,2,Aug 28,ARS,@MCI,1
2,Rob Holding,D,2,Dec 11,ARS,SOU,0
3,Rob Holding,D,2,Dec 26,ARS,@NOR,1
4,Rob Holding,D,2,Jan 1,ARS,MCI,0
5,Rob Holding,D,2,Jan 23,ARS,BUR,1
6,Rob Holding,D,2,Feb 10,ARS,@WOL,0
7,Rob Holding,D,2,Mar 6,ARS,@WAT,0
8,Rob Holding,D,2,Mar 19,ARS,@AVL,0
9,Rob Holding,D,2,Apr 20,ARS,@CHE,1
10,Rob Holding,D,2,Apr 23,ARS,MUN,0
11,Rob Holding,D,2,May 1,ARS,@WHU,1
