,player,position,position_id,date,team,opp,start
0,Emiliano Martinez,G,1,Aug 14,AVL,@WAT,1
1,Emiliano Martinez,G,1,Aug 21,AVL,NEW,1
2,Emiliano Martinez,G,1,Aug 28,AVL,BRF,1
3,Emiliano Martinez,G,1,Sep 18,AVL,EVE,1
4,Emiliano Martinez,G,1,Sep 25,AVL,@MUN,1
5,Emiliano Martinez,G,1,Oct 3,AVL,@TOT,1
6,Emiliano Martinez,G,1,Oct 16,AVL,WOL,1
7,Emiliano Martinez,G,1,Oct 22,AVL,@ARS,1
8,Emiliano Martinez,G,1,Oct 31,AVL,WHU,1
9,Emiliano Martinez,G,1,Nov 5,AVL,@SOU,1
10,Emiliano Martinez,G,1,Nov 20,AVL,BHA,1
11,Emiliano Martinez,G,1,Nov 27,AVL,@CRY,1
12,Emiliano Martinez,G,1,Dec 1,AVL,MCI,1
13,Emiliano Martinez,G,1,Dec 5,AVL,LEI,1
14,Emiliano Martinez,G,1,Dec 11,AVL,@LIV,1
15,Emiliano Martinez,G,1,Dec 14,AVL,@NOR,1
16,Emiliano Martinez,G,1,Dec 26,AVL,CHE,1
17,Emiliano Martinez,G,1,Jan 2,AVL,@BRF,1
18,Emiliano Martinez,G,1,Jan 15,AVL,MUN,1
19,Emiliano Martinez,G,1,Jan 22,AVL,@EVE,1
20,Emiliano Martinez,G,1,Feb 9,AVL,LEE,1
21,Emiliano Martinez,G,1,Feb 13,AVL,@NEW,1
22,Emiliano Martinez,G,1,Feb 19,AVL,WAT,1
23,Emiliano Martinez,G,1,Feb 26,AVL,@BHA,1
24,Emiliano Martinez,G,1,Mar 5,AVL,SOU,1
25,Emiliano Martinez,G,1,Mar 10,AVL,@LEE,1
26,Emiliano Martinez,G,1,Mar 13,AVL,@WHU,1
27,Emiliano Martinez,G,1,Mar 19,AVL,ARS,1
28,Emiliano Martinez,G,1,Apr 2,AVL,@WOL,1
29,Emiliano Martinez,G,1,Apr 9,AVL,TOT,1
30,Emiliano Martinez,G,1,Apr 23,AVL,@LEI,1
31,Emiliano Martinez,G,1,Apr 30,AVL,NOR,1
0,Jed Steer,G,1,Sep 11,AVL,@CHE,1
0,Matthew Cash,D,2,Aug 14,AVL,@WAT,1
1,Matthew Cash,D,2,Aug 21,AVL,NEW,1
2,Matthew Cash,D,2,Aug 28,AVL,BRF,1
3,Matthew Cash,D,2,Sep 11,AVL,@CHE,1
4,Matthew Cash,D,2,Sep 18,AVL,EVE,1
5,Matthew Cash,D,2,Sep 25,AVL,@MUN,1
6,Matthew Cash,D,2,Oct 3,AVL,@TOT,1
7,Matthew Cash,D,2,Oct 16,AVL,WOL,1
8,Matthew Cash,D,2,Oct 22,AVL,@ARS,1
9,Matthew Cash,D,2,Oct 31,AVL,WHU,1
10,Matthew Cash,D,2,Nov 5,AVL,@SOU,1
11,Matthew Cash,D,2,Nov 20,AVL,BHA,1
12,Matthew Cash,D,2,Nov 27,AVL,@CRY,1
13,Matthew Cash,D,2,Dec 1,AVL,MCI,1
14,Matthew Cash,D,2,Dec 5,AVL,LEI,1
15,Matthew Cash,D,2,Dec 11,AVL,@LIV,1
16,Matthew Cash,D,2,Dec 14,AVL,@NOR,1
17,Matthew Cash,D,2,Dec 26,AVL,CHE,1
18,Matthew Cash,D,2,Jan 2,AVL,@BRF,1
19,Matthew Cash,D,2,Jan 15,AVL,MUN,1
20,Matthew Cash,D,2,Jan 22,AVL,@EVE,1
21,Matthew Cash,D,2,Feb 9,AVL,LEE,1
22,Matthew Cash,D,2,Feb 13,AVL,@NEW,1
23,Matthew Cash,D,2,Feb 19,AVL,WAT,1
24,Matthew Cash,D,2,Feb 26,AVL,@BHA,1
25,Matthew Cash,D,2,Mar 5,AVL,SOU,1
26,Matthew Cash,D,2,Mar 10,AVL,@LEE,1
27,Matthew Cash,D,2,Mar 13,AVL,@WHU,1
28,Matthew Cash,D,2,Mar 19,AVL,ARS,1
29,Matthew Cash,D,2,Apr 2,AVL,@WOL,1
30,Matthew Cash,D,2,Apr 9,AVL,TOT,1
31,Matthew Cash,D,2,Apr 23,AVL,@LEI,1
32,Matthew Cash,D,2,Apr 30,AVL,NOR,1
0,Calum Chambers,D,2,Aug 13,ARS,@BRF,1
1,Calum Chambers,D,2,Aug 28,ARS,@MCI,1
2,Calum Chambers,D,2,Feb 9,AVL,LEE,0
3,Calum Chambers,D,2,Feb 13,AVL,@NEW,1
4,Calum Chambers,D,2,Feb 19,AVL,WAT,1
5,Calum Chambers,D,2,Mar 5,AVL,SOU,1
6,Calum Chambers,D,2,Mar 10,AVL,@LEE,1
7,Calum Chambers,D,2,Mar 13,AVL,@WHU,1
8,Calum Chambers,D,2,Apr 30,AVL,NOR,1
0,Axel Tuanzebe,D,2,Aug 21,AVL,NEW,0
1,Axel Tuanzebe,D,2,Aug 28,AVL,BRF,1
2,Axel Tuanzebe,D,2,Sep 11,AVL,@CHE,1
3,Axel Tuanzebe,D,2,Sep 18,AVL,EVE,1
4,Axel Tuanzebe,D,2,Oct 16,AVL,WOL,1
5,Axel Tuanzebe,D,2,Oct 22,AVL,@ARS,1
6,Axel Tuanzebe,D,2,Nov 5,AVL,@SOU,1
7,Axel Tuanzebe,D,2,Dec 5,AVL,LEI,0
8,Axel Tuanzebe,D,2,Dec 14,AVL,@NOR,0
0,Tyrone Mings,D,2,Aug 14,AVL,@WAT,1
1,Tyrone Mings,D,2,Aug 21,AVL,NEW,1
2,Tyrone Mings,D,2,Sep 11,AVL,@CHE,1
3,Tyrone Mings,D,2,Sep 18,AVL,EVE,1
4,Tyrone Mings,D,2,Sep 25,AVL,@MUN,1
5,Tyrone Mings,D,2,Oct 3,AVL,@TOT,1
6,Tyrone Mings,D,2,Oct 16,AVL,WOL,1
7,Tyrone Mings,D,2,Oct 22,AVL,@ARS,1
8,Tyrone Mings,D,2,Oct 31,AVL,WHU,0
9,Tyrone Mings,D,2,Nov 5,AVL,@SOU,1
10,Tyrone Mings,D,2,Nov 20,AVL,BHA,1
11,Tyrone Mings,D,2,Nov 27,AVL,@CRY,1
12,Tyrone Mings,D,2,Dec 1,AVL,MCI,1
13,Tyrone Mings,D,2,Dec 5,AVL,LEI,1
14,Tyrone Mings,D,2,Dec 11,AVL,@LIV,1
15,Tyrone Mings,D,2,Dec 14,AVL,@NOR,1
16,Tyrone Mings,D,2,Dec 26,AVL,CHE,1
17,Tyrone Mings,D,2,Jan 15,AVL,MUN,1
18,Tyrone Mings,D,2,Jan 22,AVL,@EVE,1
19,Tyrone Mings,D,2,Feb 9,AVL,LEE,1
20,Tyrone Mings,D,2,Feb 13,AVL,@NEW,1
21,Tyrone Mings,D,2,Feb 19,AVL,WAT,1
22,Tyrone Mings,D,2,Feb 26,AVL,@BHA,1
23,Tyrone Mings,D,2,Mar 5,AVL,SOU,1
24,Tyrone Mings,D,2,Mar 10,AVL,@LEE,1
25,Tyrone Mings,D,2,Mar 13,AVL,@WHU,1
26,Tyrone Mings,D,2,Mar 19,AVL,ARS,1
27,Tyrone Mings,D,2,Apr 2,AVL,@WOL,1
28,Tyrone Mings,D,2,Apr 9,AVL,TOT,1
29,Tyrone Mings,D,2,Apr 23,AVL,@LEI,1
30,Tyrone Mings,D,2,Apr 30,AVL,NOR,1
0,Ezri Konsa Ngoyo,D,2,Aug 14,AVL,@WAT,1
1,Ezri Konsa Ngoyo,D,2,Aug 21,AVL,NEW,1
2,Ezri Konsa Ngoyo,D,2,Aug 28,AVL,BRF,1
3,Ezri Konsa Ngoyo,D,2,Sep 11,AVL,@CHE,1
4,Ezri Konsa Ngoyo,D,2,Sep 18,AVL,EVE,1
5,Ezri Konsa Ngoyo,D,2,Sep 25,AVL,@MUN,1
6,Ezri Konsa Ngoyo,D,2,Oct 3,AVL,@TOT,1
7,Ezri Konsa Ngoyo,D,2,Oct 16,AVL,WOL,1
8,Ezri Konsa Ngoyo,D,2,Oct 22,AVL,@ARS,1
9,Ezri Konsa Ngoyo,D,2,Oct 31,AVL,WHU,1
10,Ezri Konsa Ngoyo,D,2,Nov 20,AVL,BHA,1
11,Ezri Konsa Ngoyo,D,2,Nov 27,AVL,@CRY,1
12,Ezri Konsa Ngoyo,D,2,Dec 1,AVL,MCI,1
13,Ezri Konsa Ngoyo,D,2,Dec 5,AVL,LEI,1
14,Ezri Konsa Ngoyo,D,2,Dec 11,AVL,@LIV,1
15,Ezri Konsa Ngoyo,D,2,Dec 14,AVL,@NOR,1
16,Ezri Konsa Ngoyo,D,2,Dec 26,AVL,CHE,1
17,Ezri Konsa Ngoyo,D,2,Jan 2,AVL,@BRF,1
18,Ezri Konsa Ngoyo,D,2,Jan 15,AVL,MUN,1
19,Ezri Konsa Ngoyo,D,2,Jan 22,AVL,@EVE,1
20,Ezri Konsa Ngoyo,D,2,Feb 9,AVL,LEE,1
21,Ezri Konsa Ngoyo,D,2,Feb 26,AVL,@BHA,1
22,Ezri Konsa Ngoyo,D,2,Mar 19,AVL,ARS,1
23,Ezri Konsa Ngoyo,D,2,Apr 2,AVL,@WOL,1
24,Ezri Konsa Ngoyo,D,2,Apr 9,AVL,TOT,1
25,Ezri Konsa Ngoyo,D,2,Apr 23,AVL,@LEI,1
0,Kortney Hause,D,2,Aug 28,AVL,BRF,0
1,Kortney Hause,D,2,Sep 25,AVL,@MUN,1
2,Kortney Hause,D,2,Oct 3,AVL,@TOT,1
3,Kortney Hause,D,2,Oct 31,AVL,WHU,1
4,Kortney Hause,D,2,Jan 2,AVL,@BRF,1
5,Kortney Hause,D,2,Jan 15,AVL,MUN,0
6,Kortney Hause,D,2,Jan 22,AVL,@EVE,0
0,Lucas Digne,D,2,Aug 14,EVE,SOU,1
1,Lucas Digne,D,2,Aug 21,EVE,@LEE,1
2,Lucas Digne,D,2,Aug 28,EVE,@BHA,1
3,Lucas Digne,D,2,Sep 13,EVE,BUR,1
4,Lucas Digne,D,2,Sep 18,EVE,@AVL,1
5,Lucas Digne,D,2,Sep 25,EVE,NOR,1
6,Lucas Digne,D,2,Oct 2,EVE,@MUN,1
7,Lucas Digne,D,2,Oct 17,EVE,WHU,1
8,Lucas Digne,D,2,Oct 23,EVE,WAT,1
9,Lucas Digne,D,2,Nov 7,EVE,TOT,1
10,Lucas Digne,D,2,Nov 21,EVE,@MCI,1
11,Lucas Digne,D,2,Nov 28,EVE,@BRF,1
12,Lucas Digne,D,2,Dec 1,EVE,LIV,1
13,Lucas Digne,D,2,Jan 15,AVL,MUN,1
14,Lucas Digne,D,2,Jan 22,AVL,@EVE,1
15,Lucas Digne,D,2,Feb 9,AVL,LEE,1
16,Lucas Digne,D,2,Feb 13,AVL,@NEW,1
17,Lucas Digne,D,2,Feb 19,AVL,WAT,1
18,Lucas Digne,D,2,Feb 26,AVL,@BHA,1
19,Lucas Digne,D,2,Mar 10,AVL,@LEE,1
20,Lucas Digne,D,2,Mar 13,AVL,@WHU,1
21,Lucas Digne,D,2,Apr 2,AVL,@WOL,1
22,Lucas Digne,D,2,Apr 9,AVL,TOT,1
23,Lucas Digne,D,2,Apr 30,AVL,NOR,1
0,Ashley Young,D,2,Aug 14,AVL,@WAT,1
1,Ashley Young,D,2,Aug 21,AVL,NEW,1
2,Ashley Young,D,2,Aug 28,AVL,BRF,1
3,Ashley Young,D,2,Sep 18,AVL,EVE,0
4,Ashley Young,D,2,Oct 16,AVL,WOL,0
5,Ashley Young,D,2,Oct 31,AVL,WHU,0
6,Ashley Young,D,2,Nov 20,AVL,BHA,0
7,Ashley Young,D,2,Nov 27,AVL,@CRY,1
8,Ashley Young,D,2,Dec 1,AVL,MCI,0
9,Ashley Young,D,2,Dec 5,AVL,LEI,1
10,Ashley Young,D,2,Dec 11,AVL,@LIV,1
11,Ashley Young,D,2,Dec 14,AVL,@NOR,1
12,Ashley Young,D,2,Feb 9,AVL,LEE,0
13,Ashley Young,D,2,Feb 19,AVL,WAT,0
14,Ashley Young,D,2,Feb 26,AVL,@BHA,0
15,Ashley Young,D,2,Mar 5,AVL,SOU,1
16,Ashley Young,D,2,Mar 10,AVL,@LEE,0
17,Ashley Young,D,2,Mar 13,AVL,@WHU,0
18,Ashley Young,D,2,Mar 19,AVL,ARS,1
19,Ashley Young,D,2,Apr 2,AVL,@WOL,0
20,Ashley Young,D,2,Apr 9,AVL,TOT,0
21,Ashley Young,D,2,Apr 23,AVL,@LEI,1
0,Marvelous Nakamba,M,4,Aug 14,AVL,@WAT,1
1,Marvelous Nakamba,M,4,Aug 28,AVL,BRF,0
2,Marvelous Nakamba,M,4,Sep 11,AVL,@CHE,0
3,Marvelous Nakamba,M,4,Sep 18,AVL,EVE,0
4,Marvelous Nakamba,M,4,Oct 16,AVL,WOL,0
5,Marvelous Nakamba,M,4,Oct 31,AVL,WHU,1
6,Marvelous Nakamba,M,4,Nov 5,AVL,@SOU,1
7,Marvelous Nakamba,M,4,Nov 20,AVL,BHA,1
8,Marvelous Nakamba,M,4,Nov 27,AVL,@CRY,1
9,Marvelous Nakamba,M,4,Dec 1,AVL,MCI,1
10,Marvelous Nakamba,M,4,Dec 5,AVL,LEI,1
11,Marvelous Nakamba,M,4,Dec 11,AVL,@LIV,1
12,Marvelous Nakamba,M,4,Apr 23,AVL,@LEI,0
0,Douglas Luiz,M,4,Aug 21,AVL,NEW,1
1,Douglas Luiz,M,4,Aug 28,AVL,BRF,1
2,Douglas Luiz,M,4,Sep 11,AVL,@CHE,1
3,Douglas Luiz,M,4,Sep 18,AVL,EVE,1
4,Douglas Luiz,M,4,Sep 25,AVL,@MUN,1
5,Douglas Luiz,M,4,Oct 3,AVL,@TOT,1
6,Douglas Luiz,M,4,Oct 16,AVL,WOL,1
7,Douglas Luiz,M,4,Oct 22,AVL,@ARS,1
8,Douglas Luiz,M,4,Nov 27,AVL,@CRY,0
9,Douglas Luiz,M,4,Dec 1,AVL,MCI,1
10,Douglas Luiz,M,4,Dec 5,AVL,LEI,1
11,Douglas Luiz,M,4,Dec 11,AVL,@LIV,1
12,Douglas Luiz,M,4,Dec 14,AVL,@NOR,1
13,Douglas Luiz,M,4,Dec 26,AVL,CHE,1
14,Douglas Luiz,M,4,Jan 2,AVL,@BRF,1
15,Douglas Luiz,M,4,Jan 15,AVL,MUN,1
16,Douglas Luiz,M,4,Jan 22,AVL,@EVE,1
17,Douglas Luiz,M,4,Feb 9,AVL,LEE,1
18,Douglas Luiz,M,4,Feb 13,AVL,@NEW,1
19,Douglas Luiz,M,4,Feb 19,AVL,WAT,1
20,Douglas Luiz,M,4,Feb 26,AVL,@BHA,1
21,Douglas Luiz,M,4,Mar 5,AVL,SOU,1
22,Douglas Luiz,M,4,Mar 10,AVL,@LEE,1
23,Douglas Luiz,M,4,Mar 13,AVL,@WHU,1
24,Douglas Luiz,M,4,Mar 19,AVL,ARS,1
25,Douglas Luiz,M,4,Apr 2,AVL,@WOL,0
26,Douglas Luiz,M,4,Apr 9,AVL,TOT,1
27,Douglas Luiz,M,4,Apr 23,AVL,@LEI,1
28,Douglas Luiz,M,4,Apr 30,AVL,NOR,0
0,Morgan Sanson,M,4,Dec 1,AVL,MCI,0
1,Morgan Sanson,M,4,Dec 5,AVL,LEI,0
2,Morgan Sanson,M,4,Dec 11,AVL,@LIV,0
3,Morgan Sanson,M,4,Dec 26,AVL,CHE,1
4,Morgan Sanson,M,4,Jan 2,AVL,@BRF,0
5,Morgan Sanson,M,4,Jan 15,AVL,MUN,1
6,Morgan Sanson,M,4,Feb 26,AVL,@BHA,0
7,Morgan Sanson,M,4,Mar 5,AVL,SOU,0
8,Morgan Sanson,M,4,Mar 10,AVL,@LEE,0
9,Morgan Sanson,M,4,Apr 2,AVL,@WOL,1
0,Carney Chukwuemeka,M,4,Aug 28,AVL,BRF,1
1,Carney Chukwuemeka,M,4,Dec 1,AVL,MCI,0
2,Carney Chukwuemeka,M,4,Dec 5,AVL,LEI,0
3,Carney Chukwuemeka,M,4,Dec 14,AVL,@NOR,0
4,Carney Chukwuemeka,M,4,Dec 26,AVL,CHE,0
5,Carney Chukwuemeka,M,4,Jan 15,AVL,MUN,0
6,Carney Chukwuemeka,M,4,Jan 22,AVL,@EVE,0
7,Carney Chukwuemeka,M,4,Feb 9,AVL,LEE,0
8,Carney Chukwuemeka,M,4,Feb 13,AVL,@NEW,0
0,Tim Iroegbunam,M,4,Feb 26,AVL,@BHA,0
1,Tim Iroegbunam,M,4,Apr 23,AVL,@LEI,0
2,Tim Iroegbunam,M,4,Apr 30,AVL,NOR,1
0,John McGinn,M,4,Aug 14,AVL,@WAT,1
1,John McGinn,M,4,Aug 21,AVL,NEW,1
2,John McGinn,M,4,Sep 11,AVL,@CHE,1
3,John McGinn,M,4,Sep 18,AVL,EVE,1
4,John McGinn,M,4,Sep 25,AVL,@MUN,1
5,John McGinn,M,4,Oct 3,AVL,@TOT,1
6,John McGinn,M,4,Oct 16,AVL,WOL,1
7,John McGinn,M,4,Oct 22,AVL,@ARS,1
8,John McGinn,M,4,Oct 31,AVL,WHU,1
9,John McGinn,M,4,Nov 5,AVL,@SOU,1
10,John McGinn,M,4,Nov 20,AVL,BHA,1
11,John McGinn,M,4,Nov 27,AVL,@CRY,1
12,John McGinn,M,4,Dec 1,AVL,MCI,1
13,John McGinn,M,4,Dec 5,AVL,LEI,1
14,John McGinn,M,4,Dec 11,AVL,@LIV,1
15,John McGinn,M,4,Dec 14,AVL,@NOR,1
16,John McGinn,M,4,Jan 2,AVL,@BRF,1
17,John McGinn,M,4,Jan 22,AVL,@EVE,1
18,John McGinn,M,4,Feb 9,AVL,LEE,1
19,John McGinn,M,4,Feb 13,AVL,@NEW,1
20,John McGinn,M,4,Feb 19,AVL,WAT,1
21,John McGinn,M,4,Feb 26,AVL,@BHA,1
22,John McGinn,M,4,Mar 5,AVL,SOU,1
23,John McGinn,M,4,Mar 10,AVL,@LEE,1
24,John McGinn,M,4,Mar 13,AVL,@WHU,1
25,John McGinn,M,4,Mar 19,AVL,ARS,1
26,John McGinn,M,4,Apr 2,AVL,@WOL,1
27,John McGinn,M,4,Apr 9,AVL,TOT,1
28,John McGinn,M,4,Apr 23,AVL,@LEI,1
29,John McGinn,M,4,Apr 30,AVL,NOR,1
0,Jacob Ramsey,M,4,Aug 14,AVL,@WAT,0
1,Jacob Ramsey,M,4,Aug 21,AVL,NEW,1
2,Jacob Ramsey,M,4,Sep 11,AVL,@CHE,1
3,Jacob Ramsey,M,4,Sep 18,AVL,EVE,1
4,Jacob Ramsey,M,4,Sep 25,AVL,@MUN,1
