,player,position,position_id,date,team,opp,start
0,David Raya Martin,G,1,Aug 13,BRF,ARS,1
1,David Raya Martin,G,1,Aug 21,BRF,@CRY,1
2,David Raya Martin,G,1,Aug 28,BRF,@AVL,1
3,David Raya Martin,G,1,Sep 11,BRF,BHA,1
4,David Raya Martin,G,1,Sep 18,BRF,@WOL,1
5,David Raya Martin,G,1,Sep 25,BRF,LIV,1
6,David Raya Martin,G,1,Oct 3,BRF,@WHU,1
7,David Raya Martin,G,1,Oct 16,BRF,CHE,1
8,David Raya Martin,G,1,Oct 24,BRF,LEI,1
9,David Raya Martin,G,1,Feb 9,BRF,@MCI,1
10,David Raya Martin,G,1,Feb 12,BRF,CRY,1
11,David Raya Martin,G,1,Feb 19,BRF,@ARS,1
12,David Raya Martin,G,1,Feb 26,BRF,NEW,1
13,David Raya Martin,G,1,Mar 5,BRF,@NOR,1
14,David Raya Martin,G,1,Mar 12,BRF,BUR,1
15,David Raya Martin,G,1,Mar 20,BRF,@LEI,1
16,David Raya Martin,G,1,Apr 2,BRF,@CHE,1
17,David Raya Martin,G,1,Apr 10,BRF,WHU,1
18,David Raya Martin,G,1,Apr 16,BRF,@WAT,1
19,David Raya Martin,G,1,Apr 23,BRF,TOT,1
0,Alvaro Fernandez,G,1,Oct 30,BRF,@BUR,1
1,Alvaro Fernandez,G,1,Nov 6,BRF,NOR,1
2,Alvaro Fernandez,G,1,Nov 20,BRF,@NEW,1
3,Alvaro Fernandez,G,1,Nov 28,BRF,EVE,1
4,Alvaro Fernandez,G,1,Dec 2,BRF,@TOT,1
5,Alvaro Fernandez,G,1,Dec 5,BRF,@LEE,1
6,Alvaro Fernandez,G,1,Dec 10,BRF,WAT,1
7,Alvaro Fernandez,G,1,Dec 26,BRF,@BHA,1
8,Alvaro Fernandez,G,1,Dec 29,BRF,MCI,1
9,Alvaro Fernandez,G,1,Jan 2,BRF,AVL,1
10,Alvaro Fernandez,G,1,Jan 11,BRF,@SOU,1
11,Alvaro Fernandez,G,1,Jan 16,BRF,@LIV,1
