player,position,position_id,date,team,opp,start
0,Vicente Guaita,G,1,Aug 14,CRY,@CHE,1
1,Vicente Guaita,G,1,Aug 21,CRY,BRF,1
2,Vicente Guaita,G,1,Aug 28,CRY,@WHU,1
3,Vicente Guaita,G,1,Sep 11,CRY,TOT,1
4,Vicente Guaita,G,1,Sep 18,CRY,@LIV,1
5,Vicente Guaita,G,1,Sep 27,CRY,BHA,1
6,Vicente Guaita,G,1,Oct 3,CRY,LEI,1
7,Vicente Guaita,G,1,Oct 18,CRY,@ARS,1
8,Vicente Guaita,G,1,Oct 23,CRY,NEW,1
9,Vicente Guaita,G,1,Oct 30,CRY,@MCI,1
10,Vicente Guaita,G,1,Nov 6,CRY,WOL,1
11,Vicente Guaita,G,1,Nov 20,CRY,@BUR,1
12,Vicente Guaita,G,1,Nov 27,CRY,AVL,1
13,Vicente Guaita,G,1,Nov 30,CRY,@LEE,1
14,Vicente Guaita,G,1,Dec 5,CRY,@MUN,1
15,Vicente Guaita,G,1,Dec 12,CRY,EVE,1
16,Vicente Guaita,G,1,Dec 28,CRY,NOR,1
17,Vicente Guaita,G,1,Jan 1,CRY,WHU,1
18,Vicente Guaita,G,1,Jan 23,CRY,LIV,1
19,Vicente Guaita,G,1,Feb 9,CRY,@NOR,1
20,Vicente Guaita,G,1,Feb 12,CRY,@BRF,1
21,Vicente Guaita,G,1,Feb 19,CRY,CHE,1
22,Vicente Guaita,G,1,Mar 5,CRY,@WOL,1
23,Vicente Guaita,G,1,Mar 14,CRY,MCI,1
24,Vicente Guaita,G,1,Apr 4,CRY,ARS,1
25,Vicente Guaita,G,1,Apr 10,CRY,@LEI,1
26,Vicente Guaita,G,1,Apr 20,CRY,@NEW,1
27,Vicente Guaita,G,1,Apr 25,CRY,LEE,1
28,Vicente Guaita,G,1,Apr 30,CRY,@SOU,1
0,Jack Butland,G,1,Dec 15,CRY,SOU,1
1,Jack Butland,G,1,Dec 26,CRY,@TOT,1
2,Jack Butland,G,1,Jan 14,CRY,@BHA,1
3,Jack Butland,G,1,Feb 19,CRY,CHE,0
4,Jack Butland,G,1,Feb 23,CRY,@WAT,1
5,Jack Butland,G,1,Feb 26,CRY,BUR,1
0,Joel Ward,D,2,Aug 14,CRY,@CHE,1
1,Joel Ward,D,2,Aug 21,CRY,BRF,1
2,Joel Ward,D,2,Aug 28,CRY,@WHU,1
3,Joel Ward,D,2,Sep 11,CRY,TOT,1
4,Joel Ward,D,2,Sep 18,CRY,@LIV,1
5,Joel Ward,D,2,Sep 27,CRY,BHA,1
6,Joel Ward,D,2,Oct 3,CRY,LEI,1
