,player,position,position_id,date,team,opp,start
0,Jordan Pickford,G,1,Aug 14,EVE,SOU,1
1,Jordan Pickford,G,1,Aug 21,EVE,@LEE,1
2,Jordan Pickford,G,1,Aug 28,EVE,@BHA,1
3,Jordan Pickford,G,1,Sep 13,EVE,BUR,1
4,Jordan Pickford,G,1,Sep 25,EVE,NOR,1
5,Jordan Pickford,G,1,Oct 2,EVE,@MUN,1
6,Jordan Pickford,G,1,Oct 17,EVE,WHU,1
7,Jordan Pickford,G,1,Oct 23,EVE,WAT,1
8,Jordan Pickford,G,1,Nov 1,EVE,@WOL,1
9,Jordan Pickford,G,1,Nov 7,EVE,TOT,1
10,Jordan Pickford,G,1,Nov 21,EVE,@MCI,1
11,Jordan Pickford,G,1,Nov 28,EVE,@BRF,1
12,Jordan Pickford,G,1,Dec 1,EVE,LIV,1
13,Jordan Pickford,G,1,Dec 6,EVE,ARS,1
14,Jordan Pickford,G,1,Dec 12,EVE,@CRY,1
15,Jordan Pickford,G,1,Dec 16,EVE,@CHE,1
16,Jordan Pickford,G,1,Jan 2,EVE,BHA,1
17,Jordan Pickford,G,1,Jan 15,EVE,@NOR,1
18,Jordan Pickford,G,1,Jan 22,EVE,AVL,1
19,Jordan Pickford,G,1,Feb 8,EVE,@NEW,1
20,Jordan Pickford,G,1,Feb 12,EVE,LEE,1
21,Jordan Pickford,G,1,Feb 19,EVE,@SOU,1
22,Jordan Pickford,G,1,Feb 26,EVE,MCI,1
23,Jordan Pickford,G,1,Mar 7,EVE,@TOT,1
24,Jordan Pickford,G,1,Mar 13,EVE,WOL,1
25,Jordan Pickford,G,1,Apr 3,EVE,@WHU,1
26,Jordan Pickford,G,1,Apr 6,EVE,@BUR,1
27,Jordan Pickford,G,1,Apr 9,EVE,MUN,1
28,Jordan Pickford,G,1,Apr 20,EVE,LEI,1
29,Jordan Pickford,G,1,Apr 24,EVE,@LIV,1
30,Jordan Pickford,G,1,May 1,EVE,CHE,1
0,Asmir Begovic,G,1,Sep 18,EVE,@AVL,1
1,Asmir Begovic,G,1,Mar 17,EVE,NEW,1
