,player,position,position_id,date,team,opp,start
0,Illan Meslier,G,1,Aug 14,LEE,@MUN,1
1,Illan Meslier,G,1,Aug 21,LEE,EVE,1
2,Illan Meslier,G,1,Aug 29,LEE,@BUR,1
3,Illan Meslier,G,1,Sep 12,LEE,LIV,1
4,Illan Meslier,G,1,Sep 17,LEE,@NEW,1
5,Illan Meslier,G,1,Sep 25,LEE,WHU,1
6,Illan Meslier,G,1,Oct 2,LEE,WAT,1
7,Illan Meslier,G,1,Oct 16,LEE,@SOU,1
8,Illan Meslier,G,1,Oct 23,LEE,WOL,1
9,Illan Meslier,G,1,Oct 31,LEE,@NOR,1
10,Illan Meslier,G,1,Nov 7,LEE,LEI,1
11,Illan Meslier,G,1,Nov 21,LEE,@TOT,1
12,Illan Meslier,G,1,Nov 27,LEE,@BHA,1
13,Illan Meslier,G,1,Nov 30,LEE,CRY,1
14,Illan Meslier,G,1,Dec 5,LEE,BRF,1
15,Illan Meslier,G,1,Dec 11,LEE,@CHE,1
16,Illan Meslier,G,1,Dec 14,LEE,@MCI,1
17,Illan Meslier,G,1,Dec 18,LEE,ARS,1
18,Illan Meslier,G,1,Jan 2,LEE,BUR,1
19,Illan Meslier,G,1,Jan 16,LEE,@WHU,1
20,Illan Meslier,G,1,Jan 22,LEE,NEW,1
21,Illan Meslier,G,1,Feb 9,LEE,@AVL,1
22,Illan Meslier,G,1,Feb 12,LEE,@EVE,1
23,Illan Meslier,G,1,Feb 20,LEE,MUN,1
24,Illan Meslier,G,1,Feb 23,LEE,@LIV,1
25,Illan Meslier,G,1,Feb 26,LEE,TOT,1
26,Illan Meslier,G,1,Mar 5,LEE,@LEI,1
27,Illan Meslier,G,1,Mar 10,LEE,AVL,1
28,Illan Meslier,G,1,Mar 13,LEE,NOR,1
29,Illan Meslier,G,1,Mar 18,LEE,@WOL,1
30,Illan Meslier,G,1,Apr 2,LEE,SOU,1
31,Illan Meslier,G,1,Apr 9,LEE,@WAT,1
32,Illan Meslier,G,1,Apr 25,LEE,@CRY,1
33,Illan Meslier,G,1,Apr 30,LEE,MCI,1
0,Kristoffer Klaesson,G,1,Mar 18,LEE,@WOL,0
0,Luke Ayling,D,2,Aug 14,LEE,@MUN,1
1,Luke Ayling,D,2,Aug 21,LEE,EVE,1
2,Luke Ayling,D,2,Aug 29,LEE,@BUR,1
3,Luke Ayling,D,2,Sep 12,LEE,LIV,1
4,Luke Ayling,D,2,Sep 17,LEE,@NEW,1
5,Luke Ayling,D,2,Dec 5,LEE,BRF,1
6,Luke Ayling,D,2,Dec 11,LEE,@CHE,1
7,Luke Ayling,D,2,Dec 14,LEE,@MCI,1
8,Luke Ayling,D,2,Dec 18,LEE,ARS,1
9,Luke Ayling,D,2,Jan 2,LEE,BUR,1
10,Luke Ayling,D,2,Jan 16,LEE,@WHU,1
11,Luke Ayling,D,2,Jan 22,LEE,NEW,1
12,Luke Ayling,D,2,Feb 9,LEE,@AVL,1
13,Luke Ayling,D,2,Feb 12,LEE,@EVE,1
14,Luke Ayling,D,2,Feb 20,LEE,MUN,1
15,Luke Ayling,D,2,Feb 23,LEE,@LIV,1
16,Luke Ayling,D,2,Feb 26,LEE,TOT,1
17,Luke Ayling,D,2,Mar 5,LEE,@LEI,1
18,Luke Ayling,D,2,Mar 10,LEE,AVL,1
19,Luke Ayling,D,2,Mar 13,LEE,NOR,1
20,Luke Ayling,D,2,Mar 18,LEE,@WOL,1
21,Luke Ayling,D,2,Apr 2,LEE,SOU,1
22,Luke Ayling,D,2,Apr 9,LEE,@WAT,1
23,Luke Ayling,D,2,Apr 25,LEE,@CRY,1
24,Luke Ayling,D,2,Apr 30,LEE,MCI,1
0,Cody Drameh,D,2,Oct 31,LEE,@NOR,0
1,Cody Drameh,D,2,Dec 14,LEE,@MCI,0
2,Cody Drameh,D,2,Dec 18,LEE,ARS,1
0,Charlie Cresswell,D,2,Sep 25,LEE,WHU,1
1,Charlie Cresswell,D,2,Nov 7,LEE,LEI,0
2,Charlie Cresswell,D,2,Nov 30,LEE,CRY,0
3,Charlie Cresswell,D,2,Dec 11,LEE,@CHE,0
4,Charlie Cresswell,D,2,Mar 18,LEE,@WOL,0
0,Diego Llorente,D,2,Aug 29,LEE,@BUR,1
1,Diego Llorente,D,2,Sep 12,LEE,LIV,1
2,Diego Llorente,D,2,Oct 2,LEE,WAT,1
3,Diego Llorente,D,2,Oct 16,LEE,@SOU,1
4,Diego Llorente,D,2,Oct 23,LEE,WOL,1
5,Diego Llorente,D,2,Oct 31,LEE,@NOR,1
6,Diego Llorente,D,2,Nov 7,LEE,LEI,1
7,Diego Llorente,D,2,Nov 21,LEE,@TOT,1
