,player,position,position_id,date,team,opp,start
0,Kasper Schmeichel,G,1,Aug 14,LEI,WOL,1
1,Kasper Schmeichel,G,1,Aug 23,LEI,@WHU,1
2,Kasper Schmeichel,G,1,Aug 28,LEI,@NOR,1
3,Kasper Schmeichel,G,1,Sep 11,LEI,MCI,1
4,Kasper Schmeichel,G,1,Sep 19,LEI,@BHA,1
5,Kasper Schmeichel,G,1,Sep 25,LEI,BUR,1
6,Kasper Schmeichel,G,1,Oct 3,LEI,@CRY,1
7,Kasper Schmeichel,G,1,Oct 16,LEI,MUN,1
8,Kasper Schmeichel,G,1,Oct 24,LEI,@BRF,1
9,Kasper Schmeichel,G,1,Oct 30,LEI,ARS,1
10,Kasper Schmeichel,G,1,Nov 7,LEI,@LEE,1
11,Kasper Schmeichel,G,1,Nov 20,LEI,CHE,1
12,Kasper Schmeichel,G,1,Nov 28,LEI,WAT,1
13,Kasper Schmeichel,G,1,Dec 1,LEI,@SOU,1
14,Kasper Schmeichel,G,1,Dec 5,LEI,@AVL,1
15,Kasper Schmeichel,G,1,Dec 12,LEI,NEW,1
16,Kasper Schmeichel,G,1,Dec 26,LEI,@MCI,1
17,Kasper Schmeichel,G,1,Dec 28,LEI,LIV,1
18,Kasper Schmeichel,G,1,Jan 19,LEI,TOT,1
19,Kasper Schmeichel,G,1,Jan 23,LEI,BHA,1
20,Kasper Schmeichel,G,1,Feb 10,LEI,@LIV,1
21,Kasper Schmeichel,G,1,Feb 13,LEI,WHU,1
22,Kasper Schmeichel,G,1,Feb 20,LEI,@WOL,1
23,Kasper Schmeichel,G,1,Mar 1,LEI,@BUR,1
24,Kasper Schmeichel,G,1,Mar 5,LEI,LEE,1
25,Kasper Schmeichel,G,1,Mar 13,LEI,@ARS,1
26,Kasper Schmeichel,G,1,Mar 20,LEI,BRF,1
27,Kasper Schmeichel,G,1,Apr 2,LEI,@MUN,1
28,Kasper Schmeichel,G,1,Apr 10,LEI,CRY,1
29,Kasper Schmeichel,G,1,Apr 17,LEI,@NEW,1
30,Kasper Schmeichel,G,1,Apr 20,LEI,@EVE,1
31,Kasper Schmeichel,G,1,Apr 23,LEI,AVL,1
32,Kasper Schmeichel,G,1,May 1,LEI,@TOT,1
0,Ricardo Pereira,D,2,Aug 14,LEI,WOL,1
1,Ricardo Pereira,D,2,Aug 23,LEI,@WHU,1
2,Ricardo Pereira,D,2,Aug 28,LEI,@NOR,1
3,Ricardo Pereira,D,2,Sep 19,LEI,@BHA,1
4,Ricardo Pereira,D,2,Sep 25,LEI,BUR,1
5,Ricardo Pereira,D,2,Oct 16,LEI,MUN,1
6,Ricardo Pereira,D,2,Oct 24,LEI,@BRF,1
7,Ricardo Pereira,D,2,Nov 7,LEI,@LEE,1
8,Ricardo Pereira,D,2,Feb 13,LEI,WHU,1
9,Ricardo Pereira,D,2,Feb 20,LEI,@WOL,1
10,Ricardo Pereira,D,2,Mar 1,LEI,@BUR,1
