,player,position,position_id,date,team,opp,start
0,Alisson,G,1,Aug 14,LIV,@NOR,1
1,Alisson,G,1,Aug 21,LIV,BUR,1
2,Alisson,G,1,Aug 28,LIV,CHE,1
3,Alisson,G,1,Sep 12,LIV,@LEE,1
4,Alisson,G,1,Sep 18,LIV,CRY,1
5,Alisson,G,1,Sep 25,LIV,@BRF,1
6,Alisson,G,1,Oct 3,LIV,MCI,1
7,Alisson,G,1,Oct 24,LIV,@MUN,1
8,Alisson,G,1,Oct 30,LIV,BHA,1
9,Alisson,G,1,Nov 7,LIV,@WHU,1
10,Alisson,G,1,Nov 20,LIV,ARS,1
11,Alisson,G,1,Nov 27,LIV,SOU,1
12,Alisson,G,1,Dec 1,LIV,@EVE,1
13,Alisson,G,1,Dec 4,LIV,@WOL,1
14,Alisson,G,1,Dec 11,LIV,AVL,1
15,Alisson,G,1,Dec 16,LIV,NEW,1
16,Alisson,G,1,Dec 19,LIV,@TOT,1
17,Alisson,G,1,Dec 28,LIV,@LEI,1
18,Alisson,G,1,Jan 16,LIV,BRF,1
19,Alisson,G,1,Jan 23,LIV,@CRY,1
20,Alisson,G,1,Feb 10,LIV,LEI,1
21,Alisson,G,1,Feb 13,LIV,@BUR,1
22,Alisson,G,1,Feb 19,LIV,NOR,1
23,Alisson,G,1,Feb 23,LIV,LEE,1
24,Alisson,G,1,Mar 5,LIV,WHU,1
25,Alisson,G,1,Mar 12,LIV,@BHA,1
26,Alisson,G,1,Mar 16,LIV,@ARS,1
27,Alisson,G,1,Apr 2,LIV,WAT,1
28,Alisson,G,1,Apr 10,LIV,@MCI,1
29,Alisson,G,1,Apr 19,LIV,MUN,1
30,Alisson,G,1,Apr 24,LIV,EVE,1
31,Alisson,G,1,Apr 30,LIV,@NEW,1
0,Caoimhin Kelleher,G,1,Oct 16,LIV,@WAT,1
1,Caoimhin Kelleher,G,1,Jan 2,LIV,@CHE,1
0,Trent Alexander-Arnold,D,2,Aug 14,LIV,@NOR,1
1,Trent Alexander-Arnold,D,2,Aug 21,LIV,BUR,1
2,Trent Alexander-Arnold,D,2,Aug 28,LIV,CHE,1
3,Trent Alexander-Arnold,D,2,Sep 12,LIV,@LEE,1
4,Trent Alexander-Arnold,D,2,Sep 25,LIV,@BRF,1
5,Trent Alexander-Arnold,D,2,Oct 16,LIV,@WAT,1
6,Trent Alexander-Arnold,D,2,Oct 24,LIV,@MUN,1
7,Trent Alexander-Arnold,D,2,Oct 30,LIV,BHA,1
8,Trent Alexander-Arnold,D,2,Nov 7,LIV,@WHU,1
9,Trent Alexander-Arnold,D,2,Nov 20,LIV,ARS,1
10,Trent Alexander-Arnold,D,2,Nov 27,LIV,SOU,1
11,Trent Alexander-Arnold,D,2,Dec 1,LIV,@EVE,1
12,Trent Alexander-Arnold,D,2,Dec 4,LIV,@WOL,1
13,Trent Alexander-Arnold,D,2,Dec 11,LIV,AVL,1
14,Trent Alexander-Arnold,D,2,Dec 16,LIV,NEW,1
15,Trent Alexander-Arnold,D,2,Dec 19,LIV,@TOT,1
16,Trent Alexander-Arnold,D,2,Dec 28,LIV,@LEI,1
17,Trent Alexander-Arnold,D,2,Jan 2,LIV,@CHE,1
18,Trent Alexander-Arnold,D,2,Jan 16,LIV,BRF,1
19,Trent Alexander-Arnold,D,2,Jan 23,LIV,@CRY,1
20,Trent Alexander-Arnold,D,2,Feb 10,LIV,LEI,1
21,Trent Alexander-Arnold,D,2,Feb 13,LIV,@BUR,1
22,Trent Alexander-Arnold,D,2,Feb 23,LIV,LEE,1
23,Trent Alexander-Arnold,D,2,Mar 5,LIV,WHU,1
24,Trent Alexander-Arnold,D,2,Mar 12,LIV,@BHA,1
25,Trent Alexander-Arnold,D,2,Mar 16,LIV,@ARS,1
26,Trent Alexander-Arnold,D,2,Apr 10,LIV,@MCI,1
27,Trent Alexander-Arnold,D,2,Apr 19,LIV,MUN,1
28,Trent Alexander-Arnold,D,2,Apr 24,LIV,EVE,1
0,Neco Williams,D,2,Oct 16,LIV,@WAT,0
0,Joseph Gomez,D,2,Aug 21,LIV,BUR,0
1,Joseph Gomez,D,2,Oct 3,LIV,MCI,0
2,Joseph Gomez,D,2,Dec 19,LIV,@TOT,0
3,Joseph Gomez,D,2,Jan 23,LIV,@CRY,0
4,Joseph Gomez,D,2,Feb 19,LIV,NOR,1
5,Joseph Gomez,D,2,Apr 2,LIV,WAT,1
6,Joseph Gomez,D,2,Apr 30,LIV,@NEW,1
0,Joel Matip,D,2,Aug 14,LIV,@NOR,1
1,Joel Matip,D,2,Aug 21,LIV,BUR,1
2,Joel Matip,D,2,Aug 28,LIV,CHE,1
3,Joel Matip,D,2,Sep 12,LIV,@LEE,1
4,Joel Matip,D,2,Sep 25,LIV,@BRF,1
5,Joel Matip,D,2,Oct 3,LIV,MCI,1
6,Joel Matip,D,2,Oct 16,LIV,@WAT,1
7,Joel Matip,D,2,Nov 7,LIV,@WHU,1
8,Joel Matip,D,2,Nov 20,LIV,ARS,1
9,Joel Matip,D,2,Dec 1,LIV,@EVE,1
10,Joel Matip,D,2,Dec 4,LIV,@WOL,1
11,Joel Matip,D,2,Dec 11,LIV,AVL,1
12,Joel Matip,D,2,Dec 16,LIV,NEW,1
13,Joel Matip,D,2,Dec 19,LIV,@TOT,1
14,Joel Matip,D,2,Dec 28,LIV,@LEI,1
15,Joel Matip,D,2,Jan 16,LIV,BRF,1
16,Joel Matip,D,2,Jan 23,LIV,@CRY,1
17,Joel Matip,D,2,Feb 10,LIV,LEI,1
18,Joel Matip,D,2,Feb 13,LIV,@BUR,1
19,Joel Matip,D,2,Feb 19,LIV,NOR,1
20,Joel Matip,D,2,Feb 23,LIV,LEE,1
21,Joel Matip,D,2,Mar 12,LIV,@BHA,1
