,player,position,position_id,date,team,opp,start
0,Ederson,G,1,Aug 15,MCI,@TOT,1
1,Ederson,G,1,Aug 21,MCI,NOR,1
2,Ederson,G,1,Aug 28,MCI,ARS,1
3,Ederson,G,1,Sep 11,MCI,@LEI,1
4,Ederson,G,1,Sep 18,MCI,SOU,1
5,Ederson,G,1,Sep 25,MCI,@CHE,1
6,Ederson,G,1,Oct 3,MCI,@LIV,1
7,Ederson,G,1,Oct 23,MCI,@BHA,1
8,Ederson,G,1,Oct 30,MCI,CRY,1
9,Ederson,G,1,Nov 6,MCI,@MUN,1
10,Ederson,G,1,Nov 21,MCI,EVE,1
11,Ederson,G,1,Nov 28,MCI,WHU,1
12,Ederson,G,1,Dec 1,MCI,@AVL,1
13,Ederson,G,1,Dec 4,MCI,@WAT,1
14,Ederson,G,1,Dec 11,MCI,WOL,1
15,Ederson,G,1,Dec 14,MCI,LEE,1
16,Ederson,G,1,Dec 19,MCI,@NEW,1
17,Ederson,G,1,Dec 26,MCI,LEI,1
18,Ederson,G,1,Dec 29,MCI,@BRF,1
19,Ederson,G,1,Jan 1,MCI,@ARS,1
20,Ederson,G,1,Jan 15,MCI,CHE,1
21,Ederson,G,1,Jan 22,MCI,@SOU,1
22,Ederson,G,1,Feb 9,MCI,BRF,1
23,Ederson,G,1,Feb 12,MCI,@NOR,1
24,Ederson,G,1,Feb 19,MCI,TOT,1
25,Ederson,G,1,Feb 26,MCI,@EVE,1
26,Ederson,G,1,Mar 6,MCI,MUN,1
27,Ederson,G,1,Mar 14,MCI,@CRY,1
28,Ederson,G,1,Apr 2,MCI,@BUR,1
29,Ederson,G,1,Apr 10,MCI,LIV,1
30,Ederson,G,1,Apr 20,MCI,BHA,1
31,Ederson,G,1,Apr 23,MCI,WAT,1
32,Ederson,G,1,Apr 30,MCI,@LEE,1
0,Zack Steffen,G,1,Oct 16,MCI,BUR,1
0,Kyle Walker,D,2,Aug 21,MCI,NOR,1
1,Kyle Walker,D,2,Aug 28,MCI,ARS,1
2,Kyle Walker,D,2,Sep 11,MCI,@LEI,1
3,Kyle Walker,D,2,Sep 18,MCI,SOU,1
4,Kyle Walker,D,2,Sep 25,MCI,@CHE,1
5,Kyle Walker,D,2,Oct 3,MCI,@LIV,1
6,Kyle Walker,D,2,Oct 23,MCI,@BHA,1
7,Kyle Walker,D,2,Oct 30,MCI,CRY,1
8,Kyle Walker,D,2,Nov 6,MCI,@MUN,1
9,Kyle Walker,D,2,Nov 21,MCI,EVE,1
10,Kyle Walker,D,2,Nov 28,MCI,WHU,1
11,Kyle Walker,D,2,Dec 4,MCI,@WAT,1
12,Kyle Walker,D,2,Jan 15,MCI,CHE,1
13,Kyle Walker,D,2,Jan 22,MCI,@SOU,1
14,Kyle Walker,D,2,Feb 12,MCI,@NOR,1
15,Kyle Walker,D,2,Feb 19,MCI,TOT,1
16,Kyle Walker,D,2,Mar 6,MCI,MUN,1
17,Kyle Walker,D,2,Mar 14,MCI,@CRY,1
18,Kyle Walker,D,2,Apr 2,MCI,@BUR,1
19,Kyle Walker,D,2,Apr 10,MCI,LIV,1
0,Joao Cancelo,D,2,Aug 15,MCI,@TOT,1
1,Joao Cancelo,D,2,Aug 21,MCI,NOR,1
2,Joao Cancelo,D,2,Aug 28,MCI,ARS,1
3,Joao Cancelo,D,2,Sep 11,MCI,@LEI,1
4,Joao Cancelo,D,2,Sep 18,MCI,SOU,1
5,Joao Cancelo,D,2,Sep 25,MCI,@CHE,1
6,Joao Cancelo,D,2,Oct 3,MCI,@LIV,1
7,Joao Cancelo,D,2,Oct 16,MCI,BUR,1
8,Joao Cancelo,D,2,Oct 23,MCI,@BHA,1
9,Joao Cancelo,D,2,Oct 30,MCI,CRY,1
10,Joao Cancelo,D,2,Nov 6,MCI,@MUN,1
11,Joao Cancelo,D,2,Nov 21,MCI,EVE,1
12,Joao Cancelo,D,2,Nov 28,MCI,WHU,1
13,Joao Cancelo,D,2,Dec 1,MCI,@AVL,1
14,Joao Cancelo,D,2,Dec 4,MCI,@WAT,1
15,Joao Cancelo,D,2,Dec 11,MCI,WOL,1
16,Joao Cancelo,D,2,Dec 19,MCI,@NEW,1
17,Joao Cancelo,D,2,Dec 26,MCI,LEI,1
18,Joao Cancelo,D,2,Dec 29,MCI,@BRF,1
19,Joao Cancelo,D,2,Jan 1,MCI,@ARS,1
