,player,position,position_id,date,team,opp,start
0,Martin Dubravka,G,1,Nov 27,NEW,@ARS,1
1,Martin Dubravka,G,1,Nov 30,NEW,NOR,1
2,Martin Dubravka,G,1,Dec 4,NEW,BUR,1
3,Martin Dubravka,G,1,Dec 12,NEW,@LEI,1
4,Martin Dubravka,G,1,Dec 16,NEW,@LIV,1
5,Martin Dubravka,G,1,Dec 19,NEW,MCI,1
6,Martin Dubravka,G,1,Dec 27,NEW,MUN,1
7,Martin Dubravka,G,1,Jan 15,NEW,WAT,1
8,Martin Dubravka,G,1,Jan 22,NEW,@LEE,1
9,Martin Dubravka,G,1,Feb 8,NEW,EVE,1
10,Martin Dubravka,G,1,Feb 13,NEW,AVL,1
11,Martin Dubravka,G,1,Feb 19,NEW,@WHU,1
12,Martin Dubravka,G,1,Feb 26,NEW,@BRF,1
13,Martin Dubravka,G,1,Mar 5,NEW,BHA,1
14,Martin Dubravka,G,1,Mar 10,NEW,@SOU,1
15,Martin Dubravka,G,1,Mar 13,NEW,@CHE,1
16,Martin Dubravka,G,1,Mar 17,NEW,@EVE,1
17,Martin Dubravka,G,1,Apr 3,NEW,@TOT,1
18,Martin Dubravka,G,1,Apr 8,NEW,WOL,1
19,Martin Dubravka,G,1,Apr 17,NEW,LEI,1
20,Martin Dubravka,G,1,Apr 20,NEW,CRY,1
21,Martin Dubravka,G,1,Apr 23,NEW,@NOR,1
22,Martin Dubravka,G,1,Apr 30,NEW,LIV,1
0,Karl Darlow,G,1,Sep 17,NEW,LEE,1
1,Karl Darlow,G,1,Sep 25,NEW,@WAT,1
2,Karl Darlow,G,1,Oct 2,NEW,@WOL,1
3,Karl Darlow,G,1,Oct 17,NEW,TOT,1
4,Karl Darlow,G,1,Oct 23,NEW,@CRY,1
5,Karl Darlow,G,1,Oct 30,NEW,CHE,1
6,Karl Darlow,G,1,Nov 6,NEW,@BHA,1
7,Karl Darlow,G,1,Nov 20,NEW,BRF,1
0,Freddie Woodman,G,1,Aug 15,NEW,WHU,1
1,Freddie Woodman,G,1,Aug 21,NEW,@AVL,1
2,Freddie Woodman,G,1,Aug 28,NEW,SOU,1
3,Freddie Woodman,G,1,Sep 11,NEW,@MUN,1
0,Kieran Trippier,D,2,Jan 15,NEW,WAT,1
1,Kieran Trippier,D,2,Jan 22,NEW,@LEE,1
2,Kieran Trippier,D,2,Feb 8,NEW,EVE,1
3,Kieran Trippier,D,2,Feb 13,NEW,AVL,1
0,Javier Manquillo,D,2,Sep 11,NEW,@MUN,1
1,Javier Manquillo,D,2,Sep 17,NEW,LEE,1
2,Javier Manquillo,D,2,Sep 25,NEW,@WAT,1
3,Javier Manquillo,D,2,Oct 2,NEW,@WOL,1
4,Javier Manquillo,D,2,Oct 17,NEW,TOT,1
5,Javier Manquillo,D,2,Oct 23,NEW,@CRY,1
6,Javier Manquillo,D,2,Oct 30,NEW,CHE,1
7,Javier Manquillo,D,2,Nov 30,NEW,NOR,1
8,Javier Manquillo,D,2,Dec 4,NEW,BUR,1
9,Javier Manquillo,D,2,Dec 12,NEW,@LEI,1
10,Javier Manquillo,D,2,Dec 16,NEW,@LIV,1
11,Javier Manquillo,D,2,Dec 27,NEW,MUN,1
12,Javier Manquillo,D,2,Jan 22,NEW,@LEE,0
13,Javier Manquillo,D,2,Feb 8,NEW,EVE,0
14,Javier Manquillo,D,2,Feb 13,NEW,AVL,1
15,Javier Manquillo,D,2,Mar 10,NEW,@SOU,0
16,Javier Manquillo,D,2,Mar 13,NEW,@CHE,1
17,Javier Manquillo,D,2,Mar 17,NEW,@EVE,0
18,Javier Manquillo,D,2,Apr 3,NEW,@TOT,1
0,Emil Krafth,D,2,Aug 15,NEW,WHU,1
1,Emil Krafth,D,2,Sep 17,NEW,LEE,0
2,Emil Krafth,D,2,Oct 23,NEW,@CRY,1
3,Emil Krafth,D,2,Oct 30,NEW,CHE,1
4,Emil Krafth,D,2,Nov 6,NEW,@BHA,1
5,Emil Krafth,D,2,Nov 27,NEW,@ARS,1
6,Emil Krafth,D,2,Dec 27,NEW,MUN,1
7,Emil Krafth,D,2,Feb 13,NEW,AVL,0
8,Emil Krafth,D,2,Feb 19,NEW,@WHU,1
9,Emil Krafth,D,2,Feb 26,NEW,@BRF,1
10,Emil Krafth,D,2,Mar 5,NEW,BHA,1
11,Emil Krafth,D,2,Mar 10,NEW,@SOU,1
12,Emil Krafth,D,2,Mar 17,NEW,@EVE,1
13,Emil Krafth,D,2,Apr 8,NEW,WOL,1
