,player,position,position_id,date,team,opp,start
0,Alex McCarthy,G,1,Aug 14,SOU,@EVE,1
1,Alex McCarthy,G,1,Aug 22,SOU,MUN,1
2,Alex McCarthy,G,1,Aug 28,SOU,@NEW,1
3,Alex McCarthy,G,1,Sep 11,SOU,WHU,1
4,Alex McCarthy,G,1,Sep 18,SOU,@MCI,1
5,Alex McCarthy,G,1,Sep 26,SOU,WOL,1
6,Alex McCarthy,G,1,Oct 2,SOU,@CHE,1
7,Alex McCarthy,G,1,Oct 16,SOU,LEE,1
8,Alex McCarthy,G,1,Oct 23,SOU,BUR,1
9,Alex McCarthy,G,1,Oct 30,SOU,@WAT,1
10,Alex McCarthy,G,1,Nov 5,SOU,AVL,1
11,Alex McCarthy,G,1,Nov 20,SOU,@NOR,1
12,Alex McCarthy,G,1,Nov 27,SOU,@LIV,1
13,Alex McCarthy,G,1,Dec 1,SOU,LEI,1
14,Alex McCarthy,G,1,Dec 4,SOU,BHA,1
0,Fraser Forster,G,1,Dec 26,SOU,@WHU,1
1,Fraser Forster,G,1,Dec 28,SOU,TOT,1
2,Fraser Forster,G,1,Jan 11,SOU,BRF,1
3,Fraser Forster,G,1,Jan 15,SOU,@WOL,1
4,Fraser Forster,G,1,Jan 22,SOU,MCI,1
5,Fraser Forster,G,1,Feb 9,SOU,@TOT,1
6,Fraser Forster,G,1,Feb 12,SOU,@MUN,1
7,Fraser Forster,G,1,Feb 19,SOU,EVE,1
8,Fraser Forster,G,1,Feb 25,SOU,NOR,1
9,Fraser Forster,G,1,Mar 5,SOU,@AVL,1
10,Fraser Forster,G,1,Mar 10,SOU,NEW,1
11,Fraser Forster,G,1,Mar 13,SOU,WAT,1
12,Fraser Forster,G,1,Apr 2,SOU,@LEE,1
13,Fraser Forster,G,1,Apr 9,SOU,CHE,1
14,Fraser Forster,G,1,Apr 16,SOU,ARS,1
15,Fraser Forster,G,1,Apr 21,SOU,@BUR,1
16,Fraser Forster,G,1,Apr 24,SOU,@BHA,1
17,Fraser Forster,G,1,Apr 30,SOU,CRY,1
0,Willy Caballero,G,1,Dec 11,SOU,@ARS,1
1,Willy Caballero,G,1,Dec 15,SOU,@CRY,1
0,Kyle Walker-Peters,D,2,Aug 22,SOU,MUN,0
1,Kyle Walker-Peters,D,2,Aug 28,SOU,@NEW,1
2,Kyle Walker-Peters,D,2,Sep 18,SOU,@MCI,1
3,Kyle Walker-Peters,D,2,Sep 26,SOU,WOL,1
4,Kyle Walker-Peters,D,2,Oct 2,SOU,@CHE,1
5,Kyle Walker-Peters,D,2,Oct 30,SOU,@WAT,1
6,Kyle Walker-Peters,D,2,Nov 5,SOU,AVL,1
7,Kyle Walker-Peters,D,2,Nov 20,SOU,@NOR,1
8,Kyle Walker-Peters,D,2,Nov 27,SOU,@LIV,0
9,Kyle Walker-Peters,D,2,Dec 1,SOU,LEI,1
10,Kyle Walker-Peters,D,2,Dec 4,SOU,BHA,1
11,Kyle Walker-Peters,D,2,Dec 11,SOU,@ARS,1
12,Kyle Walker-Peters,D,2,Dec 15,SOU,@CRY,1
13,Kyle Walker-Peters,D,2,Dec 26,SOU,@WHU,1
14,Kyle Walker-Peters,D,2,Dec 28,SOU,TOT,1
15,Kyle Walker-Peters,D,2,Jan 22,SOU,MCI,1
16,Kyle Walker-Peters,D,2,Feb 9,SOU,@TOT,1
17,Kyle Walker-Peters,D,2,Feb 12,SOU,@MUN,1
18,Kyle Walker-Peters,D,2,Feb 19,SOU,EVE,1
19,Kyle Walker-Peters,D,2,Feb 25,SOU,NOR,1
20,Kyle Walker-Peters,D,2,Mar 5,SOU,@AVL,0
21,Kyle Walker-Peters,D,2,Mar 10,SOU,NEW,1
22,Kyle Walker-Peters,D,2,Mar 13,SOU,WAT,1
23,Kyle Walker-Peters,D,2,Apr 2,SOU,@LEE,1
24,Kyle Walker-Peters,D,2,Apr 9,SOU,CHE,1
