,player,position,position_id,date,team,opp,start
0,Ben Foster,G,1,Sep 18,WAT,@NOR,1
1,Ben Foster,G,1,Sep 25,WAT,NEW,1
2,Ben Foster,G,1,Oct 2,WAT,@LEE,1
3,Ben Foster,G,1,Oct 16,WAT,LIV,1
4,Ben Foster,G,1,Oct 23,WAT,@EVE,1
5,Ben Foster,G,1,Oct 30,WAT,SOU,1
6,Ben Foster,G,1,Nov 7,WAT,@ARS,1
7,Ben Foster,G,1,Nov 20,WAT,MUN,1
8,Ben Foster,G,1,Jan 15,WAT,@NEW,1
9,Ben Foster,G,1,Feb 5,WAT,@BUR,1
10,Ben Foster,G,1,Feb 8,WAT,@WHU,1
11,Ben Foster,G,1,Feb 12,WAT,BHA,1
12,Ben Foster,G,1,Feb 19,WAT,@AVL,1
13,Ben Foster,G,1,Feb 23,WAT,CRY,1
14,Ben Foster,G,1,Feb 26,WAT,@MUN,1
15,Ben Foster,G,1,Mar 6,WAT,ARS,1
16,Ben Foster,G,1,Mar 10,WAT,@WOL,1
17,Ben Foster,G,1,Mar 13,WAT,@SOU,1
18,Ben Foster,G,1,Apr 2,WAT,@LIV,1
19,Ben Foster,G,1,Apr 9,WAT,LEE,1
20,Ben Foster,G,1,Apr 16,WAT,BRF,1
21,Ben Foster,G,1,Apr 23,WAT,@MCI,1
22,Ben Foster,G,1,Apr 30,WAT,BUR,1
0,Daniel Bachmann,G,1,Aug 14,WAT,AVL,1
1,Daniel Bachmann,G,1,Aug 21,WAT,@BHA,1
2,Daniel Bachmann,G,1,Aug 29,WAT,@TOT,1
3,Daniel Bachmann,G,1,Sep 11,WAT,WOL,1
4,Daniel Bachmann,G,1,Nov 28,WAT,@LEI,1
5,Daniel Bachmann,G,1,Dec 1,WAT,CHE,1
6,Daniel Bachmann,G,1,Dec 4,WAT,MCI,1
7,Daniel Bachmann,G,1,Dec 10,WAT,@BRF,1
8,Daniel Bachmann,G,1,Dec 28,WAT,WHU,1
9,Daniel Bachmann,G,1,Jan 1,WAT,TOT,1
10,Daniel Bachmann,G,1,Jan 21,WAT,NOR,1
0,Jeremy Ngakia,D,2,Aug 29,WAT,@TOT,0
1,Jeremy Ngakia,D,2,Sep 11,WAT,WOL,1
2,Jeremy Ngakia,D,2,Sep 18,WAT,@NOR,0
3,Jeremy Ngakia,D,2,Sep 25,WAT,NEW,0
4,Jeremy Ngakia,D,2,Oct 16,WAT,LIV,0
5,Jeremy Ngakia,D,2,Oct 23,WAT,@EVE,1
6,Jeremy Ngakia,D,2,Oct 30,WAT,SOU,1
7,Jeremy Ngakia,D,2,Dec 1,WAT,CHE,0
8,Jeremy Ngakia,D,2,Dec 4,WAT,MCI,0
9,Jeremy Ngakia,D,2,Dec 10,WAT,@BRF,1
10,Jeremy Ngakia,D,2,Jan 15,WAT,@NEW,1
11,Jeremy Ngakia,D,2,Feb 8,WAT,@WHU,0
12,Jeremy Ngakia,D,2,Feb 26,WAT,@MUN,1
13,Jeremy Ngakia,D,2,Apr 23,WAT,@MCI,1
0,Nicolas Nkoulou,D,2,Oct 23,WAT,@EVE,0
1,Nicolas Nkoulou,D,2,Nov 7,WAT,@ARS,1
2,Nicolas Nkoulou,D,2,Nov 20,WAT,MUN,1
0,Francisco Femenia Far,D,2,Sep 18,WAT,@NOR,1
1,Francisco Femenia Far,D,2,Sep 25,WAT,NEW,1
2,Francisco Femenia Far,D,2,Oct 2,WAT,@LEE,1
3,Francisco Femenia Far,D,2,Oct 16,WAT,LIV,1
4,Francisco Femenia Far,D,2,Nov 7,WAT,@ARS,1
5,Francisco Femenia Far,D,2,Nov 20,WAT,MUN,1
6,Francisco Femenia Far,D,2,Nov 28,WAT,@LEI,1
