,player,position,position_id,date,team,opp,start
0,Lukasz Fabianski,G,1,Aug 15,WHU,@NEW,1
1,Lukasz Fabianski,G,1,Aug 23,WHU,LEI,1
2,Lukasz Fabianski,G,1,Aug 28,WHU,CRY,1
3,Lukasz Fabianski,G,1,Sep 11,WHU,@SOU,1
4,Lukasz Fabianski,G,1,Sep 19,WHU,MUN,1
5,Lukasz Fabianski,G,1,Sep 25,WHU,@LEE,1
6,Lukasz Fabianski,G,1,Oct 3,WHU,BRF,1
7,Lukasz Fabianski,G,1,Oct 17,WHU,@EVE,1
8,Lukasz Fabianski,G,1,Oct 24,WHU,TOT,1
9,Lukasz Fabianski,G,1,Oct 31,WHU,@AVL,1
10,Lukasz Fabianski,G,1,Nov 7,WHU,LIV,1
11,Lukasz Fabianski,G,1,Nov 20,WHU,@WOL,1
12,Lukasz Fabianski,G,1,Nov 28,WHU,@MCI,1
13,Lukasz Fabianski,G,1,Dec 1,WHU,BHA,1
14,Lukasz Fabianski,G,1,Dec 4,WHU,CHE,1
15,Lukasz Fabianski,G,1,Dec 12,WHU,@BUR,1
16,Lukasz Fabianski,G,1,Dec 15,WHU,@ARS,1
17,Lukasz Fabianski,G,1,Dec 26,WHU,SOU,1
18,Lukasz Fabianski,G,1,Dec 28,WHU,@WAT,1
19,Lukasz Fabianski,G,1,Jan 1,WHU,@CRY,1
20,Lukasz Fabianski,G,1,Jan 12,WHU,NOR,1
21,Lukasz Fabianski,G,1,Jan 16,WHU,LEE,1
22,Lukasz Fabianski,G,1,Feb 8,WHU,WAT,1
23,Lukasz Fabianski,G,1,Feb 13,WHU,@LEI,1
24,Lukasz Fabianski,G,1,Feb 19,WHU,NEW,1
25,Lukasz Fabianski,G,1,Feb 27,WHU,WOL,1
26,Lukasz Fabianski,G,1,Mar 5,WHU,@LIV,1
27,Lukasz Fabianski,G,1,Mar 13,WHU,AVL,1
28,Lukasz Fabianski,G,1,Mar 20,WHU,@TOT,1
29,Lukasz Fabianski,G,1,Apr 3,WHU,EVE,1
30,Lukasz Fabianski,G,1,Apr 10,WHU,@BRF,1
31,Lukasz Fabianski,G,1,Apr 17,WHU,BUR,1
32,Lukasz Fabianski,G,1,Apr 24,WHU,@CHE,1
33,Lukasz Fabianski,G,1,May 1,WHU,ARS,1
0,Alphonse Areola,G,1,Jan 22,WHU,@MUN,1
0,Vladimir Coufal,D,2,Aug 15,WHU,@NEW,1
1,Vladimir Coufal,D,2,Aug 23,WHU,LEI,1
2,Vladimir Coufal,D,2,Aug 28,WHU,CRY,1
3,Vladimir Coufal,D,2,Sep 11,WHU,@SOU,1
4,Vladimir Coufal,D,2,Sep 19,WHU,MUN,1
5,Vladimir Coufal,D,2,Sep 25,WHU,@LEE,1
6,Vladimir Coufal,D,2,Oct 3,WHU,BRF,1
7,Vladimir Coufal,D,2,Oct 31,WHU,@AVL,0
8,Vladimir Coufal,D,2,Nov 7,WHU,LIV,0
9,Vladimir Coufal,D,2,Nov 28,WHU,@MCI,0
10,Vladimir Coufal,D,2,Dec 1,WHU,BHA,1
11,Vladimir Coufal,D,2,Dec 4,WHU,CHE,1
12,Vladimir Coufal,D,2,Dec 12,WHU,@BUR,1
13,Vladimir Coufal,D,2,Dec 15,WHU,@ARS,1
14,Vladimir Coufal,D,2,Dec 26,WHU,SOU,1
15,Vladimir Coufal,D,2,Dec 28,WHU,@WAT,1
16,Vladimir Coufal,D,2,Jan 1,WHU,@CRY,1
17,Vladimir Coufal,D,2,Jan 12,WHU,NOR,1
18,Vladimir Coufal,D,2,Jan 16,WHU,LEE,1
19,Vladimir Coufal,D,2,Jan 22,WHU,@MUN,1
20,Vladimir Coufal,D,2,Feb 8,WHU,WAT,1
21,Vladimir Coufal,D,2,Feb 13,WHU,@LEI,1
22,Vladimir Coufal,D,2,Apr 10,WHU,@BRF,1
23,Vladimir Coufal,D,2,Apr 24,WHU,@CHE,1
24,Vladimir Coufal,D,2,May 1,WHU,ARS,1
0,Ben Johnson,D,2,Aug 15,WHU,@NEW,0
1,Ben Johnson,D,2,Oct 17,WHU,@EVE,1
2,Ben Johnson,D,2,Oct 24,WHU,TOT,1
3,Ben Johnson,D,2,Oct 31,WHU,@AVL,1
4,Ben Johnson,D,2,Nov 7,WHU,LIV,1
5,Ben Johnson,D,2,Nov 20,WHU,@WOL,1
6,Ben Johnson,D,2,Nov 28,WHU,@MCI,1
7,Ben Johnson,D,2,Dec 1,WHU,BHA,1
8,Ben Johnson,D,2,Dec 4,WHU,CHE,1
9,Ben Johnson,D,2,Dec 28,WHU,@WAT,1
10,Ben Johnson,D,2,Jan 1,WHU,@CRY,1
11,Ben Johnson,D,2,Feb 19,WHU,NEW,0
12,Ben Johnson,D,2,Feb 27,WHU,WOL,1
13,Ben Johnson,D,2,Mar 5,WHU,@LIV,1
14,Ben Johnson,D,2,Mar 13,WHU,AVL,1
15,Ben Johnson,D,2,Mar 20,WHU,@TOT,1
16,Ben Johnson,D,2,Apr 17,WHU,BUR,1
17,Ben Johnson,D,2,Apr 24,WHU,@CHE,1
0,Ryan Fredericks,D,2,Aug 15,WHU,@NEW,0
1,Ryan Fredericks,D,2,Jan 22,WHU,@MUN,0
2,Ryan Fredericks,D,2,Feb 13,WHU,@LEI,0
3,Ryan Fredericks,D,2,Feb 19,WHU,NEW,1
4,Ryan Fredericks,D,2,Mar 13,WHU,AVL,0
5,Ryan Fredericks,D,2,Apr 3,WHU,EVE,1
6,Ryan Fredericks,D,2,May 1,WHU,ARS,1
0,Kurt Zouma,D,2,Sep 19,WHU,MUN,1
1,Kurt Zouma,D,2,Sep 25,WHU,@LEE,1
2,Kurt Zouma,D,2,Oct 3,WHU,BRF,1
3,Kurt Zouma,D,2,Oct 17,WHU,@EVE,1
4,Kurt Zouma,D,2,Oct 24,WHU,TOT,1
5,Kurt Zouma,D,2,Oct 31,WHU,@AVL,1
6,Kurt Zouma,D,2,Nov 7,WHU,LIV,1
7,Kurt Zouma,D,2,Nov 20,WHU,@WOL,1
8,Kurt Zouma,D,2,Nov 28,WHU,@MCI,1
9,Kurt Zouma,D,2,Dec 1,WHU,BHA,1
10,Kurt Zouma,D,2,Dec 4,WHU,CHE,1
11,Kurt Zouma,D,2,Jan 22,WHU,@MUN,1
12,Kurt Zouma,D,2,Feb 8,WHU,WAT,1
13,Kurt Zouma,D,2,Feb 19,WHU,NEW,1
14,Kurt Zouma,D,2,Feb 27,WHU,WOL,1
15,Kurt Zouma,D,2,Mar 5,WHU,@LIV,1
16,Kurt Zouma,D,2,Mar 13,WHU,AVL,1
17,Kurt Zouma,D,2,Mar 20,WHU,@TOT,1
18,Kurt Zouma,D,2,Apr 3,WHU,EVE,1
19,Kurt Zouma,D,2,Apr 10,WHU,@BRF,1
20,Kurt Zouma,D,2,May 1,WHU,ARS,1
0,Harrison Ashby,D,2,Dec 15,WHU,@ARS,0
0,Craig Dawson,D,2,Aug 15,WHU,@NEW,1
1,Craig Dawson,D,2,Aug 23,WHU,LEI,1
2,Craig Dawson,D,2,Aug 28,WHU,CRY,1
3,Craig Dawson,D,2,Sep 11,WHU,@SOU,1
4,Craig Dawson,D,2,Sep 25,WHU,@LEE,0
5,Craig Dawson,D,2,Oct 17,WHU,@EVE,0
6,Craig Dawson,D,2,Oct 24,WHU,TOT,0
7,Craig Dawson,D,2,Nov 7,WHU,LIV,0
8,Craig Dawson,D,2,Nov 20,WHU,@WOL,1
9,Craig Dawson,D,2,Nov 28,WHU,@MCI,1
10,Craig Dawson,D,2,Dec 1,WHU,BHA,1
11,Craig Dawson,D,2,Dec 4,WHU,CHE,1
12,Craig Dawson,D,2,Dec 12,WHU,@BUR,1
13,Craig Dawson,D,2,Dec 15,WHU,@ARS,1
14,Craig Dawson,D,2,Dec 26,WHU,SOU,1
15,Craig Dawson,D,2,Dec 28,WHU,@WAT,1
16,Craig Dawson,D,2,Jan 1,WHU,@CRY,1
17,Craig Dawson,D,2,Jan 12,WHU,NOR,1
18,Craig Dawson,D,2,Jan 16,WHU,LEE,1
19,Craig Dawson,D,2,Jan 22,WHU,@MUN,1
20,Craig Dawson,D,2,Feb 8,WHU,WAT,1
21,Craig Dawson,D,2,Feb 13,WHU,@LEI,1
22,Craig Dawson,D,2,Feb 19,WHU,NEW,1
23,Craig Dawson,D,2,Feb 27,WHU,WOL,1
24,Craig Dawson,D,2,Mar 5,WHU,@LIV,1
25,Craig Dawson,D,2,Mar 13,WHU,AVL,1
26,Craig Dawson,D,2,Mar 20,WHU,@TOT,1
27,Craig Dawson,D,2,Apr 3,WHU,EVE,1
28,Craig Dawson,D,2,Apr 10,WHU,@BRF,1
29,Craig Dawson,D,2,Apr 17,WHU,BUR,1
30,Craig Dawson,D,2,Apr 24,WHU,@CHE,1
0,Angelo Ogbonna,D,2,Aug 15,WHU,@NEW,1
1,Angelo Ogbonna,D,2,Aug 23,WHU,LEI,1
2,Angelo Ogbonna,D,2,Aug 28,WHU,CRY,1
3,Angelo Ogbonna,D,2,Sep 11,WHU,@SOU,1
4,Angelo Ogbonna,D,2,Sep 19,WHU,MUN,1
5,Angelo Ogbonna,D,2,Sep 25,WHU,@LEE,1
6,Angelo Ogbonna,D,2,Oct 3,WHU,BRF,1
7,Angelo Ogbonna,D,2,Oct 17,WHU,@EVE,1
8,Angelo Ogbonna,D,2,Oct 24,WHU,TOT,1
9,Angelo Ogbonna,D,2,Oct 31,WHU,@AVL,1
10,Angelo Ogbonna,D,2,Nov 7,WHU,LIV,1
0,Issa Diop,D,2,Dec 4,WHU,CHE,1
1,Issa Diop,D,2,Dec 12,WHU,@BUR,1
2,Issa Diop,D,2,Dec 15,WHU,@ARS,1
3,Issa Diop,D,2,Dec 26,WHU,SOU,1
4,Issa Diop,D,2,Dec 28,WHU,@WAT,1
5,Issa Diop,D,2,Jan 1,WHU,@CRY,1
6,Issa Diop,D,2,Jan 12,WHU,NOR,1
7,Issa Diop,D,2,Jan 16,WHU,LEE,1
8,Issa Diop,D,2,Feb 13,WHU,@LEI,1
9,Issa Diop,D,2,Feb 27,WHU,WOL,0
10,Issa Diop,D,2,Mar 13,WHU,AVL,0
11,Issa Diop,D,2,Apr 10,WHU,@BRF,0
12,Issa Diop,D,2,Apr 17,WHU,BUR,1
0,Aaron Cresswell,D,2,Aug 15,WHU,@NEW,1
1,Aaron Cresswell,D,2,Aug 23,WHU,LEI,1
2,Aaron Cresswell,D,2,Aug 28,WHU,CRY,1
3,Aaron Cresswell,D,2,Sep 11,WHU,@SOU,1
4,Aaron Cresswell,D,2,Sep 19,WHU,MUN,1
5,Aaron Cresswell,D,2,Sep 25,WHU,@LEE,1
6,Aaron Cresswell,D,2,Oct 3,WHU,BRF,1
7,Aaron Cresswell,D,2,Oct 17,WHU,@EVE,1
8,Aaron Cresswell,D,2,Oct 24,WHU,TOT,1
9,Aaron Cresswell,D,2,Oct 31,WHU,@AVL,1
10,Aaron Cresswell,D,2,Nov 7,WHU,LIV,1
11,Aaron Cresswell,D,2,Nov 20,WHU,@WOL,1
12,Aaron Cresswell,D,2,Nov 28,WHU,@MCI,1
13,Aaron Cresswell,D,2,Jan 12,WHU,NOR,1
14,Aaron Cresswell,D,2,Jan 16,WHU,LEE,1
15,Aaron Cresswell,D,2,Jan 22,WHU,@MUN,1
16,Aaron Cresswell,D,2,Feb 8,WHU,WAT,1
17,Aaron Cresswell,D,2,Feb 13,WHU,@LEI,1
18,Aaron Cresswell,D,2,Feb 19,WHU,NEW,1
19,Aaron Cresswell,D,2,Feb 27,WHU,WOL,1
20,Aaron Cresswell,D,2,Mar 5,WHU,@LIV,1
21,Aaron Cresswell,D,2,Mar 13,WHU,AVL,1
22,Aaron Cresswell,D,2,Mar 20,WHU,@TOT,1
23,Aaron Cresswell,D,2,Apr 3,WHU,EVE,1
24,Aaron Cresswell,D,2,Apr 10,WHU,@BRF,1
25,Aaron Cresswell,D,2,Apr 17,WHU,BUR,1
26,Aaron Cresswell,D,2,Apr 24,WHU,@CHE,1
27,Aaron Cresswell,D,2,May 1,WHU,ARS,1
0,Arthur Masuaku,D,2,Nov 7,WHU,LIV,0
1,Arthur Masuaku,D,2,Nov 28,WHU,@MCI,1
2,Arthur Masuaku,D,2,Dec 1,WHU,BHA,0
3,Arthur Masuaku,D,2,Dec 4,WHU,CHE,0
4,Arthur Masuaku,D,2,Dec 12,WHU,@BUR,1
5,Arthur Masuaku,D,2,Dec 15,WHU,@ARS,1
6,Arthur Masuaku,D,2,Dec 26,WHU,SOU,1
7,Arthur Masuaku,D,2,Dec 28,WHU,@WAT,0
8,Arthur Masuaku,D,2,Jan 1,WHU,@CRY,0
9,Arthur Masuaku,D,2,Jan 12,WHU,NOR,0
10,Arthur Masuaku,D,2,Jan 16,WHU,LEE,0
11,Arthur Masuaku,D,2,Mar 20,WHU,@TOT,1
