minutes_played,actual_score,extrapolated_score
1,-0.9,5.25
1,-0.35,6
1,0.5,9.95
1,0.75,15.6
1,1.25,17.5
1,1.5,18.35
1,1.75,22.75
1,2.25,27.6
1,7.25,52.5
2,-0.45,5.25
2,0.5,6
2,0.75,6.5
2,1,9.15
2,1.2,11.5
2,1.25,12.5
2,1.3,12.9
2,1.5,14.25
2,1.6,15.75
2,1.75,16.75
2,2,17.9
2,2.25,21.5
2,2.5,23.95
2,3,27.6
2,7.5,52.5
3,-0.45,5.25
3,0.5,6
3,0.75,6.5
3,1,9.15
3,1.2,11.5
3,1.25,12.5
3,1.3,12.9
3,1.5,14.25
3,1.6,15.75
3,1.75,16.75
3,2,17.9
3,2.25,21.5
3,2.5,23.95
3,3,27.6
3,7.5,52.5
4,0.25,5.25
4,0.5,6
4,0.8,6.5
4,1,8.7
4,1.1,11.05
4,1.25,12.25
4,1.3,12.9
4,1.5,14.25
4,1.65,15.75
4,2,17.5
4,2.25,21.5
4,2.5,23.95
4,4.25,27.6
4,10,52.5
5,0.25,5.25
5,0.75,6
5,0.9,6.5
5,1,8.7
5,1.2,11.05
5,1.25,12.25
5,1.35,12.9
5,1.6,14.25
5,2,16.7
5,2.25,18.35
5,2.4,21.5
5,3.25,23.95
5,4.75,27.6
5,10.75,52.5
6,0.35,5.25
6,0.75,6
6,1,7.85
6,1.1,9.85
6,1.25,11.5
6,1.5,12.5
6,1.6,12.9
6,1.9,14.25
6,2,16.25
6,2.25,17.5
6,2.65,18.35
6,3.25,21.5
6,3.5,23.95
6,5.15,27.6
6,11,52.5
7,0.4,5.25
7,0.75,6
7,1,7.5
7,1.1,9
7,1.25,10.95
7,1.5,12.5
7,1.75,12.9
7,1.95,14.25
7,2,15.75
7,2.1,16.75
7,2.25,17.5
7,2.75,18.35
7,3.25,21.5
7,3.75,23.95
7,5.25,27.6
7,11.6,52.5
8,0.45,5.25
8,0.8,6
8,1,7.5
8,1.25,9.95
8,1.35,11.95
8,1.55,12.5
8,1.75,12.9
8,2,14.25
8,2.15,15.75
8,2.25,17.1
8,2.75,18.35
8,3.25,21.5
8,4.1,23.95
8,6.2,27.6
8,11.6,52.5
9,0.5,5.25
9,0.9,6
9,1,7.5
9,1.25,9.4
9,1.3,11.05
9,1.5,11.95
9,1.65,12.5
9,1.75,12.9
9,2,14.25
9,2.15,15.75
9,2.35,16.75
9,2.5,17.5
9,3,18.35
9,3.4,21.5
9,4.25,23.95
9,7,27.6
9,11.75,52.5
10,0.5,5.25
10,0.9,6
10,1,7.5
10,1.25,9.4
10,1.35,11.05
10,1.5,11.95
10,2,12.5
10,2.1,12.9
10,2.25,15
10,2.5,16.75
10,2.7,17.5
10,3.1,18.35
10,3.75,21.5
10,4.25,23.95
10,7,27.6
10,12.25,52.5
11,0.5,5.25
11,0.95,6
11,1,7
