Player,Team,Position,Position ID,Link
David Raya,BRF,G,1,https://www.fantrax.com/player/05tqx/nzjt0of2l5v4kmsc/david-raya/iy9jb3ozl5v4kmt6
Aaron Hickey,BRF,D,2,https://www.fantrax.com/player/062og/nzjt0of2l5v4kmsc/aaron-hickey/iy9jb3ozl5v4kmt6
Mads Roerslav,BRF,D,2,https://www.fantrax.com/player/05tr5/nzjt0of2l5v4kmsc/mads-roerslev/iy9jb3ozl5v4kmt6
Mads Bech Sorensen,BRF,D,2,https://www.fantrax.com/player/05tr4/nzjt0of2l5v4kmsc/mads-bech-sorensen/iy9jb3ozl5v4kmt6
Pontus Jansson,BRF,D,2,https://www.fantrax.com/player/05tr2/nzjt0of2l5v4kmsc/pontus-jansson/iy9jb3ozl5v4kmt6
Zanka,BRF,D,2,https://www.fantrax.com/player/04fyg/nzjt0of2l5v4kmsc/mathias-jorgensen/iy9jb3ozl5v4kmt6
Ben Mee,BRF,D,2,https://www.fantrax.com/player/03dx7/nzjt0of2l5v4kmsc/ben-mee/iy9jb3ozl5v4kmt6
Rico Henry,BRF,"D,M",3,https://www.fantrax.com/player/05tqz/nzjt0of2l5v4kmsc/rico-henry/iy9jb3ozl5v4kmt6
Shandon Baptiste,BRF,M,4,https://www.fantrax.com/player/05trd/nzjt0of2l5v4kmsc/shandon-baptiste/iy9jb3ozl5v4kmt6
Frank Onyeka,BRF,M,4,https://www.fantrax.com/player/05ue7/nzjt0of2l5v4kmsc/frank-onyeka/iy9jb3ozl5v4kmt6
Vitaly Janelt,BRF,M,4,https://www.fantrax.com/player/05tre/nzjt0of2l5v4kmsc/vitaly-janelt/iy9jb3ozl5v4kmt6
Christian Norgaard,BRF,M,4,https://www.fantrax.com/player/05tr8/nzjt0of2l5v4kmsc/christian-norgaard/iy9jb3ozl5v4kmt6
Mathias Jensen,BRF,M,4,https://www.fantrax.com/player/05tr9/nzjt0of2l5v4kmsc/mathias-jensen/iy9jb3ozl5v4kmt6
Pelenda Joshua Da Silva,BRF,M,4,https://www.fantrax.com/player/048xg/nzjt0of2l5v4kmsc/pelenda-joshua-da-silva/iy9jb3ozl5v4kmt6
Mikkel Damsgaard,BRF,M,4,https://www.fantrax.com/player/063q8/nzjt0of2l5v4kmsc/mikkel-damsgaard/iy9jb3ozl5v4kmt6
Yoane Wissa,BRF,"M,F",5,https://www.fantrax.com/player/05uor/nzjt0of2l5v4kmsc/yoane-wissa/iy9jb3ozl5v4kmt6
Bryan Mbeumo,BRF,"M,F",5,https://www.fantrax.com/player/05trb/nzjt0of2l5v4kmsc/bryan-mbeumo/iy9jb3ozl5v4kmt6
Keane Lewis-Potter,BRF,F,6,https://www.fantrax.com/player/062p3/nzjt0of2l5v4kmsc/keane-lewis-potter/iy9jb3ozl5v4kmt6
Saman Ghoddos,BRF,F,6,https://www.fantrax.com/player/05trk/nzjt0of2l5v4kmsc/saman-ghoddos/iy9jb3ozl5v4kmt6
Halil Dervisoglu,BRF,F,6,https://www.fantrax.com/player/05u44/nzjt0of2l5v4kmsc/halil-dervisoglu/iy9jb3ozl5v4kmt6
Ivan Toney,BRF,F,6,https://www.fantrax.com/player/03v6w/nzjt0of2l5v4kmsc/ivan-toney/iy9jb3ozl5v4kmt6
