Player,Team,Position,Position ID,Link
Dean Henderson,NOT,G,1,https://www.fantrax.com/player/03yww/nzjt0of2l5v4kmsc/dean-henderson/iy9jb3ozl5v4kmt6
Neco Williams,NOT,D,2,https://www.fantrax.com/player/05a6e/nzjt0of2l5v4kmsc/neco-williams/iy9jb3ozl5v4kmt6
Joe Worrall,NOT,D,2,https://www.fantrax.com/player/061xw/nzjt0of2l5v4kmsc/joe-worrall/iy9jb3ozl5v4kmt6
Moussa Niakhate,NOT,D,2,https://www.fantrax.com/player/062h8/nzjt0of2l5v4kmsc/moussa-niakhate/iy9jb3ozl5v4kmt6
Steve Cook,NOT,D,2,https://www.fantrax.com/player/03r8i/nzjt0of2l5v4kmsc/steve-cook/iy9jb3ozl5v4kmt6
Scott McKenna,NOT,D,2,https://www.fantrax.com/player/061y0/nzjt0of2l5v4kmsc/scott-mckenna/iy9jb3ozl5v4kmt6
Giulian Biancone,NOT,D,2,https://www.fantrax.com/player/062dp/nzjt0of2l5v4kmsc/giulian-biancone/iy9jb3ozl5v4kmt6
Harry Toffolo,NOT,D,2,https://www.fantrax.com/player/03rvw/nzjt0of2l5v4kmsc/harry-toffolo/iy9jb3ozl5v4kmt6
Renan Lodi,NOT,D,2,https://www.fantrax.com/player/0647l/nzjt0of2l5v4kmsc/renan-augusto-lodi-dos-santos/iy9jb3ozl5v4kmt6
Cheikhou Kouyate,NOT,M,4,https://www.fantrax.com/player/03eki/nzjt0of2l5v4kmsc/cheikhou-kouyate/iy9jb3ozl5v4kmt6
Jack Colback,NOT,M,4,https://www.fantrax.com/player/02m5i/nzjt0of2l5v4kmsc/jack-colback/iy9jb3ozl5v4kmt6
Orel Mangala,NOT,M,4,https://www.fantrax.com/player/0637b/nzjt0of2l5v4kmsc/orel-mangala/iy9jb3ozl5v4kmt6
Ryan Yates,NOT,M,4,https://www.fantrax.com/player/061y6/nzjt0of2l5v4kmsc/ryan-yates/iy9jb3ozl5v4kmt6
Cafu,NOT,M,4,https://www.fantrax.com/player/061y4/nzjt0of2l5v4kmsc/carlos-miguel-ribeiro-dias/iy9jb3ozl5v4kmt6
Lewis O'Brien,NOT,M,4,https://www.fantrax.com/player/04mlb/nzjt0of2l5v4kmsc/lewis-obrien/iy9jb3ozl5v4kmt6
Remo Freuler,NOT,M,4,https://www.fantrax.com/player/063u9/nzjt0of2l5v4kmsc/remo-freuler/iy9jb3ozl5v4kmt6
Morgan Gibbs-White,NOT,M,4,https://www.fantrax.com/player/04qr9/nzjt0of2l5v4kmsc/morgan-gibbs-white/iy9jb3ozl5v4kmt6
Jesse Lingard,NOT,M,4,https://www.fantrax.com/player/02lni/nzjt0of2l5v4kmsc/jesse-lingard/iy9jb3ozl5v4kmt6
Alex Mighten,NOT,F,6,https://www.fantrax.com/player/061y9/nzjt0of2l5v4kmsc/alex-mighten/iy9jb3ozl5v4kmt6
Brennan Johnson,NOT,F,6,https://www.fantrax.com/player/061ya/nzjt0of2l5v4kmsc/brennan-johnson/iy9jb3ozl5v4kmt6
Emmanuel Dennis,NOT,F,6,https://www.fantrax.com/player/05tz8/nzjt0of2l5v4kmsc/emmanuel-dennis/iy9jb3ozl5v4kmt6
Sam Surridge,NOT,F,6,https://www.fantrax.com/player/03wpc/nzjt0of2l5v4kmsc/sam-surridge/iy9jb3ozl5v4kmt6
Taiwo Awoniyi,NOT,F,6,https://www.fantrax.com/player/04rzl/nzjt0of2l5v4kmsc/taiwo-awoniyi/iy9jb3ozl5v4kmt6
