,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Bernd Leno,G,1,Sep 3,FUL,@TOT,L 1-2,14.5,90,1
1,Bernd Leno,G,1,Aug 30,FUL,BHA,W 2-1,8.5,90,1
2,Bernd Leno,G,1,Aug 27,FUL,@ARS,L 1-2,13.0,90,1
3,Bernd Leno,G,1,Aug 20,FUL,BRF,W 3-2,8.5,90,1
0,Marek Rodak,G,1,Aug 13,FUL,@WOL,T 0-0,14.5,90,1
1,Marek Rodak,G,1,Aug 6,FUL,LIV,T 2-2,5.0,90,1
0,Kenny Tete,D,2,Sep 3,FUL,@TOT,L 1-2,14.85,90,1
1,Kenny Tete,D,2,Aug 30,FUL,BHA,W 2-1,7.0,90,1
2,Kenny Tete,D,2,Aug 27,FUL,@ARS,L 1-2,8.3,78,1
3,Kenny Tete,D,2,Aug 20,FUL,BRF,W 3-2,4.55,76,1
4,Kenny Tete,D,2,Aug 13,FUL,@WOL,T 0-0,13.6,88,1
5,Kenny Tete,D,2,Aug 6,FUL,LIV,T 2-2,16.75,90,1
0,Kevin Mbabu,D,2,Sep 3,FUL,@TOT,L 1-2,7.0,60,0
1,Kevin Mbabu,D,2,Aug 27,FUL,@ARS,L 1-2,2.1,10,0
2,Kevin Mbabu,D,2,Aug 20,FUL,BRF,W 3-2,10.5,12,0
3,Kevin Mbabu,D,2,Aug 13,FUL,@WOL,T 0-0,0.5,1,0
0,Tosin Adarabioyo,D,2,Sep 3,FUL,@TOT,L 1-2,7.35,90,1
1,Tosin Adarabioyo,D,2,Aug 30,FUL,BHA,W 2-1,7.05,90,1
2,Tosin Adarabioyo,D,2,Aug 27,FUL,@ARS,L 1-2,9.55,90,1
3,Tosin Adarabioyo,D,2,Aug 20,FUL,BRF,W 3-2,8.15,90,1
4,Tosin Adarabioyo,D,2,Aug 13,FUL,@WOL,T 0-0,12.55,90,1
5,Tosin Adarabioyo,D,2,Aug 6,FUL,LIV,T 2-2,5.95,90,1
0,Tim Ream,D,2,Sep 3,FUL,@TOT,L 1-2,8.95,90,1
1,Tim Ream,D,2,Aug 30,FUL,BHA,W 2-1,8.05,90,1
2,Tim Ream,D,2,Aug 27,FUL,@ARS,L 1-2,13.2,87,1
3,Tim Ream,D,2,Aug 20,FUL,BRF,W 3-2,6.4,90,1
4,Tim Ream,D,2,Aug 13,FUL,@WOL,T 0-0,17.4,90,1
5,Tim Ream,D,2,Aug 6,FUL,LIV,T 2-2,8.0,90,1
0,Issa Diop,D,2,Aug 27,FUL,@ARS,L 1-2,2.35,10,0
0,Shane Duffy,D,2,Aug 20,FUL,BRF,W 3-2,0.75,1,0
1,Shane Duffy,D,2,Aug 6,FUL,LIV,T 2-2,0.5,1,0
0,Antonee Robinson,D,2,Sep 3,FUL,@TOT,L 1-2,1.6,28,1
1,Antonee Robinson,D,2,Aug 30,FUL,BHA,W 2-1,6.2,90,1
2,Antonee Robinson,D,2,Aug 27,FUL,@ARS,L 1-2,13.0,90,1
3,Antonee Robinson,D,2,Aug 20,FUL,BRF,W 3-2,8.3,90,1
4,Antonee Robinson,D,2,Aug 13,FUL,@WOL,T 0-0,16.05,90,1
5,Antonee Robinson,D,2,Aug 6,FUL,LIV,T 2-2,8.5,90,1
0,Harrison Reed,M,4,Sep 3,FUL,@TOT,L 1-2,7.25,90,1
1,Harrison Reed,M,4,Aug 30,FUL,BHA,W 2-1,1.5,88,1
2,Harrison Reed,M,4,Aug 27,FUL,@ARS,L 1-2,6.95,90,1
3,Harrison Reed,M,4,Aug 20,FUL,BRF,W 3-2,7.6,90,1
4,Harrison Reed,M,4,Aug 13,FUL,@WOL,T 0-0,10.0,90,1
5,Harrison Reed,M,4,Aug 6,FUL,LIV,T 2-2,11.3,90,1
0,Tyrese Francois,M,4,Aug 13,FUL,@WOL,T 0-0,0.85,1,0
0,Nathaniel Chalobah,M,4,Aug 30,FUL,BHA,W 2-1,0.6,1,0
1,Nathaniel Chalobah,M,4,Aug 27,FUL,@ARS,L 1-2,1.5,1,0
0,Joao Palhinha,M,4,Sep 3,FUL,@TOT,L 1-2,8.1,84,1
1,Joao Palhinha,M,4,Aug 30,FUL,BHA,W 2-1,11.2,90,1
2,Joao Palhinha,M,4,Aug 27,FUL,@ARS,L 1-2,7.05,87,1
3,Joao Palhinha,M,4,Aug 20,FUL,BRF,W 3-2,16.8,90,1
4,Joao Palhinha,M,4,Aug 13,FUL,@WOL,T 0-0,5.7,90,1
5,Joao Palhinha,M,4,Aug 6,FUL,LIV,T 2-2,9.6,90,1
0,Neeskens Kebano,M,4,Sep 3,FUL,@TOT,L 1-2,3.6,59,1
1,Neeskens Kebano,M,4,Aug 30,FUL,BHA,W 2-1,16.25,90,1
2,Neeskens Kebano,M,4,Aug 27,FUL,@ARS,L 1-2,6.0,68,1
3,Neeskens Kebano,M,4,Aug 13,FUL,@WOL,T 0-0,8.35,82,1
4,Neeskens Kebano,M,4,Aug 6,FUL,LIV,T 2-2,5.5,65,1
0,Tom Cairney,M,4,Sep 3,FUL,@TOT,L 1-2,2.75,28,0
1,Tom Cairney,M,4,Aug 30,FUL,BHA,W 2-1,1.5,11,0
2,Tom Cairney,M,4,Aug 27,FUL,@ARS,L 1-2,1.5,20,0
3,Tom Cairney,M,4,Aug 20,FUL,BRF,W 3-2,2.75,12,0
4,Tom Cairney,M,4,Aug 13,FUL,@WOL,T 0-0,2.5,3,0
5,Tom Cairney,M,4,Aug 6,FUL,LIV,T 2-2,0.5,1,0
0,Andreas Pereira,M,4,Sep 3,FUL,@TOT,L 1-2,3.25,60,1
1,Andreas Pereira,M,4,Aug 30,FUL,BHA,W 2-1,11.75,77,1
2,Andreas Pereira,M,4,Aug 27,FUL,@ARS,L 1-2,7.0,78,1
3,Andreas Pereira,M,4,Aug 20,FUL,BRF,W 3-2,21.75,90,1
4,Andreas Pereira,M,4,Aug 13,FUL,@WOL,T 0-0,5.95,85,1
5,Andreas Pereira,M,4,Aug 6,FUL,LIV,T 2-2,5.5,88,1
0,Daniel James,"M,F",5,Sep 3,FUL,@TOT,L 1-2,2.5,29,0
1,Daniel James,"M,F",5,Aug 30,LEE,EVE,T 1-1,1.25,13,0
2,Daniel James,"M,F",5,Aug 27,LEE,@BHA,L 0-1,4.1,58,1
3,Daniel James,"M,F",5,Aug 21,LEE,CHE,W 3-0,7.1,69,1
4,Daniel James,"M,F",5,Aug 13,LEE,@SOU,T 2-2,7.25,55,0
0,Bobby De Cordova-Reid,F,6,Sep 3,FUL,@TOT,L 1-2,2.35,59,1
1,Bobby De Cordova-Reid,F,6,Aug 30,FUL,BHA,W 2-1,7.0,90,1
2,Bobby De Cordova-Reid,F,6,Aug 27,FUL,@ARS,L 1-2,5.95,90,1
3,Bobby De Cordova-Reid,F,6,Aug 20,FUL,BRF,W 3-2,15.25,90,1
4,Bobby De Cordova-Reid,F,6,Aug 13,FUL,@WOL,T 0-0,8.85,88,1
5,Bobby De Cordova-Reid,F,6,Aug 6,FUL,LIV,T 2-2,7.6,88,1
0,Willian,F,6,Sep 3,FUL,@TOT,L 1-2,0.5,29,0
0,Manor Solomon,F,6,Aug 6,FUL,LIV,T 2-2,1.5,23,0
0,Aleksandar Mitrovic,F,6,Sep 3,FUL,@TOT,L 1-2,17.35,90,1
1,Aleksandar Mitrovic,F,6,Aug 30,FUL,BHA,W 2-1,25.25,90,1
2,Aleksandar Mitrovic,F,6,Aug 27,FUL,@ARS,L 1-2,18.2,90,1
3,Aleksandar Mitrovic,F,6,Aug 20,FUL,BRF,W 3-2,22.5,88,1
4,Aleksandar Mitrovic,F,6,Aug 13,FUL,@WOL,T 0-0,1.7,90,1
