,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Illian Meslier,G,1,Sep 3,LEE,@BRF,L 2-5,6.5,90,1
1,Illian Meslier,G,1,Aug 30,LEE,EVE,T 1-1,5.5,90,1
2,Illian Meslier,G,1,Aug 27,LEE,@BHA,L 0-1,9.5,90,1
3,Illian Meslier,G,1,Aug 21,LEE,CHE,W 3-0,16.5,90,1
4,Illian Meslier,G,1,Aug 13,LEE,@SOU,T 2-2,6.0,90,1
5,Illian Meslier,G,1,Aug 6,LEE,WOL,W 2-1,10.5,90,1
0,Rasmus Kristensen,D,2,Aug 30,LEE,EVE,T 1-1,10.75,90,1
1,Rasmus Kristensen,D,2,Aug 27,LEE,@BHA,L 0-1,8.85,90,1
2,Rasmus Kristensen,D,2,Aug 21,LEE,CHE,W 3-0,17.55,90,1
3,Rasmus Kristensen,D,2,Aug 13,LEE,@SOU,T 2-2,6.6,90,1
4,Rasmus Kristensen,D,2,Aug 6,LEE,WOL,W 2-1,9.4,90,1
0,Luke Ayling,D,2,Sep 3,LEE,@BRF,L 2-5,12.75,19,0
0,Cody Drameh,D,2,Sep 3,LEE,@BRF,L 2-5,7.6,69,1
0,Robin Koch,D,2,Sep 3,LEE,@BRF,L 2-5,4.45,90,1
1,Robin Koch,D,2,Aug 30,LEE,EVE,T 1-1,8.35,90,1
2,Robin Koch,D,2,Aug 27,LEE,@BHA,L 0-1,10.05,90,1
3,Robin Koch,D,2,Aug 21,LEE,CHE,W 3-0,15.85,90,1
4,Robin Koch,D,2,Aug 13,LEE,@SOU,T 2-2,7.8,90,1
5,Robin Koch,D,2,Aug 6,LEE,WOL,W 2-1,10.15,90,1
0,Diego Llorente,D,2,Sep 3,LEE,@BRF,L 2-5,3.7,90,1
1,Diego Llorente,D,2,Aug 30,LEE,EVE,T 1-1,7.05,90,1
2,Diego Llorente,D,2,Aug 27,LEE,@BHA,L 0-1,14.1,90,1
3,Diego Llorente,D,2,Aug 21,LEE,CHE,W 3-0,17.3,90,1
4,Diego Llorente,D,2,Aug 13,LEE,@SOU,T 2-2,9.9,90,1
5,Diego Llorente,D,2,Aug 6,LEE,WOL,W 2-1,11.4,90,1
0,Pascal Struijk,D,2,Sep 3,LEE,@BRF,L 2-5,5.8,90,1
1,Pascal Struijk,D,2,Aug 30,LEE,EVE,T 1-1,15.7,90,1
2,Pascal Struijk,D,2,Aug 27,LEE,@BHA,L 0-1,7.1,90,1
3,Pascal Struijk,D,2,Aug 21,LEE,CHE,W 3-0,18.7,90,1
4,Pascal Struijk,D,2,Aug 13,LEE,@SOU,T 2-2,20.45,90,1
5,Pascal Struijk,D,2,Aug 6,LEE,WOL,W 2-1,12.8,90,1
0,Adam Forshaw,M,4,Aug 27,LEE,@BHA,L 0-1,4.5,15,0
1,Adam Forshaw,M,4,Aug 21,LEE,CHE,W 3-0,1.25,28,0
2,Adam Forshaw,M,4,Aug 13,LEE,@SOU,T 2-2,0.75,1,0
0,Marc Roca,M,4,Sep 3,LEE,@BRF,L 2-5,18.7,85,1
1,Marc Roca,M,4,Aug 30,LEE,EVE,T 1-1,13.85,90,1
2,Marc Roca,M,4,Aug 27,LEE,@BHA,L 0-1,5.7,58,1
3,Marc Roca,M,4,Aug 21,LEE,CHE,W 3-0,8.25,60,1
4,Marc Roca,M,4,Aug 13,LEE,@SOU,T 2-2,9.6,87,1
5,Marc Roca,M,4,Aug 6,LEE,WOL,W 2-1,10.25,72,1
0,Tyler Adams,M,4,Sep 3,LEE,@BRF,L 2-5,14.75,90,1
1,Tyler Adams,M,4,Aug 30,LEE,EVE,T 1-1,9.1,90,1
2,Tyler Adams,M,4,Aug 27,LEE,@BHA,L 0-1,6.85,90,1
3,Tyler Adams,M,4,Aug 21,LEE,CHE,W 3-0,12.6,90,1
4,Tyler Adams,M,4,Aug 13,LEE,@SOU,T 2-2,11.35,90,1
5,Tyler Adams,M,4,Aug 6,LEE,WOL,W 2-1,7.2,90,1
0,Mateusz Klich,M,4,Sep 3,LEE,@BRF,L 2-5,1.5,30,0
1,Mateusz Klich,M,4,Aug 30,LEE,EVE,T 1-1,3.6,25,0
2,Mateusz Klich,M,4,Aug 27,LEE,@BHA,L 0-1,7.25,30,0
3,Mateusz Klich,M,4,Aug 21,LEE,CHE,W 3-0,1.0,6,0
4,Mateusz Klich,M,4,Aug 13,LEE,@SOU,T 2-2,4.0,5,0
5,Mateusz Klich,M,4,Aug 6,LEE,WOL,W 2-1,2.5,24,0
0,Brenden Aaronson,M,4,Sep 3,LEE,@BRF,L 2-5,9.5,90,1
1,Brenden Aaronson,M,4,Aug 30,LEE,EVE,T 1-1,17.25,75,1
2,Brenden Aaronson,M,4,Aug 27,LEE,@BHA,L 0-1,6.1,81,1
3,Brenden Aaronson,M,4,Aug 21,LEE,CHE,W 3-0,20.5,82,1
4,Brenden Aaronson,M,4,Aug 13,LEE,@SOU,T 2-2,5.5,90,1
5,Brenden Aaronson,M,4,Aug 6,LEE,WOL,W 2-1,3.75,84,1
0,Crysencio Summerville,M,4,Sep 3,LEE,@BRF,L 2-5,3.25,30,0
1,Crysencio Summerville,M,4,Aug 6,LEE,WOL,W 2-1,1.25,4,0
0,Jack Harrison,M,4,Sep 3,LEE,@BRF,L 2-5,6.0,45,1
1,Jack Harrison,M,4,Aug 30,LEE,EVE,T 1-1,9.0,90,1
2,Jack Harrison,M,4,Aug 27,LEE,@BHA,L 0-1,9.0,73,1
3,Jack Harrison,M,4,Aug 21,LEE,CHE,W 3-0,31.6,81,1
