,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Danny Ward,G,1,Sep 4,LEI,@BHA,L 2-5,13.0,90,1
1,Danny Ward,G,1,Sep 1,LEI,MUN,L 0-1,5.0,90,1
2,Danny Ward,G,1,Aug 27,LEI,@CHE,L 1-2,4.0,90,1
3,Danny Ward,G,1,Aug 20,LEI,SOU,L 1-2,4.0,90,1
4,Danny Ward,G,1,Aug 13,LEI,@ARS,L 2-4,8.0,90,1
5,Danny Ward,G,1,Aug 7,LEI,BRF,T 2-2,4.0,90,1
0,James Justin,D,2,Sep 4,LEI,@BHA,L 2-5,3.85,90,1
1,James Justin,D,2,Sep 1,LEI,MUN,L 0-1,10.65,90,1
2,James Justin,D,2,Aug 27,LEI,@CHE,L 1-2,12.55,90,1
3,James Justin,D,2,Aug 20,LEI,SOU,L 1-2,7.25,90,1
4,James Justin,D,2,Aug 13,LEI,@ARS,L 2-4,8.95,90,1
5,James Justin,D,2,Aug 7,LEI,BRF,T 2-2,9.35,90,1
0,Jonny Evans,D,2,Sep 4,LEI,@BHA,L 2-5,6.4,90,1
1,Jonny Evans,D,2,Sep 1,LEI,MUN,L 0-1,14.1,90,1
2,Jonny Evans,D,2,Aug 27,LEI,@CHE,L 1-2,7.05,90,1
3,Jonny Evans,D,2,Aug 20,LEI,SOU,L 1-2,6.8,90,1
4,Jonny Evans,D,2,Aug 13,LEI,@ARS,L 2-4,2.3,90,1
5,Jonny Evans,D,2,Aug 7,LEI,BRF,T 2-2,4.5,90,1
0,Daniel Amartey,D,2,Sep 4,LEI,@BHA,L 2-5,2.6,17,0
1,Daniel Amartey,D,2,Aug 27,LEI,@CHE,L 1-2,10.35,90,1
2,Daniel Amartey,D,2,Aug 20,LEI,SOU,L 1-2,6.75,90,1
3,Daniel Amartey,D,2,Aug 13,LEI,@ARS,L 2-4,4.85,62,1
4,Daniel Amartey,D,2,Aug 7,LEI,BRF,T 2-2,5.5,90,1
0,Timothy Castagne,D,2,Sep 4,LEI,@BHA,L 2-5,2.45,45,0
1,Timothy Castagne,D,2,Aug 27,LEI,@CHE,L 1-2,8.3,90,1
2,Timothy Castagne,D,2,Aug 20,LEI,SOU,L 1-2,4.8,90,1
3,Timothy Castagne,D,2,Aug 13,LEI,@ARS,L 2-4,6.45,90,1
4,Timothy Castagne,D,2,Aug 7,LEI,BRF,T 2-2,18.5,90,1
0,Luke Thomas,D,2,Sep 4,LEI,@BHA,L 2-5,-1.8,90,1
1,Luke Thomas,D,2,Sep 1,LEI,MUN,L 0-1,8.3,90,1
0,Wilfred Ndidi,M,4,Sep 4,LEI,@BHA,L 2-5,7.6,90,1
1,Wilfred Ndidi,M,4,Sep 1,LEI,MUN,L 0-1,12.75,90,1
2,Wilfred Ndidi,M,4,Aug 27,LEI,@CHE,L 1-2,0.5,1,0
3,Wilfred Ndidi,M,4,Aug 20,LEI,SOU,L 1-2,14.75,90,1
4,Wilfred Ndidi,M,4,Aug 13,LEI,@ARS,L 2-4,8.2,90,1
5,Wilfred Ndidi,M,4,Aug 7,LEI,BRF,T 2-2,8.75,90,1
0,Boubakary Soumare,M,4,Sep 4,LEI,@BHA,L 2-5,6.8,71,1
1,Boubakary Soumare,M,4,Sep 1,LEI,MUN,L 0-1,9.0,90,1
2,Boubakary Soumare,M,4,Aug 27,LEI,@CHE,L 1-2,4.75,54,1
0,Youri Tielemans,M,4,Sep 4,LEI,@BHA,L 2-5,17.35,71,1
1,Youri Tielemans,M,4,Sep 1,LEI,MUN,L 0-1,8.85,75,1
2,Youri Tielemans,M,4,Aug 27,LEI,@CHE,L 1-2,16.45,88,1
3,Youri Tielemans,M,4,Aug 20,LEI,SOU,L 1-2,3.35,24,0
4,Youri Tielemans,M,4,Aug 13,LEI,@ARS,L 2-4,3.25,62,1
5,Youri Tielemans,M,4,Aug 7,LEI,BRF,T 2-2,11.25,90,1
0,Kiernan Dewsbury-Hall,M,4,Sep 4,LEI,@BHA,L 2-5,1.25,17,0
1,Kiernan Dewsbury-Hall,M,4,Sep 1,LEI,MUN,L 0-1,13.5,90,1
2,Kiernan Dewsbury-Hall,M,4,Aug 27,LEI,@CHE,L 1-2,5.35,90,1
3,Kiernan Dewsbury-Hall,M,4,Aug 20,LEI,SOU,L 1-2,13.1,90,1
4,Kiernan Dewsbury-Hall,M,4,Aug 13,LEI,@ARS,L 2-4,7.75,90,1
