,player,position,position_id,date,team,opp,score,fpts,min,starts
0,David de Gea,G,1,Sep 4,MUN,ARS,W 3-1,8.5,90,1
1,David de Gea,G,1,Sep 1,MUN,@LEI,W 1-0,16.0,90,1
2,David de Gea,G,1,Aug 27,MUN,@SOU,W 1-0,18.5,90,1
3,David de Gea,G,1,Aug 22,MUN,LIV,W 2-1,12.0,90,1
4,David de Gea,G,1,Aug 13,MUN,@BRF,L 0-4,6.5,90,1
5,David de Gea,G,1,Aug 7,MUN,BHA,L 1-2,5.5,90,1
0,Diogo Dalot,D,2,Sep 4,MUN,ARS,W 3-1,9.2,90,1
1,Diogo Dalot,D,2,Sep 1,MUN,@LEI,W 1-0,18.85,90,1
2,Diogo Dalot,D,2,Aug 27,MUN,@SOU,W 1-0,26.8,90,1
3,Diogo Dalot,D,2,Aug 22,MUN,LIV,W 2-1,10.65,85,1
4,Diogo Dalot,D,2,Aug 13,MUN,@BRF,L 0-4,8.05,90,1
5,Diogo Dalot,D,2,Aug 7,MUN,BHA,L 1-2,13.1,90,1
0,Aaron Wan-Bissaka,D,2,Aug 22,MUN,LIV,W 2-1,1.7,3,0
0,Harry Maguire,D,2,Sep 4,MUN,ARS,W 3-1,-0.8,9,0
1,Harry Maguire,D,2,Aug 13,MUN,@BRF,L 0-4,5.95,90,1
2,Harry Maguire,D,2,Aug 7,MUN,BHA,L 1-2,8.95,90,1
0,Raphael Varane,D,2,Sep 4,MUN,ARS,W 3-1,5.5,90,1
1,Raphael Varane,D,2,Sep 1,MUN,@LEI,W 1-0,14.55,90,1
2,Raphael Varane,D,2,Aug 27,MUN,@SOU,W 1-0,14.35,90,1
3,Raphael Varane,D,2,Aug 22,MUN,LIV,W 2-1,7.05,90,1
4,Raphael Varane,D,2,Aug 13,MUN,@BRF,L 0-4,3.7,45,0
0,Lisandro Martinez,D,2,Sep 4,MUN,ARS,W 3-1,4.9,79,1
1,Lisandro Martinez,D,2,Sep 1,MUN,@LEI,W 1-0,12.8,90,1
2,Lisandro Martinez,D,2,Aug 27,MUN,@SOU,W 1-0,19.2,90,1
3,Lisandro Martinez,D,2,Aug 22,MUN,LIV,W 2-1,8.95,90,1
4,Lisandro Martinez,D,2,Aug 13,MUN,@BRF,L 0-4,3.95,45,1
5,Lisandro Martinez,D,2,Aug 7,MUN,BHA,L 1-2,7.65,90,1
0,Luke Shaw,D,2,Aug 13,MUN,@BRF,L 0-4,2.45,45,1
1,Luke Shaw,D,2,Aug 7,MUN,BHA,L 1-2,9.0,88,1
0,Tyrell Malacia,D,2,Sep 4,MUN,ARS,W 3-1,8.95,90,1
1,Tyrell Malacia,D,2,Sep 1,MUN,@LEI,W 1-0,10.5,90,1
2,Tyrell Malacia,D,2,Aug 27,MUN,@SOU,W 1-0,19.8,90,1
3,Tyrell Malacia,D,2,Aug 22,MUN,LIV,W 2-1,9.05,90,1
4,Tyrell Malacia,D,2,Aug 13,MUN,@BRF,L 0-4,2.85,45,0
5,Tyrell Malacia,D,2,Aug 7,MUN,BHA,L 1-2,2.75,1,0
0,Casemiro,M,4,Sep 4,MUN,ARS,W 3-1,6.25,9,0
1,Casemiro,M,4,Sep 1,MUN,@LEI,W 1-0,5.0,30,0
2,Casemiro,M,4,Aug 27,MUN,@SOU,W 1-0,3.85,9,0
0,Scott McTominay,M,4,Sep 4,MUN,ARS,W 3-1,5.65,90,1
1,Scott McTominay,M,4,Sep 1,MUN,@LEI,W 1-0,13.6,90,1
2,Scott McTominay,M,4,Aug 27,MUN,@SOU,W 1-0,8.05,90,1
3,Scott McTominay,M,4,Aug 22,MUN,LIV,W 2-1,12.45,90,1
4,Scott McTominay,M,4,Aug 13,MUN,@BRF,L 0-4,7.05,45,0
5,Scott McTominay,M,4,Aug 7,MUN,BHA,L 1-2,4.75,77,1
0,Fred,M,4,Sep 4,MUN,ARS,W 3-1,4.75,22,0
1,Fred,M,4,Sep 1,MUN,@LEI,W 1-0,2.25,2,0
2,Fred,M,4,Aug 27,MUN,@SOU,W 1-0,-1.5,1,0
3,Fred,M,4,Aug 22,MUN,LIV,W 2-1,4.5,18,0
4,Fred,M,4,Aug 13,MUN,@BRF,L 0-4,4.5,45,1
5,Fred,M,4,Aug 7,MUN,BHA,L 1-2,5.85,52,1
0,Donny van de Beek,M,4,Aug 22,MUN,LIV,W 2-1,1.0,3,0
1,Donny van de Beek,M,4,Aug 13,MUN,@BRF,L 0-4,1.0,2,0
2,Donny van de Beek,M,4,Aug 7,MUN,BHA,L 1-2,1.75,11,0
0,Alejandro Garnacho,M,4,Aug 7,MUN,BHA,L 1-2,0.5,1,0
0,Bruno Fernandes,M,4,Sep 4,MUN,ARS,W 3-1,16.35,90,1
1,Bruno Fernandes,M,4,Sep 1,MUN,@LEI,W 1-0,11.2,90,1
2,Bruno Fernandes,M,4,Aug 27,MUN,@SOU,W 1-0,17.85,90,1
3,Bruno Fernandes,M,4,Aug 22,MUN,LIV,W 2-1,11.0,90,1
