GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
1,LIV,NOR,88,3,LIVNOR,4,1
1,WHU,MCI,10,74,WHUMCI,0,5
1,BUR,SOU,45,30,BURSOU,3,0
1,CRY,EVE,36,38,CRYEVE,0,0
1,WAT,BHA,51,24,WATBHA,0,3
1,BOU,SHU,55,21,BOUSHU,1,1
1,TOT,AVL,73,9,TOTAVL,3,1
1,NEW,ARS,31,45,NEWARS,0,1
1,LEI,WOL,47,26,LEIWOL,0,0
1,MUN,CHE,37,38,MUNCHE,4,0
2,ARS,BUR,64,16,ARSBUR,2,1
2,AVL,BOU,40,35,AVLBOU,1,2
2,EVE,WAT,59,18,EVEWAT,1,0
2,SOU,LIV,14,67,SOULIV,1,2
2,BHA,WHU,40,34,BHAWHU,1,1
2,NOR,NEW,39,33,NORNEW,3,1
2,MCI,TOT,69,12,MCITOT,2,2
2,SHU,CRY,37,36,SHUCRY,1,0
2,CHE,LEI,62,16,CHELEI,1,1
2,WOL,MUN,32,42,WOLMUN,1,1
3,AVL,EVE,30,42,AVLEVE,2,0
3,NOR,CHE,21,55,NORCHE,2,3
3,MUN,CRY,64,15,MUNCRY,1,2
3,WAT,WHU,45,30,WATWHU,1,3
3,BHA,SOU,41,32,BHASOU,0,2
3,SHU,LEI,33,39,SHULEI,1,2
3,LIV,ARS,66,15,LIVARS,3,1
3,BOU,MCI,9,77,BOUMCI,1,3
3,TOT,NEW,70,11,TOTNEW,0,1
3,WOL,BUR,49,24,WOLBUR,1,1
4,SOU,MUN,28,47,SOUMUN,1,1
4,CHE,SHU,74,8,CHESHU,2,2
4,NEW,WAT,46,28,NEWWAT,1,1
4,MCI,BHA,91,1,MCIBHA,4,0
4,WHU,NOR,52,23,WHUNOR,2,0
4,CRY,AVL,50,24,CRYAVL,1,0
4,LEI,BOU,53,23,LEIBOU,3,1
4,BUR,LIV,14,66,BURLIV,0,3
4,EVE,WOL,51,21,EVEWOL,3,2
4,ARS,TOT,39,36,ARSTOT,2,2
5,LIV,NEW,85,3,LIVNEW,3,1
5,MUN,LEI,55,21,MUNLEI,1,0
5,TOT,CRY,65,14,TOTCRY,4,0
5,WOL,CHE,29,46,WOLCHE,2,5
5,BHA,BUR,41,31,BHABUR,1,1
5,SHU,SOU,40,33,SHUSOU,0,1
5,NOR,MCI,7,79,NORMCI,3,2
5,BOU,EVE,36,39,BOUEVE,3,1
5,WAT,ARS,29,48,WATARS,2,2
5,AVL,WHU,40,34,AVLWHU,0,0
6,SOU,BOU,45,31,SOUBOU,1,3
6,LEI,TOT,32,41,LEITOT,2,1
6,EVE,SHU,58,17,EVESHU,0,2
6,MCI,WAT,89,3,MCIWAT,8,0
6,BUR,NOR,49,25,BURNOR,2,0
6,NEW,BHA,47,25,NEWBHA,0,0
6,WHU,MUN,28,48,WHUMUN,2,0
6,CRY,WOL,44,29,CRYWOL,1,1
6,CHE,LIV,30,46,CHELIV,1,2
6,ARS,AVL,66,14,ARSAVL,3,2
7,SHU,LIV,11,71,SHULIV,0,1
7,AVL,BUR,41,32,AVLBUR,2,2
7,CHE,BHA,71,11,CHEBHA,2,0
7,TOT,SOU,67,14,TOTSOU,2,1
7,CRY,NOR,51,24,CRYNOR,2,0
7,WOL,WAT,49,26,WOLWAT,2,0
7,BOU,WHU,45,31,BOUWHU,2,2
7,EVE,MCI,13,69,EVEMCI,1,3
7,LEI,NEW,56,18,LEINEW,5,0
7,MUN,ARS,49,28,MUNARS,1,1
8,BHA,TOT,23,53,BHATOT,,
8,LIV,LEI,70,11,LIVLEI,,
8,BUR,EVE,38,35,BUREVE,,
8,WAT,SHU,49,26,WATSHU,,
8,NOR,AVL,45,29,NORAVL,,
8,WHU,CRY,45,29,WHUCRY,,
