,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Jordan Pickford,G,1,Jul 26,EVE,BOU,L 1-3,10.0,90,1
1,Jordan Pickford,G,1,Jul 20,EVE,@SHU,W 1-0,15.5,90,1
2,Jordan Pickford,G,1,Jul 16,EVE,AVL,T 1-1,3.0,90,1
3,Jordan Pickford,G,1,Jul 12,EVE,@WOL,L 0-3,10.0,90,1
4,Jordan Pickford,G,1,Jul 9,EVE,SOU,T 1-1,10.25,90,1
5,Jordan Pickford,G,1,Jul 6,EVE,@TOT,L 0-1,7.0,90,1
6,Jordan Pickford,G,1,Jul 1,EVE,LEI,W 2-1,6.25,90,1
7,Jordan Pickford,G,1,Jun 24,EVE,@NOR,W 1-0,14.0,90,1
8,Jordan Pickford,G,1,Jun 21,EVE,LIV,T 0-0,17.25,90,1
9,Jordan Pickford,G,1,Mar 8,EVE,@CHE,L 0-4,16.5,90,1
10,Jordan Pickford,G,1,Mar 1,EVE,MUN,T 1-1,11.0,90,1
11,Jordan Pickford,G,1,Feb 23,EVE,@ARS,L 2-3,5.0,90,1
12,Jordan Pickford,G,1,Feb 8,EVE,CRY,W 3-1,5.0,90,1
13,Jordan Pickford,G,1,Feb 1,EVE,@WAT,W 3-2,2.75,90,1
14,Jordan Pickford,G,1,Jan 21,EVE,NEW,T 2-2,5.75,90,1
15,Jordan Pickford,G,1,Jan 18,EVE,@WHU,T 1-1,11.5,90,1
16,Jordan Pickford,G,1,Jan 11,EVE,BHA,W 1-0,13.0,90,1
17,Jordan Pickford,G,1,Jan 1,EVE,@MCI,L 1-2,14.75,90,1
18,Jordan Pickford,G,1,Dec 28,EVE,@NEW,W 2-1,12.0,90,1
19,Jordan Pickford,G,1,Dec 26,EVE,BUR,W 1-0,11.0,90,1
20,Jordan Pickford,G,1,Dec 21,EVE,ARS,T 0-0,15.25,90,1
21,Jordan Pickford,G,1,Dec 15,EVE,@MUN,T 1-1,17.25,90,1
22,Jordan Pickford,G,1,Dec 7,EVE,CHE,W 3-1,9.0,90,1
