,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Lukasz Fabianski,G,1.0,Jul 26,WHU,AVL,T 1-1,10.0,90,1
1,Lukasz Fabianski,G,1.0,Jul 22,WHU,@MUN,T 1-1,9.0,90,1
2,Lukasz Fabianski,G,1.0,Jul 17,WHU,WAT,W 3-1,8.25,90,1
3,Lukasz Fabianski,G,1.0,Jul 11,WHU,@NOR,W 4-0,15.0,90,1
4,Lukasz Fabianski,G,1.0,Jul 8,WHU,BUR,L 0-1,11.25,90,1
5,Lukasz Fabianski,G,1.0,Jul 5,WHU,@NEW,T 2-2,9.0,90,1
6,Lukasz Fabianski,G,1.0,Jul 1,WHU,CHE,W 3-2,11.75,90,1
7,Lukasz Fabianski,G,1.0,Jun 23,WHU,@TOT,L 0-2,10.0,90,1
8,Lukasz Fabianski,G,1.0,Jun 20,WHU,WOL,L 0-2,11.75,90,1
9,Lukasz Fabianski,G,1.0,Mar 7,WHU,@ARS,L 0-1,5.0,90,1
10,Lukasz Fabianski,G,1.0,Feb 29,WHU,SOU,W 3-1,5.0,90,1
11,Lukasz Fabianski,G,1.0,Feb 24,WHU,@LIV,L 2-3,10.5,90,1
12,Lukasz Fabianski,G,1.0,Feb 19,WHU,@MCI,L 0-2,13.0,90,1
13,Lukasz Fabianski,G,1.0,Feb 1,WHU,BHA,T 3-3,11.25,90,1
14,Lukasz Fabianski,G,1.0,Jan 29,WHU,LIV,L 0-2,8.75,90,1
15,Lukasz Fabianski,G,1.0,Jan 10,WHU,@SHU,L 0-1,2.25,15,1
16,Lukasz Fabianski,G,1.0,Jan 1,WHU,BOU,W 4-0,15.0,90,1
17,Lukasz Fabianski,G,1.0,Dec 28,WHU,LEI,L 1-2,16.5,90,1
18,Lukasz Fabianski,G,1.0,Sep 28,WHU,@BOU,T 2-2,1.0,34,1
19,Lukasz Fabianski,G,1.0,Sep 22,WHU,MUN,W 2-0,18.25,90,1
20,Lukasz Fabianski,G,1.0,Sep 16,WHU,@AVL,T 0-0,22.5,90,1
21,Lukasz Fabianski,G,1.0,Aug 31,WHU,NOR,W 2-0,17.0,90,1
22,Lukasz Fabianski,G,1.0,Aug 24,WHU,@WAT,W 3-1,7.25,90,1
23,Lukasz Fabianski,G,1.0,Aug 17,WHU,@BHA,T 1-1,9.25,90,1
24,Lukasz Fabianski,G,1.0,Aug 10,WHU,MCI,L 0-5,9.0,90,1
0,Darren Randolph,G,1.0,Jan 22,WHU,@LEI,L 1-4,9.75,90,1
1,Darren Randolph,G,1.0,Jan 18,WHU,EVE,T 1-1,7.25,90,1
0,Roberto Jimenez,G,1.0,Dec 26,WHU,@CRY,L 1-2,9.5,90,1
1,Roberto Jimenez,G,1.0,Nov 23,WHU,TOT,L 2-3,9.25,90,1
2,Roberto Jimenez,G,1.0,Nov 9,WHU,@BUR,L 0-3,24.0,90,1
3,Roberto Jimenez,G,1.0,Nov 2,WHU,NEW,L 2-3,14.0,90,1
4,Roberto Jimenez,G,1.0,Oct 26,WHU,SHU,T 1-1,7.25,90,1
5,Roberto Jimenez,G,1.0,Oct 19,WHU,@EVE,L 0-2,20.5,90,1
6,Roberto Jimenez,G,1.0,Oct 5,WHU,CRY,L 1-2,4.5,90,1
7,Roberto Jimenez,G,1.0,Sep 28,WHU,@BOU,T 2-2,8.5,56,0
0,David Martin,G,1.0,Jan 10,WHU,@SHU,L 0-1,6.75,75,0
1,David Martin,G,1.0,Dec 14,WHU,@SOU,W 1-0,13.25,90,1
2,David Martin,G,1.0,Dec 9,WHU,ARS,L 1-3,2.0,90,1
3,David Martin,G,1.0,Dec 4,WHU,@WOL,L 0-2,12.5,90,1
4,David Martin,G,1.0,Nov 30,WHU,@CHE,W 1-0,24.0,90,1
0,Pablo Zabaleta,D,2.0,Feb 19,WHU,@MCI,L 0-2,2.35,30,0
