,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Hugo Lloris,G,1,May 22,TOT,@NOR,W 5-0,12.0,90,1
1,Hugo Lloris,G,1,May 15,TOT,BUR,W 1-0,11.5,90,1
2,Hugo Lloris,G,1,May 12,TOT,ARS,W 3-0,20.5,90,1
3,Hugo Lloris,G,1,May 7,TOT,@LIV,T 1-1,6.5,90,1
4,Hugo Lloris,G,1,May 1,TOT,LEI,W 3-1,5.5,90,1
5,Hugo Lloris,G,1,Apr 23,TOT,@BRF,T 0-0,14.5,90,1
6,Hugo Lloris,G,1,Apr 16,TOT,BHA,L 0-1,7.5,90,1
7,Hugo Lloris,G,1,Apr 9,TOT,@AVL,W 4-0,25.0,90,1
8,Hugo Lloris,G,1,Apr 3,TOT,NEW,W 5-1,3.0,90,1
9,Hugo Lloris,G,1,Mar 20,TOT,WHU,W 3-1,4.0,90,1
10,Hugo Lloris,G,1,Mar 16,TOT,@BHA,W 2-0,12.0,90,1
11,Hugo Lloris,G,1,Mar 12,TOT,@MUN,L 2-3,6.5,90,1
12,Hugo Lloris,G,1,Mar 7,TOT,EVE,W 5-0,12.0,90,1
13,Hugo Lloris,G,1,Feb 26,TOT,@LEE,W 4-0,15.5,90,1
14,Hugo Lloris,G,1,Feb 23,TOT,@BUR,L 0-1,9.5,90,1
15,Hugo Lloris,G,1,Feb 19,TOT,@MCI,W 3-2,3.5,90,1
16,Hugo Lloris,G,1,Feb 13,TOT,WOL,L 0-2,10.0,90,1
17,Hugo Lloris,G,1,Feb 9,TOT,SOU,L 2-3,14.0,90,1
18,Hugo Lloris,G,1,Jan 23,TOT,@CHE,L 0-2,10.5,90,1
19,Hugo Lloris,G,1,Jan 19,TOT,@LEI,W 3-2,7.0,90,1
20,Hugo Lloris,G,1,Jan 1,TOT,@WAT,W 1-0,18.0,90,1
21,Hugo Lloris,G,1,Dec 28,TOT,@SOU,T 1-1,5.0,90,1
22,Hugo Lloris,G,1,Dec 26,TOT,CRY,W 3-0,14.5,90,1
23,Hugo Lloris,G,1,Dec 19,TOT,LIV,T 2-2,10.5,90,1
24,Hugo Lloris,G,1,Dec 5,TOT,NOR,W 3-0,15.5,90,1
25,Hugo Lloris,G,1,Dec 2,TOT,BRF,W 2-0,20.5,90,1
26,Hugo Lloris,G,1,Nov 21,TOT,LEE,W 2-1,12.0,90,1
27,Hugo Lloris,G,1,Nov 7,TOT,@EVE,T 0-0,15.5,90,1
28,Hugo Lloris,G,1,Oct 30,TOT,MUN,L 0-3,3.5,90,1
29,Hugo Lloris,G,1,Oct 24,TOT,@WHU,L 0-1,9.0,90,1
30,Hugo Lloris,G,1,Oct 17,TOT,@NEW,W 3-2,2.5,90,1
31,Hugo Lloris,G,1,Oct 3,TOT,AVL,W 2-1,8.0,90,1
32,Hugo Lloris,G,1,Sep 26,TOT,@ARS,L 1-3,8.0,90,1
33,Hugo Lloris,G,1,Sep 19,TOT,CHE,L 0-3,12.5,90,1
34,Hugo Lloris,G,1,Sep 11,TOT,@CRY,L 0-3,4.5,90,1
35,Hugo Lloris,G,1,Aug 29,TOT,WAT,W 1-0,16.5,90,1
36,Hugo Lloris,G,1,Aug 22,TOT,@WOL,W 1-0,23.0,90,1
37,Hugo Lloris,G,1,Aug 15,TOT,MCI,W 1-0,18.5,90,1
0,Japhet Tanganga,D,2,Jan 23,TOT,@CHE,L 0-2,0.65,56,1
1,Japhet Tanganga,D,2,Jan 19,TOT,@LEI,W 3-2,10.55,90,1
2,Japhet Tanganga,D,2,Dec 26,TOT,CRY,W 3-0,17.15,90,1
3,Japhet Tanganga,D,2,Dec 5,TOT,NOR,W 3-0,13.0,61,1
4,Japhet Tanganga,D,2,Dec 2,TOT,BRF,W 2-0,1.0,6,0
