player,club,pos,double_barrel,picture
Aaron Connolly,BHA,F,no,yes
Aaron Cresswell,WHU,D,no,yes
Aaron Lennon,BUR,M,no,yes
Aaron Mooy,BHA,M,no,yes
Aaron Ramsdale,ARS,G,no,yes
Aaron Wan-Bissaka,MUN,D,yes,yes
Abdoulaye Doucoure,EVE,M,no,yes
Aboubakar Kamara,FUL,F,no,yes
Adam Armstrong,SOU,F,no,yes
Adam Forshaw,LEE,M,no,yes
Adam Idah,NOR,F,no,yes
Adam Lallana,BHA,M,no,yes
Adam Masina,WAT,D,no,yes
Adam Smith,BOU,D,no,yes
Adam Webster,BHA,D,no,yes
Adama Traore,WOL,F,no,yes
Addji Keaninkin Marc-Israel Guehi,CRY,D,yes,yes
Ademola Lookman,LEI,"M,F",no,yes
Adrian,LIV,G,no,yes
Adrian Mariappa,WAT,D,no,yes
Ahmed El Mohamady,AVL,D,no,yes
Ahmed Hegazi,WBA,D,no,yes
Ainsley Maitland-Niles,ARS,M,yes,yes
Akin Famewo,NOR,D,no,yes
Albert Sambi Lokonga,ARS,M,no,yes
Albian Ajeti,WHU,F,no,yes
Alejandro Garnacho,MUN,M,no,yes
Aleksandar Mitrovic,FUL,F,no,yes
Alex Iwobi,EVE,"M,F",no,yes
Alex Kral,WHU,M,no,yes
Alex McCarthy,SOU,G,yes,yes
Alex Oxlade-Chamberlain,LIV,M,yes,yes
Alex Telles,MUN,D,no,yes
Alexander Tettey,NOR,M,no,yes
Alexandre Jankewitz,SOU,M,no,yes
Alexandre Lacazette,ARS,F,no,yes
Alexis Mac Allister,BHA,M,no,yes
Alireza Jahanbakhsh,BHA,F,no,yes
Alisson,LIV,G,no,yes
Allan,EVE,M,no,yes
Allan Saint-Maximin,NEW,"M,F",yes,yes
Allan Tchaptchet,SOU,D,no,yes
Alphonse Areola,WHU,G,no,yes
Alvaro Fernandez,BRF,G,no,yes
Amad Diallo,MUN,M,no,yes
Andi Zeqiri,BHA,M,no,yes
Andre Gomes,EVE,M,no,yes
Andre Gray,WAT,F,no,yes
Andre-Frank Zambo Anguissa,FUL,M,yes,yes
Andreas Christensen,CHE,D,no,yes
Andreas Pereira,MUN,M,no,yes
Andrew Omobamidele,NOR,D,no,yes
Andrew Robertson,LIV,D,no,yes
Andrew Surman,BOU,M,no,yes
Andriy Yarmolenko,WHU,F,no,yes
Andros Townsend,EVE,M,no,yes
Andy Carroll,NEW,F,no,yes
Angel Gomes,MUN,M,no,yes
Angelino,MCI,D,no,yes
Angelo Ogbonna,WHU,D,no,yes
Angus Gunn,NOR,G,no,yes
Anthony Elanga,MUN,F,no,yes
Anthony Gordon,EVE,F,no,yes
Anthony Martial,MUN,F,no,yes
Antonee Robinson,FUL,D,no,yes
Antonio Rudiger,CHE,D,no,yes
Antwoine Hackford,SHU,F,no,yes
Anwar El Ghazi,EVE,M,no,yes
Armando Broja,SOU,F,no,yes
Arnaut Danjuma Groeneveld,BOU,"M,F",no,yes
Arthur Masuaku,WHU,D,no,yes
Ashley Barnes,BUR,F,no,yes
Ashley Fletcher,WAT,F,no,yes
Ashley Westwood,BUR,M,no,yes
Ashley Young,AVL,D,no,yes
Asmir Begovic,EVE,G,no,yes
Axel Tuanzebe,AVL,D,no,yes
Aymeric Laporte,MCI,D,no,yes
Ayoze Perez,LEI,"M,F",no,yes
Bailey Peacock-Farrell,BUR,G,yes,yes
Bali Mumba,NOR,D,no,yes
Ben Chilwell,CHE,D,no,yes
Ben Davies,TOT,D,no,yes
Ben Foster,WAT,G,no,yes
Ben Gibson,NOR,D,no,yes
Ben Godfrey,EVE,D,no,yes
Ben Johnson,WHU,D,no,yes
Ben Mee,BUR,D,no,yes
Ben Osborn,SHU,M,no,yes
Ben White,ARS,D,no,yes
Benjamin Mendy,MCI,D,no,yes
Bernard,EVE,"M,F",no,yes
Bernardo,BHA,D,no,yes
Bernardo Silva,MCI,M,no,yes
Bernd Leno,ARS,G,no,yes
Bertrand Traore,AVL,"M,F",no,yes
Billy Gilmour,NOR,M,no,yes
Billy Sharp,SHU,F,no,yes
Bjorn Engels,AVL,D,no,yes
Bobby De Cordova-Reid,FUL,"M,F",yes,yes
Borja Baston,AVL,F,no,yes
Boubakary Soumare,LEI,M,no,yes
Brandon Pierrick,CRY,F,no,yes
Brandon Williams,NOR,D,no,yes
Branislav Ivanovic,WBA,D,no,yes
Bruno Fernandes,MUN,M,no,yes
Bruno Guimaraes,NEW,M,no,yes
Bruno Jordao,WOL,M,no,yes
Bryan Gil,TOT,M,no,yes
Bryan Mbeumo,BRF,F,no,yes
Bukayo Saka,ARS,M,no,yes
Caglar Soyuncu,LEI,D,no,yes
Caleb Watts,SOU,M,no,yes
Callum Hudson-Odoi,CHE,"M,F",yes,yes
Callum Robinson,WBA,F,no,yes
Callum Wilson,NEW,F,no,yes
Calum Chambers,AVL,D,no,yes
Cameron Archer,AVL,F,no,yes
Caoimhin Kelleher,LIV,G,no,yes
Carlos Sanchez,WHU,M,no,yes
Carlos Vinicius,TOT,F,no,yes
Carney Chukwuemeka,AVL,M,no,yes
Cedric Soares,ARS,D,no,yes
Cengiz Under,LEI,M,no,yes
Cenk Tosun,EVE,F,no,yes
Cesar Azpilicueta,CHE,D,no,yes
Charlie Austin,WBA,F,no,yes
Charlie Cresswell,LEE,D,no,yes
Charlie Daniels,BOU,D,no,yes
Charlie Goode,BRF,D,no,yes
Charlie Taylor,BUR,D,no,yes
