player,pre,club_pos_id
Bernd Leno,9.75,1
Aaron Ramsdale,10.5,2
Takehiro Tomiyasu,11.5,3
Cedric Soares,10.5,4
Ben White,10.85,5
Rob Holding,10.85,6
Gabriel Magalhaes,11,7
Pablo Mari,10.3,8
Kieran Tierney,11.35,9
Nuno Tavares,10.5,10
Sead Kolasinac,10,11
Mohamed Elneny,8.25,12
Thomas Partey,13.05,13
Albert Sambi Lokonga,11.15,14
Granit Xhaka,8.95,15
Ainsley Maitland-Niles,10.6,16
Martin Odegaard,11.1,17
Emile Smith Rowe,12.9,18
Bukayo Saka,12.9,19
Gabriel Martinelli,15.15,20
Nicolas Pepe,15.55,21
Reiss Nelson,12.6,22
Folarin Balogun,12.6,23
Pierre-Emerick Aubameyang,11.3,24
Alexandre Lacazette,13.95,25
Eddie Nketiah,12.5,26
Emiliano Martinez,12.7,1
Robin Olsen,10.15,2
Jed Steer,8.5,3
Matthew Cash,13.3,4
Calum Chambers,12.15,5
Axel Tuanzebe,7.3,6
Tyrone Mings,11.65,7
Ezri Konsa Ngoyo,10.35,8
Kortney Hause,12.1,9
Lucas Digne,13.7,10
Ashley Young,10.5,11
Marvelous Nakamba,11.5,12
Douglas Luiz,9.8,13
Morgan Sanson,9.7,14
Carney Chukwuemeka,15.65,15
Tim Iroegbunam,12.25,16
John McGinn,11.65,17
Jacob Ramsey,10.95,18
Jaden Philogene-Bidace,15.65,19
Philippe Coutinho,15.5,20
Trezeguet,15.8,21
Emiliano Buendia,15.9,22
Bertrand Traore,14.5,23
Cameron Archer,14.2,24
Leon Bailey,13.7,25
Ollie Watkins,12.95,26
Wesley,13.7,27
Danny Ings,13.4,28
Keinan Davis,15.45,29
David Raya Martin,11.6,1
Alvaro Fernandez,9.75,2
Jonas Lossl,10.75,3
Kristoffer Ajer,11,4
Mads Bech Sorensen,9.35,5
Pontus Jansson,11.25,6
Zanka,10.6,7
Charlie Goode,10.5,8
Ethan Pinnock,8.5,9
Dominic Thompson,8.5,10
Mads Rasmussen,10.5,11
Rico Henry,12.75,12
Finley Stevens,7.5,13
Frank Onyeka,11.85,14
Mads Bidstrup,10.95,15
Shandon Baptiste,13.05,16
Christian Norgaard,10.95,17
Vitaly Janelt,14.1,18
Mathias Jensen,11.85,19
Pelenda Joshua Da Silva,12,20
Christian Eriksen,12,21
Tariqe Fosu-Henry,11.45,22
Yoane Wissa,11.45,23
Saman Ghoddos,11.45,24
Sergi Canos,12.35,25
Bryan Mbeumo,11.45,26
Marcus Forss,11.45,27
Ivan Toney,12,28
Nathan Young-Coombes,9.85,29
Robert Sanchez,10.6,1
Jason Steele,9.5,2
Joel Veltman,13.2,3
Adam Webster,11.05,4
Shane Duffy,9.9,5
Lewis Dunk,11.55,6
Tariq Lamptey,14.3,7
Marc Cucurella,12.85,8
Solly March,14.75,9
Pascal Gross,14.75,10
Yves Bissouma,11.55,11
Enock Mwepu,11.35,12
Steven Alzate,8.8,13
Jakub Moder,11.2,14
Adam Lallana,11.75,15
Moises Caicedo,11.75,16
Alexis Mac Allister,13.45,17
Leandro Trossard,12.75,18
Taylor Richards,13.2,19
Aaron Connolly,11.6,20
Neal Maupay,10.15,21
Danny Welbeck,11.65,22
Jeremy Sarmiento,11,23
Jurgen Locadia,10,24
Evan Ferguson,10.5,25
Nick Pope,12.4,1
Wayne Hennessey,11.25,2
Matthew Lowton,11.75,3
Connor Roberts,11.5,4
James Tarkowski,11.75,5
Ben Mee,12.1,6
Nathan Collins,11.15,7
Kevin Long,8.5,8
Charlie Taylor,11.75,9
Erik Pieters,10.3,10
Maxwel Cornet,10.75,11
Johann Gudmundsson,10.4,12
Aaron Lennon,10.5,13
Ashley Westwood,10.3,14
Jack Cork,8.4,15
Dale Stephens,12.15,16
Josh Brownhill,10.95,17
Dwight McNeil,12.8,18
Wout Weghorst,10.5,19
Ashley Barnes,10.3,20
Matej Vydra,10.9,21
Jay Rodriguez,10,22
Edouard Mendy,10.7,1
Kepa Arrizabalaga,8.5,2
Andreas Christensen,11.7,3
Thiago Silva,12.1,4
Antonio Rudiger,13.55,5
Malang Sarr,12.35,6
Ben Chilwell,14.45,7
Emerson,15.5,8
Reece James,14.4,9
Cesar Azpilicueta,13.6,10
Trevoh Chalobah,10.35,11
Marcos Alonso,14.35,12
Jorginho,15,13
Mateo Kovacic,11.55,14
Ngolo Kante,12.9,15
Saul Niguez,11.6,16
Ruben Loftus-Cheek,10,17
Ross Barkley,12.5,18
Kenedy,11.5,19
Kai Havertz,12.55,20
Callum Hudson-Odoi,15,21
Mason Mount,15.5,22
Christian Pulisic,13.5,23
Hakim Ziyech,14.8,24
Timo Werner,12.15,25
Romelu Lukaku,12.15,26
Vicente Guaita,9.6,1
Jack Butland,7,2
Joel Ward,10.45,3
Nathaniel Clyne,8.8,4
Addji Keaninkin Marc-Israel Guehi,8.65,5
Joachim Andersen,11.25,6
James Tomkins,11.15,7
Tyrick Mitchell,10.95,8
Nathan Ferguson,9.95,9
Cheikhou Kouyate,8.2,10
Luka Milivojevic,10.65,11
Conor Gallagher,10.5,12
Jairo Riedewald,10.3,13
James McArthur,12.25,14
Will Hughes,10.5,15
Jesurun Rak-Sakyi,9.6,16
Michael Olise,11.6,17
Eberechi Eze,14.15,18
Jeffrey Schlupp,13.9,19
Jordan Ayew,11.6,20
Wilfried Zaha,11.75,21
Odsonne Edouard,13.95,22
Christian Benteke,16,23
Jean-Philippe Mateta,12.55,24
Jordan Pickford,11,1
Asmir Begovic,10,2
Seamus Coleman,13.7,3
Jonjoe Kenny,10.5,4
Mason Holgate,11.15,5
Ben Godfrey,11.5,6
Yerry Mina,11.5,7
Michael Keane,11.65,8
Vitalii Mykolenko,11.5,9
Jarrad Branthwaite,10.5,10
Fabian Delph,12.45,11
Allan,10.25,12
Jean-Philippe Gbamin,9.4,13
Abdoulaye Doucoure,11.5,14
Tom Davies,12.15,15
Andre Gomes,11.45,16
Donny van de Beek,13.65,17
Dele Alli,13.75,18
Tyler Onyango,11,19
Isaac Price,11,20
Anwar El Ghazi,14.6,21
Andros Townsend,15.4,22
Alex Iwobi,12.8,23
Demarai Gray,13,24
Anthony Gordon,11.1,25
Richarlison,12.3,26
Moise Kean,11.1,27
Lewis Dobbin,11,28
Salomon Rondon,12.25,29
Dominic Calvert-Lewin,14.25,30
Cenk Tosun,11.5,31
Ellis Simms,11,32
Illan Meslier,12.9,1
Kristoffer Klaesson,10.9,2
Luke Ayling,12.45,3
Cody Drameh,12.1,4
Charlie Cresswell,12.1,5
Diego Llorente,13.2,6
Liam Cooper,13,7
Pascal Struijk,12.25,8
Junior Firpo,12.05,9
Leo Fuhr Hjelde,11.05,10
Robin Koch,12.3,11
Stuart Dallas,11.65,12
Kalvin Phillips,11.9,13
Adam Forshaw,9.35,14
Mateusz Klich,11.5,15
Jamie Shackleton,11.7,16
Crysencio Summerville,11.7,17
Stuart McKinstry,10.5,18
Liam McCarron,10.5,19
Lewis Bate,10.5,20
Jack Harrison,14.75,21
Helder Costa,12.3,22
Raphinha,16.5,23
Daniel James,11.8,24
Tyler Roberts,11.95,25
Rodrigo,17.1,26
Joe Gelhardt,11.85,27
Patrick Bamford,14.35,28
Sam Greenwood,11.85,29
Kasper Schmeichel,9.3,1
Danny Ward,8.5,2
Ricardo Pereira,11.5,3
James Justin,13.25,4
Daniel Amartey,10.05,5
Jonny Evans,11.7,6
Wesley Fofana,12.9,7
Caglar Soyuncu,10.55,8
Jannik Vestergaard,11,9
Timothy Castagne,12.25,10
Ryan Bertrand,8.9,11
Luke Thomas,10.75,12
Wilfred Ndidi,15,13
Nampalys Mendy,8.85,14
Boubakary Soumare,11.9,15
Hamza Choudhury,11.6,16
Youri Tielemans,13.2,17
Kiernan Dewsbury-Hall,10.75,18
Kasey McAteer,10.75,19
Lewis Brunt,10.75,20
Marc Albrighton,15.05,21
Harvey Barnes,14.75,22
James Maddison,15,23
Ayoze Perez,13.6,24
Ademola Lookman,12.35,25
Kelechi Iheanacho,14.7,26
Patson Daka,15.1,27
Jamie Vardy,13.85,28
Alisson,10.65,1
Caoimhin Kelleher,12.5,2
Trent Alexander-Arnold,15.6,3
Neco Williams,14.15,4
