,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Tom Heaton,G,1,Jan 1,AVL,@BUR,W 2-1,3.75,85,1
1,Tom Heaton,G,1,Dec 28,AVL,@WAT,L 0-3,9.25,90,1
2,Tom Heaton,G,1,Dec 26,AVL,NOR,W 1-0,21.0,90,1
3,Tom Heaton,G,1,Dec 21,AVL,SOU,L 1-3,13.0,90,1
4,Tom Heaton,G,1,Dec 14,AVL,@SHU,L 0-2,6.0,90,1
5,Tom Heaton,G,1,Dec 8,AVL,LEI,L 1-4,9.75,90,1
6,Tom Heaton,G,1,Dec 4,AVL,@CHE,L 1-2,18.5,90,1
7,Tom Heaton,G,1,Dec 1,AVL,@MUN,T 2-2,12.5,90,1
8,Tom Heaton,G,1,Nov 25,AVL,NEW,W 2-0,21.0,90,1
9,Tom Heaton,G,1,Nov 2,AVL,LIV,L 1-2,11.0,90,1
10,Tom Heaton,G,1,Oct 26,AVL,@MCI,L 0-3,12.5,90,1
11,Tom Heaton,G,1,Oct 19,AVL,BHA,W 2-1,11.0,90,1
12,Tom Heaton,G,1,Oct 5,AVL,@NOR,W 5-1,11.0,90,1
13,Tom Heaton,G,1,Sep 28,AVL,BUR,T 2-2,4.75,90,1
14,Tom Heaton,G,1,Sep 22,AVL,@ARS,L 2-3,8.25,90,1
15,Tom Heaton,G,1,Sep 16,AVL,WHU,T 0-0,13.0,90,1
16,Tom Heaton,G,1,Aug 31,AVL,@CRY,L 0-1,11.25,90,1
17,Tom Heaton,G,1,Aug 23,AVL,EVE,W 2-0,13.25,90,1
18,Tom Heaton,G,1,Aug 17,AVL,BOU,L 1-2,7.5,90,1
19,Tom Heaton,G,1,Aug 10,AVL,@TOT,L 1-3,8.25,90,1
0,Pepe Reina,G,1,Jul 26,AVL,@WHU,T 1-1,3.0,90,1
1,Pepe Reina,G,1,Jul 21,AVL,ARS,W 1-0,12.25,90,1
2,Pepe Reina,G,1,Jul 16,AVL,@EVE,T 1-1,3.0,90,1
3,Pepe Reina,G,1,Jul 12,AVL,CRY,W 2-0,21.25,90,1
4,Pepe Reina,G,1,Jul 9,AVL,MUN,L 0-3,8.0,90,1
5,Pepe Reina,G,1,Jul 5,AVL,@LIV,L 0-2,7.75,90,1
6,Pepe Reina,G,1,Mar 9,AVL,@LEI,L 0-4,7.5,90,1
7,Pepe Reina,G,1,Feb 22,AVL,@SOU,L 0-2,18.75,90,1
8,Pepe Reina,G,1,Feb 16,AVL,TOT,L 2-3,20.5,90,1
9,Pepe Reina,G,1,Feb 1,AVL,@BOU,L 1-2,11.75,90,1
10,Pepe Reina,G,1,Jan 21,AVL,WAT,W 2-1,8.75,90,1
11,Pepe Reina,G,1,Jan 18,AVL,@BHA,T 1-1,6.5,90,1
0,Jed Steer,G,1,Nov 10,AVL,@WOL,L 1-2,1.0,8,1
0,Orjan Nyland,G,1,Jun 27,AVL,WOL,L 0-1,5.0,90,1
1,Orjan Nyland,G,1,Jun 24,AVL,@NEW,T 1-1,7.25,90,1
2,Orjan Nyland,G,1,Jun 21,AVL,CHE,L 1-2,8.75,90,1
3,Orjan Nyland,G,1,Jun 17,AVL,SHU,T 0-0,13.0,90,1
4,Orjan Nyland,G,1,Jan 12,AVL,MCI,L 1-6,10.5,90,1
5,Orjan Nyland,G,1,Jan 1,AVL,@BUR,W 2-1,1.0,5,0
6,Orjan Nyland,G,1,Nov 10,AVL,@WOL,L 1-2,8.0,82,0
0,Ahmed El Mohamady,D,2,Jul 21,AVL,ARS,W 1-0,2.7,25,1
1,Ahmed El Mohamady,D,2,Jul 16,AVL,@EVE,T 1-1,9.6,90,1
2,Ahmed El Mohamady,D,2,Jul 12,AVL,CRY,W 2-0,18.0,90,1
3,Ahmed El Mohamady,D,2,Jun 27,AVL,WOL,L 0-1,1.1,30,0
4,Ahmed El Mohamady,D,2,Jun 24,AVL,@NEW,T 1-1,11.6,13,0
5,Ahmed El Mohamady,D,2,Jun 17,AVL,SHU,T 0-0,2.45,14,0
6,Ahmed El Mohamady,D,2,Mar 9,AVL,@LEI,L 0-4,5.8,63,1
7,Ahmed El Mohamady,D,2,Jan 12,AVL,MCI,L 1-6,8.45,90,1
8,Ahmed El Mohamady,D,2,Dec 28,AVL,@WAT,L 0-3,7.95,90,1
9,Ahmed El Mohamady,D,2,Dec 26,AVL,NOR,W 1-0,13.4,90,1
10,Ahmed El Mohamady,D,2,Dec 8,AVL,LEI,L 1-4,10.25,90,1
11,Ahmed El Mohamady,D,2,Dec 4,AVL,@CHE,L 1-2,16.4,90,1
12,Ahmed El Mohamady,D,2,Nov 2,AVL,LIV,L 1-2,2.85,21,0
13,Ahmed El Mohamady,D,2,Sep 22,AVL,@ARS,L 2-3,2.25,22,0
14,Ahmed El Mohamady,D,2,Sep 16,AVL,WHU,T 0-0,1.85,24,0
15,Ahmed El Mohamady,D,2,Aug 23,AVL,EVE,W 2-0,1.0,4,0
16,Ahmed El Mohamady,D,2,Aug 17,AVL,BOU,L 1-2,16.7,90,1
17,Ahmed El Mohamady,D,2,Aug 10,AVL,@TOT,L 1-3,4.95,90,1
0,Bjorn Engels,D,2,Mar 9,AVL,@LEI,L 0-4,4.8,90,1
1,Bjorn Engels,D,2,Feb 16,AVL,TOT,L 2-3,17.4,90,1
2,Bjorn Engels,D,2,Feb 1,AVL,@BOU,L 1-2,5.2,45,0
3,Bjorn Engels,D,2,Dec 21,AVL,SOU,L 1-3,7.05,90,1
4,Bjorn Engels,D,2,Dec 14,AVL,@SHU,L 0-2,11.3,90,1
5,Bjorn Engels,D,2,Dec 8,AVL,LEI,L 1-4,5.45,67,0
6,Bjorn Engels,D,2,Nov 2,AVL,LIV,L 1-2,6.0,90,1
7,Bjorn Engels,D,2,Oct 26,AVL,@MCI,L 0-3,5.15,90,1
8,Bjorn Engels,D,2,Oct 19,AVL,BHA,W 2-1,5.25,90,1
9,Bjorn Engels,D,2,Oct 5,AVL,@NOR,W 5-1,15.5,75,1
10,Bjorn Engels,D,2,Sep 28,AVL,BUR,T 2-2,5.3,90,1
11,Bjorn Engels,D,2,Sep 22,AVL,@ARS,L 2-3,2.4,90,1
12,Bjorn Engels,D,2,Sep 16,AVL,WHU,T 0-0,15.6,90,1
13,Bjorn Engels,D,2,Aug 31,AVL,@CRY,L 0-1,8.35,90,1
14,Bjorn Engels,D,2,Aug 23,AVL,EVE,W 2-0,15.15,90,1
15,Bjorn Engels,D,2,Aug 17,AVL,BOU,L 1-2,7.15,90,1
16,Bjorn Engels,D,2,Aug 10,AVL,@TOT,L 1-3,6.65,90,1
0,Ezri Konsa Ngoyo,D,2,Jul 26,AVL,@WHU,T 1-1,4.4,90,1
1,Ezri Konsa Ngoyo,D,2,Jul 21,AVL,ARS,W 1-0,15.05,90,1
2,Ezri Konsa Ngoyo,D,2,Jul 16,AVL,@EVE,T 1-1,15.55,90,1
3,Ezri Konsa Ngoyo,D,2,Jul 12,AVL,CRY,W 2-0,13.5,90,1
4,Ezri Konsa Ngoyo,D,2,Jul 9,AVL,MUN,L 0-3,5.3,90,1
5,Ezri Konsa Ngoyo,D,2,Jul 5,AVL,@LIV,L 0-2,6.85,90,1
6,Ezri Konsa Ngoyo,D,2,Jun 27,AVL,WOL,L 0-1,15.45,60,1
7,Ezri Konsa Ngoyo,D,2,Jun 24,AVL,@NEW,T 1-1,8.3,77,1
8,Ezri Konsa Ngoyo,D,2,Jun 21,AVL,CHE,L 1-2,3.05,90,1
9,Ezri Konsa Ngoyo,D,2,Jun 17,AVL,SHU,T 0-0,13.4,76,1
10,Ezri Konsa Ngoyo,D,2,Feb 22,AVL,@SOU,L 0-2,3.8,59,1
11,Ezri Konsa Ngoyo,D,2,Feb 16,AVL,TOT,L 2-3,4.45,90,1
12,Ezri Konsa Ngoyo,D,2,Feb 1,AVL,@BOU,L 1-2,2.5,45,1
13,Ezri Konsa Ngoyo,D,2,Jan 21,AVL,WAT,W 2-1,13.25,90,1
14,Ezri Konsa Ngoyo,D,2,Jan 18,AVL,@BHA,T 1-1,9.6,90,1
15,Ezri Konsa Ngoyo,D,2,Jan 12,AVL,MCI,L 1-6,3.7,90,1
16,Ezri Konsa Ngoyo,D,2,Jan 1,AVL,@BUR,W 2-1,6.95,90,1
