,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Aaron Ramsdale,G,1,Jul 26,BOU,@EVE,W 3-1,15.0,90,1
1,Aaron Ramsdale,G,1,Jul 19,BOU,SOU,L 0-2,19.75,90,1
2,Aaron Ramsdale,G,1,Jul 15,BOU,@MCI,L 1-2,8.75,90,1
3,Aaron Ramsdale,G,1,Jul 12,BOU,LEI,W 4-1,11.5,90,1
4,Aaron Ramsdale,G,1,Jul 9,BOU,TOT,T 0-0,12.25,90,1
5,Aaron Ramsdale,G,1,Jul 4,BOU,@MUN,L 2-5,13.25,90,1
6,Aaron Ramsdale,G,1,Jul 1,BOU,NEW,L 1-4,7.75,90,1
7,Aaron Ramsdale,G,1,Jun 24,BOU,@WOL,L 0-1,5.25,90,1
8,Aaron Ramsdale,G,1,Jun 20,BOU,CRY,L 0-2,2.5,90,1
9,Aaron Ramsdale,G,1,Mar 7,BOU,@LIV,L 1-2,11.0,90,1
10,Aaron Ramsdale,G,1,Feb 29,BOU,CHE,T 2-2,12.5,90,1
11,Aaron Ramsdale,G,1,Feb 22,BOU,@BUR,L 0-3,16.25,90,1
12,Aaron Ramsdale,G,1,Feb 9,BOU,@SHU,L 1-2,8.75,90,1
13,Aaron Ramsdale,G,1,Feb 1,BOU,AVL,W 2-1,11.25,90,1
14,Aaron Ramsdale,G,1,Jan 21,BOU,BHA,W 3-1,17.25,90,1
15,Aaron Ramsdale,G,1,Jan 18,BOU,@NOR,L 0-1,9.5,90,1
16,Aaron Ramsdale,G,1,Jan 1,BOU,@WHU,L 0-4,7.5,90,1
17,Aaron Ramsdale,G,1,Dec 28,BOU,@BHA,L 0-2,11.75,90,1
18,Aaron Ramsdale,G,1,Dec 26,BOU,ARS,T 1-1,5.0,90,1
19,Aaron Ramsdale,G,1,Dec 21,BOU,BUR,L 0-1,6.75,90,1
20,Aaron Ramsdale,G,1,Dec 14,BOU,@CHE,W 1-0,21.5,90,1
21,Aaron Ramsdale,G,1,Dec 7,BOU,LIV,L 0-3,15.5,90,1
22,Aaron Ramsdale,G,1,Dec 3,BOU,@CRY,L 0-1,5.5,90,1
23,Aaron Ramsdale,G,1,Nov 30,BOU,@TOT,L 2-3,6.25,90,1
24,Aaron Ramsdale,G,1,Nov 23,BOU,WOL,L 1-2,13.25,90,1
25,Aaron Ramsdale,G,1,Nov 9,BOU,@NEW,L 1-2,17.75,90,1
26,Aaron Ramsdale,G,1,Nov 2,BOU,MUN,W 1-0,19.5,90,1
27,Aaron Ramsdale,G,1,Oct 26,BOU,@WAT,T 0-0,17.5,90,1
28,Aaron Ramsdale,G,1,Oct 19,BOU,NOR,T 0-0,13.0,90,1
29,Aaron Ramsdale,G,1,Oct 6,BOU,@ARS,L 0-1,5.0,90,1
30,Aaron Ramsdale,G,1,Sep 28,BOU,WHU,T 2-2,11.75,90,1
31,Aaron Ramsdale,G,1,Sep 20,BOU,@SOU,W 3-1,19.0,90,1
32,Aaron Ramsdale,G,1,Sep 15,BOU,EVE,W 3-1,11.75,90,1
33,Aaron Ramsdale,G,1,Aug 31,BOU,@LEI,L 1-3,6.0,90,1
34,Aaron Ramsdale,G,1,Aug 25,BOU,MCI,L 1-3,6.0,90,1
35,Aaron Ramsdale,G,1,Aug 17,BOU,@AVL,W 2-1,17.0,90,1
36,Aaron Ramsdale,G,1,Aug 10,BOU,SHU,T 1-1,7.0,90,1
0,Mark Travers,G,1,Jan 12,BOU,WAT,L 0-3,6.25,90,1
0,Adam Smith,D,2,Jul 26,BOU,@EVE,W 3-1,8.35,90,1
1,Adam Smith,D,2,Jul 9,BOU,TOT,T 0-0,11.85,63,1
2,Adam Smith,D,2,Jul 4,BOU,@MUN,L 2-5,2.45,77,1
3,Adam Smith,D,2,Jul 1,BOU,NEW,L 1-4,7.15,90,1
4,Adam Smith,D,2,Jun 24,BOU,@WOL,L 0-1,11.9,90,1
5,Adam Smith,D,2,Jun 20,BOU,CRY,L 0-2,2.4,90,1
6,Adam Smith,D,2,Mar 7,BOU,@LIV,L 1-2,9.5,90,1
7,Adam Smith,D,2,Feb 29,BOU,CHE,T 2-2,0.5,90,1
8,Adam Smith,D,2,Feb 22,BOU,@BUR,L 0-3,3.6,90,1
9,Adam Smith,D,2,Feb 9,BOU,@SHU,L 1-2,6.75,90,1
10,Adam Smith,D,2,Feb 1,BOU,AVL,W 2-1,7.05,90,1
11,Adam Smith,D,2,Jan 21,BOU,BHA,W 3-1,8.4,90,1
12,Adam Smith,D,2,Jan 18,BOU,@NOR,L 0-1,10.65,90,1
