Unnamed: 0,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Bernd Leno,G,1.0,Jun 20,ARS,@BHA,L 1-2,2.0,40,1
1,Bernd Leno,G,1.0,Jun 17,ARS,@MCI,L 0-3,20.0,90,1
2,Bernd Leno,G,1.0,Mar 7,ARS,WHU,W 1-0,24.25,90,1
3,Bernd Leno,G,1.0,Feb 23,ARS,EVE,W 3-2,8.75,90,1
4,Bernd Leno,G,1.0,Feb 16,ARS,NEW,W 4-0,15.0,90,1
5,Bernd Leno,G,1.0,Feb 2,ARS,@BUR,T 0-0,16.5,90,1
6,Bernd Leno,G,1.0,Jan 21,ARS,@CHE,T 2-2,14.5,90,1
7,Bernd Leno,G,1.0,Jan 18,ARS,SHU,T 1-1,7.0,90,1
8,Bernd Leno,G,1.0,Jan 11,ARS,@CRY,T 1-1,5.0,90,1
9,Bernd Leno,G,1.0,Jan 1,ARS,MUN,W 2-0,20.75,90,1
10,Bernd Leno,G,1.0,Dec 29,ARS,CHE,L 1-2,8.0,90,1
11,Bernd Leno,G,1.0,Dec 26,ARS,@BOU,T 1-1,10.5,90,1
12,Bernd Leno,G,1.0,Dec 21,ARS,@EVE,T 0-0,11.0,90,1
13,Bernd Leno,G,1.0,Dec 15,ARS,MCI,L 0-3,11.25,90,1
14,Bernd Leno,G,1.0,Dec 9,ARS,@WHU,W 3-1,9.0,90,1
15,Bernd Leno,G,1.0,Dec 5,ARS,BHA,L 1-2,16.5,90,1
16,Bernd Leno,G,1.0,Dec 1,ARS,@NOR,T 2-2,15.0,90,1
17,Bernd Leno,G,1.0,Nov 23,ARS,SOU,T 2-2,14.75,90,1
18,Bernd Leno,G,1.0,Nov 9,ARS,@LEI,L 0-2,13.0,90,1
19,Bernd Leno,G,1.0,Nov 2,ARS,WOL,T 1-1,17.0,90,1
20,Bernd Leno,G,1.0,Oct 27,ARS,CRY,T 2-2,7.75,90,1
21,Bernd Leno,G,1.0,Oct 21,ARS,@SHU,L 0-1,5.25,90,1
22,Bernd Leno,G,1.0,Oct 6,ARS,BOU,W 1-0,15.0,90,1
23,Bernd Leno,G,1.0,Sep 30,ARS,@MUN,T 1-1,10.0,90,1
24,Bernd Leno,G,1.0,Sep 22,ARS,AVL,W 3-2,14.5,90,1
25,Bernd Leno,G,1.0,Sep 15,ARS,@WAT,T 2-2,16.75,90,1
26,Bernd Leno,G,1.0,Sep 1,ARS,TOT,T 2-2,16.75,90,1
27,Bernd Leno,G,1.0,Aug 24,ARS,@LIV,L 1-3,7.25,90,1
28,Bernd Leno,G,1.0,Aug 17,ARS,BUR,W 2-1,9.25,90,1
29,Bernd Leno,G,1.0,Aug 11,ARS,@NEW,W 1-0,15.75,90,1
0,Emiliano Martinez,G,1.0,Jul 26,ARS,WAT,W 3-2,8.5,90,1
1,Emiliano Martinez,G,1.0,Jul 21,ARS,@AVL,L 0-1,7.0,90,1
2,Emiliano Martinez,G,1.0,Jul 15,ARS,LIV,W 2-1,19.0,90,1
3,Emiliano Martinez,G,1.0,Jul 12,ARS,@TOT,L 1-2,16.75,90,1
4,Emiliano Martinez,G,1.0,Jul 7,ARS,LEI,T 1-1,11.25,90,1
5,Emiliano Martinez,G,1.0,Jul 4,ARS,@WOL,W 2-0,13.0,90,1
6,Emiliano Martinez,G,1.0,Jul 1,ARS,NOR,W 4-0,13.0,90,1
7,Emiliano Martinez,G,1.0,Jun 25,ARS,@SOU,W 2-0,17.0,90,1
8,Emiliano Martinez,G,1.0,Jun 20,ARS,@BHA,L 1-2,8.0,50,0
0,Hector Bellerin,D,2.0,Jul 12,ARS,@TOT,L 1-2,7.05,84,1
1,Hector Bellerin,D,2.0,Jul 7,ARS,LEI,T 1-1,6.7,90,1
2,Hector Bellerin,D,2.0,Jul 4,ARS,@WOL,W 2-0,3.95,14,0
3,Hector Bellerin,D,2.0,Jul 1,ARS,NOR,W 4-0,16.5,77,1
4,Hector Bellerin,D,2.0,Jun 25,ARS,@SOU,W 2-0,16.5,90,1
5,Hector Bellerin,D,2.0,Jun 20,ARS,@BHA,L 1-2,5.05,90,1
6,Hector Bellerin,D,2.0,Jun 17,ARS,@MCI,L 0-3,4.6,90,1
7,Hector Bellerin,D,2.0,Mar 7,ARS,WHU,W 1-0,1.6,1,0
8,Hector Bellerin,D,2.0,Feb 23,ARS,EVE,W 3-2,5.1,90,1
9,Hector Bellerin,D,2.0,Feb 16,ARS,NEW,W 4-0,14.0,90,1
10,Hector Bellerin,D,2.0,Feb 2,ARS,@BUR,T 0-0,18.05,90,1
11,Hector Bellerin,D,2.0,Jan 21,ARS,@CHE,T 2-2,18.9,90,1
12,Hector Bellerin,D,2.0,Dec 5,ARS,BHA,L 1-2,5.95,90,1
13,Hector Bellerin,D,2.0,Nov 23,ARS,SOU,T 2-2,7.4,83,1
14,Hector Bellerin,D,2.0,Nov 9,ARS,@LEI,L 0-2,4.7,90,1
0,Cedric Soares,D,2.0,Jul 21,ARS,@AVL,L 0-1,3.6,79,1
1,Cedric Soares,D,2.0,Jul 15,ARS,LIV,W 2-1,3.9,76,1
2,Cedric Soares,D,2.0,Jul 12,ARS,@TOT,L 1-2,4.1,6,0
3,Cedric Soares,D,2.0,Jul 4,ARS,@WOL,W 2-0,13.9,76,1
4,Cedric Soares,D,2.0,Jul 1,ARS,NOR,W 4-0,15.6,13,0
5,Cedric Soares,D,2.0,Jan 21,SOU,@CRY,W 2-0,1.0,21,1
6,Cedric Soares,D,2.0,Jan 18,SOU,WOL,L 2-3,15.55,90,1
7,Cedric Soares,D,2.0,Jan 11,SOU,@LEI,W 2-1,11.0,90,1
8,Cedric Soares,D,2.0,Jan 1,SOU,TOT,W 1-0,16.55,90,1
9,Cedric Soares,D,2.0,Dec 28,SOU,CRY,T 1-1,7.9,90,1
10,Cedric Soares,D,2.0,Dec 26,SOU,@CHE,W 2-0,19.8,90,1
11,Cedric Soares,D,2.0,Dec 21,SOU,@AVL,W 3-1,5.85,90,1
12,Cedric Soares,D,2.0,Dec 14,SOU,WHU,L 0-1,9.9,87,1
13,Cedric Soares,D,2.0,Dec 8,SOU,@NEW,L 1-2,3.55,90,1
14,Cedric Soares,D,2.0,Dec 4,SOU,NOR,W 2-1,11.25,90,1
15,Cedric Soares,D,2.0,Nov 30,SOU,WAT,W 2-1,6.9,76,1
16,Cedric Soares,D,2.0,Nov 23,SOU,@ARS,T 2-2,6.6,90,1
17,Cedric Soares,D,2.0,Nov 9,SOU,EVE,L 1-2,1.9,45,1
18,Cedric Soares,D,2.0,Sep 20,SOU,BOU,L 1-3,9.15,90,1
19,Cedric Soares,D,2.0,Sep 14,SOU,@SHU,W 1-0,17.0,90,1
20,Cedric Soares,D,2.0,Aug 31,SOU,MUN,T 1-1,7.9,90,1
0,Pablo Mari,D,2.0,Jun 17,ARS,@MCI,L 0-3,2.1,24,1
1,Pablo Mari,D,2.0,Mar 7,ARS,WHU,W 1-0,14.7,90,1
0,Rob Holding,D,2.0,Jul 26,ARS,WAT,W 3-2,3.6,90,1
