,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Tim Krul,G,1,Jul 26,NOR,@MCI,L 0-5,9.5,90,1
1,Tim Krul,G,1,Jul 18,NOR,BUR,L 0-2,17.75,90,1
2,Tim Krul,G,1,Jul 14,NOR,@CHE,L 0-1,13.0,90,1
3,Tim Krul,G,1,Jul 11,NOR,WHU,L 0-4,7.5,90,1
4,Tim Krul,G,1,Jul 7,NOR,@WAT,L 1-2,7.75,90,1
5,Tim Krul,G,1,Jul 4,NOR,BHA,L 0-1,5.0,90,1
6,Tim Krul,G,1,Jul 1,NOR,@ARS,L 0-4,9.5,90,1
7,Tim Krul,G,1,Jun 24,NOR,EVE,L 0-1,12.75,90,1
8,Tim Krul,G,1,Jun 19,NOR,SOU,L 0-3,14.0,90,1
9,Tim Krul,G,1,Mar 7,NOR,@SHU,L 0-1,8.0,90,1
10,Tim Krul,G,1,Feb 28,NOR,LEI,W 1-0,19.25,90,1
11,Tim Krul,G,1,Feb 23,NOR,@WOL,L 0-3,8.0,90,1
12,Tim Krul,G,1,Feb 15,NOR,LIV,L 0-1,13.0,90,1
13,Tim Krul,G,1,Feb 1,NOR,@NEW,T 0-0,24.0,90,1
14,Tim Krul,G,1,Jan 22,NOR,@TOT,L 1-2,4.5,90,1
15,Tim Krul,G,1,Jan 18,NOR,BOU,W 1-0,16.5,90,1
16,Tim Krul,G,1,Jan 11,NOR,@MUN,L 0-4,5.5,90,1
17,Tim Krul,G,1,Jan 1,NOR,CRY,T 1-1,7.25,90,1
18,Tim Krul,G,1,Dec 28,NOR,TOT,T 2-2,12.0,90,1
19,Tim Krul,G,1,Dec 26,NOR,@AVL,L 0-1,5.0,90,1
20,Tim Krul,G,1,Dec 21,NOR,WOL,L 1-2,6.5,90,1
21,Tim Krul,G,1,Dec 14,NOR,@LEI,T 1-1,11.25,90,1
22,Tim Krul,G,1,Dec 8,NOR,SHU,L 1-2,4.5,90,1
23,Tim Krul,G,1,Dec 4,NOR,@SOU,L 1-2,10.0,90,1
24,Tim Krul,G,1,Dec 1,NOR,ARS,T 2-2,8.75,90,1
25,Tim Krul,G,1,Nov 23,NOR,@EVE,W 2-0,27.5,90,1
26,Tim Krul,G,1,Nov 8,NOR,WAT,L 0-2,2.5,90,1
27,Tim Krul,G,1,Nov 2,NOR,@BHA,L 0-2,9.0,90,1
28,Tim Krul,G,1,Oct 27,NOR,MUN,L 1-3,26.25,90,1
29,Tim Krul,G,1,Oct 19,NOR,@BOU,T 0-0,17.25,90,1
30,Tim Krul,G,1,Sep 21,NOR,@BUR,L 0-2,10.5,90,1
31,Tim Krul,G,1,Sep 14,NOR,MCI,W 3-2,16.0,90,1
32,Tim Krul,G,1,Aug 31,NOR,@WHU,L 0-2,15.25,90,1
33,Tim Krul,G,1,Aug 24,NOR,CHE,L 2-3,14.5,90,1
34,Tim Krul,G,1,Aug 17,NOR,NEW,W 3-1,7.5,90,1
35,Tim Krul,G,1,Aug 9,NOR,@LIV,L 1-4,11.0,90,1
0,Ralf Fahrmann,G,1,Sep 28,NOR,@CRY,L 0-2,3.0,22,1
0,Michael McGovern,G,1,Oct 5,NOR,AVL,L 1-5,19.5,90,1
1,Michael McGovern,G,1,Sep 28,NOR,@CRY,L 0-2,2.75,68,0
0,Max Aarons,D,2,Jul 26,NOR,@MCI,L 0-5,6.3,90,1
1,Max Aarons,D,2,Jul 18,NOR,BUR,L 0-2,5.75,90,1
2,Max Aarons,D,2,Jul 14,NOR,@CHE,L 0-1,5.7,90,1
3,Max Aarons,D,2,Jul 11,NOR,WHU,L 0-4,7.85,90,1
4,Max Aarons,D,2,Jul 7,NOR,@WAT,L 1-2,12.75,90,1
5,Max Aarons,D,2,Jul 4,NOR,BHA,L 0-1,8.95,90,1
6,Max Aarons,D,2,Jul 1,NOR,@ARS,L 0-4,4.4,90,1
7,Max Aarons,D,2,Jun 24,NOR,EVE,L 0-1,11.5,90,1
8,Max Aarons,D,2,Jun 19,NOR,SOU,L 0-3,5.0,90,1
9,Max Aarons,D,2,Mar 7,NOR,@SHU,L 0-1,7.7,90,1
10,Max Aarons,D,2,Feb 28,NOR,LEI,W 1-0,23.0,90,1
11,Max Aarons,D,2,Feb 23,NOR,@WOL,L 0-3,-0.35,90,1
12,Max Aarons,D,2,Feb 15,NOR,LIV,L 0-1,7.85,90,1
13,Max Aarons,D,2,Feb 1,NOR,@NEW,T 0-0,16.6,90,1
14,Max Aarons,D,2,Jan 22,NOR,@TOT,L 1-2,14.4,90,1
15,Max Aarons,D,2,Jan 18,NOR,BOU,W 1-0,15.1,90,1
16,Max Aarons,D,2,Jan 11,NOR,@MUN,L 0-4,3.55,90,1
17,Max Aarons,D,2,Jan 1,NOR,CRY,T 1-1,8.35,90,1
18,Max Aarons,D,2,Dec 28,NOR,TOT,T 2-2,6.05,90,1
19,Max Aarons,D,2,Dec 26,NOR,@AVL,L 0-1,14.9,90,1
20,Max Aarons,D,2,Dec 21,NOR,WOL,L 1-2,8.15,90,1
21,Max Aarons,D,2,Dec 14,NOR,@LEI,T 1-1,10.7,90,1
22,Max Aarons,D,2,Dec 8,NOR,SHU,L 1-2,4.55,90,1
23,Max Aarons,D,2,Dec 4,NOR,@SOU,L 1-2,8.3,90,1
24,Max Aarons,D,2,Dec 1,NOR,ARS,T 2-2,5.0,90,1
25,Max Aarons,D,2,Nov 23,NOR,@EVE,W 2-0,13.9,90,1
26,Max Aarons,D,2,Nov 8,NOR,WAT,L 0-2,4.0,90,1
27,Max Aarons,D,2,Nov 2,NOR,@BHA,L 0-2,4.0,90,1
28,Max Aarons,D,2,Oct 27,NOR,MUN,L 1-3,8.7,90,1
29,Max Aarons,D,2,Oct 19,NOR,@BOU,T 0-0,13.3,90,1
30,Max Aarons,D,2,Oct 5,NOR,AVL,L 1-5,4.4,90,1
31,Max Aarons,D,2,Sep 28,NOR,@CRY,L 0-2,4.4,90,1
32,Max Aarons,D,2,Aug 31,NOR,@WHU,L 0-2,7.8,90,1
33,Max Aarons,D,2,Aug 24,NOR,CHE,L 2-3,5.3,90,1
34,Max Aarons,D,2,Aug 17,NOR,NEW,W 3-1,2.4,90,1
35,Max Aarons,D,2,Aug 9,NOR,@LIV,L 1-4,9.85,90,1
0,Sam Byram,D,2,Feb 15,NOR,LIV,L 0-1,1.2,27,1
1,Sam Byram,D,2,Feb 1,NOR,@NEW,T 0-0,15.7,90,1
2,Sam Byram,D,2,Jan 22,NOR,@TOT,L 1-2,7.75,90,1
3,Sam Byram,D,2,Jan 18,NOR,BOU,W 1-0,20.75,90,1
4,Sam Byram,D,2,Jan 11,NOR,@MUN,L 0-4,6.65,90,1
5,Sam Byram,D,2,Jan 1,NOR,CRY,T 1-1,8.9,90,1
6,Sam Byram,D,2,Dec 26,NOR,@AVL,L 0-1,9.55,90,1
7,Sam Byram,D,2,Dec 21,NOR,WOL,L 1-2,8.6,90,1
8,Sam Byram,D,2,Dec 14,NOR,@LEI,T 1-1,7.45,90,1
9,Sam Byram,D,2,Dec 8,NOR,SHU,L 1-2,5.95,72,1
10,Sam Byram,D,2,Dec 4,NOR,@SOU,L 1-2,5.4,90,1
11,Sam Byram,D,2,Dec 1,NOR,ARS,T 2-2,7.3,90,1
12,Sam Byram,D,2,Nov 23,NOR,@EVE,W 2-0,14.15,90,1
13,Sam Byram,D,2,Oct 27,NOR,MUN,L 1-3,1.6,24,0
14,Sam Byram,D,2,Sep 21,NOR,@BUR,L 0-2,8.0,90,1
15,Sam Byram,D,2,Sep 14,NOR,MCI,W 3-2,10.6,90,1
16,Sam Byram,D,2,Aug 17,NOR,NEW,W 3-1,0.85,1,0
0,Jordan Thomas,D,2,Jul 26,NOR,@MCI,L 0-5,0.5,1,0
0,Christoph Zimmerman,D,2,Jul 26,NOR,@MCI,L 0-5,3.35,90,1
1,Christoph Zimmerman,D,2,Jul 18,NOR,BUR,L 0-2,5.15,45,0
2,Christoph Zimmerman,D,2,Feb 15,NOR,LIV,L 0-1,7.95,90,1
3,Christoph Zimmerman,D,2,Feb 1,NOR,@NEW,T 0-0,14.9,90,1
4,Christoph Zimmerman,D,2,Jan 22,NOR,@TOT,L 1-2,6.75,90,1
5,Christoph Zimmerman,D,2,Jan 18,NOR,BOU,W 1-0,11.7,90,1
6,Christoph Zimmerman,D,2,Jan 11,NOR,@MUN,L 0-4,10.0,90,1
7,Christoph Zimmerman,D,2,Jan 1,NOR,CRY,T 1-1,8.55,90,1
8,Christoph Zimmerman,D,2,Dec 28,NOR,TOT,T 2-2,8.25,90,1
9,Christoph Zimmerman,D,2,Dec 26,NOR,@AVL,L 0-1,7.75,90,1
10,Christoph Zimmerman,D,2,Dec 21,NOR,WOL,L 1-2,6.85,90,1
11,Christoph Zimmerman,D,2,Dec 14,NOR,@LEI,T 1-1,6.85,90,1
12,Christoph Zimmerman,D,2,Dec 8,NOR,SHU,L 1-2,13.4,90,1
13,Christoph Zimmerman,D,2,Dec 4,NOR,@SOU,L 1-2,9.1,90,1
14,Christoph Zimmerman,D,2,Dec 1,NOR,ARS,T 2-2,8.8,90,1
15,Christoph Zimmerman,D,2,Nov 23,NOR,@EVE,W 2-0,10.95,90,1
16,Christoph Zimmerman,D,2,Aug 31,NOR,@WHU,L 0-2,1.2,36,1
0,Timm Klose,D,2,Jul 18,NOR,BUR,L 0-2,2.9,45,1
1,Timm Klose,D,2,Jul 14,NOR,@CHE,L 0-1,9.05,90,1
2,Timm Klose,D,2,Jul 11,NOR,WHU,L 0-4,5.85,90,1
3,Timm Klose,D,2,Jul 7,NOR,@WAT,L 1-2,5.45,90,1
4,Timm Klose,D,2,Jul 4,NOR,BHA,L 0-1,5.05,90,1
5,Timm Klose,D,2,Jun 24,NOR,EVE,L 0-1,5.5,90,1
6,Timm Klose,D,2,Jun 19,NOR,SOU,L 0-3,6.15,90,1
0,Grant Hanley,D,2,Mar 7,NOR,@SHU,L 0-1,8.95,90,1
1,Grant Hanley,D,2,Feb 28,NOR,LEI,W 1-0,14.15,90,1
2,Grant Hanley,D,2,Feb 23,NOR,@WOL,L 0-3,8.0,90,1
3,Grant Hanley,D,2,Feb 15,NOR,LIV,L 0-1,11.6,90,1
4,Grant Hanley,D,2,Feb 1,NOR,@NEW,T 0-0,17.75,90,1
5,Grant Hanley,D,2,Jan 22,NOR,@TOT,L 1-2,9.15,90,1
6,Grant Hanley,D,2,Jan 18,NOR,BOU,W 1-0,2.95,12,0
7,Grant Hanley,D,2,Jan 11,NOR,@MUN,L 0-4,9.9,80,1
8,Grant Hanley,D,2,Jan 1,NOR,CRY,T 1-1,4.3,90,1
9,Grant Hanley,D,2,Dec 28,NOR,TOT,T 2-2,8.9,90,1
10,Grant Hanley,D,2,Dec 26,NOR,@AVL,L 0-1,5.9,90,1
11,Grant Hanley,D,2,Dec 21,NOR,WOL,L 1-2,6.1,90,1
12,Grant Hanley,D,2,Aug 24,NOR,CHE,L 2-3,6.8,90,1
13,Grant Hanley,D,2,Aug 17,NOR,NEW,W 3-1,6.9,90,1
14,Grant Hanley,D,2,Aug 9,NOR,@LIV,L 1-4,-1.5,90,1
0,Jamal Lewis,D,2,Jul 26,NOR,@MCI,L 0-5,4.2,90,1
1,Jamal Lewis,D,2,Jul 18,NOR,BUR,L 0-2,6.5,90,1
2,Jamal Lewis,D,2,Jul 14,NOR,@CHE,L 0-1,9.7,90,1
3,Jamal Lewis,D,2,Jul 11,NOR,WHU,L 0-4,7.7,90,1
4,Jamal Lewis,D,2,Jul 7,NOR,@WAT,L 1-2,8.8,90,1
5,Jamal Lewis,D,2,Jul 4,NOR,BHA,L 0-1,5.5,90,1
6,Jamal Lewis,D,2,Jul 1,NOR,@ARS,L 0-4,7.9,90,1
7,Jamal Lewis,D,2,Jun 24,NOR,EVE,L 0-1,3.1,86,1
8,Jamal Lewis,D,2,Jun 19,NOR,SOU,L 0-3,8.15,90,1
9,Jamal Lewis,D,2,Mar 7,NOR,@SHU,L 0-1,3.9,90,1
10,Jamal Lewis,D,2,Feb 28,NOR,LEI,W 1-0,27.25,90,1
11,Jamal Lewis,D,2,Feb 23,NOR,@WOL,L 0-3,10.3,90,1
12,Jamal Lewis,D,2,Feb 15,NOR,LIV,L 0-1,8.9,63,0
13,Jamal Lewis,D,2,Jan 11,NOR,@MUN,L 0-4,0.5,10,0
14,Jamal Lewis,D,2,Dec 28,NOR,TOT,T 2-2,7.4,90,1
15,Jamal Lewis,D,2,Dec 8,NOR,SHU,L 1-2,2.0,18,0
16,Jamal Lewis,D,2,Nov 8,NOR,WAT,L 0-2,5.2,81,1
17,Jamal Lewis,D,2,Nov 2,NOR,@BHA,L 0-2,7.4,90,1
18,Jamal Lewis,D,2,Oct 27,NOR,MUN,L 1-3,1.7,66,1
19,Jamal Lewis,D,2,Oct 19,NOR,@BOU,T 0-0,11.35,90,1
20,Jamal Lewis,D,2,Oct 5,NOR,AVL,L 1-5,6.0,90,1
21,Jamal Lewis,D,2,Sep 28,NOR,@CRY,L 0-2,8.35,90,1
22,Jamal Lewis,D,2,Sep 21,NOR,@BUR,L 0-2,6.25,90,1
23,Jamal Lewis,D,2,Sep 14,NOR,MCI,W 3-2,6.25,90,1
