,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Dean Henderson,G,1,Jul 26,SHU,@SOU,L 1-3,5.25,90,1
1,Dean Henderson,G,1,Jul 20,SHU,EVE,L 0-1,5.5,90,1
2,Dean Henderson,G,1,Jul 16,SHU,@LEI,L 0-2,13.0,90,1
3,Dean Henderson,G,1,Jul 11,SHU,CHE,W 3-0,20.25,90,1
4,Dean Henderson,G,1,Jul 8,SHU,WOL,W 1-0,13.0,90,1
5,Dean Henderson,G,1,Jul 5,SHU,@BUR,T 1-1,9.0,90,1
6,Dean Henderson,G,1,Jul 2,SHU,TOT,W 3-1,10.5,90,1
7,Dean Henderson,G,1,Jun 21,SHU,@NEW,L 0-3,12.0,90,1
8,Dean Henderson,G,1,Jun 17,SHU,@AVL,T 0-0,23.0,90,1
9,Dean Henderson,G,1,Mar 7,SHU,NOR,W 1-0,19.25,90,1
10,Dean Henderson,G,1,Feb 22,SHU,BHA,T 1-1,5.0,90,1
11,Dean Henderson,G,1,Feb 9,SHU,BOU,W 2-1,6.75,90,1
12,Dean Henderson,G,1,Feb 1,SHU,@CRY,W 1-0,18.5,90,1
13,Dean Henderson,G,1,Jan 21,SHU,MCI,L 0-1,16.0,90,1
14,Dean Henderson,G,1,Jan 18,SHU,@ARS,T 1-1,10.0,90,1
15,Dean Henderson,G,1,Jan 10,SHU,WHU,W 1-0,15.25,90,1
16,Dean Henderson,G,1,Jan 2,SHU,@LIV,L 0-2,12.75,90,1
17,Dean Henderson,G,1,Dec 29,SHU,@MCI,L 0-2,7.5,90,1
18,Dean Henderson,G,1,Dec 26,SHU,WAT,T 1-1,5.0,90,1
19,Dean Henderson,G,1,Dec 21,SHU,@BHA,W 1-0,15.25,90,1
20,Dean Henderson,G,1,Dec 14,SHU,AVL,W 2-0,11.0,90,1
21,Dean Henderson,G,1,Dec 8,SHU,@NOR,W 2-1,10.25,90,1
22,Dean Henderson,G,1,Dec 5,SHU,NEW,L 0-2,7.5,90,1
23,Dean Henderson,G,1,Dec 1,SHU,@WOL,T 1-1,10.5,90,1
24,Dean Henderson,G,1,Nov 9,SHU,@TOT,T 1-1,11.0,90,1
25,Dean Henderson,G,1,Nov 2,SHU,BUR,W 3-0,15.5,90,1
26,Dean Henderson,G,1,Oct 26,SHU,@WHU,T 1-1,10.5,90,1
27,Dean Henderson,G,1,Oct 21,SHU,ARS,W 1-0,15.0,90,1
28,Dean Henderson,G,1,Oct 5,SHU,@WAT,T 0-0,15.0,90,1
29,Dean Henderson,G,1,Sep 28,SHU,LIV,L 0-1,9.0,90,1
30,Dean Henderson,G,1,Sep 21,SHU,@EVE,W 2-0,16.5,90,1
31,Dean Henderson,G,1,Sep 14,SHU,SOU,L 0-1,16.0,90,1
32,Dean Henderson,G,1,Aug 31,SHU,@CHE,T 2-2,8.75,90,1
33,Dean Henderson,G,1,Aug 24,SHU,LEI,L 1-2,2.5,90,1
34,Dean Henderson,G,1,Aug 18,SHU,CRY,W 1-0,20.25,90,1
35,Dean Henderson,G,1,Aug 10,SHU,@BOU,T 1-1,7.0,90,1
0,Simon Moore,G,1,Jun 24,SHU,@MUN,L 0-3,8.0,90,1
1,Simon Moore,G,1,Nov 24,SHU,MUN,T 3-3,6.0,90,1
0,Kieron Freeman,D,2,Jul 2,SHU,TOT,W 3-1,0.5,1,0
1,Kieron Freeman,D,2,Jun 21,SHU,@NEW,L 0-3,1.0,5,0
0,Chris Basham,D,2,Jul 26,SHU,@SOU,L 1-3,11.85,80,1
1,Chris Basham,D,2,Jul 20,SHU,EVE,L 0-1,11.2,83,1
2,Chris Basham,D,2,Jul 16,SHU,@LEI,L 0-2,5.45,59,1
3,Chris Basham,D,2,Jul 11,SHU,CHE,W 3-0,13.2,68,1
4,Chris Basham,D,2,Jul 8,SHU,WOL,W 1-0,16.2,90,1
5,Chris Basham,D,2,Jul 5,SHU,@BUR,T 1-1,7.2,75,1
6,Chris Basham,D,2,Jul 2,SHU,TOT,W 3-1,13.4,90,1
7,Chris Basham,D,2,Jun 24,SHU,@MUN,L 0-3,3.35,90,1
8,Chris Basham,D,2,Jun 21,SHU,@NEW,L 0-3,8.4,90,1
9,Chris Basham,D,2,Jun 17,SHU,@AVL,T 0-0,19.15,90,1
10,Chris Basham,D,2,Mar 7,SHU,NOR,W 1-0,18.8,90,1
11,Chris Basham,D,2,Feb 22,SHU,BHA,T 1-1,11.1,90,1
12,Chris Basham,D,2,Feb 9,SHU,BOU,W 2-1,12.05,90,1
13,Chris Basham,D,2,Feb 1,SHU,@CRY,W 1-0,17.85,90,1
14,Chris Basham,D,2,Jan 21,SHU,MCI,L 0-1,6.6,78,1
15,Chris Basham,D,2,Jan 18,SHU,@ARS,T 1-1,9.85,76,1
16,Chris Basham,D,2,Jan 10,SHU,WHU,W 1-0,13.75,90,1
17,Chris Basham,D,2,Jan 2,SHU,@LIV,L 0-2,9.85,90,1
18,Chris Basham,D,2,Dec 29,SHU,@MCI,L 0-2,12.0,90,1
19,Chris Basham,D,2,Dec 26,SHU,WAT,T 1-1,10.0,90,1
20,Chris Basham,D,2,Dec 21,SHU,@BHA,W 1-0,16.75,90,1
21,Chris Basham,D,2,Dec 14,SHU,AVL,W 2-0,15.95,90,1
22,Chris Basham,D,2,Dec 8,SHU,@NOR,W 2-1,8.8,90,1
23,Chris Basham,D,2,Dec 5,SHU,NEW,L 0-2,5.95,75,1
24,Chris Basham,D,2,Dec 1,SHU,@WOL,T 1-1,12.25,90,1
25,Chris Basham,D,2,Nov 24,SHU,MUN,T 3-3,10.45,83,1
26,Chris Basham,D,2,Nov 9,SHU,@TOT,T 1-1,5.9,90,1
27,Chris Basham,D,2,Nov 2,SHU,BUR,W 3-0,11.8,90,1
28,Chris Basham,D,2,Oct 26,SHU,@WHU,T 1-1,12.95,90,1
29,Chris Basham,D,2,Oct 21,SHU,ARS,W 1-0,19.5,90,1
30,Chris Basham,D,2,Oct 5,SHU,@WAT,T 0-0,14.15,90,1
31,Chris Basham,D,2,Sep 28,SHU,LIV,L 0-1,8.0,90,1
32,Chris Basham,D,2,Sep 21,SHU,@EVE,W 2-0,16.0,90,1
33,Chris Basham,D,2,Sep 14,SHU,SOU,L 0-1,6.65,84,1
34,Chris Basham,D,2,Aug 31,SHU,@CHE,T 2-2,7.4,84,1
35,Chris Basham,D,2,Aug 24,SHU,LEI,L 1-2,5.2,78,1
36,Chris Basham,D,2,Aug 18,SHU,CRY,W 1-0,16.35,90,1
37,Chris Basham,D,2,Aug 10,SHU,@BOU,T 1-1,6.5,82,1
0,John Egan,D,2,Jul 26,SHU,@SOU,L 1-3,5.4,90,1
1,John Egan,D,2,Jul 20,SHU,EVE,L 0-1,8.05,90,1
2,John Egan,D,2,Jul 16,SHU,@LEI,L 0-2,6.9,90,1
3,John Egan,D,2,Jul 11,SHU,CHE,W 3-0,16.1,90,1
4,John Egan,D,2,Jul 8,SHU,WOL,W 1-0,24.6,90,1
5,John Egan,D,2,Jul 5,SHU,@BUR,T 1-1,17.0,90,1
6,John Egan,D,2,Jul 2,SHU,TOT,W 3-1,11.1,90,1
7,John Egan,D,2,Jun 21,SHU,@NEW,L 0-3,2.8,50,1
8,John Egan,D,2,Jun 17,SHU,@AVL,T 0-0,15.25,90,1
9,John Egan,D,2,Mar 7,SHU,NOR,W 1-0,15.25,90,1
10,John Egan,D,2,Feb 22,SHU,BHA,T 1-1,6.8,90,1
11,John Egan,D,2,Feb 9,SHU,BOU,W 2-1,14.2,90,1
12,John Egan,D,2,Feb 1,SHU,@CRY,W 1-0,16.7,90,1
13,John Egan,D,2,Jan 21,SHU,MCI,L 0-1,4.5,90,1
14,John Egan,D,2,Jan 18,SHU,@ARS,T 1-1,8.4,90,1
