,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Hugo Lloris,G,1,Jul 26,TOT,@CRY,T 1-1,5.0,90,1
1,Hugo Lloris,G,1,Jul 19,TOT,LEI,W 3-0,23.25,90,1
2,Hugo Lloris,G,1,Jul 15,TOT,@NEW,W 3-1,13.25,90,1
3,Hugo Lloris,G,1,Jul 12,TOT,ARS,W 2-1,9.0,90,1
4,Hugo Lloris,G,1,Jul 9,TOT,@BOU,T 0-0,16.0,90,1
5,Hugo Lloris,G,1,Jul 6,TOT,EVE,W 1-0,17.25,90,1
6,Hugo Lloris,G,1,Jul 2,TOT,@SHU,L 1-3,8.25,90,1
7,Hugo Lloris,G,1,Jun 23,TOT,WHU,W 2-0,15.0,90,1
8,Hugo Lloris,G,1,Jun 19,TOT,MUN,T 1-1,15.0,90,1
9,Hugo Lloris,G,1,Mar 7,TOT,@BUR,T 1-1,16.25,90,1
10,Hugo Lloris,G,1,Feb 22,TOT,@CHE,L 1-2,12.5,90,1
11,Hugo Lloris,G,1,Feb 16,TOT,@AVL,W 3-2,10.25,90,1
12,Hugo Lloris,G,1,Feb 2,TOT,MCI,W 2-0,27.5,90,1
13,Hugo Lloris,G,1,Jan 22,TOT,NOR,W 2-1,5.0,90,1
14,Hugo Lloris,G,1,Oct 5,TOT,@BHA,L 0-3,1.0,8,1
15,Hugo Lloris,G,1,Sep 28,TOT,SOU,W 2-1,13.25,90,1
16,Hugo Lloris,G,1,Sep 14,TOT,CRY,W 4-0,24.25,90,1
17,Hugo Lloris,G,1,Sep 1,TOT,@ARS,T 2-2,14.5,90,1
18,Hugo Lloris,G,1,Aug 25,TOT,NEW,L 0-1,7.0,90,1
19,Hugo Lloris,G,1,Aug 17,TOT,@MCI,T 2-2,19.75,90,1
20,Hugo Lloris,G,1,Aug 10,TOT,AVL,W 3-1,9.0,90,1
0,Paulo Gazzaniga,G,1,Mar 1,TOT,WOL,L 2-3,4.0,90,1
1,Paulo Gazzaniga,G,1,Jan 18,TOT,@WAT,T 0-0,19.25,90,1
2,Paulo Gazzaniga,G,1,Jan 11,TOT,LIV,L 0-1,13.0,90,1
3,Paulo Gazzaniga,G,1,Jan 1,TOT,@SOU,L 0-1,7.25,90,1
4,Paulo Gazzaniga,G,1,Dec 28,TOT,@NOR,T 2-2,4.5,90,1
5,Paulo Gazzaniga,G,1,Dec 26,TOT,BHA,W 2-1,11.0,90,1
6,Paulo Gazzaniga,G,1,Dec 22,TOT,CHE,L 0-2,2.5,90,1
7,Paulo Gazzaniga,G,1,Dec 15,TOT,@WOL,W 2-1,11.0,90,1
8,Paulo Gazzaniga,G,1,Dec 7,TOT,BUR,W 5-0,15.5,90,1
9,Paulo Gazzaniga,G,1,Dec 4,TOT,@MUN,L 1-2,13.5,90,1
10,Paulo Gazzaniga,G,1,Nov 30,TOT,BOU,W 3-2,12.75,90,1
11,Paulo Gazzaniga,G,1,Nov 23,TOT,@WHU,W 3-2,8.5,90,1
12,Paulo Gazzaniga,G,1,Nov 9,TOT,SHU,T 1-1,9.25,90,1
13,Paulo Gazzaniga,G,1,Nov 3,TOT,@EVE,T 1-1,8.0,90,1
14,Paulo Gazzaniga,G,1,Oct 27,TOT,@LIV,L 1-2,30.5,90,1
15,Paulo Gazzaniga,G,1,Oct 19,TOT,WAT,T 1-1,5.0,90,1
16,Paulo Gazzaniga,G,1,Oct 5,TOT,@BHA,L 0-3,8.25,82,0
17,Paulo Gazzaniga,G,1,Sep 21,TOT,@LEI,L 1-2,12.5,90,1
0,Serge Aurier,D,2,Jul 26,TOT,@CRY,T 1-1,7.6,90,1
1,Serge Aurier,D,2,Jul 19,TOT,LEI,W 3-0,16.85,90,1
2,Serge Aurier,D,2,Jul 15,TOT,@NEW,W 3-1,4.5,90,1
3,Serge Aurier,D,2,Jul 12,TOT,ARS,W 2-1,3.25,90,1
4,Serge Aurier,D,2,Jul 9,TOT,@BOU,T 0-0,17.5,89,1
5,Serge Aurier,D,2,Jul 6,TOT,EVE,W 1-0,14.45,90,1
