,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Ben Foster,G,1,Jul 26,WAT,@ARS,L 2-3,6.0,90,1
1,Ben Foster,G,1,Jul 21,WAT,MCI,L 0-4,19.5,90,1
2,Ben Foster,G,1,Jul 17,WAT,@WHU,L 1-3,4.5,90,1
3,Ben Foster,G,1,Jul 11,WAT,NEW,W 2-1,9.25,90,1
4,Ben Foster,G,1,Jul 7,WAT,NOR,W 2-1,7.25,90,1
5,Ben Foster,G,1,Jul 4,WAT,@CHE,L 0-3,14.25,90,1
6,Ben Foster,G,1,Jun 28,WAT,SOU,L 1-3,10.25,90,1
7,Ben Foster,G,1,Jun 25,WAT,@BUR,L 0-1,9.0,90,1
8,Ben Foster,G,1,Jun 20,WAT,LEI,T 1-1,5.25,90,1
9,Ben Foster,G,1,Mar 7,WAT,@CRY,L 0-1,7.25,90,1
10,Ben Foster,G,1,Feb 29,WAT,LIV,W 3-0,13.25,90,1
11,Ben Foster,G,1,Feb 23,WAT,@MUN,L 0-3,12.25,90,1
12,Ben Foster,G,1,Feb 8,WAT,@BHA,T 1-1,9.0,90,1
13,Ben Foster,G,1,Feb 1,WAT,EVE,L 2-3,6.25,90,1
14,Ben Foster,G,1,Jan 21,WAT,@AVL,L 1-2,8.5,90,1
15,Ben Foster,G,1,Jan 18,WAT,TOT,T 0-0,19.25,90,1
16,Ben Foster,G,1,Jan 12,WAT,@BOU,W 3-0,15.25,90,1
17,Ben Foster,G,1,Jan 1,WAT,WOL,W 2-1,8.0,90,1
18,Ben Foster,G,1,Dec 28,WAT,AVL,W 3-0,15.0,90,1
19,Ben Foster,G,1,Dec 26,WAT,@SHU,T 1-1,9.0,90,1
20,Ben Foster,G,1,Dec 22,WAT,MUN,W 2-0,27.0,90,1
21,Ben Foster,G,1,Dec 14,WAT,@LIV,L 0-2,10.5,90,1
22,Ben Foster,G,1,Dec 7,WAT,CRY,T 0-0,11.0,90,1
23,Ben Foster,G,1,Dec 4,WAT,@LEI,L 0-2,8.5,90,1
24,Ben Foster,G,1,Nov 30,WAT,@SOU,L 1-2,8.75,90,1
25,Ben Foster,G,1,Nov 23,WAT,BUR,L 0-3,7.25,90,1
26,Ben Foster,G,1,Nov 8,WAT,@NOR,W 2-0,21.0,90,1
27,Ben Foster,G,1,Nov 2,WAT,CHE,L 1-2,18.5,90,1
28,Ben Foster,G,1,Oct 26,WAT,BOU,T 0-0,21.75,90,1
29,Ben Foster,G,1,Oct 19,WAT,@TOT,T 1-1,5.5,90,1
30,Ben Foster,G,1,Oct 5,WAT,SHU,T 0-0,17.5,90,1
31,Ben Foster,G,1,Sep 28,WAT,@WOL,L 0-2,4.75,90,1
32,Ben Foster,G,1,Sep 21,WAT,@MCI,L 0-8,5.5,90,1
33,Ben Foster,G,1,Sep 15,WAT,ARS,T 2-2,6.5,90,1
34,Ben Foster,G,1,Aug 31,WAT,@NEW,T 1-1,12.5,90,1
35,Ben Foster,G,1,Aug 24,WAT,WHU,L 1-3,20.0,90,1
36,Ben Foster,G,1,Aug 17,WAT,@EVE,L 0-1,7.0,90,1
37,Ben Foster,G,1,Aug 10,WAT,BHA,L 0-3,5.0,90,1
0,Francisco Femenia Far,D,2,Jul 26,WAT,@ARS,L 2-3,2.6,45,1
1,Francisco Femenia Far,D,2,Jul 21,WAT,MCI,L 0-4,9.8,90,1
2,Francisco Femenia Far,D,2,Jul 17,WAT,@WHU,L 1-3,8.8,90,1
3,Francisco Femenia Far,D,2,Jul 11,WAT,NEW,W 2-1,8.6,90,1
4,Francisco Femenia Far,D,2,Jul 7,WAT,NOR,W 2-1,10.55,90,1
5,Francisco Femenia Far,D,2,Jul 4,WAT,@CHE,L 0-3,5.5,64,1
6,Francisco Femenia Far,D,2,Jun 28,WAT,SOU,L 1-3,4.5,79,1
7,Francisco Femenia Far,D,2,Jun 25,WAT,@BUR,L 0-1,8.15,90,1
8,Francisco Femenia Far,D,2,Jun 20,WAT,LEI,T 1-1,13.45,77,1
9,Francisco Femenia Far,D,2,Mar 7,WAT,@CRY,L 0-1,9.45,90,1
10,Francisco Femenia Far,D,2,Feb 29,WAT,LIV,W 3-0,15.8,90,1
11,Francisco Femenia Far,D,2,Jan 1,WAT,WOL,W 2-1,12.95,60,1
12,Francisco Femenia Far,D,2,Dec 28,WAT,AVL,W 3-0,12.85,90,1
13,Francisco Femenia Far,D,2,Dec 26,WAT,@SHU,T 1-1,8.75,90,1
14,Francisco Femenia Far,D,2,Dec 22,WAT,MUN,W 2-0,16.1,90,1
15,Francisco Femenia Far,D,2,Dec 14,WAT,@LIV,L 0-2,11.3,90,1
16,Francisco Femenia Far,D,2,Dec 7,WAT,CRY,T 0-0,17.45,90,1
17,Francisco Femenia Far,D,2,Dec 4,WAT,@LEI,L 0-2,11.2,90,1
18,Francisco Femenia Far,D,2,Nov 30,WAT,@SOU,L 1-2,10.8,82,1
19,Francisco Femenia Far,D,2,Nov 23,WAT,BUR,L 0-3,5.0,90,1
20,Francisco Femenia Far,D,2,Nov 2,WAT,CHE,L 1-2,3.4,15,0
21,Francisco Femenia Far,D,2,Oct 19,WAT,@TOT,T 1-1,0.2,19,0
22,Francisco Femenia Far,D,2,Sep 21,WAT,@MCI,L 0-8,-0.2,90,1
23,Francisco Femenia Far,D,2,Sep 15,WAT,ARS,T 2-2,8.1,90,1
24,Francisco Femenia Far,D,2,Aug 31,WAT,@NEW,T 1-1,6.15,90,1
25,Francisco Femenia Far,D,2,Aug 24,WAT,WHU,L 1-3,6.1,90,1
26,Francisco Femenia Far,D,2,Aug 17,WAT,@EVE,L 0-1,8.7,90,1
27,Francisco Femenia Far,D,2,Aug 10,WAT,BHA,L 0-3,8.5,90,1
0,Daryl Janmaat,D,2,Nov 8,WAT,@NOR,W 2-0,17.4,90,1
1,Daryl Janmaat,D,2,Nov 2,WAT,CHE,L 1-2,4.4,75,1
2,Daryl Janmaat,D,2,Oct 26,WAT,BOU,T 0-0,16.95,90,1
3,Daryl Janmaat,D,2,Oct 19,WAT,@TOT,T 1-1,22.3,71,1
4,Daryl Janmaat,D,2,Oct 5,WAT,SHU,T 0-0,17.4,90,1
5,Daryl Janmaat,D,2,Sep 28,WAT,@WOL,L 0-2,2.2,90,1
6,Daryl Janmaat,D,2,Sep 15,WAT,ARS,T 2-2,1.6,12,0
7,Daryl Janmaat,D,2,Aug 31,WAT,@NEW,T 1-1,5.55,90,1
0,Adrian Mariappa,D,2,Jul 26,WAT,@ARS,L 2-3,2.4,45,0
1,Adrian Mariappa,D,2,Jul 21,WAT,MCI,L 0-4,0.85,90,1
2,Adrian Mariappa,D,2,Jul 17,WAT,@WHU,L 1-3,1.7,45,0
3,Adrian Mariappa,D,2,Jul 4,WAT,@CHE,L 0-3,2.5,90,1
4,Adrian Mariappa,D,2,Jun 20,WAT,LEI,T 1-1,1.0,13,0
5,Adrian Mariappa,D,2,Feb 8,WAT,@BHA,T 1-1,-2.1,90,1
6,Adrian Mariappa,D,2,Feb 1,WAT,EVE,L 2-3,4.75,90,1
7,Adrian Mariappa,D,2,Jan 21,WAT,@AVL,L 1-2,12.4,90,1
8,Adrian Mariappa,D,2,Jan 18,WAT,TOT,T 0-0,11.95,90,1
9,Adrian Mariappa,D,2,Jan 12,WAT,@BOU,W 3-0,16.55,90,1
10,Adrian Mariappa,D,2,Dec 28,WAT,AVL,W 3-0,0.4,57,1
11,Adrian Mariappa,D,2,Dec 26,WAT,@SHU,T 1-1,5.8,90,1
12,Adrian Mariappa,D,2,Dec 22,WAT,MUN,W 2-0,17.4,90,1
13,Adrian Mariappa,D,2,Dec 14,WAT,@LIV,L 0-2,3.45,90,1
14,Adrian Mariappa,D,2,Dec 4,WAT,@LEI,L 0-2,7.75,90,1
15,Adrian Mariappa,D,2,Nov 30,WAT,@SOU,L 1-2,6.95,90,1
16,Adrian Mariappa,D,2,Nov 23,WAT,BUR,L 0-3,5.3,90,1
17,Adrian Mariappa,D,2,Nov 8,WAT,@NOR,W 2-0,1.85,20,0
18,Adrian Mariappa,D,2,Nov 2,WAT,CHE,L 1-2,2.85,70,0
19,Adrian Mariappa,D,2,Sep 21,WAT,@MCI,L 0-8,3.3,90,1
0,Dimitri Foulquier,D,2,Nov 30,WAT,@SOU,L 1-2,2.1,8,0
1,Dimitri Foulquier,D,2,Oct 26,WAT,BOU,T 0-0,2.0,17,0
2,Dimitri Foulquier,D,2,Sep 21,WAT,@MCI,L 0-8,3.0,33,1
0,Craig Dawson,D,2,Jul 26,WAT,@ARS,L 2-3,5.4,90,1
1,Craig Dawson,D,2,Jul 21,WAT,MCI,L 0-4,4.3,90,1
2,Craig Dawson,D,2,Jul 17,WAT,@WHU,L 1-3,11.2,90,1
3,Craig Dawson,D,2,Jul 11,WAT,NEW,W 2-1,14.9,90,1
4,Craig Dawson,D,2,Jul 7,WAT,NOR,W 2-1,17.55,90,1
5,Craig Dawson,D,2,Jul 4,WAT,@CHE,L 0-3,5.8,90,1
6,Craig Dawson,D,2,Jun 28,WAT,SOU,L 1-3,4.9,90,1
7,Craig Dawson,D,2,Jun 25,WAT,@BUR,L 0-1,10.35,90,1
8,Craig Dawson,D,2,Jun 20,WAT,LEI,T 1-1,17.1,90,1
9,Craig Dawson,D,2,Feb 23,WAT,@MUN,L 0-3,7.55,90,1
10,Craig Dawson,D,2,Jan 21,WAT,@AVL,L 1-2,4.8,90,1
11,Craig Dawson,D,2,Jan 18,WAT,TOT,T 0-0,16.5,90,1
12,Craig Dawson,D,2,Jan 12,WAT,@BOU,W 3-0,14.55,90,1
13,Craig Dawson,D,2,Jan 1,WAT,WOL,W 2-1,5.65,90,1
14,Craig Dawson,D,2,Dec 28,WAT,AVL,W 3-0,1.6,30,0
15,Craig Dawson,D,2,Dec 26,WAT,@SHU,T 1-1,1.95,1,0
16,Craig Dawson,D,2,Nov 23,WAT,BUR,L 0-3,5.0,45,1
17,Craig Dawson,D,2,Nov 8,WAT,@NOR,W 2-0,15.6,90,1
18,Craig Dawson,D,2,Nov 2,WAT,CHE,L 1-2,5.0,90,1
19,Craig Dawson,D,2,Oct 26,WAT,BOU,T 0-0,13.65,90,1
20,Craig Dawson,D,2,Oct 19,WAT,@TOT,T 1-1,8.65,90,1
21,Craig Dawson,D,2,Oct 5,WAT,SHU,T 0-0,4.6,33,0
22,Craig Dawson,D,2,Sep 28,WAT,@WOL,L 0-2,4.7,90,1
23,Craig Dawson,D,2,Sep 21,WAT,@MCI,L 0-8,3.1,90,1
24,Craig Dawson,D,2,Sep 15,WAT,ARS,T 2-2,4.2,90,1
25,Craig Dawson,D,2,Aug 31,WAT,@NEW,T 1-1,3.9,90,1
26,Craig Dawson,D,2,Aug 24,WAT,WHU,L 1-3,5.35,90,1
