,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Rui Patricio,G,1,Jul 26,WOL,@CHE,L 0-2,4.5,90,1
1,Rui Patricio,G,1,Jul 20,WOL,CRY,W 2-0,17.0,90,1
2,Rui Patricio,G,1,Jul 15,WOL,@BUR,T 1-1,4.0,90,1
3,Rui Patricio,G,1,Jul 12,WOL,EVE,W 3-0,15.0,90,1
4,Rui Patricio,G,1,Jul 8,WOL,@SHU,L 0-1,7.0,90,1
5,Rui Patricio,G,1,Jul 4,WOL,ARS,L 0-2,6.5,90,1
6,Rui Patricio,G,1,Jun 27,WOL,@AVL,W 1-0,14.0,90,1
7,Rui Patricio,G,1,Jun 24,WOL,BOU,W 1-0,12.25,90,1
8,Rui Patricio,G,1,Jun 20,WOL,@WHU,W 2-0,16.0,90,1
9,Rui Patricio,G,1,Mar 7,WOL,BHA,T 0-0,13.0,90,1
10,Rui Patricio,G,1,Mar 1,WOL,@TOT,W 3-2,9.75,90,1
11,Rui Patricio,G,1,Feb 23,WOL,NOR,W 3-0,19.0,90,1
12,Rui Patricio,G,1,Feb 14,WOL,LEI,T 0-0,17.5,90,1
13,Rui Patricio,G,1,Feb 1,WOL,@MUN,T 0-0,21.0,90,1
14,Rui Patricio,G,1,Jan 23,WOL,LIV,L 1-2,10.5,90,1
15,Rui Patricio,G,1,Jan 18,WOL,@SOU,W 3-2,9.5,90,1
16,Rui Patricio,G,1,Jan 11,WOL,NEW,T 1-1,3.0,90,1
17,Rui Patricio,G,1,Jan 1,WOL,@WAT,L 1-2,4.5,90,1
18,Rui Patricio,G,1,Dec 29,WOL,@LIV,L 0-1,7.0,90,1
19,Rui Patricio,G,1,Dec 27,WOL,MCI,W 3-2,8.5,90,1
20,Rui Patricio,G,1,Dec 21,WOL,@NOR,W 2-1,15.0,90,1
21,Rui Patricio,G,1,Dec 15,WOL,TOT,L 1-2,8.5,90,1
22,Rui Patricio,G,1,Dec 8,WOL,@BHA,T 2-2,8.5,90,1
23,Rui Patricio,G,1,Dec 4,WOL,WHU,W 2-0,18.25,90,1
24,Rui Patricio,G,1,Dec 1,WOL,SHU,T 1-1,9.25,90,1
25,Rui Patricio,G,1,Nov 23,WOL,@BOU,W 2-1,8.0,90,1
