,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Edouard Mendy,G,1,May 23,CHE,@AVL,L 1-2,2.5,44,1
1,Edouard Mendy,G,1,May 18,CHE,LEI,W 2-1,4.0,90,1
2,Edouard Mendy,G,1,May 8,CHE,@MCI,W 2-1,14.0,90,1
3,Edouard Mendy,G,1,May 1,CHE,FUL,W 2-0,16.5,90,1
4,Edouard Mendy,G,1,Apr 24,CHE,@WHU,W 1-0,13.0,90,1
5,Edouard Mendy,G,1,Apr 10,CHE,@CRY,W 4-1,3.0,90,1
6,Edouard Mendy,G,1,Apr 3,CHE,WBA,L 2-5,4.0,90,1
7,Edouard Mendy,G,1,Mar 13,CHE,@LEE,T 0-0,18.0,90,1
8,Edouard Mendy,G,1,Mar 8,CHE,EVE,W 2-0,14.0,90,1
9,Edouard Mendy,G,1,Mar 4,CHE,@LIV,W 1-0,14.0,90,1
10,Edouard Mendy,G,1,Feb 28,CHE,MUN,T 0-0,18.0,90,1
11,Edouard Mendy,G,1,Feb 20,CHE,@SOU,T 1-1,3.0,90,1
12,Edouard Mendy,G,1,Feb 7,CHE,@SHU,W 2-1,8.5,90,1
13,Edouard Mendy,G,1,Feb 4,CHE,@TOT,W 1-0,15.5,90,1
14,Edouard Mendy,G,1,Jan 31,CHE,BUR,W 2-0,12.0,90,1
15,Edouard Mendy,G,1,Jan 27,CHE,WOL,T 0-0,12.5,90,1
16,Edouard Mendy,G,1,Jan 19,CHE,@LEI,L 0-2,8.5,90,1
17,Edouard Mendy,G,1,Jan 16,CHE,@FUL,W 1-0,15.0,90,1
18,Edouard Mendy,G,1,Jan 3,CHE,MCI,L 1-3,6.5,90,1
19,Edouard Mendy,G,1,Dec 28,CHE,AVL,T 1-1,7.0,90,1
20,Edouard Mendy,G,1,Dec 26,CHE,@ARS,L 1-3,8.0,90,1
21,Edouard Mendy,G,1,Dec 21,CHE,WHU,W 3-0,12.5,90,1
22,Edouard Mendy,G,1,Dec 15,CHE,@WOL,L 1-2,5.5,90,1
23,Edouard Mendy,G,1,Dec 12,CHE,@EVE,L 0-1,7.5,90,1
24,Edouard Mendy,G,1,Dec 5,CHE,LEE,W 3-1,7.0,90,1
25,Edouard Mendy,G,1,Nov 29,CHE,TOT,T 0-0,14.5,90,1
26,Edouard Mendy,G,1,Nov 21,CHE,@NEW,W 2-0,13.5,90,1
27,Edouard Mendy,G,1,Nov 7,CHE,SHU,W 4-1,6.5,90,1
28,Edouard Mendy,G,1,Oct 31,CHE,@BUR,W 3-0,12.0,90,1
29,Edouard Mendy,G,1,Oct 24,CHE,@MUN,T 0-0,18.0,90,1
30,Edouard Mendy,G,1,Oct 3,CHE,CRY,W 4-0,12.5,90,1
0,Kepa Arrizabalaga,G,1,May 23,CHE,@AVL,L 1-2,-1.0,44,0
1,Kepa Arrizabalaga,G,1,May 12,CHE,ARS,L 0-1,6.0,90,1
2,Kepa Arrizabalaga,G,1,Apr 20,CHE,BHA,T 0-0,15.0,90,1
3,Kepa Arrizabalaga,G,1,Feb 15,CHE,NEW,W 2-0,18.5,90,1
4,Kepa Arrizabalaga,G,1,Oct 17,CHE,SOU,T 3-3,7.5,90,1
5,Kepa Arrizabalaga,G,1,Sep 20,CHE,LIV,L 0-2,7.5,90,1
6,Kepa Arrizabalaga,G,1,Sep 14,CHE,@BHA,W 3-1,6.0,90,1
0,Willy Caballero,G,1,Sep 26,CHE,@WBA,T 3-3,2.0,90,1
0,Cesar Azpilicueta,D,2,May 23,CHE,@AVL,L 1-2,5.6,88,1
1,Cesar Azpilicueta,D,2,May 18,CHE,LEI,W 2-1,8.35,87,1
2,Cesar Azpilicueta,D,2,May 12,CHE,ARS,L 0-1,3.85,77,1
3,Cesar Azpilicueta,D,2,May 8,CHE,@MCI,W 2-1,20.05,90,1
4,Cesar Azpilicueta,D,2,Apr 24,CHE,@WHU,W 1-0,16.55,85,1
