,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Jordan Pickford,G,1,May 23,EVE,@MCI,L 0-5,12.5,90,1
1,Jordan Pickford,G,1,May 19,EVE,WOL,W 1-0,17.0,90,1
2,Jordan Pickford,G,1,May 16,EVE,SHU,L 0-1,8.0,90,1
3,Jordan Pickford,G,1,May 13,EVE,@AVL,T 0-0,15.0,90,1
4,Jordan Pickford,G,1,May 9,EVE,@WHU,W 1-0,12.0,90,1
5,Jordan Pickford,G,1,May 1,EVE,AVL,L 1-2,8.0,90,1
6,Jordan Pickford,G,1,Apr 23,EVE,@ARS,W 1-0,16.5,90,1
7,Jordan Pickford,G,1,Apr 16,EVE,TOT,T 2-2,5.0,90,1
8,Jordan Pickford,G,1,Mar 13,EVE,BUR,L 1-2,0.5,42,1
9,Jordan Pickford,G,1,Mar 8,EVE,@CHE,L 0-2,16.0,90,1
10,Jordan Pickford,G,1,Mar 4,EVE,@WBA,W 1-0,16.5,90,1
11,Jordan Pickford,G,1,Mar 1,EVE,SOU,W 1-0,17.0,90,1
12,Jordan Pickford,G,1,Feb 20,EVE,@LIV,W 2-0,21.5,90,1
13,Jordan Pickford,G,1,Feb 17,EVE,MCI,L 1-3,9.5,90,1
14,Jordan Pickford,G,1,Jan 30,EVE,NEW,L 0-2,4.5,90,1
15,Jordan Pickford,G,1,Jan 27,EVE,LEI,T 1-1,12.5,90,1
16,Jordan Pickford,G,1,Jan 12,EVE,@WOL,W 2-1,7.5,90,1
17,Jordan Pickford,G,1,Jan 1,EVE,WHU,L 0-1,9.0,90,1
18,Jordan Pickford,G,1,Dec 26,EVE,@SHU,W 1-0,13.0,90,1
19,Jordan Pickford,G,1,Dec 19,EVE,ARS,W 2-1,6.5,90,1
20,Jordan Pickford,G,1,Dec 12,EVE,CHE,W 1-0,19.0,90,1
21,Jordan Pickford,G,1,Dec 5,EVE,@BUR,T 1-1,8.5,90,1
22,Jordan Pickford,G,1,Nov 28,EVE,LEE,L 0-1,12.0,90,1
23,Jordan Pickford,G,1,Nov 22,EVE,@FUL,W 3-2,8.5,90,1
24,Jordan Pickford,G,1,Nov 7,EVE,MUN,L 1-3,5.0,90,1
25,Jordan Pickford,G,1,Oct 25,EVE,@SOU,L 0-2,9.5,90,1
26,Jordan Pickford,G,1,Oct 17,EVE,LIV,T 2-2,12.0,90,1
27,Jordan Pickford,G,1,Oct 3,EVE,BHA,W 4-2,10.0,90,1
28,Jordan Pickford,G,1,Sep 26,EVE,@CRY,W 2-1,4.0,90,1
29,Jordan Pickford,G,1,Sep 19,EVE,WBA,W 5-2,5.5,90,1
30,Jordan Pickford,G,1,Sep 13,EVE,@TOT,W 1-0,20.5,90,1
0,Robin Olsen,G,1,Apr 12,EVE,@BHA,T 0-0,17.5,90,1
1,Robin Olsen,G,1,Apr 5,EVE,CRY,T 1-1,10.5,90,1
2,Robin Olsen,G,1,Feb 14,EVE,FUL,L 0-2,4.5,90,1
3,Robin Olsen,G,1,Feb 6,EVE,@MUN,T 3-3,5.5,90,1
4,Robin Olsen,G,1,Feb 3,EVE,@LEE,W 2-1,11.5,90,1
5,Robin Olsen,G,1,Dec 16,EVE,@LEI,W 2-0,16.0,90,1
6,Robin Olsen,G,1,Nov 1,EVE,@NEW,L 1-2,5.5,90,1
0,Joao Virginia,G,1,Mar 13,EVE,BUR,L 1-2,6.5,46,0
0,Seamus Coleman,D,2,May 19,EVE,WOL,W 1-0,17.7,81,1
1,Seamus Coleman,D,2,May 16,EVE,SHU,L 0-1,6.75,90,1
2,Seamus Coleman,D,2,May 13,EVE,@AVL,T 0-0,15.2,74,1
3,Seamus Coleman,D,2,May 9,EVE,@WHU,W 1-0,18.45,90,1
4,Seamus Coleman,D,2,May 1,EVE,AVL,L 1-2,8.1,90,1
5,Seamus Coleman,D,2,Apr 23,EVE,@ARS,W 1-0,17.1,90,1
6,Seamus Coleman,D,2,Apr 16,EVE,TOT,T 2-2,9.35,28,0
7,Seamus Coleman,D,2,Apr 12,EVE,@BHA,T 0-0,23.35,90,1
8,Seamus Coleman,D,2,Apr 5,EVE,CRY,T 1-1,24.75,75,1
9,Seamus Coleman,D,2,Mar 13,EVE,BUR,L 1-2,2.0,16,0
10,Seamus Coleman,D,2,Feb 20,EVE,@LIV,W 2-0,17.45,90,1
11,Seamus Coleman,D,2,Feb 17,EVE,MCI,L 1-3,7.85,71,0
12,Seamus Coleman,D,2,Feb 14,EVE,FUL,L 0-2,7.5,55,1
13,Seamus Coleman,D,2,Jan 30,EVE,NEW,L 0-2,4.4,90,1
14,Seamus Coleman,D,2,Jan 27,EVE,LEI,T 1-1,0.5,1,0
15,Seamus Coleman,D,2,Jan 12,EVE,@WOL,W 2-1,1.1,3,0
16,Seamus Coleman,D,2,Jan 1,EVE,WHU,L 0-1,8.45,90,1
17,Seamus Coleman,D,2,Dec 26,EVE,@SHU,W 1-0,1.5,24,0
18,Seamus Coleman,D,2,Dec 19,EVE,ARS,W 2-1,1.0,7,0
19,Seamus Coleman,D,2,Nov 7,EVE,MUN,L 1-3,9.2,90,1
20,Seamus Coleman,D,2,Oct 17,EVE,LIV,T 2-2,2.1,31,1
21,Seamus Coleman,D,2,Oct 3,EVE,BHA,W 4-2,8.6,58,1
22,Seamus Coleman,D,2,Sep 26,EVE,@CRY,W 2-1,14.3,90,1
23,Seamus Coleman,D,2,Sep 19,EVE,WBA,W 5-2,8.25,90,1
24,Seamus Coleman,D,2,Sep 13,EVE,@TOT,W 1-0,17.5,90,1
0,Jonjoe Kenny,D,2,Dec 19,EVE,ARS,W 2-1,0.6,1,0
1,Jonjoe Kenny,D,2,Dec 16,EVE,@LEI,W 2-0,0.5,1,0
2,Jonjoe Kenny,D,2,Dec 12,EVE,CHE,W 1-0,1.5,1,0
3,Jonjoe Kenny,D,2,Nov 1,EVE,@NEW,L 1-2,4.1,76,1
0,Michael Keane,D,2,May 23,EVE,@MCI,L 0-5,5.85,90,1
1,Michael Keane,D,2,May 19,EVE,WOL,W 1-0,18.05,90,1
2,Michael Keane,D,2,May 16,EVE,SHU,L 0-1,10.8,90,1
3,Michael Keane,D,2,May 13,EVE,@AVL,T 0-0,15.9,90,1
4,Michael Keane,D,2,May 9,EVE,@WHU,W 1-0,15.55,90,1
5,Michael Keane,D,2,Apr 16,EVE,TOT,T 2-2,6.8,90,1
6,Michael Keane,D,2,Apr 12,EVE,@BHA,T 0-0,15.55,90,1
