,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Illan Meslier,G,1,May 15,LEE,@BUR,W 4-0,22.5,90,1
1,Illan Meslier,G,1,May 8,LEE,TOT,W 3-1,6.0,90,1
2,Illan Meslier,G,1,May 1,LEE,@BHA,L 0-2,7.0,90,1
3,Illan Meslier,G,1,Apr 25,LEE,MUN,T 0-0,18.0,90,1
4,Illan Meslier,G,1,Apr 19,LEE,LIV,T 1-1,13.0,90,1
5,Illan Meslier,G,1,Apr 10,LEE,@MCI,W 2-1,13.0,90,1
6,Illan Meslier,G,1,Apr 3,LEE,SHU,W 2-1,3.0,90,1
7,Illan Meslier,G,1,Mar 19,LEE,@FUL,W 2-1,13.0,90,1
8,Illan Meslier,G,1,Mar 13,LEE,CHE,T 0-0,25.5,90,1
9,Illan Meslier,G,1,Mar 8,LEE,@WHU,L 0-2,12.5,90,1
10,Illan Meslier,G,1,Feb 27,LEE,AVL,L 0-1,7.5,90,1
11,Illan Meslier,G,1,Feb 23,LEE,SOU,W 3-0,21.5,90,1
12,Illan Meslier,G,1,Feb 19,LEE,@WOL,L 0-1,12.5,90,1
13,Illan Meslier,G,1,Feb 14,LEE,@ARS,L 2-4,3.0,90,1
14,Illan Meslier,G,1,Feb 8,LEE,CRY,W 2-0,16.5,90,1
15,Illan Meslier,G,1,Feb 3,LEE,EVE,L 1-2,8.5,90,1
16,Illan Meslier,G,1,Jan 31,LEE,@LEI,W 3-1,14.0,90,1
17,Illan Meslier,G,1,Jan 26,LEE,@NEW,W 2-1,11.5,90,1
18,Illan Meslier,G,1,Jan 2,LEE,@TOT,L 0-3,8.0,90,1
19,Illan Meslier,G,1,Dec 29,LEE,@WBA,W 5-0,16.5,90,1
20,Illan Meslier,G,1,Dec 27,LEE,BUR,W 1-0,30.0,90,1
21,Illan Meslier,G,1,Dec 20,LEE,@MUN,L 2-6,14.0,90,1
22,Illan Meslier,G,1,Dec 16,LEE,NEW,W 5-2,6.0,90,1
23,Illan Meslier,G,1,Dec 11,LEE,WHU,L 1-2,12.0,90,1
24,Illan Meslier,G,1,Dec 5,LEE,@CHE,L 1-3,13.0,90,1
25,Illan Meslier,G,1,Nov 28,LEE,@EVE,W 1-0,24.0,90,1
26,Illan Meslier,G,1,Nov 22,LEE,ARS,T 0-0,16.0,90,1
27,Illan Meslier,G,1,Nov 7,LEE,@CRY,L 1-4,6.0,90,1
28,Illan Meslier,G,1,Nov 2,LEE,LEI,L 1-4,8.0,90,1
29,Illan Meslier,G,1,Oct 23,LEE,@AVL,W 3-0,18.5,90,1
30,Illan Meslier,G,1,Oct 19,LEE,WOL,L 0-1,7.0,90,1
31,Illan Meslier,G,1,Oct 3,LEE,MCI,T 1-1,5.0,90,1
32,Illan Meslier,G,1,Sep 27,LEE,@SHU,W 1-0,18.0,90,1
33,Illan Meslier,G,1,Sep 19,LEE,FUL,W 4-3,12.0,90,1
34,Illan Meslier,G,1,Sep 12,LEE,@LIV,L 3-4,8.0,90,1
0,Kiko Casilla,G,1,May 23,LEE,WBA,W 3-1,9.5,90,1
1,Kiko Casilla,G,1,May 18,LEE,@SOU,W 2-0,18.5,90,1
