,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Alisson,G,1,May 23,LIV,CRY,W 2-0,18.0,90,1
1,Alisson,G,1,May 19,LIV,@BUR,W 3-0,24.0,90,1
2,Alisson,G,1,May 16,LIV,@WBA,W 2-1,9.0,90,1
3,Alisson,G,1,May 13,LIV,@MUN,W 4-2,2.5,90,1
4,Alisson,G,1,May 8,LIV,SOU,W 2-0,22.5,90,1
5,Alisson,G,1,Apr 24,LIV,NEW,T 1-1,8.5,90,1
6,Alisson,G,1,Apr 19,LIV,@LEE,T 1-1,10.5,90,1
7,Alisson,G,1,Apr 10,LIV,AVL,W 2-1,10.5,90,1
8,Alisson,G,1,Apr 3,LIV,@ARS,W 3-0,15.0,90,1
9,Alisson,G,1,Mar 15,LIV,@WOL,W 1-0,21.5,90,1
10,Alisson,G,1,Mar 7,LIV,FUL,L 0-1,6.5,90,1
11,Alisson,G,1,Mar 4,LIV,CHE,L 0-1,8.5,90,1
12,Alisson,G,1,Feb 20,LIV,EVE,L 0-2,9.0,90,1
13,Alisson,G,1,Feb 13,LIV,@LEI,L 1-3,7.0,90,1
14,Alisson,G,1,Feb 7,LIV,MCI,L 1-4,3.0,90,1
15,Alisson,G,1,Jan 31,LIV,@WHU,W 3-1,5.0,90,1
16,Alisson,G,1,Jan 28,LIV,@TOT,W 3-1,5.0,90,1
17,Alisson,G,1,Jan 21,LIV,BUR,L 0-1,10.0,90,1
18,Alisson,G,1,Jan 17,LIV,MUN,T 0-0,18.5,90,1
19,Alisson,G,1,Jan 4,LIV,@SOU,L 0-1,5.0,90,1
20,Alisson,G,1,Dec 30,LIV,@NEW,T 0-0,17.5,90,1
21,Alisson,G,1,Dec 27,LIV,WBA,T 1-1,6.0,90,1
22,Alisson,G,1,Dec 19,LIV,@CRY,W 7-0,17.0,90,1
23,Alisson,G,1,Dec 16,LIV,TOT,W 2-1,6.0,90,1
24,Alisson,G,1,Dec 13,LIV,@FUL,T 1-1,9.5,90,1
25,Alisson,G,1,Nov 28,LIV,@BHA,T 1-1,5.5,90,1
26,Alisson,G,1,Nov 22,LIV,LEI,W 3-0,19.0,90,1
27,Alisson,G,1,Nov 8,LIV,@MCI,T 1-1,5.0,90,1
28,Alisson,G,1,Oct 31,LIV,WHU,W 2-1,6.0,90,1
29,Alisson,G,1,Oct 24,LIV,SHU,W 2-1,7.5,90,1
30,Alisson,G,1,Sep 28,LIV,ARS,W 3-1,7.0,90,1
31,Alisson,G,1,Sep 20,LIV,@CHE,W 2-0,21.5,90,1
32,Alisson,G,1,Sep 12,LIV,LEE,W 4-3,4.0,90,1
0,Adrian,G,1,Feb 28,LIV,@SHU,W 2-0,19.5,90,1
1,Adrian,G,1,Oct 17,LIV,@EVE,T 2-2,7.5,90,1
2,Adrian,G,1,Oct 4,LIV,@AVL,L 2-7,6.5,90,1
0,Caoimhin Kelleher,G,1,Feb 3,LIV,BHA,L 0-1,8.0,90,1
1,Caoimhin Kelleher,G,1,Dec 6,LIV,WOL,W 4-0,17.0,90,1
0,Trent Alexander-Arnold,D,2,May 23,LIV,CRY,W 2-0,15.5,90,1
1,Trent Alexander-Arnold,D,2,May 19,LIV,@BUR,W 3-0,20.65,90,1
2,Trent Alexander-Arnold,D,2,May 16,LIV,@WBA,W 2-1,20.5,90,1
3,Trent Alexander-Arnold,D,2,May 13,LIV,@MUN,W 4-2,28.8,90,1
4,Trent Alexander-Arnold,D,2,May 8,LIV,SOU,W 2-0,18.35,90,1
5,Trent Alexander-Arnold,D,2,Apr 24,LIV,NEW,T 1-1,8.85,90,1
6,Trent Alexander-Arnold,D,2,Apr 19,LIV,@LEE,T 1-1,20.2,90,1
7,Trent Alexander-Arnold,D,2,Apr 10,LIV,AVL,W 2-1,21.2,90,1
8,Trent Alexander-Arnold,D,2,Apr 3,LIV,@ARS,W 3-0,27.5,90,1
