,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Ederson,G,1,May 23,MCI,EVE,W 5-0,22.0,90,1
1,Ederson,G,1,May 18,MCI,@BHA,L 2-3,6.5,90,1
2,Ederson,G,1,May 8,MCI,CHE,L 1-2,7.0,90,1
3,Ederson,G,1,May 1,MCI,@CRY,W 2-0,19.0,90,1
4,Ederson,G,1,Apr 21,MCI,@AVL,W 2-1,6.0,90,1
5,Ederson,G,1,Apr 10,MCI,LEE,L 1-2,2.5,90,1
6,Ederson,G,1,Apr 3,MCI,@LEI,W 2-0,13.0,90,1
7,Ederson,G,1,Mar 13,MCI,@FUL,W 3-0,13.5,90,1
8,Ederson,G,1,Mar 10,MCI,SOU,W 5-2,8.5,90,1
9,Ederson,G,1,Mar 7,MCI,MUN,L 0-2,8.5,90,1
10,Ederson,G,1,Mar 2,MCI,WOL,W 4-1,3.5,90,1
11,Ederson,G,1,Feb 27,MCI,WHU,W 2-1,7.0,90,1
12,Ederson,G,1,Feb 21,MCI,@ARS,W 1-0,13.5,90,1
13,Ederson,G,1,Feb 17,MCI,@EVE,W 3-1,4.5,90,1
14,Ederson,G,1,Feb 13,MCI,TOT,W 3-0,21.5,90,1
15,Ederson,G,1,Feb 7,MCI,@LIV,W 4-1,6.5,90,1
16,Ederson,G,1,Feb 3,MCI,@BUR,W 2-0,10.0,90,1
17,Ederson,G,1,Jan 30,MCI,SHU,W 1-0,13.5,90,1
18,Ederson,G,1,Jan 26,MCI,@WBA,W 5-0,15.5,90,1
19,Ederson,G,1,Jan 20,MCI,AVL,W 2-0,18.5,90,1
20,Ederson,G,1,Jan 17,MCI,CRY,W 4-0,12.0,90,1
21,Ederson,G,1,Jan 13,MCI,BHA,W 1-0,14.5,90,1
22,Ederson,G,1,Dec 26,MCI,NEW,W 2-0,15.0,90,1
23,Ederson,G,1,Dec 19,MCI,@SOU,W 1-0,15.0,90,1
24,Ederson,G,1,Dec 15,MCI,WBA,T 1-1,4.5,90,1
25,Ederson,G,1,Dec 12,MCI,@MUN,T 0-0,15.0,90,1
26,Ederson,G,1,Dec 5,MCI,FUL,W 2-0,14.0,90,1
27,Ederson,G,1,Nov 28,MCI,BUR,W 5-0,15.0,90,1
28,Ederson,G,1,Nov 21,MCI,@TOT,L 0-2,2.5,90,1
29,Ederson,G,1,Nov 8,MCI,LIV,T 1-1,7.0,90,1
30,Ederson,G,1,Oct 31,MCI,@SHU,W 1-0,13.5,90,1
31,Ederson,G,1,Oct 24,MCI,@WHU,T 1-1,4.5,90,1
32,Ederson,G,1,Oct 17,MCI,ARS,W 1-0,18.0,90,1
33,Ederson,G,1,Oct 3,MCI,@LEE,T 1-1,12.5,90,1
34,Ederson,G,1,Sep 27,MCI,LEI,L 2-5,5.5,90,1
35,Ederson,G,1,Sep 21,MCI,@WOL,W 3-1,3.0,90,1
0,Zack Steffen,G,1,Jan 3,MCI,@CHE,W 3-1,4.5,90,1
0,Scott Carson,G,1,May 14,MCI,@NEW,W 4-3,10.0,90,1
0,Kyle Walker,D,2,May 23,MCI,EVE,W 5-0,14.6,90,1
1,Kyle Walker,D,2,May 14,MCI,@NEW,W 4-3,4.8,90,1
2,Kyle Walker,D,2,Apr 21,MCI,@AVL,W 2-1,5.75,90,1
3,Kyle Walker,D,2,Apr 3,MCI,@LEI,W 2-0,15.35,90,1
4,Kyle Walker,D,2,Mar 10,MCI,SOU,W 5-2,6.95,90,1
5,Kyle Walker,D,2,Mar 7,MCI,MUN,L 0-2,4.25,24,0
6,Kyle Walker,D,2,Mar 2,MCI,WOL,W 4-1,9.75,90,1
7,Kyle Walker,D,2,Feb 27,MCI,WHU,W 2-1,5.5,90,1
8,Kyle Walker,D,2,Feb 17,MCI,@EVE,W 3-1,6.0,90,1
9,Kyle Walker,D,2,Jan 30,MCI,SHU,W 1-0,14.0,90,1
10,Kyle Walker,D,2,Jan 20,MCI,AVL,W 2-0,1.5,27,1
11,Kyle Walker,D,2,Jan 17,MCI,CRY,W 4-0,11.5,90,1
12,Kyle Walker,D,2,Dec 19,MCI,@SOU,W 1-0,17.8,90,1
13,Kyle Walker,D,2,Dec 15,MCI,WBA,T 1-1,1.0,15,0
14,Kyle Walker,D,2,Dec 12,MCI,@MUN,T 0-0,18.0,90,1
15,Kyle Walker,D,2,Nov 28,MCI,BUR,W 5-0,21.35,90,1
16,Kyle Walker,D,2,Nov 21,MCI,@TOT,L 0-2,11.75,90,1
17,Kyle Walker,D,2,Nov 8,MCI,LIV,T 1-1,4.45,90,1
18,Kyle Walker,D,2,Oct 31,MCI,@SHU,W 1-0,27.05,90,1
19,Kyle Walker,D,2,Oct 24,MCI,@WHU,T 1-1,7.95,78,1
20,Kyle Walker,D,2,Oct 17,MCI,ARS,W 1-0,15.35,90,1
21,Kyle Walker,D,2,Oct 3,MCI,@LEE,T 1-1,10.6,90,1
22,Kyle Walker,D,2,Sep 27,MCI,LEI,L 2-5,6.85,90,1
23,Kyle Walker,D,2,Sep 21,MCI,@WOL,W 3-1,7.6,90,1
0,Joao Cancelo,D,2,May 18,MCI,@BHA,L 2-3,-3.75,9,1
1,Joao Cancelo,D,2,May 14,MCI,@NEW,W 4-3,23.0,73,1
2,Joao Cancelo,D,2,May 8,MCI,CHE,L 1-2,9.9,90,1
3,Joao Cancelo,D,2,May 1,MCI,@CRY,W 2-0,22.85,90,1
4,Joao Cancelo,D,2,Apr 10,MCI,LEE,L 1-2,15.25,90,1
