,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Robert Sanchez,G,1,May 22,BHA,WHU,W 3-1,5.5,90,1
1,Robert Sanchez,G,1,May 15,BHA,@LEE,T 1-1,7.5,90,1
2,Robert Sanchez,G,1,May 7,BHA,MUN,W 4-0,20.5,90,1
3,Robert Sanchez,G,1,Apr 30,BHA,@WOL,W 3-0,14.5,90,1
4,Robert Sanchez,G,1,Apr 24,BHA,SOU,T 2-2,7.0,90,1
5,Robert Sanchez,G,1,Apr 20,BHA,@MCI,L 0-3,5.5,90,1
6,Robert Sanchez,G,1,Apr 16,BHA,@TOT,W 1-0,13.5,90,1
7,Robert Sanchez,G,1,Apr 9,BHA,@ARS,W 2-1,5.5,90,1
8,Robert Sanchez,G,1,Apr 2,BHA,NOR,T 0-0,12.5,90,1
9,Robert Sanchez,G,1,Mar 16,BHA,TOT,L 0-2,10.5,90,1
10,Robert Sanchez,G,1,Mar 12,BHA,LIV,L 0-2,13.0,90,1
11,Robert Sanchez,G,1,Mar 5,BHA,@NEW,L 1-2,6.5,90,1
12,Robert Sanchez,G,1,Feb 26,BHA,AVL,L 0-2,6.0,90,1
13,Robert Sanchez,G,1,Feb 19,BHA,BUR,L 0-3,3.5,90,1
14,Robert Sanchez,G,1,Feb 15,BHA,@MUN,L 0-2,10.0,90,1
15,Robert Sanchez,G,1,Feb 12,BHA,@WAT,W 2-0,13.5,90,1
16,Robert Sanchez,G,1,Jan 23,BHA,@LEI,T 1-1,10.5,90,1
17,Robert Sanchez,G,1,Jan 18,BHA,CHE,T 1-1,6.5,90,1
18,Robert Sanchez,G,1,Jan 14,BHA,CRY,T 1-1,4.5,90,1
19,Robert Sanchez,G,1,Jan 2,BHA,@EVE,W 3-2,9.5,90,1
20,Robert Sanchez,G,1,Dec 29,BHA,@CHE,T 1-1,10.5,90,1
21,Robert Sanchez,G,1,Dec 26,BHA,BRF,W 2-0,21.0,90,1
22,Robert Sanchez,G,1,Dec 15,BHA,WOL,L 0-1,9.0,90,1
23,Robert Sanchez,G,1,Dec 4,BHA,@SOU,T 1-1,7.5,90,1
24,Robert Sanchez,G,1,Dec 1,BHA,@WHU,T 1-1,11.0,90,1
25,Robert Sanchez,G,1,Nov 27,BHA,LEE,T 0-0,18.0,90,1
26,Robert Sanchez,G,1,Nov 6,BHA,NEW,T 1-1,2.0,88,1
27,Robert Sanchez,G,1,Oct 30,BHA,@LIV,T 2-2,4.0,90,1
28,Robert Sanchez,G,1,Oct 23,BHA,MCI,L 1-4,14.5,90,1
29,Robert Sanchez,G,1,Oct 16,BHA,@NOR,T 0-0,17.5,90,1
30,Robert Sanchez,G,1,Oct 2,BHA,ARS,T 0-0,15.0,90,1
31,Robert Sanchez,G,1,Sep 27,BHA,@CRY,T 1-1,7.5,90,1
32,Robert Sanchez,G,1,Sep 19,BHA,LEI,W 2-1,5.5,90,1
33,Robert Sanchez,G,1,Sep 11,BHA,@BRF,W 1-0,13.5,90,1
34,Robert Sanchez,G,1,Aug 28,BHA,EVE,L 0-2,7.0,90,1
35,Robert Sanchez,G,1,Aug 21,BHA,WAT,W 2-0,15.0,90,1
36,Robert Sanchez,G,1,Aug 14,BHA,@BUR,W 2-1,11.0,90,1
0,Jason Steele,G,1,Nov 20,BHA,@AVL,L 0-2,8.5,90,1
0,Joel Veltman,D,2,May 22,BHA,WHU,W 3-1,17.45,90,1
1,Joel Veltman,D,2,May 15,BHA,@LEE,T 1-1,9.4,90,1
2,Joel Veltman,D,2,May 7,BHA,MUN,W 4-0,18.25,90,1
3,Joel Veltman,D,2,Apr 30,BHA,@WOL,W 3-0,18.6,90,1
4,Joel Veltman,D,2,Apr 24,BHA,SOU,T 2-2,9.5,90,1
