,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Nick Pope,G,1,May 22,BUR,NEW,L 1-2,9.5,90,1
1,Nick Pope,G,1,May 19,BUR,@AVL,T 1-1,15.5,90,1
2,Nick Pope,G,1,May 15,BUR,@TOT,L 0-1,13.5,90,1
3,Nick Pope,G,1,May 7,BUR,AVL,L 1-3,9.5,90,1
4,Nick Pope,G,1,Apr 30,BUR,@WAT,W 2-1,6.5,90,1
5,Nick Pope,G,1,Apr 24,BUR,WOL,W 1-0,19.0,90,1
6,Nick Pope,G,1,Apr 21,BUR,SOU,W 2-0,19.5,90,1
7,Nick Pope,G,1,Apr 17,BUR,@WHU,T 1-1,13.0,90,1
8,Nick Pope,G,1,Apr 10,BUR,@NOR,L 0-2,9.0,90,1
9,Nick Pope,G,1,Apr 6,BUR,EVE,W 3-2,9.0,90,1
10,Nick Pope,G,1,Apr 2,BUR,MCI,L 0-2,8.5,90,1
11,Nick Pope,G,1,Mar 12,BUR,@BRF,L 0-2,4.0,90,1
12,Nick Pope,G,1,Mar 5,BUR,CHE,L 0-4,3.0,90,1
13,Nick Pope,G,1,Mar 1,BUR,LEI,L 0-2,8.5,90,1
14,Nick Pope,G,1,Feb 26,BUR,@CRY,T 1-1,7.5,90,1
15,Nick Pope,G,1,Feb 23,BUR,TOT,W 1-0,15.0,90,1
16,Nick Pope,G,1,Feb 19,BUR,@BHA,W 3-0,18.0,90,1
17,Nick Pope,G,1,Feb 13,BUR,LIV,L 0-1,8.0,90,1
18,Nick Pope,G,1,Feb 8,BUR,MUN,T 1-1,9.5,90,1
19,Nick Pope,G,1,Feb 5,BUR,WAT,T 0-0,19.5,90,1
20,Nick Pope,G,1,Jan 23,BUR,@ARS,T 0-0,21.5,90,1
21,Nick Pope,G,1,Dec 12,BUR,WHU,T 0-0,17.5,90,1
22,Nick Pope,G,1,Dec 4,BUR,@NEW,L 0-1,10.5,90,1
23,Nick Pope,G,1,Dec 1,BUR,@WOL,T 0-0,15.0,90,1
24,Nick Pope,G,1,Nov 20,BUR,CRY,T 3-3,11.0,90,1
25,Nick Pope,G,1,Nov 6,BUR,@CHE,T 1-1,11.5,90,1
26,Nick Pope,G,1,Oct 30,BUR,BRF,W 3-1,7.5,90,1
27,Nick Pope,G,1,Oct 23,BUR,@SOU,T 2-2,6.5,90,1
28,Nick Pope,G,1,Oct 16,BUR,@MCI,L 0-2,11.0,90,1
29,Nick Pope,G,1,Oct 2,BUR,NOR,T 0-0,18.0,90,1
30,Nick Pope,G,1,Sep 25,BUR,@LEI,T 2-2,8.0,90,1
31,Nick Pope,G,1,Sep 18,BUR,ARS,L 0-1,7.0,90,1
32,Nick Pope,G,1,Sep 13,BUR,@EVE,L 1-3,6.5,90,1
33,Nick Pope,G,1,Aug 29,BUR,LEE,T 1-1,5.0,90,1
34,Nick Pope,G,1,Aug 21,BUR,@LIV,L 0-2,15.0,90,1
35,Nick Pope,G,1,Aug 14,BUR,BHA,L 1-2,8.5,90,1
0,Wayne Hennessey,G,1,Jan 2,BUR,@LEE,L 1-3,10.0,90,1
1,Wayne Hennessey,G,1,Dec 30,BUR,@MUN,L 1-3,15.5,90,1
0,Matthew Lowton,D,2,May 19,BUR,@AVL,T 1-1,-4.0,3,0
1,Matthew Lowton,D,2,May 15,BUR,@TOT,L 0-1,7.1,77,1
2,Matthew Lowton,D,2,Apr 30,BUR,@WAT,W 2-1,0.5,1,0
3,Matthew Lowton,D,2,Apr 21,BUR,SOU,W 2-0,1.5,2,0
4,Matthew Lowton,D,2,Apr 17,BUR,@WHU,T 1-1,10.85,60,1
5,Matthew Lowton,D,2,Apr 10,BUR,@NOR,L 0-2,11.95,90,1
6,Matthew Lowton,D,2,Apr 6,BUR,EVE,W 3-2,0.7,17,0
7,Matthew Lowton,D,2,Feb 19,BUR,@BHA,W 3-0,0.6,1,0
8,Matthew Lowton,D,2,Jan 2,BUR,@LEE,L 1-3,8.95,90,1
9,Matthew Lowton,D,2,Dec 30,BUR,@MUN,L 1-3,10.1,90,1
10,Matthew Lowton,D,2,Dec 12,BUR,WHU,T 0-0,21.2,90,1
11,Matthew Lowton,D,2,Dec 4,BUR,@NEW,L 0-1,9.7,74,1
12,Matthew Lowton,D,2,Dec 1,BUR,@WOL,T 0-0,15.0,90,1
13,Matthew Lowton,D,2,Nov 20,BUR,CRY,T 3-3,6.5,90,1
14,Matthew Lowton,D,2,Nov 6,BUR,@CHE,T 1-1,7.7,90,1
15,Matthew Lowton,D,2,Oct 30,BUR,BRF,W 3-1,25.95,90,1
16,Matthew Lowton,D,2,Oct 23,BUR,@SOU,T 2-2,14.95,90,1
17,Matthew Lowton,D,2,Oct 16,BUR,@MCI,L 0-2,11.2,90,1
18,Matthew Lowton,D,2,Oct 2,BUR,NOR,T 0-0,16.8,90,1
19,Matthew Lowton,D,2,Sep 25,BUR,@LEI,T 2-2,11.25,90,1
20,Matthew Lowton,D,2,Sep 18,BUR,ARS,L 0-1,8.65,90,1
21,Matthew Lowton,D,2,Sep 13,BUR,@EVE,L 1-3,6.85,90,1
22,Matthew Lowton,D,2,Aug 29,BUR,LEE,T 1-1,15.9,90,1
23,Matthew Lowton,D,2,Aug 21,BUR,@LIV,L 0-2,6.2,90,1
24,Matthew Lowton,D,2,Aug 14,BUR,BHA,L 1-2,9.1,90,1
0,Connor Roberts,D,2,May 22,BUR,NEW,L 1-2,3.0,45,1
1,Connor Roberts,D,2,May 19,BUR,@AVL,T 1-1,5.55,90,1
2,Connor Roberts,D,2,May 15,BUR,@TOT,L 0-1,3.1,90,1
3,Connor Roberts,D,2,May 7,BUR,AVL,L 1-3,8.25,90,1
4,Connor Roberts,D,2,Apr 30,BUR,@WAT,W 2-1,9.2,90,1
5,Connor Roberts,D,2,Apr 24,BUR,WOL,W 1-0,18.95,90,1
6,Connor Roberts,D,2,Apr 21,BUR,SOU,W 2-0,24.45,90,1
7,Connor Roberts,D,2,Apr 17,BUR,@WHU,T 1-1,2.4,28,0
8,Connor Roberts,D,2,Apr 6,BUR,EVE,W 3-2,3.55,71,1
9,Connor Roberts,D,2,Apr 2,BUR,MCI,L 0-2,8.0,90,1
10,Connor Roberts,D,2,Mar 12,BUR,@BRF,L 0-2,8.15,90,1
11,Connor Roberts,D,2,Mar 5,BUR,CHE,L 0-4,5.6,90,1
12,Connor Roberts,D,2,Mar 1,BUR,LEI,L 0-2,12.6,90,1
13,Connor Roberts,D,2,Feb 26,BUR,@CRY,T 1-1,6.9,90,1
14,Connor Roberts,D,2,Feb 23,BUR,TOT,W 1-0,18.9,90,1
15,Connor Roberts,D,2,Feb 19,BUR,@BHA,W 3-0,17.7,90,1
16,Connor Roberts,D,2,Feb 13,BUR,LIV,L 0-1,9.75,90,1
17,Connor Roberts,D,2,Feb 8,BUR,MUN,T 1-1,4.3,90,1
18,Connor Roberts,D,2,Feb 5,BUR,WAT,T 0-0,15.95,90,1
19,Connor Roberts,D,2,Jan 23,BUR,@ARS,T 0-0,14.5,90,1
20,Connor Roberts,D,2,Dec 4,BUR,@NEW,L 0-1,1.4,14,0
0,James Tarkowski,D,2,May 22,BUR,NEW,L 1-2,5.9,90,1
1,James Tarkowski,D,2,May 19,BUR,@AVL,T 1-1,8.15,90,1
2,James Tarkowski,D,2,May 7,BUR,AVL,L 1-3,3.6,46,1
3,James Tarkowski,D,2,Apr 30,BUR,@WAT,W 2-1,3.65,90,1
4,James Tarkowski,D,2,Apr 24,BUR,WOL,W 1-0,17.75,90,1
5,James Tarkowski,D,2,Apr 21,BUR,SOU,W 2-0,13.25,90,1
6,James Tarkowski,D,2,Apr 17,BUR,@WHU,T 1-1,9.35,90,1
7,James Tarkowski,D,2,Apr 10,BUR,@NOR,L 0-2,10.55,90,1
8,James Tarkowski,D,2,Apr 6,BUR,EVE,W 3-2,13.6,90,1
9,James Tarkowski,D,2,Apr 2,BUR,MCI,L 0-2,10.2,90,1
10,James Tarkowski,D,2,Mar 12,BUR,@BRF,L 0-2,11.4,90,1
11,James Tarkowski,D,2,Mar 5,BUR,CHE,L 0-4,9.05,90,1
12,James Tarkowski,D,2,Mar 1,BUR,LEI,L 0-2,10.3,90,1
13,James Tarkowski,D,2,Feb 26,BUR,@CRY,T 1-1,7.7,90,1
14,James Tarkowski,D,2,Feb 23,BUR,TOT,W 1-0,18.2,90,1
15,James Tarkowski,D,2,Feb 13,BUR,LIV,L 0-1,9.9,90,1
16,James Tarkowski,D,2,Feb 8,BUR,MUN,T 1-1,12.65,90,1
17,James Tarkowski,D,2,Feb 5,BUR,WAT,T 0-0,20.45,90,1
18,James Tarkowski,D,2,Jan 23,BUR,@ARS,T 0-0,17.55,90,1
19,James Tarkowski,D,2,Jan 2,BUR,@LEE,L 1-3,7.9,90,1
20,James Tarkowski,D,2,Dec 30,BUR,@MUN,L 1-3,7.6,90,1
21,James Tarkowski,D,2,Dec 12,BUR,WHU,T 0-0,17.5,90,1
22,James Tarkowski,D,2,Dec 4,BUR,@NEW,L 0-1,14.15,90,1
23,James Tarkowski,D,2,Nov 20,BUR,CRY,T 3-3,23.6,90,1
24,James Tarkowski,D,2,Nov 6,BUR,@CHE,T 1-1,7.3,90,1
25,James Tarkowski,D,2,Oct 30,BUR,BRF,W 3-1,10.55,90,1
26,James Tarkowski,D,2,Oct 23,BUR,@SOU,T 2-2,11.15,90,1
27,James Tarkowski,D,2,Oct 16,BUR,@MCI,L 0-2,9.45,90,1
28,James Tarkowski,D,2,Oct 2,BUR,NOR,T 0-0,14.3,90,1
29,James Tarkowski,D,2,Sep 25,BUR,@LEI,T 2-2,4.9,90,1
30,James Tarkowski,D,2,Sep 18,BUR,ARS,L 0-1,13.15,90,1
31,James Tarkowski,D,2,Sep 13,BUR,@EVE,L 1-3,9.4,90,1
32,James Tarkowski,D,2,Aug 29,BUR,LEE,T 1-1,9.5,90,1
33,James Tarkowski,D,2,Aug 21,BUR,@LIV,L 0-2,8.7,90,1
34,James Tarkowski,D,2,Aug 14,BUR,BHA,L 1-2,17.7,90,1
0,Ben Mee,D,2,Mar 1,BUR,LEI,L 0-2,6.2,39,1
1,Ben Mee,D,2,Feb 26,BUR,@CRY,T 1-1,9.05,90,1
2,Ben Mee,D,2,Feb 23,BUR,TOT,W 1-0,29.05,90,1
3,Ben Mee,D,2,Feb 19,BUR,@BHA,W 3-0,16.55,90,1
4,Ben Mee,D,2,Feb 13,BUR,LIV,L 0-1,11.9,90,1
5,Ben Mee,D,2,Feb 8,BUR,MUN,T 1-1,7.9,90,1
6,Ben Mee,D,2,Feb 5,BUR,WAT,T 0-0,16.65,90,1
7,Ben Mee,D,2,Jan 23,BUR,@ARS,T 0-0,15.3,90,1
8,Ben Mee,D,2,Jan 2,BUR,@LEE,L 1-3,9.5,90,1
9,Ben Mee,D,2,Dec 30,BUR,@MUN,L 1-3,2.25,90,1
10,Ben Mee,D,2,Dec 12,BUR,WHU,T 0-0,15.7,90,1
11,Ben Mee,D,2,Dec 1,BUR,@WOL,T 0-0,14.45,90,1
12,Ben Mee,D,2,Nov 20,BUR,CRY,T 3-3,16.8,90,1
13,Ben Mee,D,2,Nov 6,BUR,@CHE,T 1-1,8.65,90,1
14,Ben Mee,D,2,Oct 30,BUR,BRF,W 3-1,8.25,90,1
