,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Nick Pope,G,1,Feb 4,NEW,WHU,T 1-1,4.0,90,1
1,Nick Pope,G,1,Jan 21,NEW,@CRY,T 0-0,13.5,90,1
2,Nick Pope,G,1,Jan 15,NEW,FUL,W 1-0,11.0,90,1
3,Nick Pope,G,1,Jan 3,NEW,@ARS,T 0-0,19.5,90,1
4,Nick Pope,G,1,Dec 31,NEW,LEE,T 0-0,14.5,90,1
5,Nick Pope,G,1,Dec 26,NEW,@LEI,W 3-0,15.0,90,1
6,Nick Pope,G,1,Nov 12,NEW,CHE,W 1-0,14.0,90,1
7,Nick Pope,G,1,Nov 6,NEW,@SOU,W 4-1,9.5,90,1
8,Nick Pope,G,1,Oct 29,NEW,AVL,W 4-0,12.0,90,1
9,Nick Pope,G,1,Oct 23,NEW,@TOT,W 2-1,6.5,90,1
10,Nick Pope,G,1,Oct 19,NEW,EVE,W 1-0,12.5,90,1
11,Nick Pope,G,1,Oct 16,NEW,@MUN,T 0-0,15.0,90,1
12,Nick Pope,G,1,Oct 8,NEW,BRF,W 5-1,7.0,90,1
13,Nick Pope,G,1,Oct 1,NEW,@FUL,W 4-1,3.0,90,1
14,Nick Pope,G,1,Sep 17,NEW,BOU,T 1-1,6.0,90,1
15,Nick Pope,G,1,Sep 3,NEW,CRY,T 0-0,27.0,90,1
16,Nick Pope,G,1,Aug 31,NEW,@LIV,L 1-2,10.5,90,1
17,Nick Pope,G,1,Aug 28,NEW,@WOL,T 1-1,8.5,90,1
18,Nick Pope,G,1,Aug 21,NEW,MCI,T 3-3,13.0,90,1
19,Nick Pope,G,1,Aug 13,NEW,@BHA,T 0-0,20.0,90,1
20,Nick Pope,G,1,Aug 6,NEW,NOT,W 2-0,12.5,90,1
0,Kieran Trippier,D,2,Feb 4,NEW,WHU,T 1-1,11.3,90,1
1,Kieran Trippier,D,2,Jan 21,NEW,@CRY,T 0-0,25.95,90,1
2,Kieran Trippier,D,2,Jan 15,NEW,FUL,W 1-0,19.35,90,1
3,Kieran Trippier,D,2,Jan 3,NEW,@ARS,T 0-0,19.0,90,1
4,Kieran Trippier,D,2,Dec 31,NEW,LEE,T 0-0,21.25,90,1
5,Kieran Trippier,D,2,Dec 26,NEW,@LEI,W 3-0,33.25,90,1
6,Kieran Trippier,D,2,Nov 12,NEW,CHE,W 1-0,20.6,90,1
7,Kieran Trippier,D,2,Nov 6,NEW,@SOU,W 4-1,23.3,79,1
8,Kieran Trippier,D,2,Oct 29,NEW,AVL,W 4-0,26.7,90,1
9,Kieran Trippier,D,2,Oct 23,NEW,@TOT,W 2-1,12.7,90,1
10,Kieran Trippier,D,2,Oct 19,NEW,EVE,W 1-0,22.85,90,1
11,Kieran Trippier,D,2,Oct 16,NEW,@MUN,T 0-0,21.45,90,1
12,Kieran Trippier,D,2,Oct 8,NEW,BRF,W 5-1,15.0,83,1
13,Kieran Trippier,D,2,Oct 1,NEW,@FUL,W 4-1,18.3,82,1
14,Kieran Trippier,D,2,Sep 17,NEW,BOU,T 1-1,13.25,90,1
15,Kieran Trippier,D,2,Sep 3,NEW,CRY,T 0-0,25.2,90,1
16,Kieran Trippier,D,2,Aug 31,NEW,@LIV,L 1-2,6.6,90,1
