,Transfermarkt_name,min_01,min_02,min_03,min_04,min_05,min_06,min_07,min_08,min_09,min_10,min_11,min_12,min_13,min_14,min_15,min_16,min_17,min_18,min_19,min_20,min_21,min_22,min_23,min_24,min_25,min_26,min_27,min_28,min_29
0,Aaron Connolly,0,0,0,23,6,20,25,80,45,80,86,45,0,76,76,0,0,45,68,0,45,0,68,30,0,0,15,0,0
0,Aaron Cresswell,90,0,0,0,0,90,90,84,0,90,90,90,90,90,90,51,90,90,90,0,90,90,90,90,90,90,90,90,90
0,Aaron Lennon,6,18,24,90,59,11,0,6,25,0,0,0,0,13,90,19,0,25,0,0,0,90,1,0,0,0,8,0,1
0,Aaron Mooy,0,5,0,0,10,70,65,90,35,0,0,0,90,90,90,90,90,90,90,84,68,0,81,90,72,90,90,90,89
0,Aaron Ramsdale,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90
0,Aaron Wan-Bissaka,90,90,90,90,90,90,0,0,90,90,81,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90
0,Abdoulaye Doucouré,90,90,90,71,90,90,90,90,90,90,90,90,90,90,90,78,87,69,0,90,90,86,90,90,90,90,80,89,90
0,Adam Idah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,0,0,0,0,0,3
0,Adam Lallana,0,0,4,0,0,6,0,1,19,0,84,0,0,21,72,0,0,0,8,67,2,29,24,0,2,0,0,29,6
0,Adam Masina,0,0,0,0,0,0,0,0,0,73,90,2,45,90,90,90,0,0,0,5,17,90,90,90,90,90,90,90,90
0,Adam Smith,90,90,69,64,0,0,0,0,90,90,90,78,90,0,90,0,0,0,0,0,0,90,90,90,90,90,90,90,90
0,Adam Webster,0,0,0,90,90,90,90,90,90,90,36,0,90,90,90,90,90,90,90,0,90,90,90,90,90,0,90,90,90
0,Adama Traore,0,45,14,90,56,90,87,90,90,90,90,90,90,90,89,90,90,90,90,32,90,90,90,90,76,26,18,74,26
0,Adrian Mariappa,0,0,0,0,0,90,0,0,0,0,70,20,90,90,90,0,90,90,90,57,0,90,90,90,90,90,0,0,0
0,Adrián,51,90,90,90,90,90,90,90,0,0,0,0,0,12,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90
0,Ahmed Elmohamady,90,90,4,0,24,22,0,0,0,0,21,0,0,0,90,90,0,0,90,90,0,90,0,0,0,0,0,14,63
0,Ainsley Maitland-Niles,90,90,90,90,90,41,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,0,0,0,0,23,0
0,Albian Ajeti,0,0,0,0,0,0,0,0,16,4,45,26,0,0,10,0,0,0,1,20,0,0,6,0,0,0,0,0,0
0,Alex Iwobi,0,0,28,76,90,35,67,90,87,72,90,16,34,78,90,90,90,11,0,0,0,0,0,0,65,0,60,0,0
0,Alex McCarthy,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
0,Alex Oxlade-Chamberlain,0,89,13,19,75,0,1,0,30,0,25,11,64,78,0,87,20,85,0,0,0,61,66,70,73,60,33,65,84
0,Alexander Tettey,0,3,0,0,90,13,0,0,90,90,84,90,90,0,45,90,90,87,75,86,90,90,90,82,86,84,90,90,66
0,Alexandre Lacazette,0,71,9,67,0,0,0,0,21,90,60,90,90,90,77,0,0,12,90,90,82,90,74,90,89,5,0,23,31
0,Alexis Mac Allister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,Alireza Jahanbakhsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,84,22,62,0,60,0,17,0,12,8
0,Alisson,39,0,0,0,0,0,0,0,90,90,90,90,90,76,0,90,90,90,90,90,90,90,90,90,90,90,90,90,0
0,Allan Saint-Maximin,23,0,17,0,0,17,0,83,86,90,77,90,90,80,81,90,0,0,0,0,0,0,90,0,79,90,90,12,90
0,Andre Gray,75,7,90,82,54,13,19,59,0,33,90,59,56,23,3,13,15,0,10,0,0,1,0,9,0,0,0,0,6
0,Andreas Christensen,90,90,90,0,90,42,90,0,0,0,0,0,0,0,90,90,0,0,0,0,0,90,90,90,90,45,90,90,0
0,Andreas Pereira,74,1,0,68,90,90,74,90,90,82,68,70,73,90,10,16,0,0,90,73,32,71,74,45,72,10,0,0,0
0,Andrew Robertson,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,76,31,90,90,90,88,90,90,90,90,90,90,90,0
0,Andrew Surman,0,45,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,90,0,0
0,Andriy Yarmolenko,0,13,55,71,62,89,90,78,45,90,45,70,56,19,28,0,17,0,0,0,0,0,0,0,0,0,0,0,0
0,Andros Townsend,90,70,10,6,85,0,20,9,35,90,0,90,90,69,45,73,0,0,0,0,0,0,0,0,13,0,0,0,0
0,André Gomes,45,90,90,90,0,0,0,6,90,90,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,82,90
0,Andy Carroll,0,0,0,0,0,8,27,34,20,0,1,7,27,0,72,31,90,90,0,90,0,11,0,0,0,0,0,0,0
0,Angelino,0,0,0,0,0,45,0,0,0,17,90,90,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Angelo Ogbonna,0,90,90,90,90,90,90,90,90,0,0,0,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90
0,Angus Gunn,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Anthony Gordon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,14
0,Anthony Martial,90,90,90,0,0,0,0,0,6,75,90,90,85,82,0,74,90,90,67,89,90,80,90,90,90,90,80,89,78
0,Antonio Rüdiger,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,0,90
0,Anwar El Ghazi,90,75,13,0,90,88,70,64,76,6,90,90,90,18,0,90,80,68,90,45,0,90,90,90,58,70,28,69,27
0,Armando Broja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,Arnaut Danjuma,0,0,0,0,0,0,13,11,21,61,0,12,45,90,64,90,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Arthur Masuaku,0,90,90,90,67,0,0,0,90,0,0,0,0,7,0,39,0,90,0,90,7,69,30,45,16,90,0,0,0
0,Ashley Barnes,84,90,78,73,90,79,83,73,0,63,90,81,90,62,31,0,90,75,16,68,45,0,0,0,0,0,0,0,0
0,Ashley Westwood,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90
0,Ashley Young,0,0,56,90,90,90,90,86,90,90,90,0,0,0,90,1,0,0,0,90,0,0,0,0,0,0,0,0,0
0,Axel Tuanzebe,0,0,0,0,1,0,90,90,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Aymeric Laporte,90,90,90,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,65,58,70,0
0,Ayoze Pérez,76,80,78,0,33,67,84,17,67,74,74,60,70,62,45,0,0,68,18,64,90,67,74,90,90,68,1,78,0
0,Ben Chilwell,90,0,0,90,90,90,90,90,90,90,90,90,90,90,0,80,90,90,90,0,90,90,0,90,90,90,90,90,0
0,Ben Davies,0,0,2,0,14,0,0,90,0,0,90,90,75,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,0
0,Ben Foster,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
0,Ben Godfrey,90,90,90,90,90,90,90,90,50,90,90,90,90,90,90,90,90,0,0,0,0,0,76,0,0,0,90,90,90
0,Ben Mee,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
0,Ben Osborn,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,1,0,45,0,29
0,Benjamin Mendy,0,0,0,0,0,45,0,0,90,73,0,0,90,90,0,0,85,90,90,0,90,90,90,0,0,90,90,90,13
0,Bernard,90,90,62,14,19,55,0,0,90,30,0,0,0,0,55,4,71,0,77,0,0,72,45,83,0,65,30,27,45
0,Bernardo,1,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76,0,68,90,90,60,90,0,1,0,0
0,Bernardo Silva,0,80,79,12,73,90,10,30,90,90,84,90,0,21,90,65,34,90,90,62,0,0,73,1,6,90,90,25,59
0,Bernd Leno,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
0,Billy Gilmour,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
0,Billy Sharp,8,0,36,0,20,0,0,19,34,36,25,0,12,0,63,0,0,0,0,7,24,6,34,59,64,74,74,69,71
0,Björn Engels,90,90,90,90,90,90,90,75,90,90,90,0,0,0,0,67,90,90,0,0,0,0,0,0,45,90,0,0,90
0,Borja Bastón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0
0,Brandon Pierrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
0,Brandon Williams,0,0,0,0,0,0,0,0,1,0,9,90,90,79,0,0,0,0,0,90,0,90,74,69,0,90,0,1,78
0,Bruno Fernandes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,88
0,Bukayo Saka,0,0,0,0,0,45,80,83,90,29,17,0,0,12,0,0,50,90,90,90,21,0,90,90,45,90,72,90,90
0,Caglar Söyüncü,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90
0,Callum Hudson-Odoi,0,0,0,0,0,0,27,80,90,18,7,10,0,19,4,19,25,0,67,20,24,90,90,90,90,0,0,0,0
0,Callum Robinson,90,56,54,90,6,62,60,71,0,54,0,3,7,4,0,25,0,0,0,59,0,0,23,12,0,0,0,0,0
0,Callum Wilson,90,90,69,90,90,90,77,90,90,74,90,90,90,90,90,64,0,45,90,28,90,90,90,90,90,90,90,90,90
0,Calum Chambers,90,0,0,0,0,45,90,90,90,90,90,90,45,90,0,90,90,90,0,23,0,0,0,0,0,0,0,0,0
0,Carlos Sánchez,0,7,2,5,0,0,0,0,0,0,0,0,26,0,0,0,11,0,0,62,0,0,0,0,0,0,0,0,0
0,Cenk Tosun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Cenk Tosun (prior),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Cedric Soares (Prior),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Charlie Daniels,0,90,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Charlie Taylor,0,0,0,0,0,0,0,35,0,0,45,90,90,36,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90
0,Che Adams,73,68,80,62,90,77,0,9,0,0,2,9,0,0,13,2,3,3,80,63,0,12,19,6,20,4,17,0,13
0,Cheikhou Kouyaté,0,0,83,90,76,90,70,90,90,90,74,82,72,90,90,83,67,90,88,6,45,90,90,62,5,11,89,90,90
0,Chicharito,24,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Chris Basham,82,90,78,84,84,90,90,90,90,90,90,90,83,90,75,90,90,90,90,90,90,90,76,78,90,90,90,90,90
0,Chris Mepham,90,0,90,90,1,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0
0,Chris Wood,90,61,90,90,66,90,90,90,90,0,0,90,75,90,59,65,85,90,74,90,90,90,90,90,90,22,0,32,90
0,Christian Atsu,0,0,73,82,90,90,90,7,7,1,13,1,11,10,9,0,80,0,31,16,0,62,0,62,0,0,0,0,0
0,Christian Benteke,83,90,15,4,19,21,0,1,14,9,12,0,14,8,0,17,90,90,0,0,0,0,0,0,77,90,89,87,90
0,Christian Eriksen,26,90,28,90,90,11,90,90,0,88,90,0,11,0,26,0,1,45,22,90,90,69,17,28,0,0,0,0,0
0,Christian Fuchs,0,90,90,4,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,90,90,0,90,0,0,0,90,0,0
0,Christian Kabasele,0,0,0,90,90,0,0,90,90,90,90,65,0,0,0,90,90,90,90,90,71,0,0,1,90,90,90,90,90
0,Christian Pulisic,32,71,84,90,0,0,0,10,26,90,83,80,90,90,86,90,65,0,23,0,66,0,0,0,0,0,0,0,0
0,Christoph Zimmermann,0,0,0,36,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0
0,Ciaran Clark,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,45,0,0,0,0,0,90,90,70,90,83,0,0,0
0,Claudio Bravo,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,76,90,90,0,0,0,0,0,0,0,0
0,Connor Wickham,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,30,0,9,21,0,0,0,0,0
0,Conor Coady,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
0,Conor Hourihane,82,0,0,19,0,5,90,78,63,0,17,0,90,81,58,0,0,56,34,90,12,71,4,0,0,0,31,90,67
0,Craig Cathcart,90,90,90,90,0,0,90,90,90,90,20,90,90,90,90,90,90,90,90,85,90,90,90,90,90,90,90,90,90
0,Craig Dawson,90,90,90,90,90,90,90,33,90,90,90,90,45,0,0,0,0,0,1,30,90,90,90,90,0,0,90,0,0
0,Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0
0,Cedric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,César Azpilicueta,90,90,90,90,90,90,90,90,90,90,90,0,90,0,90,90,90,80,90,90,90,90,90,90,90,90,90,90,90
0,Dale Stephens,90,90,78,90,90,90,90,90,90,90,90,90,77,90,90,90,0,90,90,6,0,72,90,90,90,0,0,0,1
0,Dan Burn,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,22,0,0,0,0,57,90,90,90
0,Dan Gosling,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,26,90,90,70,90,68,59,86,5,90,90,70,9,10
0,Dani Ceballos,26,83,61,27,60,72,35,75,45,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,76,82,90
0,Daniel James,16,89,90,90,90,90,90,90,90,80,80,90,90,90,90,90,86,58,0,90,58,31,90,69,88,80,90,0,90
0,Daniel Podence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,1,16
0,Danny Drinkwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
