Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Sebastien Haller,WHU,F,1,ColmL,WHU 3<br/>@WAT 1 F,28.25,28.25,100%,1.2%
David Silva,MCI,M,2,ZKL,MCI 3<br/>@BOU 1 F,26.45,26.45,100%,0%
Mohamed Salah,LIV,F,3,Damo,ARS 1<br/>@LIV 3 F,26.25,26.25,100%,0%
Sergio Aguero,MCI,F,4,ZKL,MCI 3<br/>@BOU 1 F,26.1,26.1,100%,0%
Joel Matip,LIV,D,5,ZKL,ARS 1<br/>@LIV 3 F,22.1,22.1,100%,3.1%
Mateo Kovacic,CHE,M,6,ColmOF,CHE 3<br/>@NOR 2 F,21.75,21.75,92%,28.3%
Tammy Abraham,CHE,F,7,Damo,CHE 3<br/>@NOR 2 F,21.5,21.5,100%,3.2%
Emerson,CHE,D,8,ColmOF,CHE 3<br/>@NOR 2 F,21.05,21.05,92%,2.2%
Nathan Redmond,SOU,"M,F",9,Eoghanoc,SOU 2<br/>@BHA 0 F,21,21,92%,-2.2%
Teemu Pukki,NOR,F,10,ColmOF,CHE 3<br/>@NOR 2 F,20.5,20.5,100%,1.2%
Ben Foster,WAT,G,11,ColmOF,WHU 3<br/>@WAT 1 F,20,20,25%,-22.6%
Jeffrey Schlupp,CRY,"D,M",12,FA, CRY 2<br/>@MUN 1 F,19.55,19.55,58%,-1%
Mason Mount,CHE,M,13,Seanmacd,CHE 3<br/>@NOR 2 F,19.35,19.35,100%,7.8%
Jannik Vestergaard,SOU,D,14,MKFC,SOU 2<br/>@BHA 0 F,18.9,18.9,75%,18.3%
Fabian Schar,NEW,D,15,ZKL,NEW 1<br/>@TOT 0 F,18.8,18.8,92%,2.9%
James Maddison,LEI,M,16,Damo,LEI 2<br/>@SHU 1 F,18,18,100%,0%
John McGinn,AVL,M,17,ColmL,EVE 0<br/>@AVL 2 F,18,18,92%,0.1%
Christian Atsu,NEW,M,18,FA,NEW 1<br/>@TOT 0 F,18,18,33%,6.3%
Jota,AVL,M,19,FA,EVE 0<br/>@AVL 2 F,17.75,17.75,8%,-12.1%
Will Hughes,WAT,M,20,MKFC,WHU 3<br/>@WAT 1 F,17.5,17.5,50%,3.5%
Ross Barkley,CHE,M,21,mcavinur,CHE 3<br/>@NOR 2 F,17.25,17.25,100%,15.6%
Emiliano Buendia,NOR,M,22,ColmL,CHE 3<br/>@NOR 2 F,17.25,17.25,100%,9.9%
Martin Dubravka,NEW,G,23,FA,NEW 1<br/>@TOT 0 F,17.25,17.25,33%,4.9%
Fabinho,LIV,M,24,mcavinur,ARS 1<br/>@LIV 3 F,17,17,75%,-9.1%
Mark Noble,WHU,M,25,FA,WHU 3<br/>@WAT 1 F,17,17,58%,29.2%
Angus Gunn,SOU,G,26,FA,SOU 2<br/>@BHA 0 F,17,17,8%,-6.9%
Caglar Soyuncu,LEI,D,27,Damo,LEI 2<br/>@SHU 1 F,16.8,16.8,75%,-6.4%
Felipe Anderson,WHU,M,28,ZKL,WHU 3<br/>@WAT 1 F,16.6,16.6,100%,0.5%
Raul Jimenez,WOL,F,29,Eoghanoc,BUR 1<br/>@WOL 1 F,16.45,16.45,100%,0.2%
Raheem Sterling,MCI,F,30,ColmL,MCI 3<br/>@BOU 1 F,16.45,16.45,100%,0%
Andre Gray,WAT,F,31,FA,WHU 3<br/>@WAT 1 F,16.35,16.35,58%,24.4%
Trent Alexander-Arnold,LIV,D,32,ColmOF,ARS 1<br/>@LIV 3 F,16.3,16.3,100%,0%
Jamaal Lascelles,NEW,D,33,FA,NEW 1<br/>@TOT 0 F,16.15,16.15,50%,20.4%
Paul Dummett,NEW,D,34,FA,NEW 1<br/>@TOT 0 F,16.15,16.15,8%,2.3%
Harry Wilson,BOU,M,35,Damo,MCI 3<br/>@BOU 1 F,15.75,15.75,92%,20.3%
Tyrone Mings,AVL,D,36,mcavinur,EVE 0<br/>@AVL 2 F,15.75,15.75,75%,0.9%
Patrick van Aanholt,CRY,D,37,ZKL, CRY 2<br/>@MUN 1 F,15.6,15.6,92%,-4.1%
Kevin De Bruyne,MCI,M,38,Eoghanoc,MCI 3<br/>@BOU 1 F,15.25,15.25,100%,0.1%
Ederson,MCI,G,39,ColmL,MCI 3<br/>@BOU 1 F,15.25,15.25,100%,0.2%
Wesley,AVL,F,40,FA,EVE 0<br/>@AVL 2 F,15.25,15.25,75%,6.6%
