"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Adama Traore","WOL","F","1","MKFC","WOL 2<br/>@MCI 0 F","32.85","32.85","74%","-17.7%"
"Wesley","AVL","F","2","FA","AVL 5<br/>@NOR 1 F","31.4","31.4","84%","-8.1%"
"Jetro Willems","NEW","D","3","FA","MUN 0<br/>@NEW 1 F","28.4","28.4","14%","-19.7%"
"Aaron Connolly","BHA","F","4","FA","TOT 0<br/>@BHA 3 F","26.75","26.75","26%","-15.8%"
"David Luiz","ARS","D","5","ColmL","BOU 0<br/>@ARS 1 F","25.65","25.65","63%","-12.5%"
"Raul Jimenez","WOL","F","6","Eoghanoc","WOL 2<br/>@MCI 0 F","25.6","25.6","100%","-0.4%"
"Sadio Mane","LIV","M,F","7","Seanmacd","LEI 1<br/>@LIV 2 F","25.25","25.25","100%","-0.1%"
"Anwar El Ghazi","AVL","M,F","8","FA","AVL 5<br/>@NOR 1 F","24.35","24.35","81%","-10.2%"
"Conor Hourihane","AVL","M","9","FA","AVL 5<br/>@NOR 1 F","22.95","22.95","15%","-1.6%"
"James Milner","LIV","M","10","mcavinur","LEI 1<br/>@LIV 2 F","22.85","22.85","51%","-7.5%"
"Christian Kabasele","WAT","D","11","FA","SHU 0<br/>@WAT 0 F","22.85","22.85","2%","+2.3%"
"Ben Mee","BUR","D","12","Damo","EVE 0<br/>@BUR 1 F","21.25","21.25","65%","-10.5%"
"NGolo Kante","CHE","M","13","ColmOF","CHE 4<br/>@SOU 1 F","20.35","20.35","87%","-4.3%"
"Adam Webster","BHA","D","14","mcavinur","TOT 0<br/>@BHA 3 F","19.95","19.95","14%","-11.5%"
"James Tarkowski","BUR","D","15","Eoghanoc","EVE 0<br/>@BUR 1 F","19.7","19.7","89%","+14.2%"
"Jack Grealish","AVL","M","16","mcavinur","AVL 5<br/>@NOR 1 F","19.5","19.5","99%","-1.2%"
"Michael McGovern","NOR","G","17","FA","AVL 5<br/>@NOR 1 F","19.5","19.5","1%","+1.1%"
"Dan Burn","BHA","D","18","FA","TOT 0<br/>@BHA 3 F","19.45","19.45","46%","-20.8%"
"Lewis Dunk","BHA","D","19","Seanmacd","TOT 0<br/>@BHA 3 F","19.3","19.3","62%","-37.7%"
"Fabian Schar","NEW","D","20","ZKL","MUN 0<br/>@NEW 1 F","18.95","18.95","81%","+14.5%"
"Calum Chambers","ARS","D,M","21","FA","BOU 0<br/>@ARS 1 F","18.85","18.85","44%","-6%"
"Trent Alexander-Arnold","LIV","D","22","ColmOF","LEI 1<br/>@LIV 2 F","18.8","18.8","100%","0%"
"Matthew Longstaff","NEW","M","23","FA","MUN 0<br/>@NEW 1 F","18.75","18.75","14%","-19.5%"
"Neal Maupay","BHA","F","24","FA","TOT 0<br/>@BHA 3 F","18.5","18.5","39%","-27.6%"
"Martin Dubravka","NEW","G","25","Seanmacd","MUN 0<br/>@NEW 1 F","18.25","18.25","28%","+2.6%"
"Marcos Alonso","CHE","D","26","ColmOF","CHE 4<br/>@SOU 1 F","17.85","17.85","96%","-4.3%"
"Willy Boly","WOL","D","27","Eoghanoc","WOL 2<br/>@MCI 0 F","17.55","17.55","99%","-1.2%"
"Ben Foster","WAT","G","28","FA","SHU 0<br/>@WAT 0 F","17.5","17.5","33%","+24.7%"
"Jeff Hendrick","BUR","M","29","FA","EVE 0<br/>@BUR 1 F","17.5","17.5","4%","-13%"
"Daryl Janmaat","WAT","D","30","FA","SHU 0<br/>@WAT 0 F","17.4","17.4","2%","-6.6%"
"Danny Ings","SOU","F","31","ZKL","CHE 4<br/>@SOU 1 F","17.25","17.25","82%","-1.8%"
"Mason Mount","CHE","M","32","Seanmacd","CHE 4<br/>@SOU 1 F","17","17","93%","-6.8%"
"Mat Ryan","BHA","G","33","mcavinur","TOT 0<br/>@BHA 3 F","17","17","53%","-13.7%"
"Aaron Mooy","BHA","M","34","FA","TOT 0<br/>@BHA 3 F","16.75","16.75","19%","-22.6%"
