"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned"
"David Silva","MCI","M","1","MAX","NEW 0<br/>@MCI 5 F","39","39","-"
"Mohamed Salah","LIV","F","2","Damo","LIV 3<br/>@BHA 1 F","35.25","35.25","-"
"Willian","CHE","M,F","3","MAX","CHE 3<br/>@CRY 2 F","31","31","-"
"Bruno Fernandes","MUN","M","4","MKFC","MUN 3<br/>@AVL 0 F","26.45","26.45","-"
"Nick Pope","BUR","G","5","MAX","BUR 1<br/>@WHU 0 F","25","25","-"
"John Egan","SHU","D","6","Damo","WOL 0<br/>@SHU 1 F","24.6","24.6","-"
"Charlie Taylor","BUR","D","7","Damo","BUR 1<br/>@WHU 0 F","23.9","23.9","-"
"Diego Rico","BOU","D","8","FA","TOT 0<br/>@BOU 0 F","23.1","23.1","-"
"Christian Pulisic","CHE","M,F","9","Eoghanoc","CHE 3<br/>@CRY 2 F","22.35","22.35","-"
"Paul Pogba","MUN","M","10","ColmL","MUN 3<br/>@AVL 0 F","22.25","22.25","-"
"Kevin De Bruyne","MCI","M","11","Eoghanoc","NEW 0<br/>@MCI 5 F","21.85","21.85","-"
"Riyad Mahrez","MCI","M,F","12","ColmOF","NEW 0<br/>@MCI 5 F","21.25","21.25","-"
"Danny Welbeck","WAT","F","13","FA","NOR 1<br/>@WAT 2 F","20.2","20.2","-"
"Danny Ings","SOU","F","14","Damo","SOU 1<br/>@EVE 1 F","19.35","19.35","-"
"Raheem Sterling","MCI","M,F","15","ColmL","NEW 0<br/>@MCI 5 F","19","19","-"
"Emiliano Buendia","NOR","M","16","ColmL","NOR 1<br/>@WAT 2 F","18.85","18.85","-"
"Anthony Martial","MUN","F","17","RBF","MUN 3<br/>@AVL 0 F","18.75","18.75","-"
"Jamie Vardy","LEI","F","18","ColmOF","LEI 1<br/>@ARS 1 F","18.7","18.7","-"
"Ben Davies","TOT","D","19","ColmOF","TOT 0<br/>@BOU 0 F","18.6","18.6","-"
"Leandro Trossard","BHA","M,F","20","FA","LIV 3<br/>@BHA 1 F","18.5","18.5","-"
"Nicolas Otamendi","MCI","D","21","FA","NEW 0<br/>@MCI 5 F","18.25","18.25","-"
